Nu Stable Isotope Analysis Program
Data Collected on Friday, November 03, 2023 at 21:13 with Stable 1.71.5 on PS019,Reanalyzed on Friday, November 03, 2023 at 22:12 with Stable 1.71.5 on PS019

Data File = Data_20811 IAEA-C2.txt,       Sample Weight = 445,                      Vial Location = 4,                        Initial Sam Beam = 2.5041e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9457e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02848
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.10568e-08,,,,,,1.1863e-02,4.1637e-03,4.8297e-05,4.3999e-06,6.4631e-08,
Sam 1,9.02078e-08,1.18039e-02,4.1816e-03,4.8247e-05,4.4373e-06,6.4976e-08,,,,,,           -4.9638,            4.2500,           -1.1270,            8.3088,            8.1209,           -8.3198,           -1.6597,           -0.1734,           -0.2075,            5.0489,
Ref 2,8.92287e-08,,,,,,1.1863e-02,4.1640e-03,4.8306e-05,4.4016e-06,6.4270e-08,,,,,,,,,,,
Sam 2,8.83519e-08,1.18042e-02,4.1817e-03,4.8257e-05,4.4391e-06,6.5355e-08,,,,,,           -4.9668,            4.2421,           -1.0288,            8.5484,           16.8277,           -8.3227,           -1.6675,           -0.0643,            0.0457,           13.7480,
Ref 3,8.73272e-08,,,,,,1.1863e-02,4.1641e-03,4.8308e-05,4.4013e-06,6.4277e-08,,,,,,,,,,,
Sam 3,8.64998e-08,1.18042e-02,4.1818e-03,4.8251e-05,4.4396e-06,6.6269e-08,,,,,,           -4.9705,            4.2409,           -1.2208,            8.8338,           22.9039,           -8.3267,           -1.6687,           -0.2515,            0.3311,           19.8123,
Ref 4,8.54614e-08,,,,,,1.1863e-02,4.1641e-03,4.8312e-05,4.4001e-06,6.5304e-08,,,,,,,,,,,
Sam 4,8.46716e-08,1.18041e-02,4.1818e-03,4.8258e-05,4.4396e-06,6.5736e-08,,,,,,           -4.9788,            4.2337,           -1.0849,            8.9146,            1.1173,           -8.3352,           -1.6759,           -0.0997,            0.4256,           -1.8855,
Ref 5,8.36272e-08,,,,,,1.1863e-02,4.1642e-03,4.8310e-05,4.4006e-06,6.6029e-08,,,,,,,,,,,
Sam 5,8.29062e-08,1.18041e-02,4.1819e-03,4.8252e-05,4.4391e-06,6.6117e-08,,,,,,           -4.9767,            4.2336,           -1.1473,            8.5431,            7.8938,           -8.3329,           -1.6760,           -0.1644,            0.0574,            4.8685,
Ref 6,8.18530e-08,,,,,,1.1863e-02,4.1642e-03,4.8305e-05,4.4023e-06,6.5162e-08,,,,,,,,,,,
Sam 6,8.11939e-08,1.18041e-02,4.1819e-03,4.8256e-05,4.4392e-06,6.5719e-08,,,,,,           -4.9747,            4.2325,           -1.0724,            8.4370,            2.2706,           -8.3308,           -1.6771,           -0.0903,           -0.0455,           -0.7377,
Ref 7,8.01344e-08,,,,,,1.1863e-02,4.1643e-03,4.8309e-05,4.4019e-06,6.5988e-08,,,,,,,,,,,
Sam 7,7.95137e-08,1.18041e-02,4.1820e-03,4.8251e-05,4.4385e-06,6.6411e-08,,,,,,           -4.9718,            4.2311,           -1.1914,            8.3696,            7.2003,           -8.3277,           -1.6785,           -0.2111,           -0.1096,            4.1769,
Ref 8,7.84406e-08,,,,,,1.1863e-02,4.1644e-03,4.8308e-05,4.4014e-06,6.5883e-08,,,,,,,,,,,
Sam 8,7.79014e-08,1.18041e-02,4.1820e-03,4.8259e-05,4.4376e-06,6.5999e-08,,,,,,           -4.9663,            4.2380,           -1.0793,            8.2851,            3.4351,           -8.3220,           -1.6716,           -0.1114,           -0.2072,            0.4034,
Ref 9,7.68452e-08,,,,,,1.1863e-02,4.1643e-03,4.8314e-05,4.4008e-06,6.5662e-08,,,,,,,,,,,
Sam 9,7.63396e-08,1.18039e-02,4.1820e-03,4.8257e-05,4.4382e-06,6.6881e-08,,,,,,           -4.9832,            4.2317,           -1.0806,            8.4655,           16.4043,           -8.3399,           -1.6778,           -0.0889,           -0.0157,           13.3644,
Ref 10,7.52597e-08,,,,,,1.1863e-02,4.1644e-03,4.8305e-05,4.4012e-06,6.5945e-08,,,,,,,,,,,
Sam 10,7.48014e-08,1.18040e-02,4.1820e-03,4.8259e-05,4.4389e-06,6.6079e-08,,,,,,           -4.9728,            4.2390,           -1.0100,            8.5476,           -1.5649,           -8.3290,           -1.6706,           -0.0362,            0.0512,           -4.5763,
Ref 11,7.37226e-08,,,,,,1.1863e-02,4.1644e-03,4.8310e-05,4.4014e-06,6.6425e-08,,,,,,,,,,,
Sam 11,7.33253e-08,1.18040e-02,4.1821e-03,4.8255e-05,4.4379e-06,6.7260e-08,,,,,,           -4.9579,            4.2707,           -1.1158,            8.3691,           20.9656,           -8.3143,           -1.6391,           -0.1885,           -0.1890,           17.8068,
Ref 12,7.26667e-08,,,,,,1.1863e-02,4.1641e-03,4.8307e-05,4.4007e-06,6.5325e-08,,,,,,,,,,,
Sam 12,7.20905e-08,1.18037e-02,4.1819e-03,4.8256e-05,4.4367e-06,6.6093e-08,,,,,,           -4.9710,            4.2493,           -1.0975,            8.1920,            7.8864,           -8.3275,           -1.6603,           -0.1358,           -0.3220,            4.8241,
Ref 13,7.10017e-08,,,,,,1.1863e-02,4.1643e-03,4.8310e-05,4.4007e-06,6.5832e-08,,,,,,,,,,,
Sam 13,7.06805e-08,1.18037e-02,4.1820e-03,4.8251e-05,4.4379e-06,6.6028e-08,,,,,,           -4.9759,            4.2428,           -1.2178,            8.4417,            1.4597,           -8.3324,           -1.6668,           -0.2447,           -0.0614,           -1.5651,
Ref 14,6.95947e-08,,,,,,1.1863e-02,4.1644e-03,4.8309e-05,4.4008e-06,6.6033e-08,,,,,,,,,,,
Sam 14,6.93308e-08,1.18037e-02,4.1820e-03,4.8255e-05,4.4376e-06,6.5882e-08,,,,,,           -4.9706,            4.2392,           -1.0807,            8.4303,           -5.5237,           -8.3266,           -1.6704,           -0.1095,           -0.0655,           -8.5260,
Ref 15,6.82254e-08,,,,,,1.1863e-02,4.1643e-03,4.8305e-05,4.4002e-06,6.6467e-08,,,,,,,,,,,
Sam 15,6.79855e-08,1.18037e-02,4.1820e-03,4.8255e-05,4.4380e-06,6.6202e-08,,,,,,           -4.9712,            4.2312,           -1.0928,            8.5600,           -2.1257,           -8.3270,           -1.6784,           -0.1131,            0.0791,           -5.1219,
Ref 16,6.69041e-08,,,,,,1.1863e-02,4.1644e-03,4.8310e-05,4.4006e-06,6.6216e-08,,,,,,,,,,,
Sam 16,6.67005e-08,1.18036e-02,4.1821e-03,4.8254e-05,4.4372e-06,6.6994e-08,,,,,,           -4.9742,            4.2380,           -1.1561,            8.1290,           12.3137,           -8.3304,           -1.6716,           -0.1800,           -0.3619,            9.2638,
Ref 17,6.56024e-08,,,,,,1.1863e-02,4.1644e-03,4.8309e-05,4.4022e-06,6.6142e-08,,,,,,,,,,,
Sam 17,6.54366e-08,1.18037e-02,4.1821e-03,4.8254e-05,4.4371e-06,6.6376e-08,,,,,,           -4.9747,            4.2239,           -1.2042,            7.9291,            7.0738,           -8.3305,           -1.6856,           -0.2138,           -0.5321,            4.0679,
Ref 18,6.42431e-08,,,,,,1.1863e-02,4.1645e-03,4.8316e-05,4.4022e-06,6.5672e-08,,,,,,,,,,,
Sam 18,6.41410e-08,1.18037e-02,4.1822e-03,4.8260e-05,4.4369e-06,6.6874e-08,,,,,,           -4.9696,            4.2363,           -1.0940,            8.1970,           12.8794,           -8.3255,           -1.6733,           -0.1209,           -0.2911,            9.8263,
Ref 19,6.30424e-08,,,,,,1.1863e-02,4.1646e-03,4.8311e-05,4.3995e-06,6.6383e-08,,,,,,,,,,,
Sam 19,6.29521e-08,1.18036e-02,4.1822e-03,4.8260e-05,4.4388e-06,6.6910e-08,,,,,,           -4.9784,            4.2294,           -1.0634,            8.9780,            5.8535,           -8.3346,           -1.6801,           -0.0744,            0.4971,            2.8445,
Ref 20,6.18568e-08,,,,,,1.1863e-02,4.1646e-03,4.8312e-05,4.3991e-06,6.6661e-08,,,,,,,,,,,
Sam 20,6.17772e-08,1.18037e-02,4.1822e-03,4.8259e-05,4.4377e-06,6.7176e-08,,,,,,           -4.9684,            4.2262,           -1.1032,            8.7807,           10.9945,           -8.3239,           -1.6834,           -0.1215,            0.3078,            7.9657,
Ref 21,6.06905e-08,,,,,,1.1863e-02,4.1647e-03,4.8312e-05,4.3990e-06,6.6225e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.01435e-08,,,,,,1.1863e-02,4.1646e-03,4.8314e-05,4.4008e-06,6.5385e-08,
Sam 1,6.00950e-08,1.18037e-02,4.1823e-03,4.8255e-05,4.4369e-06,6.7568e-08,,,,,,           -4.9578,            4.2601,           -1.1711,            8.2438,           28.1503,           -8.3137,           -1.6496,           -0.2338,           -0.2920,           24.9904,
Ref 2,5.91389e-08,,,,,,1.1862e-02,4.1646e-03,4.8309e-05,4.4004e-06,6.6057e-08,,,,,,,,,,,
Sam 2,5.91171e-08,1.18035e-02,4.1822e-03,4.8260e-05,4.4369e-06,6.7524e-08,,,,,,           -4.9779,            4.2236,           -0.9900,            8.2275,           19.6257,           -8.3339,           -1.6859,            0.0042,           -0.2355,           16.5866,
Ref 3,5.79676e-08,,,,,,1.1863e-02,4.1647e-03,4.8306e-05,4.4009e-06,6.6396e-08,,,,,,,,,,,
Sam 3,5.79918e-08,1.18035e-02,4.1823e-03,4.8260e-05,4.4373e-06,6.7583e-08,,,,,,           -4.9828,            4.2277,           -1.0477,            8.2113,           12.5125,           -8.3392,           -1.6818,           -0.0525,           -0.2598,            9.4917,
Ref 4,5.68741e-08,,,,,,1.1863e-02,4.1647e-03,4.8315e-05,4.4014e-06,6.7106e-08,,,,,,,,,,,
Sam 4,5.69319e-08,1.18036e-02,4.1824e-03,4.8259e-05,4.4373e-06,6.7004e-08,,,,,,           -4.9734,            4.2287,           -1.1274,            8.1645,            1.4362,           -8.3293,           -1.6808,           -0.1430,           -0.3083,           -1.5637,
Ref 5,5.58492e-08,,,,,,1.1863e-02,4.1648e-03,4.8313e-05,4.4012e-06,6.6705e-08,,,,,,,,,,,
Sam 5,5.58649e-08,1.18037e-02,4.1825e-03,4.8265e-05,4.4372e-06,6.6984e-08,,,,,,           -4.9623,            4.2275,           -0.9978,            8.3708,            2.2986,           -8.3175,           -1.6821,           -0.0236,           -0.1013,           -0.7133,
Ref 6,5.47649e-08,,,,,,1.1863e-02,4.1649e-03,4.8314e-05,4.3996e-06,6.6958e-08,,,,,,,,,,,
Sam 6,5.49536e-08,1.18035e-02,4.1825e-03,4.8260e-05,4.4363e-06,6.6695e-08,,,,,,           -4.9813,            4.2249,           -1.0816,            8.3733,           -3.1300,           -8.3376,           -1.6847,           -0.0852,           -0.0935,           -6.1001,
Ref 7,5.38335e-08,,,,,,1.1863e-02,4.1649e-03,4.8311e-05,4.3994e-06,6.6851e-08,,,,,,,,,,,
Sam 7,5.40128e-08,1.18035e-02,4.1825e-03,4.8261e-05,4.4356e-06,6.6685e-08,,,,,,           -4.9788,            4.2214,           -1.0566,            8.2318,           -1.9945,           -8.3348,           -1.6881,           -0.0593,           -0.2269,           -4.9639,
Ref 8,5.29277e-08,,,,,,1.1862e-02,4.1649e-03,4.8314e-05,4.3994e-06,6.6785e-08,,,,,,,,,,,
Sam 8,5.30214e-08,1.18035e-02,4.1826e-03,4.8264e-05,4.4392e-06,6.9018e-08,,,,,,           -4.9699,            4.2334,           -1.0675,            8.6877,           36.0299,           -8.3257,           -1.6761,           -0.0913,            0.2011,           32.9130,
Ref 9,5.19566e-08,,,,,,1.1863e-02,4.1650e-03,4.8317e-05,4.4026e-06,6.6447e-08,,,,,,,,,,,
Sam 9,5.21225e-08,1.18036e-02,4.1826e-03,4.8257e-05,4.4385e-06,6.7385e-08,,,,,,           -4.9680,            4.2316,           -1.2007,            8.3756,           14.6180,           -8.3236,           -1.6779,           -0.2249,           -0.1048,           11.5670,
Ref 10,5.10499e-08,,,,,,1.1862e-02,4.1650e-03,4.8314e-05,4.4007e-06,6.6380e-08,,,,,,,,,,,
Sam 10,5.12416e-08,1.18035e-02,4.1826e-03,4.8264e-05,4.4381e-06,6.6523e-08,,,,,,           -4.9727,            4.2325,           -0.9837,            8.6063,           -5.4573,           -8.3287,           -1.6770,           -0.0036,            0.1223,           -8.4446,
Ref 11,5.01710e-08,,,,,,1.1862e-02,4.1650e-03,4.8309e-05,4.3998e-06,6.7404e-08,,,,,,,,,,,
Sam 11,5.03847e-08,1.18035e-02,4.1826e-03,4.8267e-05,4.4368e-06,6.7416e-08,,,,,,           -4.9759,            4.2253,           -0.9385,            8.3238,            6.4045,           -8.3319,           -1.6842,            0.0520,           -0.1436,            3.3992,
Ref 12,4.93086e-08,,,,,,1.1863e-02,4.1651e-03,4.8314e-05,4.4006e-06,6.6563e-08,,,,,,,,,,,
Sam 12,4.95457e-08,1.18034e-02,4.1827e-03,4.8266e-05,4.4385e-06,6.7291e-08,,,,,,           -4.9821,            4.2233,           -1.0505,            8.7600,            9.0025,           -8.3383,           -1.6862,           -0.0518,            0.2930,            5.9999,
Ref 13,4.84682e-08,,,,,,1.1862e-02,4.1651e-03,4.8320e-05,4.3994e-06,6.6821e-08,,,,,,,,,,,
Sam 13,4.87301e-08,1.18034e-02,4.1827e-03,4.8261e-05,4.4368e-06,6.7625e-08,,,,,,           -4.9791,            4.2277,           -1.1662,            8.4078,            2.8352,           -8.3353,           -1.6818,           -0.1750,           -0.0650,           -0.1608,
Ref 14,4.76534e-08,,,,,,1.1862e-02,4.1651e-03,4.8314e-05,4.4003e-06,6.8057e-08,,,,,,,,,,,
Sam 14,4.79301e-08,1.18034e-02,4.1827e-03,4.8266e-05,4.4369e-06,6.8724e-08,,,,,,           -4.9729,            4.2233,           -1.0387,            8.3638,           15.1347,           -8.3286,           -1.6862,           -0.0495,           -0.0999,           12.1040,
Ref 15,4.68552e-08,,,,,,1.1862e-02,4.1652e-03,4.8318e-05,4.3999e-06,6.7335e-08,,,,,,,,,,,
Sam 15,4.71467e-08,1.18034e-02,4.1828e-03,4.8266e-05,4.4381e-06,6.7893e-08,,,,,,           -4.9709,            4.2309,           -1.0531,            8.8259,            6.6283,           -8.3267,           -1.6787,           -0.0733,            0.3433,            3.6061,
Ref 16,4.60801e-08,,,,,,1.1862e-02,4.1652e-03,4.8316e-05,4.3986e-06,6.7560e-08,,,,,,,,,,,
Sam 16,4.63808e-08,1.18034e-02,4.1828e-03,4.8267e-05,4.4359e-06,6.7727e-08,,,,,,           -4.9747,            4.2384,           -1.0664,            8.5706,            6.9055,           -8.3310,           -1.6712,           -0.0902,            0.0751,            3.8716,
Ref 17,4.53176e-08,,,,,,1.1862e-02,4.1652e-03,4.8321e-05,4.3977e-06,6.6960e-08,,,,,,,,,,,
Sam 17,4.56304e-08,1.18033e-02,4.1828e-03,4.8271e-05,4.4373e-06,6.7559e-08,,,,,,           -4.9755,            4.2361,           -1.0075,            8.5069,            8.2511,           -8.3318,           -1.6735,           -0.0281,            0.0166,            5.2186,
Ref 18,4.45694e-08,,,,,,1.1862e-02,4.1652e-03,4.8318e-05,4.4020e-06,6.7053e-08,,,,,,,,,,,
Sam 18,4.48989e-08,1.18033e-02,4.1829e-03,4.8267e-05,4.4348e-06,6.8413e-08,,,,,,           -4.9730,            4.2347,           -1.0141,            7.8116,           21.7912,           -8.3291,           -1.6749,           -0.0358,           -0.6701,           18.7181,
Ref 19,4.38362e-08,,,,,,1.1862e-02,4.1653e-03,4.8315e-05,4.3988e-06,6.6853e-08,,,,,,,,,,,
Sam 19,4.41769e-08,1.18033e-02,4.1829e-03,4.8272e-05,4.4360e-06,6.7993e-08,,,,,,           -4.9673,            4.2327,           -0.9206,            8.3386,           23.8533,           -8.3230,           -1.6769,            0.0538,           -0.1436,           20.7717,
Ref 20,4.31221e-08,,,,,,1.1862e-02,4.1653e-03,4.8318e-05,4.3999e-06,6.5957e-08,,,,,,,,,,,
Sam 20,4.34718e-08,1.18033e-02,4.1828e-03,4.8270e-05,4.4371e-06,6.8158e-08,,,,,,           -4.9690,            4.2093,           -1.0077,            8.5568,           20.5958,           -8.3240,           -1.7002,           -0.0087,            0.1194,           17.5725,
Ref 21,4.24205e-08,,,,,,1.1862e-02,4.1653e-03,4.8320e-05,4.3990e-06,6.7621e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.20752e-08,,,,,,1.1862e-02,4.1653e-03,4.8323e-05,4.3980e-06,6.6102e-08,
Sam 1,4.24446e-08,1.18031e-02,4.1829e-03,4.8262e-05,4.4354e-06,6.9331e-08,,,,,,           -4.9836,            4.2144,           -1.2234,            8.3406,           42.6633,           -8.3397,           -1.6950,           -0.2146,           -0.1052,           39.5805,
Ref 2,4.13989e-08,,,,,,1.1862e-02,4.1654e-03,4.8319e-05,4.3995e-06,6.6893e-08,,,,,,,,,,,
Sam 2,4.17808e-08,1.18032e-02,4.1830e-03,4.8264e-05,4.4365e-06,6.9303e-08,,,,,,           -4.9744,            4.2280,           -1.1331,            8.4754,           42.9444,           -8.3304,           -1.6816,           -0.1469,            0.0015,           39.8230,
Ref 3,4.07353e-08,,,,,,1.1862e-02,4.1654e-03,4.8318e-05,4.3990e-06,6.5999e-08,,,,,,,,,,,
Sam 3,4.11287e-08,1.18032e-02,4.1830e-03,4.8267e-05,4.4341e-06,6.7619e-08,,,,,,           -4.9660,            4.2285,           -1.0989,            8.2061,            9.2132,           -8.3214,           -1.6811,           -0.1220,           -0.2665,            6.1826,
Ref 4,4.00863e-08,,,,,,1.1862e-02,4.1654e-03,4.8322e-05,4.3971e-06,6.8022e-08,,,,,,,,,,,
Sam 4,4.04927e-08,1.18031e-02,4.1830e-03,4.8270e-05,4.4343e-06,6.8902e-08,,,,,,           -4.9767,            4.2229,           -1.1175,            8.1918,           19.2094,           -8.3326,           -1.6866,           -0.1240,           -0.2696,           16.1716,
Ref 5,3.94526e-08,,,,,,1.1862e-02,4.1655e-03,4.8325e-05,4.3995e-06,6.7179e-08,,,,,,,,,,,
Sam 5,3.98965e-08,1.18031e-02,4.1830e-03,4.8265e-05,4.4344e-06,6.7973e-08,,,,,,           -4.9731,            4.2041,           -1.2896,            8.0915,           14.8280,           -8.3281,           -1.7053,           -0.2816,           -0.3318,           11.8364,
Ref 6,3.88298e-08,,,,,,1.1862e-02,4.1654e-03,4.8330e-05,4.3980e-06,6.6778e-08,,,,,,,,,,,
Sam 6,3.92513e-08,1.18031e-02,4.1831e-03,4.8271e-05,4.4371e-06,6.7788e-08,,,,,,           -4.9660,            4.2265,           -1.1564,            8.8347,           11.2260,           -8.3214,           -1.6830,           -0.1776,            0.3606,            8.1932,
Ref 7,3.82148e-08,,,,,,1.1862e-02,4.1656e-03,4.8324e-05,4.3984e-06,6.7296e-08,,,,,,,,,,,
Sam 7,3.86975e-08,1.18029e-02,4.1831e-03,4.8266e-05,4.4366e-06,6.7524e-08,,,,,,           -4.9740,            4.2229,           -1.1811,            8.8696,            1.9959,           -8.3297,           -1.6866,           -0.1904,            0.4026,           -0.9935,
Ref 8,3.76868e-08,,,,,,1.1862e-02,4.1654e-03,4.8323e-05,4.3969e-06,6.7484e-08,,,,,,,,,,,
Sam 8,3.81367e-08,1.18029e-02,4.1831e-03,4.8261e-05,4.4339e-06,6.7603e-08,,,,,,           -4.9727,            4.2249,           -1.2403,            8.3168,            2.2662,           -8.3285,           -1.6846,           -0.2530,           -0.1497,           -0.7293,
Ref 9,3.70812e-08,,,,,,1.1862e-02,4.1655e-03,4.8319e-05,4.3978e-06,6.7415e-08,,,,,,,,,,,
Sam 9,3.75496e-08,1.18029e-02,4.1831e-03,4.8266e-05,4.4342e-06,7.0422e-08,,,,,,           -4.9759,            4.2113,           -1.1709,            8.3259,           49.2295,           -8.3314,           -1.6982,           -0.1669,           -0.1135,           46.1251,
Ref 10,3.65252e-08,,,,,,1.1862e-02,4.1655e-03,4.8326e-05,4.3974e-06,6.6816e-08,,,,,,,,,,,
Sam 10,3.69901e-08,1.18029e-02,4.1831e-03,4.8270e-05,4.4357e-06,6.8519e-08,,,,,,           -4.9765,            4.2249,           -1.1588,            8.7909,           24.6370,           -8.3324,           -1.6846,           -0.1676,            0.3204,           21.5786,
Ref 11,3.59272e-08,,,,,,1.1862e-02,4.1656e-03,4.8327e-05,4.3967e-06,6.6927e-08,,,,,,,,,,,
Sam 11,3.64265e-08,1.18029e-02,4.1832e-03,4.8267e-05,4.4343e-06,6.7964e-08,,,,,,           -4.9725,            4.2235,           -1.2095,            8.1822,            9.2354,           -8.3282,           -1.6860,           -0.2210,           -0.2804,            6.2215,
Ref 12,3.53841e-08,,,,,,1.1862e-02,4.1657e-03,4.8324e-05,4.3999e-06,6.7763e-08,,,,,,,,,,,
Sam 12,3.59179e-08,1.18028e-02,4.1832e-03,4.8275e-05,4.4335e-06,6.7831e-08,,,,,,           -4.9753,            4.2118,           -1.0376,            7.9601,            6.4390,           -8.3308,           -1.6977,           -0.0345,           -0.4772,            3.4596,
Ref 13,3.48898e-08,,,,,,1.1862e-02,4.1656e-03,4.8326e-05,4.3970e-06,6.7026e-08,,,,,,,,,,,
Sam 13,3.53702e-08,1.18028e-02,4.1832e-03,4.8274e-05,4.4354e-06,6.8158e-08,,,,,,           -4.9678,            4.2144,           -0.9854,            8.5210,           12.2742,           -8.3229,           -1.6951,            0.0073,            0.0737,            9.2642,
Ref 14,3.43552e-08,,,,,,1.1862e-02,4.1657e-03,4.8317e-05,4.3988e-06,6.7642e-08,,,,,,,,,,,
Sam 14,3.48638e-08,1.18029e-02,4.1833e-03,4.8266e-05,4.4330e-06,6.7517e-08,,,,,,           -4.9620,            4.2249,           -1.1243,            8.0250,           -6.2612,           -8.3170,           -1.6847,           -0.1480,           -0.4390,           -9.2427,
Ref 15,3.38095e-08,,,,,,1.1862e-02,4.1657e-03,4.8324e-05,4.3966e-06,6.8248e-08,,,,,,,,,,,
Sam 15,3.43313e-08,1.18029e-02,4.1833e-03,4.8278e-05,4.4340e-06,6.7523e-08,,,,,,           -4.9621,            4.2186,           -0.9284,            8.6806,            2.1249,           -8.3169,           -1.6909,            0.0543,            0.2236,           -0.8693,
Ref 16,3.33192e-08,,,,,,1.1862e-02,4.1658e-03,4.8322e-05,4.3952e-06,6.6499e-08,,,,,,,,,,,
Sam 16,3.38639e-08,1.18029e-02,4.1833e-03,4.8277e-05,4.4334e-06,6.9986e-08,,,,,,           -4.9664,            4.2043,           -0.9833,            8.4684,           43.4538,           -8.3209,           -1.7052,            0.0179,            0.0418,           40.3700,
Ref 17,3.28194e-08,,,,,,1.1862e-02,4.1659e-03,4.8327e-05,4.3973e-06,6.7653e-08,,,,,,,,,,,
Sam 17,3.33697e-08,1.18028e-02,4.1834e-03,4.8275e-05,4.4374e-06,6.8359e-08,,,,,,           -4.9719,            4.2030,           -1.0749,            9.3131,           12.3337,           -8.3268,           -1.7064,           -0.0668,            0.8819,            9.3504,
Ref 18,3.23414e-08,,,,,,1.1862e-02,4.1658e-03,4.8326e-05,4.3955e-06,6.7398e-08,,,,,,,,,,,
Sam 18,3.28569e-08,1.18029e-02,4.1835e-03,4.8273e-05,4.4328e-06,6.7260e-08,,,,,,           -4.9676,            4.2132,           -1.0969,            8.3142,          -10.3955,           -8.3226,           -1.6963,           -0.1033,           -0.1290,          -13.3360,
Ref 19,3.18499e-08,,,,,,1.1862e-02,4.1660e-03,4.8326e-05,4.3969e-06,6.8545e-08,,,,,,,,,,,
Sam 19,3.24000e-08,1.18029e-02,4.1835e-03,4.8275e-05,4.4335e-06,6.9329e-08,,,,,,           -4.9635,            4.2045,           -1.1372,            8.3554,           15.2694,           -8.3179,           -1.7049,           -0.1394,           -0.0708,           12.2654,
Ref 20,3.13865e-08,,,,,,1.1862e-02,4.1660e-03,4.8334e-05,4.3966e-06,6.8024e-08,,,,,,,,,,,
Sam 20,3.19389e-08,1.18029e-02,4.1835e-03,4.8274e-05,4.4306e-06,6.8281e-08,,,,,,           -4.9586,            4.2000,           -1.2521,            7.7055,           -7.5768,           -8.3125,           -1.7095,           -0.2550,           -0.7062,          -10.5096,
Ref 21,3.09340e-08,,,,,,1.1862e-02,4.1660e-03,4.8335e-05,4.3968e-06,6.9591e-08,,,,,,,,,,,


