Nu Stable Isotope Analysis Program
Data Collected on Friday, November 03, 2023 at 23:56 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, November 04, 2023 at 00:55 with Stable 1.71.5 on PS019

Data File = Data_20813 MRT-3 C.txt,       Sample Weight = 451,                      Vial Location = 6,                        Initial Sam Beam = 2.5038e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7810e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02846
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.61678e-08,,,,,,1.1863e-02,4.1640e-03,4.8306e-05,4.3999e-06,6.4478e-08,
Sam 1,8.53398e-08,1.19141e-02,4.2141e-03,4.9084e-05,4.5051e-06,6.6026e-08,,,,,,            4.3164,           12.0142,           16.0629,           23.7423,           24.8721,            1.2886,            6.0467,           -0.2568,           -0.4202,           -3.4991,
Ref 2,8.44908e-08,,,,,,1.1863e-02,4.1642e-03,4.8310e-05,4.4014e-06,6.4367e-08,,,,,,,,,,,
Sam 2,8.36310e-08,1.19142e-02,4.2143e-03,4.9087e-05,4.5075e-06,6.6338e-08,,,,,,            4.3000,           11.9993,           16.0556,           24.0632,           27.1204,            1.2717,            6.0319,           -0.2328,           -0.0775,           -1.2669,
Ref 3,8.27254e-08,,,,,,1.1863e-02,4.1644e-03,4.8313e-05,4.4018e-06,6.4809e-08,,,,,,,,,,,
Sam 3,8.19040e-08,1.19143e-02,4.2144e-03,4.9086e-05,4.5087e-06,6.7420e-08,,,,,,            4.3025,           12.0074,           15.9935,           24.0626,           37.3010,            1.2740,            6.0400,           -0.3043,           -0.0941,            8.6138,
Ref 4,8.09807e-08,,,,,,1.1863e-02,4.1643e-03,4.8313e-05,4.4037e-06,6.5186e-08,,,,,,,,,,,
Sam 4,8.02312e-08,1.19142e-02,4.2144e-03,4.9091e-05,4.5061e-06,6.6472e-08,,,,,,            4.3015,           12.0082,           16.0591,           23.6125,           22.7484,            1.2730,            6.0407,           -0.2395,           -0.5351,           -5.5367,
Ref 5,7.93022e-08,,,,,,1.1863e-02,4.1644e-03,4.8316e-05,4.4007e-06,6.4797e-08,,,,,,,,,,,
Sam 5,7.85910e-08,1.19142e-02,4.2144e-03,4.9089e-05,4.5067e-06,6.5971e-08,,,,,,            4.3024,           12.0001,           16.0252,           23.7863,           11.1349,            1.2742,            6.0326,           -0.2659,           -0.3494,          -16.8145,
Ref 6,7.76759e-08,,,,,,1.1863e-02,4.1645e-03,4.8314e-05,4.4034e-06,6.5701e-08,,,,,,,,,,,
Sam 6,7.70160e-08,1.19141e-02,4.2144e-03,4.9092e-05,4.5063e-06,6.7255e-08,,,,,,            4.2949,           11.9942,           16.0837,           23.4501,           30.5368,            1.2664,            6.0268,           -0.1948,           -0.6660,            2.0707,
Ref 7,7.60786e-08,,,,,,1.1863e-02,4.1645e-03,4.8317e-05,4.4027e-06,6.4814e-08,,,,,,,,,,,
Sam 7,7.58999e-08,1.19137e-02,4.2142e-03,4.9085e-05,4.5075e-06,6.7127e-08,,,,,,            4.2723,           11.9414,           15.9680,           23.8389,           31.7406,            1.2442,            5.9743,           -0.2342,           -0.1821,            3.3681,
Ref 8,7.48338e-08,,,,,,1.1863e-02,4.1644e-03,4.8311e-05,4.4023e-06,6.5314e-08,,,,,,,,,,,
Sam 8,7.43426e-08,1.19138e-02,4.2142e-03,4.9087e-05,4.5083e-06,6.7263e-08,,,,,,            4.2839,           11.9492,           16.0644,           24.2164,           29.6162,            1.2562,            5.9821,           -0.1589,            0.1710,            1.2745,
Ref 9,7.30598e-08,,,,,,1.1863e-02,4.1646e-03,4.8311e-05,4.4012e-06,6.5343e-08,,,,,,,,,,,
Sam 9,7.26148e-08,1.19140e-02,4.2145e-03,4.9087e-05,4.5081e-06,6.7522e-08,,,,,,            4.3025,           11.9887,           16.0255,           24.2465,           36.9446,            1.2747,            6.0213,           -0.2546,            0.1225,            8.3040,
Ref 10,7.16477e-08,,,,,,1.1863e-02,4.1646e-03,4.8315e-05,4.4016e-06,6.4884e-08,,,,,,,,,,,
Sam 10,7.11902e-08,1.19140e-02,4.2145e-03,4.9087e-05,4.5085e-06,6.7268e-08,,,,,,            4.3091,           11.9972,           15.9503,           24.1071,           39.8823,            1.2814,            6.0298,           -0.3437,           -0.0306,           11.1368,
Ref 11,7.02247e-08,,,,,,1.1863e-02,4.1646e-03,4.8319e-05,4.4031e-06,6.4488e-08,,,,,,,,,,,
Sam 11,6.98136e-08,1.19139e-02,4.2145e-03,4.9085e-05,4.5073e-06,6.7426e-08,,,,,,            4.3018,           11.9886,           15.9248,           23.7909,           47.8434,            1.2740,            6.0213,           -0.3530,           -0.3223,           18.9026,
Ref 12,6.88493e-08,,,,,,1.1863e-02,4.1646e-03,4.8313e-05,4.4020e-06,6.4205e-08,,,,,,,,,,,
Sam 12,6.84660e-08,1.19139e-02,4.2146e-03,4.9087e-05,4.5080e-06,6.7837e-08,,,,,,            4.2960,           11.9933,           16.0278,           24.0432,           40.8692,            1.2676,            6.0259,           -0.2502,           -0.0851,           12.1182,
Ref 13,6.74975e-08,,,,,,1.1863e-02,4.1646e-03,4.8312e-05,4.4024e-06,6.6161e-08,,,,,,,,,,,
Sam 13,6.71629e-08,1.19139e-02,4.2146e-03,4.9093e-05,4.5077e-06,6.7851e-08,,,,,,            4.3005,           11.9902,           16.1502,           23.9266,           25.4329,            1.2725,            6.0229,           -0.1314,           -0.1930,           -2.8907,
Ref 14,6.61667e-08,,,,,,1.1863e-02,4.1647e-03,4.8313e-05,4.4023e-06,6.6176e-08,,,,,,,,,,,
Sam 14,6.58831e-08,1.19138e-02,4.2146e-03,4.9095e-05,4.5084e-06,6.7997e-08,,,,,,            4.2989,           11.9866,           16.1510,           24.1977,           29.2194,            1.2710,            6.0192,           -0.1254,            0.0790,            0.8001,
Ref 15,6.49080e-08,,,,,,1.1863e-02,4.1647e-03,4.8316e-05,4.4015e-06,6.5955e-08,,,,,,,,,,,
Sam 15,6.46457e-08,1.19139e-02,4.2146e-03,4.9092e-05,4.5090e-06,6.7016e-08,,,,,,            4.3063,           11.9970,           16.0904,           24.4060,           19.8083,            1.2785,            6.0296,           -0.2027,            0.2618,           -8.3790,
Ref 16,6.36656e-08,,,,,,1.1863e-02,4.1647e-03,4.8313e-05,4.4016e-06,6.5470e-08,,,,,,,,,,,
Sam 16,6.34414e-08,1.19138e-02,4.2147e-03,4.9092e-05,4.5063e-06,6.7682e-08,,,,,,            4.2973,           11.9917,           16.0810,           23.5637,           25.7062,            1.2691,            6.0243,           -0.1975,           -0.5502,           -2.6243,
Ref 17,6.24304e-08,,,,,,1.1863e-02,4.1648e-03,4.8317e-05,4.4035e-06,6.6513e-08,,,,,,,,,,,
Sam 17,6.22723e-08,1.19139e-02,4.2147e-03,4.9089e-05,4.5093e-06,6.7176e-08,,,,,,            4.3006,           11.9931,           15.9377,           23.9966,           17.4283,            1.2725,            6.0257,           -0.3433,           -0.1302,          -10.6796,
Ref 18,6.12840e-08,,,,,,1.1863e-02,4.1648e-03,4.8321e-05,4.4038e-06,6.5528e-08,,,,,,,,,,,
Sam 18,6.11045e-08,1.19138e-02,4.2147e-03,4.9096e-05,4.5075e-06,6.6812e-08,,,,,,            4.2996,           11.9926,           16.0986,           23.7526,           18.5486,            1.2715,            6.0253,           -0.1835,           -0.3676,           -9.5884,
Ref 19,6.01550e-08,,,,,,1.1863e-02,4.1648e-03,4.8316e-05,4.4021e-06,6.5664e-08,,,,,,,,,,,
Sam 19,6.00428e-08,1.19138e-02,4.2148e-03,4.9096e-05,4.5070e-06,6.8595e-08,,,,,,            4.3047,           12.0046,           16.1648,           23.9232,           43.2411,            1.2765,            6.0371,           -0.1352,           -0.2247,           14.3928,
Ref 20,5.91566e-08,,,,,,1.1863e-02,4.1648e-03,4.8315e-05,4.4012e-06,6.5841e-08,,,,,,,,,,,
Sam 20,5.90063e-08,1.19136e-02,4.2147e-03,4.9094e-05,4.5074e-06,6.7488e-08,,,,,,            4.2995,           11.9694,           15.9974,           24.1167,           11.3590,            1.2721,            6.0022,           -0.2604,            0.0338,          -16.5349,
Ref 21,5.79751e-08,,,,,,1.1863e-02,4.1649e-03,4.8327e-05,4.4013e-06,6.7636e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.74592e-08,,,,,,1.1863e-02,4.1649e-03,4.8324e-05,4.4027e-06,6.7730e-08,
Sam 1,5.73977e-08,1.19137e-02,4.2148e-03,4.9094e-05,4.5066e-06,6.7697e-08,,,,,,            4.3062,           11.9729,           15.9637,           23.5426,            3.3591,            1.2792,            6.0056,           -0.3039,           -0.5338,          -24.3278,
Ref 2,5.63835e-08,,,,,,1.1863e-02,4.1650e-03,4.8321e-05,4.4033e-06,6.7205e-08,,,,,,,,,,,
Sam 2,5.63529e-08,1.19137e-02,4.2149e-03,4.9092e-05,4.5063e-06,6.8615e-08,,,,,,            4.3039,           11.9864,           15.9292,           23.6055,           35.2820,            1.2763,            6.0191,           -0.3486,           -0.4990,            6.6903,
Ref 3,5.53615e-08,,,,,,1.1863e-02,4.1650e-03,4.8324e-05,4.4014e-06,6.5332e-08,,,,,,,,,,,
Sam 3,5.53150e-08,1.19137e-02,4.2149e-03,4.9089e-05,4.5086e-06,6.7217e-08,,,,,,            4.3036,           11.9883,           15.8782,           24.3617,           22.6956,            1.2758,            6.0210,           -0.4003,            0.2356,           -5.5519,
Ref 4,5.43976e-08,,,,,,1.1863e-02,4.1650e-03,4.8318e-05,4.4014e-06,6.6125e-08,,,,,,,,,,,
Sam 4,5.44161e-08,1.19135e-02,4.2149e-03,4.9093e-05,4.5077e-06,6.7440e-08,,,,,,            4.2884,           11.9751,           16.0629,           24.0559,           25.5999,            1.2602,            6.0078,           -0.1901,           -0.0367,           -2.6861,
Ref 5,5.34327e-08,,,,,,1.1863e-02,4.1651e-03,4.8314e-05,4.4022e-06,6.5381e-08,,,,,,,,,,,
Sam 5,5.34665e-08,1.19136e-02,4.2149e-03,4.9091e-05,4.5068e-06,6.8213e-08,,,,,,            4.2974,           11.9678,           16.0325,           24.0077,           41.2315,            1.2699,            6.0005,           -0.2221,           -0.0694,           12.5192,
Ref 6,5.24422e-08,,,,,,1.1863e-02,4.1651e-03,4.8318e-05,4.4000e-06,6.5644e-08,,,,,,,,,,,
Sam 6,5.25084e-08,1.19137e-02,4.2150e-03,4.9096e-05,4.5075e-06,6.8194e-08,,,,,,            4.3049,           11.9800,           16.0842,           24.3090,           36.3323,            1.2776,            6.0127,           -0.1910,            0.2006,            7.7229,
Ref 7,5.15367e-08,,,,,,1.1863e-02,4.1652e-03,4.8320e-05,4.4011e-06,6.5965e-08,,,,,,,,,,,
Sam 7,5.16225e-08,1.19137e-02,4.2150e-03,4.9095e-05,4.5066e-06,6.7705e-08,,,,,,            4.3093,           11.9765,           15.9902,           24.1264,           31.8697,            1.2823,            6.0092,           -0.2845,            0.0292,            3.3858,
Ref 8,5.06436e-08,,,,,,1.1863e-02,4.1652e-03,4.8325e-05,4.3998e-06,6.5257e-08,,,,,,,,,,,
Sam 8,5.07469e-08,1.19136e-02,4.2151e-03,4.9099e-05,4.5070e-06,6.7207e-08,,,,,,            4.3041,           11.9906,           16.0369,           24.1694,           26.1283,            1.2763,            6.0232,           -0.2469,            0.0434,           -2.2190,
Ref 9,4.97671e-08,,,,,,1.1863e-02,4.1652e-03,4.8324e-05,4.4015e-06,6.5738e-08,,,,,,,,,,,
Sam 9,4.99021e-08,1.19136e-02,4.2151e-03,4.9091e-05,4.5076e-06,6.8215e-08,,,,,,            4.2965,           11.9800,           15.9153,           24.2856,           37.9921,            1.2686,            6.0126,           -0.3483,            0.1779,            9.3462,
Ref 10,4.89121e-08,,,,,,1.1863e-02,4.1652e-03,4.8320e-05,4.4001e-06,6.5699e-08,,,,,,,,,,,
Sam 10,4.90682e-08,1.19136e-02,4.2151e-03,4.9095e-05,4.5062e-06,6.8602e-08,,,,,,            4.3013,           11.9796,           16.0039,           24.0460,           32.8744,            1.2738,            6.0123,           -0.2658,           -0.0553,            4.3652,
Ref 11,4.80782e-08,,,,,,1.1863e-02,4.1653e-03,4.8322e-05,4.4008e-06,6.7151e-08,,,,,,,,,,,
Sam 11,4.82595e-08,1.19135e-02,4.2152e-03,4.9098e-05,4.5053e-06,6.8269e-08,,,,,,            4.2988,           11.9828,           16.0696,           23.8550,           32.6879,            1.2710,            6.0154,           -0.2017,           -0.2481,            4.1804,
Ref 12,4.72654e-08,,,,,,1.1862e-02,4.1653e-03,4.8320e-05,4.3999e-06,6.5048e-08,,,,,,,,,,,
Sam 12,4.74671e-08,1.19135e-02,4.2152e-03,4.9092e-05,4.5078e-06,6.8754e-08,,,,,,            4.3006,           11.9814,           15.9629,           24.4402,           53.3522,            1.2729,            6.0141,           -0.3072,            0.3259,           24.2750,
Ref 13,4.64738e-08,,,,,,1.1863e-02,4.1654e-03,4.8321e-05,4.4006e-06,6.5498e-08,,,,,,,,,,,
Sam 13,4.66965e-08,1.19135e-02,4.2152e-03,4.9101e-05,4.5051e-06,6.8988e-08,,,,,,            4.3035,           11.9687,           16.1191,           23.5997,           56.3547,            1.2765,            6.0015,           -0.1441,           -0.4698,           27.2167,
Ref 14,4.57043e-08,,,,,,1.1862e-02,4.1654e-03,4.8322e-05,4.4018e-06,6.5114e-08,,,,,,,,,,,
Sam 14,4.59496e-08,1.19134e-02,4.2153e-03,4.9094e-05,4.5045e-06,6.9001e-08,,,,,,            4.2948,           11.9874,           15.9987,           23.6283,           49.7844,            1.2665,            6.0201,           -0.2718,           -0.4787,           20.8000,
Ref 15,4.49591e-08,,,,,,1.1862e-02,4.1654e-03,4.8321e-05,4.3992e-06,6.6353e-08,,,,,,,,,,,
Sam 15,4.52095e-08,1.19134e-02,4.2153e-03,4.9095e-05,4.5045e-06,6.7286e-08,,,,,,            4.3001,           11.9749,           15.9997,           23.6325,           11.2065,            1.2726,            6.0076,           -0.2642,           -0.4499,          -16.6944,
Ref 16,4.42160e-08,,,,,,1.1862e-02,4.1654e-03,4.8323e-05,4.4019e-06,6.6732e-08,,,,,,,,,,,
Sam 16,4.44830e-08,1.19133e-02,4.2152e-03,4.9093e-05,4.5056e-06,6.8064e-08,,,,,,            4.2961,           11.9563,           15.9112,           23.8232,           36.7569,            1.2690,            5.9891,           -0.3291,           -0.2269,            8.1918,
Ref 17,4.34961e-08,,,,,,1.1862e-02,4.1655e-03,4.8325e-05,4.3996e-06,6.4552e-08,,,,,,,,,,,
Sam 17,4.37718e-08,1.19133e-02,4.2153e-03,4.9100e-05,4.5050e-06,6.7981e-08,,,,,,            4.2962,           11.9657,           16.0404,           23.9457,           40.8311,            1.2688,            5.9984,           -0.2111,           -0.1258,           12.1352,
Ref 18,4.27871e-08,,,,,,1.1862e-02,4.1655e-03,4.8325e-05,4.3996e-06,6.6089e-08,,,,,,,,,,,
Sam 18,4.30752e-08,1.19133e-02,4.2153e-03,4.9100e-05,4.5044e-06,6.8316e-08,,,,,,            4.2917,           11.9581,           15.9986,           23.9243,           34.7222,            1.2643,            5.9909,           -0.2403,           -0.1318,            6.2143,
Ref 19,4.20918e-08,,,,,,1.1862e-02,4.1655e-03,4.8329e-05,4.3987e-06,6.5957e-08,,,,,,,,,,,
Sam 19,4.23939e-08,1.19133e-02,4.2154e-03,4.9101e-05,4.5085e-06,6.8254e-08,,,,,,            4.3035,           11.9690,           16.0605,           24.7323,           23.3200,            1.2764,            6.0018,           -0.2021,            0.6357,           -4.9072,
Ref 20,4.14133e-08,,,,,,1.1862e-02,4.1655e-03,4.8321e-05,4.4007e-06,6.7453e-08,,,,,,,,,,,
Sam 20,4.17278e-08,1.19132e-02,4.2154e-03,4.9098e-05,4.5052e-06,6.9215e-08,,,,,,            4.2976,           11.9675,           16.0064,           23.8081,           35.9414,            1.2702,            6.0003,           -0.2478,           -0.2638,            7.3752,
Ref 21,4.07518e-08,,,,,,1.1862e-02,4.1656e-03,4.8329e-05,4.4002e-06,6.6165e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.04287e-08,,,,,,1.1862e-02,4.1655e-03,4.8321e-05,4.3976e-06,6.4469e-08,
Sam 1,4.07725e-08,1.19131e-02,4.2154e-03,4.9102e-05,4.5049e-06,6.8631e-08,,,,,,            4.2890,           11.9573,           16.1118,           24.3593,           61.0557,            1.2615,            5.9901,           -0.1254,            0.2947,           31.8268,
Ref 2,3.97974e-08,,,,,,1.1862e-02,4.1656e-03,4.8327e-05,4.3979e-06,6.4898e-08,,,,,,,,,,,
Sam 2,4.01415e-08,1.19131e-02,4.2154e-03,4.9097e-05,4.5062e-06,6.6516e-08,,,,,,            4.2956,           11.9695,           15.9573,           24.5003,           17.9807,            1.2680,            6.0022,           -0.2959,            0.4083,          -10.0918,
Ref 3,3.91980e-08,,,,,,1.1862e-02,4.1655e-03,4.8324e-05,4.3991e-06,6.5791e-08,,,,,,,,,,,
Sam 3,3.95576e-08,1.19130e-02,4.2154e-03,4.9101e-05,4.5017e-06,6.9514e-08,,,,,,            4.2899,           11.9597,           16.0495,           23.2242,           54.5776,            1.2623,            5.9925,           -0.1899,           -0.8186,           25.5214,
Ref 4,3.85574e-08,,,,,,1.1862e-02,4.1656e-03,4.8326e-05,4.4000e-06,6.6044e-08,,,,,,,,,,,
Sam 4,3.89376e-08,1.19131e-02,4.2154e-03,4.9102e-05,4.5048e-06,6.7434e-08,,,,,,            4.2989,           11.9568,           16.0789,           23.5946,            8.5959,            1.2720,            5.9896,           -0.1674,           -0.4512,          -19.1973,
Ref 5,3.79841e-08,,,,,,1.1862e-02,4.1656e-03,4.8323e-05,4.4019e-06,6.7686e-08,,,,,,,,,,,
Sam 5,3.83428e-08,1.19131e-02,4.2155e-03,4.9105e-05,4.5031e-06,6.8214e-08,,,,,,            4.3043,           11.9616,           16.1593,           23.3824,           11.6122,            1.2775,            5.9943,           -0.0984,           -0.6677,          -16.2787,
Ref 6,3.74042e-08,,,,,,1.1862e-02,4.1657e-03,4.8325e-05,4.3984e-06,6.7172e-08,,,,,,,,,,,
Sam 6,3.77977e-08,1.19129e-02,4.2155e-03,4.9099e-05,4.5076e-06,6.9131e-08,,,,,,            4.2938,           11.9589,           15.9851,           24.7636,           40.8949,            1.2665,            5.9917,           -0.2565,            0.6863,           12.2131,
Ref 7,3.68215e-08,,,,,,1.1862e-02,4.1657e-03,4.8328e-05,4.3989e-06,6.5647e-08,,,,,,,,,,,
Sam 7,3.72265e-08,1.19130e-02,4.2156e-03,4.9103e-05,4.5063e-06,6.8396e-08,,,,,,            4.2994,           11.9647,           16.0279,           24.4318,           36.2521,            1.2722,            5.9975,           -0.2257,            0.3508,            7.6809,
Ref 8,3.62505e-08,,,,,,1.1862e-02,4.1657e-03,4.8328e-05,4.3987e-06,6.6365e-08,,,,,,,,,,,
Sam 8,3.66514e-08,1.19130e-02,4.2156e-03,4.9099e-05,4.5039e-06,6.7615e-08,,,,,,            4.2985,           11.9623,           15.9776,           23.8368,           24.0164,            1.2713,            5.9951,           -0.2720,           -0.2255,           -4.2118,
Ref 9,3.56686e-08,,,,,,1.1862e-02,4.1658e-03,4.8326e-05,4.3994e-06,6.5688e-08,,,,,,,,,,,
Sam 9,3.61419e-08,1.19128e-02,4.2155e-03,4.9108e-05,4.5046e-06,6.9271e-08,,,,,,            4.2920,           11.9461,           16.1698,           24.0602,           50.4991,            1.2650,            5.9790,           -0.0605,            0.0247,           21.5801,
Ref 10,3.51510e-08,,,,,,1.1862e-02,4.1658e-03,4.8328e-05,4.3981e-06,6.6197e-08,,,,,,,,,,,
Sam 10,3.55999e-08,1.19128e-02,4.2156e-03,4.9104e-05,4.5037e-06,6.8768e-08,,,,,,            4.2928,           11.9538,           16.0765,           23.9209,           35.7390,            1.2655,            5.9866,           -0.1605,           -0.1265,            7.2104,
Ref 11,3.46182e-08,,,,,,1.1862e-02,4.1659e-03,4.8326e-05,4.3989e-06,6.6597e-08,,,,,,,,,,,
Sam 11,3.50749e-08,1.19129e-02,4.2156e-03,4.9103e-05,4.5053e-06,6.8365e-08,,,,,,            4.2929,           11.9512,           15.9687,           24.4762,           35.0032,            1.2658,            5.9840,           -0.2642,            0.4209,            6.4998,
Ref 12,3.40996e-08,,,,,,1.1862e-02,4.1659e-03,4.8336e-05,4.3965e-06,6.5501e-08,,,,,,,,,,,
Sam 12,3.45408e-08,1.19129e-02,4.2157e-03,4.9105e-05,4.5048e-06,6.8392e-08,,,,,,            4.2965,           11.9535,           15.8891,           24.5460,           41.8967,            1.2695,            5.9863,           -0.3485,            0.4844,           13.1950,
Ref 13,3.35641e-08,,,,,,1.1862e-02,4.1660e-03,4.8338e-05,4.3973e-06,6.5784e-08,,,,,,,,,,,
Sam 13,3.40357e-08,1.19129e-02,4.2158e-03,4.9107e-05,4.5011e-06,6.8755e-08,,,,,,            4.2967,           11.9556,           15.9891,           23.5334,           29.7678,            1.2696,            5.9884,           -0.2522,           -0.5085,            1.3961,
Ref 14,3.30655e-08,,,,,,1.1862e-02,4.1660e-03,4.8331e-05,4.3980e-06,6.7766e-08,,,,,,,,,,,
Sam 14,3.35447e-08,1.19129e-02,4.2158e-03,4.9108e-05,4.5053e-06,6.8429e-08,,,,,,            4.3001,           11.9389,           16.0136,           24.0904,           12.5272,            1.2739,            5.9718,           -0.2155,            0.0684,          -15.3413,
Ref 15,3.25837e-08,,,,,,1.1862e-02,4.1661e-03,4.8338e-05,4.4006e-06,6.7396e-08,,,,,,,,,,,
Sam 15,3.30740e-08,1.19129e-02,4.2159e-03,4.9104e-05,4.5040e-06,6.8879e-08,,,,,,            4.3071,           11.9512,           15.9055,           23.8299,           26.5303,            1.2809,            5.9840,           -0.3410,           -0.2104,           -1.7548,
Ref 16,3.21241e-08,,,,,,1.1862e-02,4.1661e-03,4.8333e-05,4.3977e-06,6.6796e-08,,,,,,,,,,,
Sam 16,3.26053e-08,1.19129e-02,4.2158e-03,4.9104e-05,4.5021e-06,6.8481e-08,,,,,,            4.3037,           11.9416,           15.8931,           23.8406,           26.6830,            1.2777,            5.9744,           -0.3404,           -0.1808,           -1.5840,
Ref 17,3.16525e-08,,,,,,1.1862e-02,4.1661e-03,4.8339e-05,4.3967e-06,6.6605e-08,,,,,,,,,,,
Sam 17,3.21533e-08,1.19127e-02,4.2159e-03,4.9114e-05,4.5038e-06,6.8043e-08,,,,,,            4.2909,           11.9405,           16.1206,           24.1077,           34.4005,            1.2640,            5.9734,           -0.1022,            0.0822,            5.9368,
Ref 18,3.11883e-08,,,,,,1.1862e-02,4.1662e-03,4.8331e-05,4.3988e-06,6.4942e-08,,,,,,,,,,,
Sam 18,3.16927e-08,1.19129e-02,4.2159e-03,4.9102e-05,4.5047e-06,6.8089e-08,,,,,,            4.3069,           11.9413,           15.9198,           24.1705,           46.5986,            1.2811,            5.9742,           -0.3171,            0.1418,           17.7803,
Ref 19,3.07340e-08,,,,,,1.1862e-02,4.1662e-03,4.8335e-05,4.3981e-06,6.5175e-08,,,,,,,,,,,
Sam 19,3.12435e-08,1.19127e-02,4.2160e-03,4.9106e-05,4.5023e-06,7.0905e-08,,,,,,            4.3023,           11.9470,           15.9089,           23.7595,           81.9807,            1.2759,            5.9798,           -0.3286,           -0.2706,           52.1817,
Ref 20,3.02834e-08,,,,,,1.1862e-02,4.1662e-03,4.8339e-05,4.3975e-06,6.5896e-08,,,,,,,,,,,
Sam 20,3.08028e-08,1.19127e-02,4.2160e-03,4.9112e-05,4.5009e-06,6.8919e-08,,,,,,            4.2998,           11.9457,           16.0142,           23.3598,           39.0911,            1.2733,            5.9785,           -0.2211,           -0.6584,           10.4787,
Ref 21,2.98481e-08,,,,,,1.1862e-02,4.1663e-03,4.8336e-05,4.3989e-06,6.6761e-08,,,,,,,,,,,


