Nu Stable Isotope Analysis Program
Data Collected on Saturday, November 04, 2023 at 01:18 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, November 04, 2023 at 02:17 with Stable 1.71.5 on PS019

Data File = Data_20814 MDS 220.5.txt,     Sample Weight = 433,                      Vial Location = 7,                        Initial Sam Beam = 2.5038e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6903e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02848
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.94087e-08,,,,,,1.1862e-02,4.1641e-03,4.8308e-05,4.4008e-06,6.5231e-08,
Sam 1,7.87200e-08,1.18279e-02,4.1886e-03,4.8430e-05,4.4523e-06,6.6603e-08,,,,,,           -2.9375,            5.8513,            2.4833,           11.6124,           22.8817,           -6.2187,           -0.0705,           -0.2302,           -0.1231,           14.3766,
Ref 2,7.79099e-08,,,,,,1.1863e-02,4.1644e-03,4.8311e-05,4.4015e-06,6.4994e-08,,,,,,,,,,,
Sam 2,7.71630e-08,1.18279e-02,4.1887e-03,4.8431e-05,4.4522e-06,6.6033e-08,,,,,,           -2.9568,            5.8334,            2.4365,           11.3032,            9.5004,           -6.2386,           -0.0883,           -0.2394,           -0.3931,            1.1623,
Ref 3,7.63514e-08,,,,,,1.1863e-02,4.1644e-03,4.8316e-05,4.4034e-06,6.5838e-08,,,,,,,,,,,
Sam 3,7.56643e-08,1.18279e-02,4.1887e-03,4.8432e-05,4.4523e-06,6.6233e-08,,,,,,           -2.9604,            5.8231,            2.4081,           11.2488,            3.1245,           -6.2421,           -0.0986,           -0.2539,           -0.4264,           -5.1371,
Ref 4,7.48108e-08,,,,,,1.1863e-02,4.1645e-03,4.8316e-05,4.4020e-06,6.6219e-08,,,,,,,,,,,
Sam 4,7.44956e-08,1.18276e-02,4.1886e-03,4.8427e-05,4.4532e-06,6.7077e-08,,,,,,           -2.9722,            5.7974,            2.3232,           11.8111,           12.2013,           -6.2538,           -0.1241,           -0.3013,            0.1806,            3.9281,
Ref 5,7.36506e-08,,,,,,1.1863e-02,4.1643e-03,4.8313e-05,4.4004e-06,6.6320e-08,,,,,,,,,,,
Sam 5,7.30822e-08,1.18276e-02,4.1886e-03,4.8424e-05,4.4532e-06,6.6591e-08,,,,,,           -2.9646,            5.8075,            2.2876,           11.7420,           15.5612,           -6.2460,           -0.1141,           -0.3545,            0.0921,            7.2324,
Ref 6,7.20258e-08,,,,,,1.1863e-02,4.1644e-03,4.8314e-05,4.4026e-06,6.4804e-08,,,,,,,,,,,
Sam 6,7.14962e-08,1.18277e-02,4.1887e-03,4.8433e-05,4.4533e-06,6.7068e-08,,,,,,           -2.9602,            5.8235,            2.5075,           11.6273,           22.0559,           -6.2419,           -0.0981,           -0.1554,           -0.0530,           13.6374,
Ref 7,7.06107e-08,,,,,,1.1863e-02,4.1645e-03,4.8309e-05,4.4016e-06,6.6453e-08,,,,,,,,,,,
Sam 7,7.02538e-08,1.18275e-02,4.1887e-03,4.8431e-05,4.4526e-06,6.6874e-08,,,,,,           -2.9731,            5.8056,            2.4589,           11.4951,           12.4875,           -6.2550,           -0.1159,           -0.1730,           -0.1482,            4.1967,
Ref 8,6.92312e-08,,,,,,1.1863e-02,4.1645e-03,4.8315e-05,4.4023e-06,6.5638e-08,,,,,,,,,,,
Sam 8,6.87762e-08,1.18277e-02,4.1888e-03,4.8429e-05,4.4527e-06,6.6857e-08,,,,,,           -2.9627,            5.8242,            2.3857,           11.4914,           16.2650,           -6.2445,           -0.0974,           -0.2750,           -0.1887,            7.8955,
Ref 9,6.78731e-08,,,,,,1.1863e-02,4.1645e-03,4.8313e-05,4.4018e-06,6.5940e-08,,,,,,,,,,,
Sam 9,6.74583e-08,1.18277e-02,4.1888e-03,4.8428e-05,4.4523e-06,6.7289e-08,,,,,,           -2.9637,            5.8195,            2.3838,           11.2684,           18.7417,           -6.2455,           -0.1022,           -0.2712,           -0.3997,           10.3623,
Ref 10,6.65508e-08,,,,,,1.1863e-02,4.1646e-03,4.8313e-05,4.4036e-06,6.6164e-08,,,,,,,,,,,
Sam 10,6.61722e-08,1.18277e-02,4.1888e-03,4.8427e-05,4.4516e-06,6.6235e-08,,,,,,           -2.9597,            5.8217,            2.3145,           11.1439,           -4.1313,           -6.2412,           -0.0999,           -0.3467,           -0.5273,          -12.3313,
Ref 11,6.52576e-08,,,,,,1.1863e-02,4.1646e-03,4.8316e-05,4.4014e-06,6.6862e-08,,,,,,,,,,,
Sam 11,6.49159e-08,1.18276e-02,4.1889e-03,4.8429e-05,4.4529e-06,6.7456e-08,,,,,,           -2.9630,            5.8139,            2.3981,           11.8114,           14.8879,           -6.2445,           -0.1077,           -0.2522,            0.1480,            6.5503,
Ref 12,6.39165e-08,,,,,,1.1863e-02,4.1647e-03,4.8310e-05,4.4004e-06,6.6063e-08,,,,,,,,,,,
Sam 12,6.36399e-08,1.18277e-02,4.1890e-03,4.8435e-05,4.4522e-06,6.7556e-08,,,,,,           -2.9564,            5.8085,            2.4893,           11.6202,           20.2879,           -6.2373,           -0.1131,           -0.1628,           -0.0301,           11.9096,
Ref 13,6.26805e-08,,,,,,1.1863e-02,4.1648e-03,4.8319e-05,4.4017e-06,6.6364e-08,,,,,,,,,,,
Sam 13,6.24214e-08,1.18277e-02,4.1890e-03,4.8433e-05,4.4535e-06,6.8642e-08,,,,,,           -2.9597,            5.8223,            2.3606,           11.7545,           28.7350,           -6.2413,           -0.0994,           -0.3012,            0.0751,           20.2634,
Ref 14,6.15182e-08,,,,,,1.1863e-02,4.1648e-03,4.8318e-05,4.4018e-06,6.7092e-08,,,,,,,,,,,
Sam 14,6.13035e-08,1.18277e-02,4.1891e-03,4.8432e-05,4.4526e-06,6.7371e-08,,,,,,           -2.9544,            5.8332,            2.4204,           11.5525,           13.0576,           -6.2361,           -0.0885,           -0.2578,           -0.1464,            4.6879,
Ref 15,6.04446e-08,,,,,,1.1863e-02,4.1648e-03,4.8311e-05,4.4017e-06,6.5902e-08,,,,,,,,,,,
Sam 15,6.02976e-08,1.18276e-02,4.1890e-03,4.8430e-05,4.4532e-06,6.7979e-08,,,,,,           -2.9548,            5.8212,            2.3742,           11.6581,           28.0084,           -6.2361,           -0.1004,           -0.2917,           -0.0181,           19.5395,
Ref 16,5.93667e-08,,,,,,1.1863e-02,4.1648e-03,4.8319e-05,4.4021e-06,6.6355e-08,,,,,,,,,,,
Sam 16,5.91619e-08,1.18276e-02,4.1891e-03,4.8435e-05,4.4524e-06,6.8187e-08,,,,,,           -2.9626,            5.8278,            2.4439,           11.4797,           30.2302,           -6.2446,           -0.0939,           -0.2205,           -0.2075,           21.7385,
Ref 17,5.82006e-08,,,,,,1.1863e-02,4.1649e-03,4.8315e-05,4.4018e-06,6.6013e-08,,,,,,,,,,,
Sam 17,5.81432e-08,1.18276e-02,4.1891e-03,4.8436e-05,4.4520e-06,6.8022e-08,,,,,,           -2.9651,            5.8141,            2.4641,           11.3850,           25.2884,           -6.2467,           -0.1075,           -0.1845,           -0.2738,           16.8673,
Ref 18,5.71400e-08,,,,,,1.1863e-02,4.1649e-03,4.8319e-05,4.4020e-06,6.6681e-08,,,,,,,,,,,
Sam 18,5.70578e-08,1.18276e-02,4.1892e-03,4.8434e-05,4.4538e-06,6.7602e-08,,,,,,           -2.9648,            5.8267,            2.3865,           11.6826,           16.4689,           -6.2469,           -0.0949,           -0.2745,           -0.0048,            8.0951,
Ref 19,5.60857e-08,,,,,,1.1863e-02,4.1650e-03,4.8317e-05,4.4027e-06,6.6328e-08,,,,,,,,,,,
Sam 19,5.59745e-08,1.18277e-02,4.1893e-03,4.8437e-05,4.4515e-06,6.8035e-08,,,,,,           -2.9534,            5.8287,            2.4407,           11.2946,           15.1008,           -6.2348,           -0.0930,           -0.2340,           -0.3921,            6.7222,
Ref 20,5.50512e-08,,,,,,1.1863e-02,4.1651e-03,4.8322e-05,4.4008e-06,6.7730e-08,,,,,,,,,,,
Sam 20,5.50503e-08,1.18276e-02,4.1892e-03,4.8438e-05,4.4523e-06,6.7900e-08,,,,,,           -2.9603,            5.8032,            2.4243,           11.6516,            9.5794,           -6.2413,           -0.1183,           -0.2184,            0.0113,            1.3035,
Ref 21,5.40995e-08,,,,,,1.1863e-02,4.1651e-03,4.8320e-05,4.4013e-06,6.6773e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.36214e-08,,,,,,1.1863e-02,4.1651e-03,4.8325e-05,4.4037e-06,6.6048e-08,
Sam 1,5.36505e-08,1.18275e-02,4.1893e-03,4.8436e-05,4.4526e-06,6.8742e-08,,,,,,           -2.9691,            5.8178,            2.3428,           11.5275,           31.4479,           -6.2512,           -0.1038,           -0.3048,           -0.1404,           22.9732,
Ref 2,5.26726e-08,,,,,,1.1863e-02,4.1650e-03,4.8320e-05,4.3999e-06,6.7255e-08,,,,,,,,,,,
Sam 2,5.27387e-08,1.18276e-02,4.1893e-03,4.8438e-05,4.4509e-06,6.7354e-08,,,,,,           -2.9532,            5.8194,            2.4340,           11.4435,            6.7034,           -6.2343,           -0.1022,           -0.2319,           -0.2266,           -1.5881,
Ref 3,5.18227e-08,,,,,,1.1863e-02,4.1651e-03,4.8322e-05,4.4011e-06,6.6550e-08,,,,,,,,,,,
Sam 3,5.17778e-08,1.18276e-02,4.1894e-03,4.8435e-05,4.4529e-06,6.8300e-08,,,,,,           -2.9489,            5.8274,            2.3083,           11.7541,           26.9076,           -6.2300,           -0.0943,           -0.3695,            0.0645,           18.4290,
Ref 4,5.08361e-08,,,,,,1.1863e-02,4.1652e-03,4.8325e-05,4.4012e-06,6.6469e-08,,,,,,,,,,,
Sam 4,5.08846e-08,1.18275e-02,4.1895e-03,4.8443e-05,4.4509e-06,6.6996e-08,,,,,,           -2.9563,            5.8219,            2.5152,           11.3555,           -2.7413,           -6.2376,           -0.0998,           -0.1502,           -0.3185,          -10.9566,
Ref 5,4.99542e-08,,,,,,1.1863e-02,4.1653e-03,4.8317e-05,4.4008e-06,6.7904e-08,,,,,,,,,,,
Sam 5,5.00257e-08,1.18275e-02,4.1895e-03,4.8440e-05,4.4526e-06,6.7543e-08,,,,,,           -2.9617,            5.8195,            2.5071,           11.8353,            0.5767,           -6.2433,           -0.1021,           -0.1504,            0.1605,           -7.6555,
Ref 6,4.90953e-08,,,,,,1.1863e-02,4.1652e-03,4.8322e-05,4.4002e-06,6.7096e-08,,,,,,,,,,,
Sam 6,4.91883e-08,1.18274e-02,4.1895e-03,4.8435e-05,4.4518e-06,6.8565e-08,,,,,,           -2.9662,            5.8255,            2.3677,           11.4117,           29.3314,           -6.2483,           -0.0962,           -0.2905,           -0.2700,           20.8556,
Ref 7,4.82556e-08,,,,,,1.1863e-02,4.1653e-03,4.8320e-05,4.4030e-06,6.6118e-08,,,,,,,,,,,
Sam 7,4.83687e-08,1.18275e-02,4.1895e-03,4.8440e-05,4.4524e-06,6.8219e-08,,,,,,           -2.9578,            5.8113,            2.4830,           11.1358,           20.2809,           -6.2389,           -0.1103,           -0.1704,           -0.5146,           11.8986,
Ref 8,4.74351e-08,,,,,,1.1863e-02,4.1653e-03,4.8321e-05,4.4037e-06,6.7620e-08,,,,,,,,,,,
Sam 8,4.75676e-08,1.18274e-02,4.1896e-03,4.8437e-05,4.4509e-06,6.9924e-08,,,,,,           -2.9560,            5.8281,            2.4069,           10.8718,           33.0916,           -6.2376,           -0.0936,           -0.2646,           -0.8090,           24.5684,
Ref 9,4.66371e-08,,,,,,1.1862e-02,4.1654e-03,4.8321e-05,4.4023e-06,6.7750e-08,,,,,,,,,,,
Sam 9,4.67921e-08,1.18275e-02,4.1897e-03,4.8439e-05,4.4539e-06,6.8821e-08,,,,,,           -2.9513,            5.8293,            2.4353,           12.0724,           17.4258,           -6.2326,           -0.0924,           -0.2423,            0.3754,            9.0244,
Ref 10,4.58657e-08,,,,,,1.1862e-02,4.1654e-03,4.8322e-05,4.3993e-06,6.7532e-08,,,,,,,,,,,
Sam 10,4.60417e-08,1.18275e-02,4.1897e-03,4.8438e-05,4.4528e-06,6.7589e-08,,,,,,           -2.9490,            5.8246,            2.3593,           11.9390,           -1.5597,           -6.2300,           -0.0970,           -0.3158,            0.2528,           -9.7977,
Ref 11,4.51100e-08,,,,,,1.1862e-02,4.1654e-03,4.8326e-05,4.4013e-06,6.7859e-08,,,,,,,,,,,
Sam 11,4.53006e-08,1.18274e-02,4.1896e-03,4.8437e-05,4.4516e-06,6.8063e-08,,,,,,           -2.9542,            5.8046,            2.3697,           11.2546,            5.8597,           -6.2348,           -0.1170,           -0.2805,           -0.3838,           -2.3949,
Ref 12,4.43652e-08,,,,,,1.1862e-02,4.1654e-03,4.8320e-05,4.4027e-06,6.7471e-08,,,,,,,,,,,
Sam 12,4.45734e-08,1.18273e-02,4.1897e-03,4.8437e-05,4.4527e-06,6.8178e-08,,,,,,           -2.9575,            5.8122,            2.3172,           11.7443,           15.9954,           -6.2386,           -0.1094,           -0.3369,            0.0852,            7.6463,
Ref 13,4.36335e-08,,,,,,1.1862e-02,4.1655e-03,4.8331e-05,4.3993e-06,6.6733e-08,,,,,,,,,,,
Sam 13,4.38648e-08,1.18273e-02,4.1897e-03,4.8446e-05,4.4522e-06,6.8778e-08,,,,,,           -2.9528,            5.8137,            2.4742,           12.0716,           34.6584,           -6.2336,           -0.1079,           -0.1867,            0.4057,           26.1476,
Ref 14,4.29268e-08,,,,,,1.1862e-02,4.1655e-03,4.8322e-05,4.3989e-06,6.6212e-08,,,,,,,,,,,
Sam 14,4.31681e-08,1.18273e-02,4.1897e-03,4.8439e-05,4.4501e-06,6.8078e-08,,,,,,           -2.9570,            5.8138,            2.4022,           11.5702,           16.4545,           -6.2382,           -0.1078,           -0.2542,           -0.0901,            8.0979,
Ref 15,4.22323e-08,,,,,,1.1862e-02,4.1655e-03,4.8325e-05,4.3994e-06,6.7753e-08,,,,,,,,,,,
Sam 15,4.25130e-08,1.18272e-02,4.1897e-03,4.8445e-05,4.4514e-06,6.9178e-08,,,,,,           -2.9623,            5.8037,            2.4345,           11.7269,           32.5689,           -6.2434,           -0.1179,           -0.2066,            0.0848,           24.1058,
Ref 16,4.15913e-08,,,,,,1.1862e-02,4.1655e-03,4.8330e-05,4.4003e-06,6.6227e-08,,,,,,,,,,,
Sam 16,4.18639e-08,1.18271e-02,4.1897e-03,4.8442e-05,4.4505e-06,6.7384e-08,,,,,,           -2.9625,            5.8229,            2.3764,           11.7412,           15.3708,           -6.2443,           -0.0987,           -0.2832,            0.0607,            7.0110,
Ref 17,4.09634e-08,,,,,,1.1862e-02,4.1654e-03,4.8324e-05,4.3973e-06,6.6504e-08,,,,,,,,,,,
Sam 17,4.12116e-08,1.18271e-02,4.1898e-03,4.8435e-05,4.4519e-06,6.9236e-08,,,,,,           -2.9593,            5.8283,            2.2988,           12.2546,           19.7628,           -6.2411,           -0.0934,           -0.3691,            0.5574,           11.3527,
Ref 18,4.03102e-08,,,,,,1.1862e-02,4.1655e-03,4.8325e-05,4.3987e-06,6.9307e-08,,,,,,,,,,,
Sam 18,4.05717e-08,1.18271e-02,4.1898e-03,4.8444e-05,4.4528e-06,6.9310e-08,,,,,,           -2.9564,            5.8147,            2.4155,           12.1983,           13.4586,           -6.2375,           -0.1070,           -0.2424,            0.5289,            5.1242,
Ref 19,3.96218e-08,,,,,,1.1862e-02,4.1656e-03,4.8330e-05,4.3996e-06,6.7456e-08,,,,,,,,,,,
Sam 19,3.99229e-08,1.18270e-02,4.1898e-03,4.8440e-05,4.4501e-06,6.8846e-08,,,,,,           -2.9581,            5.8034,            2.3269,           11.5094,           24.5144,           -6.2389,           -0.1182,           -0.3179,           -0.1296,           16.1134,
Ref 20,3.89989e-08,,,,,,1.1862e-02,4.1657e-03,4.8324e-05,4.3994e-06,6.6938e-08,,,,,,,,,,,
Sam 20,3.93203e-08,1.18272e-02,4.1899e-03,4.8447e-05,4.4504e-06,7.0443e-08,,,,,,           -2.9462,            5.8147,            2.4490,           11.5624,           48.9186,           -6.2267,           -0.1069,           -0.2195,           -0.0998,           40.2812,
Ref 21,3.83898e-08,,,,,,1.1862e-02,4.1656e-03,4.8334e-05,4.3997e-06,6.7380e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.80761e-08,,,,,,1.1862e-02,4.1656e-03,4.8331e-05,4.3987e-06,6.6503e-08,
Sam 1,3.84284e-08,1.18271e-02,4.1898e-03,4.8441e-05,4.4495e-06,7.0091e-08,,,,,,           -2.9569,            5.8022,            2.2168,           11.8039,           57.1335,           -6.2376,           -0.1194,           -0.4279,            0.1640,           48.4661,
Ref 2,3.74867e-08,,,,,,1.1862e-02,4.1657e-03,4.8337e-05,4.3966e-06,6.6099e-08,,,,,,,,,,,
Sam 2,3.78166e-08,1.18271e-02,4.1899e-03,4.8442e-05,4.4505e-06,6.9579e-08,,,,,,           -2.9504,            5.8107,            2.2497,           12.1829,           51.6304,           -6.2310,           -0.1109,           -0.4101,            0.5217,           42.9835,
Ref 3,3.68948e-08,,,,,,1.1862e-02,4.1657e-03,4.8331e-05,4.3972e-06,6.6229e-08,,,,,,,,,,,
Sam 3,3.72447e-08,1.18270e-02,4.1899e-03,4.8445e-05,4.4486e-06,6.9697e-08,,,,,,           -2.9601,            5.8009,            2.4104,           11.3238,           32.7393,           -6.2409,           -0.1206,           -0.2302,           -0.3081,           24.2778,
Ref 4,3.63292e-08,,,,,,1.1862e-02,4.1658e-03,4.8326e-05,4.4004e-06,6.8766e-08,,,,,,,,,,,
Sam 4,3.66686e-08,1.18270e-02,4.1900e-03,4.8445e-05,4.4520e-06,6.8378e-08,,,,,,           -2.9502,            5.8012,            2.4709,           11.8352,           -1.6123,           -6.2305,           -0.1203,           -0.1804,            0.1968,           -9.8032,
Ref 5,3.57775e-08,,,,,,1.1862e-02,4.1658e-03,4.8326e-05,4.3994e-06,6.8207e-08,,,,,,,,,,,
Sam 5,3.61501e-08,1.18269e-02,4.1900e-03,4.8445e-05,4.4501e-06,6.9755e-08,,,,,,           -2.9587,            5.8086,            2.4204,           11.6468,           24.8485,           -6.2398,           -0.1130,           -0.2292,           -0.0042,           16.4350,
Ref 6,3.52323e-08,,,,,,1.1862e-02,4.1658e-03,4.8330e-05,4.3983e-06,6.7917e-08,,,,,,,,,,,
Sam 6,3.56340e-08,1.18270e-02,4.1900e-03,4.8444e-05,4.4480e-06,6.9079e-08,,,,,,           -2.9520,            5.7942,            2.3576,           11.1690,           20.4619,           -6.2321,           -0.1273,           -0.2847,           -0.4478,           12.1056,
Ref 7,3.47019e-08,,,,,,1.1862e-02,4.1659e-03,4.8330e-05,4.3995e-06,6.7467e-08,,,,,,,,,,,
Sam 7,3.50953e-08,1.18269e-02,4.1901e-03,4.8439e-05,4.4494e-06,6.9910e-08,,,,,,           -2.9492,            5.8225,            2.1962,           11.1931,           35.8968,           -6.2301,           -0.0992,           -0.4762,           -0.4802,           27.3543,
Ref 8,3.42036e-08,,,,,,1.1862e-02,4.1659e-03,4.8335e-05,4.4007e-06,6.7508e-08,,,,,,,,,,,
Sam 8,3.46198e-08,1.18268e-02,4.1900e-03,4.8443e-05,4.4497e-06,6.8701e-08,,,,,,           -2.9586,            5.7907,            2.2391,           11.2023,           11.7931,           -6.2390,           -0.1308,           -0.3926,           -0.4079,            3.5218,
Ref 9,3.36721e-08,,,,,,1.1862e-02,4.1660e-03,4.8335e-05,4.4001e-06,6.8298e-08,,,,,,,,,,,
Sam 9,3.41182e-08,1.18268e-02,4.1901e-03,4.8444e-05,4.4498e-06,6.7903e-08,,,,,,           -2.9651,            5.7930,            2.2783,           11.4754,           11.0220,           -6.2460,           -0.1285,           -0.3490,           -0.1425,            2.7595,
Ref 10,3.31652e-08,,,,,,1.1862e-02,4.1661e-03,4.8334e-05,4.3984e-06,6.6010e-08,,,,,,,,,,,
Sam 10,3.36026e-08,1.18268e-02,4.1902e-03,4.8445e-05,4.4512e-06,6.8136e-08,,,,,,           -2.9608,            5.8011,            2.2517,           11.9758,           16.0560,           -6.2417,           -0.1204,           -0.3881,            0.3360,            7.7316,
Ref 11,3.26952e-08,,,,,,1.1862e-02,4.1660e-03,4.8339e-05,4.3987e-06,6.8123e-08,,,,,,,,,,,
Sam 11,3.31285e-08,1.18268e-02,4.1903e-03,4.8446e-05,4.4502e-06,6.6995e-08,,,,,,           -2.9635,            5.8163,            2.1697,           11.7669,          -16.2286,           -6.2452,           -0.1053,           -0.4819,            0.0993,          -24.3146,
Ref 12,3.22081e-08,,,,,,1.1862e-02,4.1660e-03,4.8342e-05,4.3983e-06,6.8077e-08,,,,,,,,,,,
Sam 12,3.26591e-08,1.18269e-02,4.1902e-03,4.8445e-05,4.4486e-06,6.9496e-08,,,,,,           -2.9597,            5.7807,            2.1335,           11.3456,           10.5703,           -6.2398,           -0.1407,           -0.4871,           -0.2464,            2.3298,
Ref 13,3.17203e-08,,,,,,1.1862e-02,4.1662e-03,4.8341e-05,4.3991e-06,6.9473e-08,,,,,,,,,,,
Sam 13,3.21668e-08,1.18269e-02,4.1904e-03,4.8448e-05,4.4502e-06,6.8920e-08,,,,,,           -2.9551,            5.7944,            2.1825,           11.4218,           12.2645,           -6.2355,           -0.1272,           -0.4563,           -0.1983,            3.9784,
Ref 14,3.12513e-08,,,,,,1.1862e-02,4.1662e-03,4.8344e-05,4.4007e-06,6.6676e-08,,,,,,,,,,,
Sam 14,3.17144e-08,1.18268e-02,4.1903e-03,4.8458e-05,4.4484e-06,6.9914e-08,,,,,,           -2.9569,            5.7848,            2.4762,           11.2535,           37.6781,           -6.2371,           -0.1367,           -0.1521,           -0.3455,           29.2053,
Ref 15,3.08041e-08,,,,,,1.1862e-02,4.1662e-03,4.8333e-05,4.3969e-06,6.8085e-08,,,,,,,,,,,
Sam 15,3.12639e-08,1.18268e-02,4.1904e-03,4.8451e-05,4.4479e-06,7.0493e-08,,,,,,           -2.9556,            5.7933,            2.3735,           11.2404,           32.4291,           -6.2360,           -0.1282,           -0.2642,           -0.3755,           23.9806,
Ref 16,3.03703e-08,,,,,,1.1862e-02,4.1662e-03,4.8339e-05,4.4000e-06,6.8475e-08,,,,,,,,,,,
Sam 16,3.08416e-08,1.18268e-02,4.1904e-03,4.8457e-05,4.4458e-06,7.1162e-08,,,,,,           -2.9530,            5.8050,            2.4606,           10.8346,           43.7919,           -6.2335,           -0.1166,           -0.1916,           -0.7999,           35.2238,
Ref 17,2.99330e-08,,,,,,1.1862e-02,4.1662e-03,4.8337e-05,4.3962e-06,6.7874e-08,,,,,,,,,,,
Sam 17,3.04107e-08,1.18268e-02,4.1904e-03,4.8453e-05,4.4493e-06,6.9654e-08,,,,,,           -2.9480,            5.8068,            2.3468,           11.6793,           21.8487,           -6.2283,           -0.1148,           -0.3120,            0.0315,           13.4518,
Ref 18,2.95022e-08,,,,,,1.1862e-02,4.1663e-03,4.8342e-05,4.3997e-06,6.8460e-08,,,,,,,,,,,
Sam 18,2.99838e-08,1.18267e-02,4.1904e-03,4.8462e-05,4.4499e-06,6.9322e-08,,,,,,           -2.9593,            5.7926,            2.4989,           11.7070,           15.8724,           -6.2399,           -0.1289,           -0.1346,            0.0872,            7.5647,
Ref 19,2.90746e-08,,,,,,1.1862e-02,4.1664e-03,4.8340e-05,4.3970e-06,6.8015e-08,,,,,,,,,,,
Sam 19,2.95641e-08,1.18267e-02,4.1905e-03,4.8456e-05,4.4466e-06,7.0645e-08,,,,,,           -2.9571,            5.7917,            2.3656,           11.6872,           47.8290,           -6.2375,           -0.1298,           -0.2689,            0.0694,           39.2594,
Ref 20,2.86619e-08,,,,,,1.1862e-02,4.1663e-03,4.8344e-05,4.3935e-06,6.6817e-08,,,,,,,,,,,
Sam 20,2.91466e-08,1.18267e-02,4.1906e-03,4.8456e-05,4.4495e-06,7.0577e-08,,,,,,           -2.9561,            5.8105,            2.3919,           12.3668,           44.7082,           -6.2370,           -0.1111,           -0.2622,            0.7038,           36.1249,
Ref 21,2.82434e-08,,,,,,1.1862e-02,4.1664e-03,4.8337e-05,4.3968e-06,6.8307e-08,,,,,,,,,,,


