Nu Stable Isotope Analysis Program
Data Collected on Saturday, November 04, 2023 at 04:01 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, November 04, 2023 at 05:01 with Stable 1.71.5 on PS019

Data File = Data_20816 ETH-02.txt,        Sample Weight = 443,                      Vial Location = 9,                        Initial Sam Beam = 2.5036e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5490e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02846
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.99588e-08,,,,,,1.1863e-02,4.1641e-03,4.8311e-05,4.4002e-06,6.4793e-08,
Sam 1,7.92250e-08,1.17769e-02,4.1417e-03,4.7671e-05,4.3530e-06,6.5242e-08,,,,,,           -7.2494,           -5.4153,          -13.3128,          -10.8716,           16.1772,          -10.4171,          -11.2733,           -0.5597,           -0.0710,           35.0673,
Ref 2,7.84671e-08,,,,,,1.1863e-02,4.1643e-03,4.8318e-05,4.4014e-06,6.3602e-08,,,,,,,,,,,
Sam 2,7.76998e-08,1.17770e-02,4.1418e-03,4.7669e-05,4.3542e-06,6.4555e-08,,,,,,           -7.2582,           -5.4219,          -13.3930,          -10.7711,            7.8603,          -10.4262,          -11.2798,           -0.6254,            0.0438,           26.6188,
Ref 3,7.69061e-08,,,,,,1.1863e-02,4.1644e-03,4.8314e-05,4.4018e-06,6.4510e-08,,,,,,,,,,,
Sam 3,7.61585e-08,1.17770e-02,4.1418e-03,4.7667e-05,4.3533e-06,6.4514e-08,,,,,,           -7.2458,           -5.3879,          -13.3478,          -10.9532,           -3.8245,          -10.4142,          -11.2460,           -0.6261,           -0.2088,           14.6347,
Ref 4,7.57728e-08,,,,,,1.1863e-02,4.1642e-03,4.8309e-05,4.4013e-06,6.5017e-08,,,,,,,,,,,
Sam 4,7.48483e-08,1.17768e-02,4.1417e-03,4.7667e-05,4.3550e-06,6.5132e-08,,,,,,           -7.2540,           -5.4116,          -13.3267,          -10.5852,            2.4812,          -10.4221,          -11.2695,           -0.5728,            0.2109,           21.1141,
Ref 5,7.40062e-08,,,,,,1.1863e-02,4.1644e-03,4.8312e-05,4.4019e-06,6.4923e-08,,,,,,,,,,,
Sam 5,7.33670e-08,1.17768e-02,4.1418e-03,4.7668e-05,4.3537e-06,6.3949e-08,,,,,,           -7.2620,           -5.4200,          -13.3108,          -10.7829,          -13.8156,          -10.4303,          -11.2779,           -0.5401,            0.0280,            4.5397,
Ref 6,7.25095e-08,,,,,,1.1863e-02,4.1644e-03,4.8310e-05,4.4003e-06,6.4764e-08,,,,,,,,,,,
Sam 6,7.19203e-08,1.17768e-02,4.1419e-03,4.7669e-05,4.3538e-06,6.4914e-08,,,,,,           -7.2658,           -5.4106,          -13.2908,          -10.8376,            0.0297,          -10.4347,          -11.2685,           -0.5251,           -0.0463,           18.6279,
Ref 7,7.10653e-08,,,,,,1.1863e-02,4.1644e-03,4.8313e-05,4.4027e-06,6.5064e-08,,,,,,,,,,,
Sam 7,7.05151e-08,1.17767e-02,4.1419e-03,4.7666e-05,4.3549e-06,6.5090e-08,,,,,,           -7.2652,           -5.4211,          -13.4161,          -10.7254,           -0.4246,          -10.4337,          -11.2790,           -0.6423,            0.0884,           18.1857,
Ref 8,6.96524e-08,,,,,,1.1863e-02,4.1645e-03,4.8315e-05,4.4015e-06,6.5172e-08,,,,,,,,,,,
Sam 8,6.91534e-08,1.17767e-02,4.1419e-03,4.7671e-05,4.3543e-06,6.5332e-08,,,,,,           -7.2713,           -5.4151,          -13.3221,          -10.5145,            3.4770,          -10.4403,          -11.2730,           -0.5466,            0.2895,           22.1545,
Ref 9,6.82921e-08,,,,,,1.1863e-02,4.1645e-03,4.8315e-05,4.3996e-06,6.5038e-08,,,,,,,,,,,
Sam 9,6.78389e-08,1.17767e-02,4.1419e-03,4.7672e-05,4.3547e-06,6.4581e-08,,,,,,           -7.2679,           -5.4419,          -13.3487,          -10.3141,           -9.4059,          -10.4358,          -11.2997,           -0.5506,            0.5460,            9.0816,
Ref 10,6.69076e-08,,,,,,1.1863e-02,4.1646e-03,4.8319e-05,4.4006e-06,6.5355e-08,,,,,,,,,,,
Sam 10,6.64774e-08,1.17768e-02,4.1421e-03,4.7672e-05,4.3507e-06,6.5059e-08,,,,,,           -7.2624,           -5.4206,          -13.3801,          -11.4267,           -3.6203,          -10.4307,          -11.2785,           -0.6092,           -0.6217,           14.9264,
Ref 11,6.55823e-08,,,,,,1.1863e-02,4.1646e-03,4.8318e-05,4.4013e-06,6.5236e-08,,,,,,,,,,,
Sam 11,6.53781e-08,1.17765e-02,4.1419e-03,4.7671e-05,4.3540e-06,6.5245e-08,,,,,,           -7.2765,           -5.4425,          -13.3609,          -10.8279,            1.5525,          -10.4449,          -11.3003,           -0.5534,            0.0278,           20.2551,
Ref 12,6.44573e-08,,,,,,1.1863e-02,4.1646e-03,4.8314e-05,4.4020e-06,6.5051e-08,,,,,,,,,,,
Sam 12,6.41183e-08,1.17766e-02,4.1420e-03,4.7677e-05,4.3538e-06,6.5755e-08,,,,,,           -7.2659,           -5.4143,          -13.2076,          -10.8859,            3.1614,          -10.4346,          -11.2722,           -0.4372,           -0.0877,           21.8253,
Ref 13,6.32299e-08,,,,,,1.1863e-02,4.1646e-03,4.8317e-05,4.4014e-06,6.6054e-08,,,,,,,,,,,
Sam 13,6.29165e-08,1.17766e-02,4.1421e-03,4.7670e-05,4.3533e-06,6.4885e-08,,,,,,           -7.2705,           -5.4280,          -13.4119,          -10.9634,          -15.7264,          -10.4390,          -11.2858,           -0.6258,           -0.1385,            2.6183,
Ref 14,6.19100e-08,,,,,,1.1863e-02,4.1648e-03,4.8320e-05,4.4018e-06,6.5787e-08,,,,,,,,,,,
Sam 14,6.17312e-08,1.17767e-02,4.1421e-03,4.7672e-05,4.3550e-06,6.5827e-08,,,,,,           -7.2621,           -5.4329,          -13.3508,          -10.6918,            2.4932,          -10.4300,          -11.2907,           -0.5676,            0.1461,           21.1783,
Ref 15,6.08091e-08,,,,,,1.1863e-02,4.1647e-03,4.8314e-05,4.4023e-06,6.5537e-08,,,,,,,,,,,
Sam 15,6.05257e-08,1.17767e-02,4.1422e-03,4.7676e-05,4.3540e-06,6.5613e-08,,,,,,           -7.2594,           -5.4038,          -13.2538,          -10.8680,            2.7366,          -10.4281,          -11.2618,           -0.5011,           -0.0907,           21.3644,
Ref 16,5.96637e-08,,,,,,1.1863e-02,4.1647e-03,4.8319e-05,4.4013e-06,6.5329e-08,,,,,,,,,,,
Sam 16,5.95467e-08,1.17766e-02,4.1421e-03,4.7674e-05,4.3515e-06,6.4983e-08,,,,,,           -7.2705,           -5.4313,          -13.2949,          -11.3059,          -16.7274,          -10.4390,          -11.2891,           -0.5039,           -0.4780,            1.6053,
Ref 17,5.86362e-08,,,,,,1.1863e-02,4.1647e-03,4.8313e-05,4.4013e-06,6.6861e-08,,,,,,,,,,,
Sam 17,5.84261e-08,1.17766e-02,4.1423e-03,4.7675e-05,4.3528e-06,6.5483e-08,,,,,,           -7.2652,           -5.4100,          -13.2254,          -10.9175,           -6.7228,          -10.4340,          -11.2679,           -0.4602,           -0.1283,           11.7480,
Ref 18,5.74901e-08,,,,,,1.1863e-02,4.1648e-03,4.8315e-05,4.4003e-06,6.4972e-08,,,,,,,,,,,
Sam 18,5.73227e-08,1.17767e-02,4.1423e-03,4.7675e-05,4.3528e-06,6.5199e-08,,,,,,           -7.2557,           -5.4171,          -13.2914,          -11.0322,           -5.3526,          -10.4237,          -11.2750,           -0.5297,           -0.2299,           13.1477,
Ref 19,5.64080e-08,,,,,,1.1863e-02,4.1649e-03,4.8320e-05,4.4024e-06,6.6139e-08,,,,,,,,,,,
Sam 19,5.62481e-08,1.17768e-02,4.1424e-03,4.7676e-05,4.3543e-06,6.5714e-08,,,,,,           -7.2494,           -5.4183,          -13.3680,          -10.8210,            0.1621,          -10.4169,          -11.2763,           -0.6126,           -0.0139,           18.7605,
Ref 20,5.53145e-08,,,,,,1.1863e-02,4.1650e-03,4.8325e-05,4.4016e-06,6.5258e-08,,,,,,,,,,,
Sam 20,5.53193e-08,1.17766e-02,4.1423e-03,4.7683e-05,4.3532e-06,6.6125e-08,,,,,,           -7.2673,           -5.4393,          -13.2474,          -10.8970,           12.9755,          -10.4353,          -11.2970,           -0.4513,           -0.0487,           31.8746,
Ref 21,5.44312e-08,,,,,,1.1863e-02,4.1649e-03,4.8321e-05,4.4007e-06,6.5299e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.39557e-08,,,,,,1.1863e-02,4.1650e-03,4.8324e-05,4.4030e-06,6.5032e-08,
Sam 1,5.38530e-08,1.17765e-02,4.1424e-03,4.7675e-05,4.3547e-06,6.5083e-08,,,,,,           -7.2608,           -5.4180,          -13.4328,          -10.7373,           -1.8643,          -10.4291,          -11.2760,           -0.6668,            0.0702,           16.7082,
Ref 2,5.29626e-08,,,,,,1.1863e-02,4.1650e-03,4.8324e-05,4.4008e-06,6.5381e-08,,,,,,,,,,,
Sam 2,5.29263e-08,1.17765e-02,4.1425e-03,4.7677e-05,4.3523e-06,6.6111e-08,,,,,,           -7.2624,           -5.4184,          -13.3566,          -11.2059,           15.4442,          -10.4308,          -11.2763,           -0.5876,           -0.4030,           34.3412,
Ref 3,5.20311e-08,,,,,,1.1863e-02,4.1651e-03,4.8322e-05,4.4024e-06,6.4826e-08,,,,,,,,,,,
Sam 3,5.20145e-08,1.17765e-02,4.1425e-03,4.7676e-05,4.3540e-06,6.5844e-08,,,,,,           -7.2692,           -5.4337,          -13.3284,          -10.9310,           -1.2469,          -10.4374,          -11.2915,           -0.5369,           -0.0943,           17.3776,
Ref 4,5.11277e-08,,,,,,1.1863e-02,4.1651e-03,4.8318e-05,4.4019e-06,6.7045e-08,,,,,,,,,,,
Sam 4,5.11366e-08,1.17764e-02,4.1425e-03,4.7677e-05,4.3524e-06,6.6946e-08,,,,,,           -7.2691,           -5.4234,          -13.3303,          -10.9656,            9.1285,          -10.4377,          -11.2812,           -0.5491,           -0.1499,           27.9255,
Ref 5,5.02408e-08,,,,,,1.1863e-02,4.1651e-03,4.8324e-05,4.3994e-06,6.5623e-08,,,,,,,,,,,
Sam 5,5.02674e-08,1.17764e-02,4.1426e-03,4.7684e-05,4.3517e-06,6.5756e-08,,,,,,           -7.2687,           -5.4120,          -13.1979,          -11.2131,           -1.2820,          -10.4377,          -11.2699,           -0.4266,           -0.4231,           17.2978,
Ref 6,4.93694e-08,,,,,,1.1863e-02,4.1651e-03,4.8320e-05,4.4026e-06,6.6061e-08,,,,,,,,,,,
Sam 6,4.94202e-08,1.17765e-02,4.1426e-03,4.7677e-05,4.3541e-06,6.5790e-08,,,,,,           -7.2625,           -5.4221,          -13.3239,          -10.9876,            6.8785,          -10.4307,          -11.2799,           -0.5508,           -0.1748,           25.6237,
Ref 7,4.85252e-08,,,,,,1.1863e-02,4.1652e-03,4.8323e-05,4.4023e-06,6.4609e-08,,,,,,,,,,,
Sam 7,4.86008e-08,1.17765e-02,4.1426e-03,4.7680e-05,4.3520e-06,6.5376e-08,,,,,,           -7.2538,           -5.4126,          -13.3528,          -10.8967,            2.6142,          -10.4218,          -11.2705,           -0.5984,           -0.1021,           21.2514,
Ref 8,4.77074e-08,,,,,,1.1862e-02,4.1652e-03,4.8327e-05,4.3976e-06,6.5814e-08,,,,,,,,,,,
Sam 8,4.78010e-08,1.17763e-02,4.1426e-03,4.7681e-05,4.3517e-06,6.7308e-08,,,,,,           -7.2655,           -5.4306,          -13.3551,          -10.8989,           21.4321,          -10.4336,          -11.2884,           -0.5709,           -0.0680,           40.4691,
Ref 9,4.69043e-08,,,,,,1.1863e-02,4.1653e-03,4.8326e-05,4.4017e-06,6.5980e-08,,,,,,,,,,,
Sam 9,4.70158e-08,1.17763e-02,4.1427e-03,4.7683e-05,4.3535e-06,6.7048e-08,,,,,,           -7.2625,           -5.4147,          -13.2685,          -10.7428,           16.6900,          -10.4310,          -11.2726,           -0.5019,            0.0578,           35.6028,
Ref 10,4.61209e-08,,,,,,1.1862e-02,4.1653e-03,4.8322e-05,4.3998e-06,6.5914e-08,,,,,,,,,,,
Sam 10,4.62548e-08,1.17764e-02,4.1426e-03,4.7682e-05,4.3538e-06,6.6786e-08,,,,,,           -7.2539,           -5.4359,          -13.2759,          -10.7037,            7.2519,          -10.4211,          -11.2938,           -0.4972,            0.1402,           26.0228,
Ref 11,4.53578e-08,,,,,,1.1862e-02,4.1653e-03,4.8324e-05,4.4019e-06,6.6704e-08,,,,,,,,,,,
Sam 11,4.55084e-08,1.17764e-02,4.1427e-03,4.7681e-05,4.3537e-06,6.6876e-08,,,,,,           -7.2538,           -5.4269,          -13.2790,          -10.7238,            4.1506,          -10.4213,          -11.2848,           -0.5095,            0.1017,           22.8455,
Ref 12,4.46057e-08,,,,,,1.1862e-02,4.1653e-03,4.8322e-05,4.3998e-06,6.6494e-08,,,,,,,,,,,
Sam 12,4.47733e-08,1.17763e-02,4.1427e-03,4.7680e-05,4.3537e-06,6.6955e-08,,,,,,           -7.2595,           -5.4266,          -13.3381,          -10.5475,            0.3774,          -10.4274,          -11.2845,           -0.5637,            0.2793,           19.0076,
Ref 13,4.38686e-08,,,,,,1.1862e-02,4.1654e-03,4.8328e-05,4.4005e-06,6.7374e-08,,,,,,,,,,,
Sam 13,4.40585e-08,1.17763e-02,4.1428e-03,4.7683e-05,4.3546e-06,6.5440e-08,,,,,,           -7.2571,           -5.4182,          -13.3068,          -10.5133,          -27.8703,          -10.4251,          -11.2761,           -0.5429,            0.2969,           -9.7852,
Ref 14,4.31552e-08,,,,,,1.1862e-02,4.1654e-03,4.8324e-05,4.4011e-06,6.7258e-08,,,,,,,,,,,
Sam 14,4.33616e-08,1.17763e-02,4.1428e-03,4.7678e-05,4.3526e-06,6.6405e-08,,,,,,           -7.2568,           -5.4233,          -13.4127,          -10.9161,          -10.0321,          -10.4247,          -11.2812,           -0.6453,           -0.1000,            8.3948,
Ref 15,4.24607e-08,,,,,,1.1862e-02,4.1654e-03,4.8328e-05,4.4000e-06,6.6896e-08,,,,,,,,,,,
Sam 15,4.26800e-08,1.17763e-02,4.1429e-03,4.7684e-05,4.3527e-06,6.7106e-08,,,,,,           -7.2554,           -5.4100,          -13.2819,          -10.4490,           16.6126,          -10.4236,          -11.2679,           -0.5275,            0.3454,           35.5064,
Ref 16,4.17790e-08,,,,,,1.1862e-02,4.1654e-03,4.8325e-05,4.3973e-06,6.5107e-08,,,,,,,,,,,
Sam 16,4.20100e-08,1.17763e-02,4.1429e-03,4.7683e-05,4.3526e-06,6.6299e-08,,,,,,           -7.2480,           -5.4198,          -13.2974,          -10.5268,            6.4185,          -10.4154,          -11.2777,           -0.5412,            0.2865,           25.1346,
Ref 17,4.11083e-08,,,,,,1.1862e-02,4.1654e-03,4.8327e-05,4.4004e-06,6.6657e-08,,,,,,,,,,,
Sam 17,4.13638e-08,1.17761e-02,4.1429e-03,4.7684e-05,4.3517e-06,6.5536e-08,,,,,,           -7.2593,           -5.4219,          -13.2532,          -10.7031,           -2.6278,          -10.4273,          -11.2798,           -0.4826,            0.1125,           15.9367,
Ref 18,4.04713e-08,,,,,,1.1862e-02,4.1655e-03,4.8322e-05,4.3972e-06,6.4746e-08,,,,,,,,,,,
Sam 18,4.07221e-08,1.17762e-02,4.1429e-03,4.7684e-05,4.3504e-06,6.6143e-08,,,,,,           -7.2479,           -5.4105,          -13.1779,          -10.7860,            2.8414,          -10.4156,          -11.2685,           -0.4294,            0.0057,           21.4721,
Ref 19,3.98759e-08,,,,,,1.1862e-02,4.1654e-03,4.8319e-05,4.3986e-06,6.7183e-08,,,,,,,,,,,
Sam 19,4.01273e-08,1.17760e-02,4.1429e-03,4.7673e-05,4.3517e-06,6.5773e-08,,,,,,           -7.2550,           -5.4114,          -13.4638,          -10.7454,          -18.1340,          -10.4231,          -11.2694,           -0.7108,            0.0486,            0.1164,
Ref 20,3.92329e-08,,,,,,1.1862e-02,4.1655e-03,4.8329e-05,4.3994e-06,6.6789e-08,,,,,,,,,,,
Sam 20,3.95100e-08,1.17760e-02,4.1429e-03,4.7680e-05,4.3495e-06,6.7176e-08,,,,,,           -7.2602,           -5.4294,          -13.3879,          -10.9667,           -0.2356,          -10.4281,          -11.2872,           -0.6106,           -0.1390,           18.3894,
Ref 21,3.86161e-08,,,,,,1.1862e-02,4.1656e-03,4.8325e-05,4.3960e-06,6.7602e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.82927e-08,,,,,,1.1862e-02,4.1655e-03,4.8323e-05,4.3988e-06,6.5599e-08,
Sam 1,3.85975e-08,1.17760e-02,4.1430e-03,4.7687e-05,4.3498e-06,6.6879e-08,,,,,,           -7.2625,           -5.4106,          -13.1763,          -11.1640,           17.0853,          -10.4311,          -11.2685,           -0.4126,           -0.3762,           35.9970,
Ref 2,3.76785e-08,,,,,,1.1862e-02,4.1656e-03,4.8326e-05,4.3989e-06,6.5914e-08,,,,,,,,,,,
Sam 2,3.79841e-08,1.17760e-02,4.1431e-03,4.7680e-05,4.3520e-06,6.6867e-08,,,,,,           -7.2612,           -5.4073,          -13.3970,          -10.7697,           17.1110,          -10.4299,          -11.2652,           -0.6408,            0.0157,           36.0150,
Ref 3,3.71253e-08,,,,,,1.1862e-02,4.1656e-03,4.8329e-05,4.3999e-06,6.5567e-08,,,,,,,,,,,
Sam 3,3.74378e-08,1.17760e-02,4.1430e-03,4.7682e-05,4.3527e-06,6.6066e-08,,,,,,           -7.2542,           -5.4078,          -13.3194,          -10.7319,           -0.0076,          -10.4224,          -11.2658,           -0.5689,            0.0550,           18.5717,
Ref 4,3.65589e-08,,,,,,1.1862e-02,4.1656e-03,4.8323e-05,4.4001e-06,6.6573e-08,,,,,,,,,,,
Sam 4,3.68742e-08,1.17760e-02,4.1431e-03,4.7684e-05,4.3503e-06,6.7270e-08,,,,,,           -7.2478,           -5.4106,          -13.2937,          -11.0260,           13.2591,          -10.4155,          -11.2686,           -0.5467,           -0.2367,           32.0835,
Ref 5,3.59829e-08,,,,,,1.1862e-02,4.1656e-03,4.8331e-05,4.3976e-06,6.6203e-08,,,,,,,,,,,
Sam 5,3.63119e-08,1.17758e-02,4.1432e-03,4.7686e-05,4.3519e-06,6.6386e-08,,,,,,           -7.2604,           -5.4074,          -13.2978,          -10.6020,            3.2815,          -10.4290,          -11.2654,           -0.5410,            0.1855,           21.9278,
Ref 6,3.54280e-08,,,,,,1.1862e-02,4.1658e-03,4.8328e-05,4.3995e-06,6.6134e-08,,,,,,,,,,,
Sam 6,3.57834e-08,1.17759e-02,4.1431e-03,4.7688e-05,4.3501e-06,6.6042e-08,,,,,,           -7.2567,           -5.4267,          -13.2703,          -10.9366,           -3.6457,          -10.4244,          -11.2846,           -0.4979,           -0.1139,           14.9065,
Ref 7,3.48879e-08,,,,,,1.1862e-02,4.1657e-03,4.8331e-05,4.3968e-06,6.6435e-08,,,,,,,,,,,
Sam 7,3.52442e-08,1.17760e-02,4.1432e-03,4.7686e-05,4.3503e-06,6.6139e-08,,,,,,           -7.2463,           -5.4035,          -13.3135,          -10.7823,           -6.1074,          -10.4141,          -11.2615,           -0.5754,           -0.0046,           12.3413,
Ref 8,3.43827e-08,,,,,,1.1862e-02,4.1657e-03,4.8327e-05,4.3987e-06,6.6657e-08,,,,,,,,,,,
Sam 8,3.47538e-08,1.17759e-02,4.1432e-03,4.7689e-05,4.3514e-06,6.5694e-08,,,,,,           -7.2607,           -5.4128,          -13.2417,          -10.2385,          -26.1502,          -10.4291,          -11.2707,           -0.4785,            0.5639,           -8.0399,
Ref 9,3.38480e-08,,,,,,1.1862e-02,4.1658e-03,4.8331e-05,4.3941e-06,6.8270e-08,,,,,,,,,,,
Sam 9,3.42221e-08,1.17759e-02,4.1433e-03,4.7686e-05,4.3509e-06,6.6897e-08,,,,,,           -7.2597,           -5.4026,          -13.3729,          -10.4919,           -1.3918,          -10.4284,          -11.2605,           -0.6226,            0.2871,           17.1572,
Ref 10,3.33319e-08,,,,,,1.1862e-02,4.1658e-03,4.8333e-05,4.4000e-06,6.5690e-08,,,,,,,,,,,
Sam 10,3.37239e-08,1.17759e-02,4.1433e-03,4.7693e-05,4.3486e-06,6.7535e-08,,,,,,           -7.2520,           -5.4085,          -13.2607,          -11.4747,           19.9224,          -10.4200,          -11.2665,           -0.5111,           -0.6944,           38.8710,
Ref 11,3.28565e-08,,,,,,1.1862e-02,4.1659e-03,4.8335e-05,4.3982e-06,6.6750e-08,,,,,,,,,,,
Sam 11,3.32593e-08,1.17759e-02,4.1434e-03,4.7690e-05,4.3499e-06,6.7162e-08,,,,,,           -7.2555,           -5.4062,          -13.3286,          -11.0634,            9.2775,          -10.4239,          -11.2642,           -0.5784,           -0.2833,           28.0274,
Ref 12,3.23471e-08,,,,,,1.1862e-02,4.1659e-03,4.8334e-05,4.3990e-06,6.6336e-08,,,,,,,,,,,
Sam 12,3.27639e-08,1.17757e-02,4.1435e-03,4.7691e-05,4.3490e-06,6.7986e-08,,,,,,           -7.2685,           -5.3813,          -13.1972,          -11.4379,           25.9063,          -10.4386,          -11.2394,           -0.4564,           -0.7119,           44.9283,
Ref 13,3.19048e-08,,,,,,1.1862e-02,4.1659e-03,4.8324e-05,4.3998e-06,6.6202e-08,,,,,,,,,,,
Sam 13,3.23284e-08,1.17758e-02,4.1434e-03,4.7696e-05,4.3507e-06,6.7917e-08,,,,,,           -7.2594,           -5.4027,          -13.1188,          -10.7700,           34.5412,          -10.4281,          -11.2606,           -0.3654,            0.0062,           53.7575,
Ref 14,3.14307e-08,,,,,,1.1862e-02,4.1660e-03,4.8336e-05,4.3962e-06,6.5090e-08,,,,,,,,,,,
Sam 14,3.18638e-08,1.17758e-02,4.1435e-03,4.7696e-05,4.3509e-06,6.5288e-08,,,,,,           -7.2640,           -5.4124,          -13.1978,          -10.7663,          -16.9401,          -10.4327,          -11.2703,           -0.4310,            0.0295,            1.3442,
Ref 15,3.09695e-08,,,,,,1.1862e-02,4.1660e-03,4.8333e-05,4.4002e-06,6.7756e-08,,,,,,,,,,,
Sam 15,3.14114e-08,1.17758e-02,4.1435e-03,4.7691e-05,4.3529e-06,6.4725e-08,,,,,,           -7.2589,           -5.3986,          -13.3193,          -10.5233,          -46.7041,          -10.4277,          -11.2566,           -0.5730,            0.2474,          -29.0052,
Ref 16,3.05178e-08,,,,,,1.1862e-02,4.1660e-03,4.8336e-05,4.3982e-06,6.8039e-08,,,,,,,,,,,
Sam 16,3.09685e-08,1.17758e-02,4.1434e-03,4.7686e-05,4.3505e-06,6.4698e-08,,,,,,           -7.2547,           -5.4154,          -13.4232,          -11.0342,          -45.0576,          -10.4227,          -11.2734,           -0.6659,           -0.2352,          -27.3001,
Ref 17,3.00775e-08,,,,,,1.1862e-02,4.1660e-03,4.8334e-05,4.3999e-06,6.7459e-08,,,,,,,,,,,
Sam 17,3.05219e-08,1.17758e-02,4.1436e-03,4.7699e-05,4.3518e-06,6.5446e-08,,,,,,           -7.2488,           -5.3989,          -13.1570,          -10.5364,          -37.5912,          -10.4169,          -11.2569,           -0.4189,            0.2347,          -19.7333,
Ref 18,2.96523e-08,,,,,,1.1862e-02,4.1661e-03,4.8335e-05,4.3964e-06,6.8553e-08,,,,,,,,,,,
Sam 18,3.01109e-08,1.17756e-02,4.1436e-03,4.7704e-05,4.3494e-06,6.6951e-08,,,,,,           -7.2588,           -5.4099,          -13.0336,          -10.9901,            1.7105,          -10.4272,          -11.2678,           -0.2726,           -0.2019,           20.3308,
Ref 19,2.92197e-08,,,,,,1.1862e-02,4.1661e-03,4.8333e-05,4.3992e-06,6.5095e-08,,,,,,,,,,,
Sam 19,2.96874e-08,1.17756e-02,4.1436e-03,4.7697e-05,4.3509e-06,6.6183e-08,,,,,,           -7.2580,           -5.4146,          -13.2764,          -10.7873,            4.1117,          -10.4262,          -11.2725,           -0.5147,            0.0126,           22.7853,
Ref 20,2.88039e-08,,,,,,1.1862e-02,4.1662e-03,4.8344e-05,4.3975e-06,6.6742e-08,,,,,,,,,,,
