Nu Stable Isotope Analysis Program
Data Collected on Saturday, November 04, 2023 at 05:22 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, November 04, 2023 at 06:21 with Stable 1.71.5 on PS019

Data File = Data_20817 ETH-01.txt,        Sample Weight = 472,                      Vial Location = 10,                       Initial Sam Beam = 2.5034e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.4660e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02848
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,1.00704e-07,,,,,,1.1863e-02,4.1636e-03,4.8304e-05,4.3995e-06,6.4706e-08,
Sam 1,9.97386e-08,1.19179e-02,4.2102e-03,4.9039e-05,4.4990e-06,6.5395e-08,,,,,,            4.6232,           11.1414,           15.1557,           22.2680,           10.5600,            1.6453,            5.1775,           -0.6156,           -0.1360,          -16.0655,
Ref 2,9.85748e-08,,,,,,1.1863e-02,4.1640e-03,4.8311e-05,4.4025e-06,6.4718e-08,,,,,,,,,,,
Sam 2,9.76132e-08,1.19181e-02,4.2104e-03,4.9040e-05,4.4992e-06,6.5899e-08,,,,,,            4.6097,           11.1198,           15.0884,           22.0925,           21.3550,            1.6316,            5.1560,           -0.6470,           -0.2649,           -5.4990,
Ref 3,9.63893e-08,,,,,,1.1863e-02,4.1641e-03,4.8312e-05,4.4014e-06,6.4321e-08,,,,,,,,,,,
Sam 3,9.54926e-08,1.19181e-02,4.2105e-03,4.9043e-05,4.4991e-06,6.5683e-08,,,,,,            4.6041,           11.1164,           15.1460,           22.2572,           21.1100,            1.6258,            5.1526,           -0.5812,           -0.0971,           -5.7250,
Ref 4,9.42298e-08,,,,,,1.1864e-02,4.1642e-03,4.8311e-05,4.4010e-06,6.4330e-08,,,,,,,,,,,
Sam 4,9.34119e-08,1.19182e-02,4.2105e-03,4.9042e-05,4.5001e-06,6.6216e-08,,,,,,            4.6062,           11.1146,           15.1053,           22.2781,           28.4243,            1.6281,            5.1508,           -0.6217,           -0.0730,            1.3984,
Ref 5,9.21305e-08,,,,,,1.1864e-02,4.1643e-03,4.8313e-05,4.4031e-06,6.4443e-08,,,,,,,,,,,
Sam 5,9.13986e-08,1.19182e-02,4.2106e-03,4.9041e-05,4.4998e-06,6.6272e-08,,,,,,            4.6050,           11.1228,           15.0484,           22.1120,           20.8400,            1.6265,            5.1590,           -0.6845,           -0.2517,           -6.0012,
Ref 6,9.00885e-08,,,,,,1.1864e-02,4.1643e-03,4.8314e-05,4.4017e-06,6.5405e-08,,,,,,,,,,,
Sam 6,8.94291e-08,1.19181e-02,4.2107e-03,4.9043e-05,4.4996e-06,6.6062e-08,,,,,,            4.5975,           11.1360,           15.0675,           22.2095,           13.1011,            1.6180,            5.1722,           -0.6708,           -0.1825,          -13.5541,
Ref 7,8.80993e-08,,,,,,1.1864e-02,4.1644e-03,4.8316e-05,4.4019e-06,6.5005e-08,,,,,,,,,,,
Sam 7,8.75229e-08,1.19182e-02,4.2107e-03,4.9044e-05,4.4975e-06,6.6195e-08,,,,,,            4.6058,           11.1177,           15.1379,           21.4255,           18.1003,            1.6276,            5.1539,           -0.5922,           -0.9131,           -8.6598,
Ref 8,8.61711e-08,,,,,,1.1864e-02,4.1644e-03,4.8309e-05,4.4044e-06,6.5032e-08,,,,,,,,,,,
Sam 8,8.56767e-08,1.19182e-02,4.2108e-03,4.9044e-05,4.4993e-06,6.6795e-08,,,,,,            4.6089,           11.1195,           15.1324,           21.8659,           31.7894,            1.6308,            5.1557,           -0.6026,           -0.4859,            4.6627,
Ref 9,8.43153e-08,,,,,,1.1864e-02,4.1645e-03,4.8317e-05,4.4016e-06,6.4436e-08,,,,,,,,,,,
Sam 9,8.38772e-08,1.19181e-02,4.2108e-03,4.9046e-05,4.4993e-06,6.6162e-08,,,,,,            4.6066,           11.1029,           15.1282,           22.0555,           22.4511,            1.6289,            5.1391,           -0.5881,           -0.2676,           -4.3955,
Ref 10,8.25132e-08,,,,,,1.1863e-02,4.1645e-03,4.8314e-05,4.4029e-06,6.4989e-08,,,,,,,,,,,
Sam 10,8.21382e-08,1.19181e-02,4.2108e-03,4.9045e-05,4.4994e-06,6.6459e-08,,,,,,            4.6053,           11.1081,           15.1515,           22.0218,           28.6704,            1.6273,            5.1443,           -0.5690,           -0.3108,            1.6517,
Ref 11,8.07606e-08,,,,,,1.1863e-02,4.1645e-03,4.8312e-05,4.4020e-06,6.4216e-08,,,,,,,,,,,
Sam 11,8.04569e-08,1.19180e-02,4.2109e-03,4.9051e-05,4.4985e-06,6.6650e-08,,,,,,            4.5951,           11.1143,           15.2288,           21.8988,           24.2788,            1.6162,            5.1505,           -0.4883,           -0.4433,           -2.6257,
Ref 12,7.90860e-08,,,,,,1.1863e-02,4.1646e-03,4.8319e-05,4.4021e-06,6.5942e-08,,,,,,,,,,,
Sam 12,7.88374e-08,1.19180e-02,4.2109e-03,4.9050e-05,4.4984e-06,6.7112e-08,,,,,,            4.6001,           11.0999,           15.1609,           21.7797,           24.6758,            1.6221,            5.1362,           -0.5463,           -0.5315,           -2.2166,
Ref 13,7.74315e-08,,,,,,1.1863e-02,4.1646e-03,4.8316e-05,4.4029e-06,6.5040e-08,,,,,,,,,,,
Sam 13,7.72442e-08,1.19180e-02,4.2109e-03,4.9047e-05,4.4994e-06,6.7660e-08,,,,,,            4.6012,           11.1049,           15.0909,           22.0103,           34.8831,            1.6231,            5.1411,           -0.6213,           -0.3157,            7.7119,
Ref 14,7.58299e-08,,,,,,1.1863e-02,4.1647e-03,4.8319e-05,4.4021e-06,6.5727e-08,,,,,,,,,,,
Sam 14,7.61541e-08,1.19175e-02,4.2106e-03,4.9041e-05,4.4993e-06,6.7847e-08,,,,,,            4.5743,           11.0503,           15.0291,           22.0039,           29.4682,            1.5963,            5.0869,           -0.6015,           -0.2141,            2.5742,
Ref 15,7.45036e-08,,,,,,1.1863e-02,4.1645e-03,4.8310e-05,4.4029e-06,6.6086e-08,,,,,,,,,,,
Sam 15,7.46444e-08,1.19176e-02,4.2107e-03,4.9041e-05,4.4972e-06,6.6908e-08,,,,,,            4.5861,           11.0784,           15.1054,           21.5321,           21.5957,            1.6079,            5.1148,           -0.5658,           -0.7312,           -5.1596,
Ref 16,7.29965e-08,,,,,,1.1863e-02,4.1646e-03,4.8312e-05,4.4020e-06,6.4888e-08,,,,,,,,,,,
Sam 16,7.29680e-08,1.19177e-02,4.2108e-03,4.9047e-05,4.4992e-06,6.7435e-08,,,,,,            4.6132,           11.1280,           15.1906,           22.0254,           32.9871,            1.6350,            5.1641,           -0.5579,           -0.3467,            5.8076,
Ref 17,7.17960e-08,,,,,,1.1863e-02,4.1644e-03,4.8315e-05,4.4025e-06,6.5682e-08,,,,,,,,,,,
Sam 17,7.18101e-08,1.19175e-02,4.2107e-03,4.9043e-05,4.4985e-06,6.8144e-08,,,,,,            4.5983,           11.0803,           15.0855,           21.7894,           33.4252,            1.6209,            5.1167,           -0.5998,           -0.4833,            6.3434,
Ref 18,7.01327e-08,,,,,,1.1863e-02,4.1646e-03,4.8313e-05,4.4028e-06,6.6204e-08,,,,,,,,,,,
Sam 18,7.02991e-08,1.19175e-02,4.2108e-03,4.9043e-05,4.4967e-06,6.7233e-08,,,,,,            4.5893,           11.0836,           15.1184,           21.3914,           18.9006,            1.6112,            5.1200,           -0.5614,           -0.8790,           -7.7974,
Ref 19,6.87383e-08,,,,,,1.1863e-02,4.1647e-03,4.8313e-05,4.4023e-06,6.5763e-08,,,,,,,,,,,
Sam 19,6.88307e-08,1.19177e-02,4.2109e-03,4.9046e-05,4.4978e-06,6.7714e-08,,,,,,            4.6104,           11.1007,           15.1878,           21.7947,           26.0034,            1.6330,            5.1369,           -0.5313,           -0.5183,           -0.9362,
Ref 20,6.73929e-08,,,,,,1.1863e-02,4.1647e-03,4.8312e-05,4.4014e-06,6.6237e-08,,,,,,,,,,,
Sam 20,6.75216e-08,1.19176e-02,4.2110e-03,4.9047e-05,4.5002e-06,6.8100e-08,,,,,,            4.6046,           11.1031,           15.2116,           22.2858,           26.3990,            1.6267,            5.1394,           -0.5042,           -0.0428,           -0.5496,
Ref 21,6.60785e-08,,,,,,1.1863e-02,4.1647e-03,4.8313e-05,4.4029e-06,6.6461e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.54398e-08,,,,,,1.1863e-02,4.1647e-03,4.8315e-05,4.3999e-06,6.5902e-08,
Sam 1,6.55071e-08,1.19177e-02,4.2111e-03,4.9049e-05,4.5000e-06,6.7655e-08,,,,,,            4.6132,           11.1235,           15.1770,           22.5579,           20.7605,            1.6352,            5.1596,           -0.5670,            0.1831,           -6.0886,
Ref 2,6.41046e-08,,,,,,1.1863e-02,4.1648e-03,4.8317e-05,4.4016e-06,6.6664e-08,,,,,,,,,,,
Sam 2,6.43151e-08,1.19177e-02,4.2111e-03,4.9048e-05,4.4973e-06,6.8537e-08,,,,,,            4.6061,           11.0979,           15.1778,           21.6915,           32.7663,            1.6286,            5.1341,           -0.5339,           -0.6137,            5.6592,
Ref 3,6.28717e-08,,,,,,1.1863e-02,4.1649e-03,4.8313e-05,4.4021e-06,6.6055e-08,,,,,,,,,,,
Sam 3,6.31228e-08,1.19176e-02,4.2112e-03,4.9051e-05,4.4972e-06,6.7933e-08,,,,,,            4.5986,           11.1033,           15.1961,           21.7266,           25.4438,            1.6204,            5.1396,           -0.5135,           -0.5901,           -1.4738,
Ref 4,6.16790e-08,,,,,,1.1863e-02,4.1649e-03,4.8321e-05,4.4011e-06,6.6445e-08,,,,,,,,,,,
Sam 4,6.19736e-08,1.19176e-02,4.2112e-03,4.9047e-05,4.4984e-06,6.8480e-08,,,,,,            4.5981,           11.0927,           15.1679,           22.2017,           34.6325,            1.6203,            5.1290,           -0.5305,           -0.1044,            7.4951,
Ref 5,6.05552e-08,,,,,,1.1863e-02,4.1650e-03,4.8308e-05,4.4003e-06,6.5927e-08,,,,,,,,,,,
Sam 5,6.08556e-08,1.19176e-02,4.2112e-03,4.9052e-05,4.4994e-06,6.7388e-08,,,,,,            4.6097,           11.0994,           15.3474,           22.4237,           16.7850,            1.6323,            5.1356,           -0.3721,            0.0996,           -9.9093,
Ref 6,5.95349e-08,,,,,,1.1863e-02,4.1649e-03,4.8314e-05,4.4012e-06,6.6630e-08,,,,,,,,,,,
Sam 6,5.98292e-08,1.19174e-02,4.2111e-03,4.9045e-05,4.4983e-06,6.7082e-08,,,,,,            4.5983,           11.0863,           15.0866,           22.0521,           10.1279,            1.6206,            5.1226,           -0.6044,           -0.2381,          -16.3547,
Ref 7,5.83951e-08,,,,,,1.1863e-02,4.1650e-03,4.8319e-05,4.4013e-06,6.6185e-08,,,,,,,,,,,
Sam 7,5.87080e-08,1.19175e-02,4.2112e-03,4.9050e-05,4.4975e-06,6.7599e-08,,,,,,            4.5992,           11.0994,           15.1857,           22.1313,           22.7647,            1.6212,            5.1356,           -0.5206,           -0.1864,           -4.0755,
Ref 8,5.72921e-08,,,,,,1.1863e-02,4.1650e-03,4.8314e-05,4.3989e-06,6.6002e-08,,,,,,,,,,,
Sam 8,5.76419e-08,1.19175e-02,4.2112e-03,4.9045e-05,4.4961e-06,6.7977e-08,,,,,,            4.5980,           11.0869,           15.0387,           21.9483,           28.5535,            1.6203,            5.1233,           -0.6519,           -0.3409,            1.5868,
Ref 9,5.61997e-08,,,,,,1.1863e-02,4.1651e-03,4.8323e-05,4.4002e-06,6.6181e-08,,,,,,,,,,,
Sam 9,5.65686e-08,1.19175e-02,4.2113e-03,4.9048e-05,4.4981e-06,6.8449e-08,,,,,,            4.6000,           11.0909,           15.0667,           22.3165,           39.9775,            1.6223,            5.1272,           -0.6303,            0.0115,           12.7014,
Ref 10,5.52172e-08,,,,,,1.1863e-02,4.1651e-03,4.8317e-05,4.3996e-06,6.5448e-08,,,,,,,,,,,
Sam 10,5.55773e-08,1.19175e-02,4.2113e-03,4.9054e-05,4.4976e-06,6.9100e-08,,,,,,            4.6028,           11.0969,           15.1409,           22.0919,           43.9340,            1.6251,            5.1332,           -0.5660,           -0.2202,           16.5391,
Ref 11,5.41889e-08,,,,,,1.1863e-02,4.1651e-03,4.8326e-05,4.4012e-06,6.6950e-08,,,,,,,,,,,
Sam 11,5.46503e-08,1.19175e-02,4.2114e-03,4.9052e-05,4.5000e-06,6.7661e-08,,,,,,            4.6028,           11.0933,           15.0398,           22.1629,           14.6453,            1.6252,            5.1296,           -0.6620,           -0.1436,          -11.9741,
Ref 12,5.32775e-08,,,,,,1.1863e-02,4.1652e-03,4.8323e-05,4.4036e-06,6.6414e-08,,,,,,,,,,,
Sam 12,5.36752e-08,1.19175e-02,4.2114e-03,4.9053e-05,4.4970e-06,6.7761e-08,,,,,,            4.6120,           11.0793,           15.1134,           21.5945,           14.5867,            1.6355,            5.1156,           -0.5853,           -0.6718,          -12.0136,
Ref 13,5.22946e-08,,,,,,1.1863e-02,4.1653e-03,4.8323e-05,4.4002e-06,6.7166e-08,,,,,,,,,,,
Sam 13,5.27668e-08,1.19175e-02,4.2114e-03,4.9052e-05,4.4986e-06,6.9148e-08,,,,,,            4.6145,           11.0867,           15.1020,           22.1067,           29.8388,            1.6379,            5.1231,           -0.6064,           -0.1856,            2.8213,
Ref 14,5.13892e-08,,,,,,1.1863e-02,4.1653e-03,4.8321e-05,4.4025e-06,6.7122e-08,,,,,,,,,,,
Sam 14,5.18808e-08,1.19174e-02,4.2115e-03,4.9051e-05,4.4986e-06,6.8988e-08,,,,,,            4.6023,           11.0905,           15.1149,           22.1240,           37.3377,            1.6247,            5.1268,           -0.5847,           -0.1759,           10.1293,
Ref 15,5.05034e-08,,,,,,1.1863e-02,4.1653e-03,4.8320e-05,4.3998e-06,6.5877e-08,,,,,,,,,,,
Sam 15,5.10150e-08,1.19173e-02,4.2115e-03,4.9056e-05,4.4979e-06,6.9174e-08,,,,,,            4.5975,           11.0757,           15.1843,           22.2101,           34.5490,            1.6201,            5.1121,           -0.4971,           -0.0626,            7.4477,
Ref 16,4.96414e-08,,,,,,1.1863e-02,4.1653e-03,4.8325e-05,4.4006e-06,6.7867e-08,,,,,,,,,,,
Sam 16,5.01646e-08,1.19173e-02,4.2115e-03,4.9054e-05,4.4983e-06,6.8814e-08,,,,,,            4.5990,           11.0808,           15.1126,           22.1701,           28.2513,            1.6216,            5.1171,           -0.5742,           -0.1117,            1.3035,
Ref 17,4.87929e-08,,,,,,1.1863e-02,4.1653e-03,4.8323e-05,4.4009e-06,6.5962e-08,,,,,,,,,,,
Sam 17,4.93305e-08,1.19172e-02,4.2115e-03,4.9052e-05,4.4967e-06,6.8835e-08,,,,,,            4.5961,           11.0887,           15.0775,           21.5566,           45.6410,            1.6182,            5.1250,           -0.6134,           -0.7274,           18.2250,
Ref 18,4.79606e-08,,,,,,1.1863e-02,4.1654e-03,4.8324e-05,4.4027e-06,6.5697e-08,,,,,,,,,,,
Sam 18,4.85110e-08,1.19173e-02,4.2115e-03,4.9056e-05,4.4979e-06,6.8616e-08,,,,,,            4.6082,           11.0801,           15.1680,           21.7997,           25.0289,            1.6313,            5.1164,           -0.5284,           -0.4727,           -1.8427,
Ref 19,4.71516e-08,,,,,,1.1863e-02,4.1654e-03,4.8321e-05,4.4011e-06,6.8205e-08,,,,,,,,,,,
Sam 19,4.77133e-08,1.19172e-02,4.2116e-03,4.9060e-05,4.4963e-06,6.8500e-08,,,,,,            4.6020,           11.0860,           15.3575,           21.6640,           15.6529,            1.6246,            5.1224,           -0.3413,           -0.6172,          -10.9780,
Ref 20,4.63644e-08,,,,,,1.1863e-02,4.1654e-03,4.8314e-05,4.4008e-06,6.6671e-08,,,,,,,,,,,
Sam 20,4.69392e-08,1.19171e-02,4.2116e-03,4.9057e-05,4.4966e-06,6.8468e-08,,,,,,            4.5972,           11.0899,           15.2757,           21.8268,           26.6297,            1.6193,            5.1263,           -0.4207,           -0.4656,           -0.2914,
Ref 21,4.55954e-08,,,,,,1.1863e-02,4.1655e-03,4.8323e-05,4.4004e-06,6.6713e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.52180e-08,,,,,,1.1863e-02,4.1655e-03,4.8328e-05,4.3989e-06,6.5265e-08,
Sam 1,4.58074e-08,1.19171e-02,4.2116e-03,4.9053e-05,4.4984e-06,6.8762e-08,,,,,,            4.5980,           11.0774,           15.1243,           22.4147,           44.6205,            1.6206,            5.1138,           -0.5584,            0.1341,           17.2514,
Ref 2,4.44676e-08,,,,,,1.1863e-02,4.1655e-03,4.8316e-05,4.4008e-06,6.6394e-08,,,,,,,,,,,
Sam 2,4.50715e-08,1.19171e-02,4.2116e-03,4.9055e-05,4.4978e-06,6.7782e-08,,,,,,            4.5972,           11.0646,           15.1857,           22.1281,            3.4900,            1.6202,            5.1010,           -0.4847,           -0.1208,          -22.7762,
Ref 3,4.37346e-08,,,,,,1.1862e-02,4.1655e-03,4.8327e-05,4.4000e-06,6.8717e-08,,,,,,,,,,,
Sam 3,4.43817e-08,1.19170e-02,4.2117e-03,4.9050e-05,4.4980e-06,6.8807e-08,,,,,,            4.6014,           11.0855,           15.0408,           22.2950,           16.5593,            1.6239,            5.1218,           -0.6519,            0.0011,          -10.0936,
Ref 4,4.30406e-08,,,,,,1.1862e-02,4.1655e-03,4.8319e-05,4.3997e-06,6.6639e-08,,,,,,,,,,,
Sam 4,4.36577e-08,1.19171e-02,4.2117e-03,4.9060e-05,4.4948e-06,6.9027e-08,,,,,,            4.6049,           11.0814,           15.2963,           21.6274,           37.8453,            1.6278,            5.1178,           -0.4000,           -0.6440,           10.6385,
Ref 5,4.23231e-08,,,,,,1.1862e-02,4.1656e-03,4.8322e-05,4.3996e-06,6.6379e-08,,,,,,,,,,,
Sam 5,4.29989e-08,1.19169e-02,4.2117e-03,4.9058e-05,4.4973e-06,6.9752e-08,,,,,,            4.6002,           11.0859,           15.1844,           22.2832,           50.8572,            1.6226,            5.1223,           -0.5097,           -0.0113,           23.3055,
Ref 6,4.16853e-08,,,,,,1.1862e-02,4.1655e-03,4.8325e-05,4.3989e-06,6.6373e-08,,,,,,,,,,,
Sam 6,4.23278e-08,1.19169e-02,4.2117e-03,4.9059e-05,4.4961e-06,7.0021e-08,,,,,,            4.6061,           11.0810,           15.1691,           21.9798,           37.2272,            1.6291,            5.1173,           -0.5260,           -0.2983,           10.0363,
Ref 7,4.09938e-08,,,,,,1.1862e-02,4.1656e-03,4.8327e-05,4.3999e-06,6.8662e-08,,,,,,,,,,,
Sam 7,4.16713e-08,1.19168e-02,4.2117e-03,4.9058e-05,4.4964e-06,6.9537e-08,,,,,,            4.5948,           11.0690,           15.0766,           21.9893,           32.7420,            1.6175,            5.1054,           -0.5939,           -0.2653,            5.7041,
Ref 8,4.03213e-08,,,,,,1.1862e-02,4.1657e-03,4.8331e-05,4.3993e-06,6.5980e-08,,,,,,,,,,,
Sam 8,4.09855e-08,1.19168e-02,4.2118e-03,4.9057e-05,4.4974e-06,6.8750e-08,,,,,,            4.5982,           11.0751,           15.1066,           22.1238,           25.9549,            1.6209,            5.1115,           -0.5738,           -0.1457,           -0.9207,
Ref 9,3.96893e-08,,,,,,1.1862e-02,4.1657e-03,4.8323e-05,4.4007e-06,6.8058e-08,,,,,,,,,,,
Sam 9,4.03923e-08,1.19168e-02,4.2118e-03,4.9057e-05,4.4967e-06,6.8795e-08,,,,,,            4.6011,           11.0619,           15.1770,           22.0269,            9.1319,            1.6245,            5.0984,           -0.4946,           -0.2145,          -17.2809,
Ref 10,3.90788e-08,,,,,,1.1862e-02,4.1657e-03,4.8325e-05,4.3989e-06,6.8288e-08,,,,,,,,,,,
Sam 10,3.97995e-08,1.19168e-02,4.2118e-03,4.9060e-05,4.4947e-06,7.0255e-08,,,,,,            4.6034,           11.0752,           15.2451,           21.5638,           36.6958,            1.6264,            5.1116,           -0.4428,           -0.6939,            9.5329,
Ref 11,3.84885e-08,,,,,,1.1862e-02,4.1657e-03,4.8322e-05,4.4008e-06,6.7240e-08,,,,,,,,,,,
Sam 11,3.91708e-08,1.19168e-02,4.2118e-03,4.9055e-05,4.4960e-06,6.8580e-08,,,,,,            4.6012,           11.0630,           15.1381,           21.9694,           28.6177,            1.6245,            5.0995,           -0.5340,           -0.2730,            1.6926,
Ref 12,3.78548e-08,,,,,,1.1862e-02,4.1658e-03,4.8326e-05,4.3978e-06,6.6094e-08,,,,,,,,,,,
Sam 12,3.85867e-08,1.19168e-02,4.2119e-03,4.9061e-05,4.4942e-06,6.9692e-08,,,,,,            4.6035,           11.0713,           15.1921,           21.9517,           46.1269,            1.6266,            5.1077,           -0.4913,           -0.3066,           18.7246,
Ref 13,3.73088e-08,,,,,,1.1862e-02,4.1657e-03,4.8328e-05,4.3975e-06,6.7152e-08,,,,,,,,,,,
Sam 13,3.80332e-08,1.19167e-02,4.2119e-03,4.9055e-05,4.4954e-06,6.9785e-08,,,,,,            4.6023,           11.0765,           15.0439,           22.0649,           45.3349,            1.6253,            5.1129,           -0.6411,           -0.2061,           17.9444,
Ref 14,3.67312e-08,,,,,,1.1862e-02,4.1658e-03,4.8329e-05,4.3992e-06,6.6358e-08,,,,,,,,,,,
Sam 14,3.74381e-08,1.19166e-02,4.2119e-03,4.9061e-05,4.4959e-06,6.9757e-08,,,,,,            4.6009,           11.0780,           15.1473,           22.0643,           40.1979,            1.6237,            5.1144,           -0.5393,           -0.2097,           12.9404,
Ref 15,3.61607e-08,,,,,,1.1862e-02,4.1658e-03,4.8329e-05,4.3986e-06,6.7776e-08,,,,,,,,,,,
Sam 15,3.68738e-08,1.19166e-02,4.2119e-03,4.9061e-05,4.4960e-06,6.8982e-08,,,,,,            4.5982,           11.0704,           15.1668,           22.1545,           23.3545,            1.6211,            5.1068,           -0.5098,           -0.1064,           -3.4439,
Ref 16,3.55742e-08,,,,,,1.1862e-02,4.1659e-03,4.8328e-05,4.3985e-06,6.7034e-08,,,,,,,,,,,
Sam 16,3.63165e-08,1.19166e-02,4.2120e-03,4.9061e-05,4.4968e-06,7.0602e-08,,,,,,            4.6019,           11.0660,           15.1438,           22.4283,           54.6433,            1.6251,            5.1024,           -0.5320,            0.1702,           27.0303,
Ref 17,3.50418e-08,,,,,,1.1862e-02,4.1659e-03,4.8331e-05,4.3977e-06,6.6853e-08,,,,,,,,,,,
Sam 17,3.58207e-08,1.19166e-02,4.2119e-03,4.9054e-05,4.4954e-06,7.0376e-08,,,,,,            4.6058,           11.0431,           15.0564,           22.3942,           54.0231,            1.6301,            5.0796,           -0.5998,            0.1821,           26.4679,
Ref 18,3.45300e-08,,,,,,1.1862e-02,4.1659e-03,4.8322e-05,4.3961e-06,6.6684e-08,,,,,,,,,,,
Sam 18,3.52706e-08,1.19165e-02,4.2120e-03,4.9065e-05,4.4941e-06,6.9420e-08,,,,,,            4.6023,           11.0525,           15.3288,           22.0772,           30.3726,            1.6261,            5.0890,           -0.3372,           -0.1467,            3.4209,
Ref 19,3.39975e-08,,,,,,1.1862e-02,4.1660e-03,4.8326e-05,4.3980e-06,6.8075e-08,,,,,,,,,,,
Sam 19,3.47446e-08,1.19165e-02,4.2121e-03,4.9064e-05,4.4980e-06,6.8516e-08,,,,,,            4.5957,           11.0776,           15.2695,           22.4026,           13.5305,            1.6182,            5.1140,           -0.4133,            0.1219,          -13.0220,
Ref 20,3.34878e-08,,,,,,1.1862e-02,4.1660e-03,4.8326e-05,4.4008e-06,6.7120e-08,,,,,,,,,,,
Sam 20,3.42496e-08,1.19166e-02,4.2122e-03,4.9064e-05,4.4949e-06,6.8984e-08,,,,,,            4.5982,           11.0747,           15.2184,           21.3545,           23.3648,            1.6210,            5.1111,           -0.4633,           -0.8975,           -3.4422,
Ref 21,3.29910e-08,,,,,,1.1862e-02,4.1661e-03,4.8331e-05,4.4010e-06,6.7702e-08,,,,,,,,,,,


