Nu Stable Isotope Analysis Program
Data Collected on Saturday, November 04, 2023 at 06:49 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, November 04, 2023 at 07:48 with Stable 1.71.5 on PS019

Data File = Data_20818 MDS 220.5.txt,     Sample Weight = 463,                      Vial Location = 11,                       Initial Sam Beam = 2.5034e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.2540e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02848
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.60635e-08,,,,,,1.1863e-02,4.1640e-03,4.8307e-05,4.4006e-06,6.4695e-08,
Sam 1,8.52639e-08,1.18281e-02,4.1885e-03,4.8425e-05,4.4526e-06,6.4245e-08,,,,,,           -2.9364,            5.8388,            2.3924,           11.6308,           -5.1117,           -6.2171,           -0.0830,           -0.3097,           -0.0799,          -13.3609,
Ref 2,8.44150e-08,,,,,,1.1863e-02,4.1643e-03,4.8312e-05,4.4021e-06,6.4453e-08,,,,,,,,,,,
Sam 2,8.35802e-08,1.18283e-02,4.1886e-03,4.8431e-05,4.4530e-06,6.5310e-08,,,,,,           -2.9509,            5.8217,            2.4273,           11.5461,           14.0324,           -6.2319,           -0.1000,           -0.2432,           -0.1297,            5.6736,
Ref 3,8.26617e-08,,,,,,1.1863e-02,4.1644e-03,4.8314e-05,4.4022e-06,6.4360e-08,,,,,,,,,,,
Sam 3,8.18749e-08,1.18283e-02,4.1887e-03,4.8430e-05,4.4533e-06,6.5059e-08,,,,,,           -2.9544,            5.8186,            2.3783,           11.6721,            9.7785,           -6.2356,           -0.1030,           -0.2854,            0.0010,            1.4646,
Ref 4,8.09380e-08,,,,,,1.1863e-02,4.1644e-03,4.8315e-05,4.4015e-06,6.4500e-08,,,,,,,,,,,
Sam 4,8.01988e-08,1.18282e-02,4.1887e-03,4.8430e-05,4.4514e-06,6.5442e-08,,,,,,           -2.9584,            5.8223,            2.4042,           11.2591,           14.1597,           -6.2399,           -0.0994,           -0.2591,           -0.4145,            5.8067,
Ref 5,7.92478e-08,,,,,,1.1863e-02,4.1645e-03,4.8313e-05,4.4021e-06,6.4558e-08,,,,,,,,,,,
Sam 5,7.85650e-08,1.18283e-02,4.1887e-03,4.8428e-05,4.4520e-06,6.4880e-08,,,,,,           -2.9558,            5.8171,            2.3710,           11.4242,            9.7294,           -6.2369,           -0.1045,           -0.2899,           -0.2411,            1.4202,
Ref 6,7.76049e-08,,,,,,1.1863e-02,4.1645e-03,4.8314e-05,4.4014e-06,6.3945e-08,,,,,,,,,,,
Sam 6,7.73875e-08,1.18279e-02,4.1885e-03,4.8420e-05,4.4528e-06,6.5855e-08,,,,,,           -2.9826,            5.7650,            2.1647,           11.7849,           20.2884,           -6.2637,           -0.1563,           -0.4169,            0.2191,           12.0244,
Ref 7,7.61270e-08,,,,,,1.1863e-02,4.1645e-03,4.8318e-05,4.4005e-06,6.5158e-08,,,,,,,,,,,
Sam 7,7.55418e-08,1.18281e-02,4.1887e-03,4.8427e-05,4.4550e-06,6.5864e-08,,,,,,           -2.9541,            5.8206,            2.3226,           12.1958,           13.1425,           -6.2353,           -0.1010,           -0.3433,            0.5146,            4.7966,
Ref 8,7.45877e-08,,,,,,1.1863e-02,4.1645e-03,4.8312e-05,4.4023e-06,6.4858e-08,,,,,,,,,,,
Sam 8,7.40480e-08,1.18281e-02,4.1888e-03,4.8431e-05,4.4536e-06,6.5650e-08,,,,,,           -2.9569,            5.8268,            2.4736,           11.7030,           14.1043,           -6.2385,           -0.0948,           -0.1958,            0.0152,            5.7412,
Ref 9,7.30697e-08,,,,,,1.1863e-02,4.1646e-03,4.8311e-05,4.4018e-06,6.4613e-08,,,,,,,,,,,
Sam 9,7.25761e-08,1.18280e-02,4.1888e-03,4.8431e-05,4.4531e-06,6.6696e-08,,,,,,           -2.9478,            5.8482,            2.4571,           11.5788,           21.6654,           -6.2296,           -0.0736,           -0.2426,           -0.1501,           13.1878,
Ref 10,7.18992e-08,,,,,,1.1863e-02,4.1644e-03,4.8312e-05,4.4024e-06,6.5961e-08,,,,,,,,,,,
Sam 10,7.09916e-08,1.18282e-02,4.1890e-03,4.8431e-05,4.4530e-06,6.5627e-08,,,,,,           -2.9351,            5.8588,            2.4561,           11.6138,           -7.1899,           -6.2164,           -0.0630,           -0.2671,           -0.1366,          -15.4618,
Ref 11,7.00722e-08,,,,,,1.1863e-02,4.1647e-03,4.8313e-05,4.4012e-06,6.6249e-08,,,,,,,,,,,
Sam 11,6.96925e-08,1.18282e-02,4.1889e-03,4.8432e-05,4.4527e-06,6.6871e-08,,,,,,           -2.9526,            5.8128,            2.4582,           11.6510,           20.3937,           -6.2334,           -0.1088,           -0.2020,           -0.0085,           12.0018,
Ref 12,6.87038e-08,,,,,,1.1863e-02,4.1647e-03,4.8314e-05,4.4017e-06,6.4807e-08,,,,,,,,,,,
Sam 12,6.86836e-08,1.18277e-02,4.1888e-03,4.8431e-05,4.4525e-06,6.5667e-08,,,,,,           -2.9797,            5.7745,            2.4162,           11.5833,            9.9805,           -6.2610,           -0.1469,           -0.1783,            0.0010,            1.7785,
Ref 13,6.75289e-08,,,,,,1.1863e-02,4.1647e-03,4.8315e-05,4.4014e-06,6.5233e-08,,,,,,,,,,,
Sam 13,6.71806e-08,1.18279e-02,4.1889e-03,4.8435e-05,4.4523e-06,6.6375e-08,,,,,,           -2.9485,            5.8187,            2.4834,           11.4538,           17.1587,           -6.2292,           -0.1029,           -0.1869,           -0.2150,            8.7774,
Ref 14,6.63537e-08,,,,,,1.1863e-02,4.1646e-03,4.8314e-05,4.4022e-06,6.5278e-08,,,,,,,,,,,
Sam 14,6.59043e-08,1.18279e-02,4.1889e-03,4.8430e-05,4.4528e-06,6.6206e-08,,,,,,           -2.9513,            5.8036,            2.3310,           11.4360,           12.4473,           -6.2317,           -0.1180,           -0.3212,           -0.2026,            4.1374,
Ref 15,6.47522e-08,,,,,,1.1863e-02,4.1649e-03,4.8320e-05,4.4027e-06,6.5509e-08,,,,,,,,,,,
Sam 15,6.48926e-08,1.18277e-02,4.1888e-03,4.8428e-05,4.4527e-06,6.6464e-08,,,,,,           -2.9824,            5.7612,            2.3061,           11.4514,            9.7939,           -6.2633,           -0.1601,           -0.2723,           -0.1029,            1.6222,
Ref 16,6.36961e-08,,,,,,1.1863e-02,4.1648e-03,4.8313e-05,4.4018e-06,6.6134e-08,,,,,,,,,,,
Sam 16,6.34625e-08,1.18279e-02,4.1890e-03,4.8432e-05,4.4534e-06,6.6775e-08,,,,,,           -2.9597,            5.8016,            2.4171,           11.8953,           10.0901,           -6.2406,           -0.1200,           -0.2245,            0.2555,            1.8126,
Ref 17,6.23620e-08,,,,,,1.1863e-02,4.1649e-03,4.8318e-05,4.4003e-06,6.6081e-08,,,,,,,,,,,
Sam 17,6.23160e-08,1.18278e-02,4.1890e-03,4.8428e-05,4.4521e-06,6.6807e-08,,,,,,           -2.9603,            5.7985,            2.2948,           11.6006,           15.8317,           -6.2412,           -0.1230,           -0.3429,           -0.0297,            7.5139,
Ref 18,6.13420e-08,,,,,,1.1863e-02,4.1648e-03,4.8316e-05,4.4018e-06,6.5445e-08,,,,,,,,,,,
Sam 18,6.10461e-08,1.18279e-02,4.1892e-03,4.8438e-05,4.4534e-06,6.6425e-08,,,,,,           -2.9517,            5.8309,            2.5251,           11.7244,           17.0438,           -6.2331,           -0.0908,           -0.1539,            0.0282,            8.6428,
Ref 19,6.01124e-08,,,,,,1.1863e-02,4.1649e-03,4.8317e-05,4.4018e-06,6.5175e-08,,,,,,,,,,,
Sam 19,6.00297e-08,1.18279e-02,4.1891e-03,4.8437e-05,4.4516e-06,6.6304e-08,,,,,,           -2.9531,            5.8094,            2.4282,           11.3698,           22.5421,           -6.2339,           -0.1122,           -0.2280,           -0.2796,           14.1398,
Ref 20,5.89995e-08,,,,,,1.1863e-02,4.1650e-03,4.8323e-05,4.4012e-06,6.4504e-08,,,,,,,,,,,
Sam 20,5.89071e-08,1.18279e-02,4.1892e-03,4.8432e-05,4.4529e-06,6.7249e-08,,,,,,           -2.9520,            5.8102,            2.2618,           11.8467,           34.7340,           -6.2327,           -0.1114,           -0.3958,            0.1904,           26.2289,
Ref 21,5.78994e-08,,,,,,1.1863e-02,4.1650e-03,4.8323e-05,4.4004e-06,6.5489e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.73641e-08,,,,,,1.1863e-02,4.1650e-03,4.8319e-05,4.4011e-06,6.5183e-08,
Sam 1,5.73226e-08,1.18278e-02,4.1892e-03,4.8433e-05,4.4522e-06,6.6419e-08,,,,,,           -2.9633,            5.8010,            2.3388,           11.5328,           12.5943,           -6.2444,           -0.1206,           -0.2984,           -0.1017,            4.3013,
Ref 2,5.62714e-08,,,,,,1.1863e-02,4.1651e-03,4.8322e-05,4.4019e-06,6.6010e-08,,,,,,,,,,,
Sam 2,5.62096e-08,1.18279e-02,4.1893e-03,4.8435e-05,4.4522e-06,6.6217e-08,,,,,,           -2.9542,            5.8102,            2.3013,           11.5252,            1.4406,           -6.2350,           -0.1114,           -0.3542,           -0.1275,           -6.7886,
Ref 3,5.52308e-08,,,,,,1.1863e-02,4.1652e-03,4.8325e-05,4.4011e-06,6.6234e-08,,,,,,,,,,,
Sam 3,5.52753e-08,1.18279e-02,4.1893e-03,4.8432e-05,4.4523e-06,6.6783e-08,,,,,,           -2.9529,            5.8022,            2.2165,           11.4864,           11.1962,           -6.2334,           -0.1194,           -0.4323,           -0.1500,            2.9011,
Ref 4,5.43158e-08,,,,,,1.1863e-02,4.1651e-03,4.8325e-05,4.4024e-06,6.5849e-08,,,,,,,,,,,
Sam 4,5.43334e-08,1.18278e-02,4.1894e-03,4.8438e-05,4.4519e-06,6.6269e-08,,,,,,           -2.9560,            5.8138,            2.3559,           11.2705,            7.7590,           -6.2371,           -0.1078,           -0.3014,           -0.3864,           -0.5272,
Ref 5,5.33070e-08,,,,,,1.1863e-02,4.1652e-03,4.8323e-05,4.4022e-06,6.5666e-08,,,,,,,,,,,
Sam 5,5.34258e-08,1.18277e-02,4.1894e-03,4.8434e-05,4.4533e-06,6.6685e-08,,,,,,           -2.9568,            5.7937,            2.3198,           11.5541,           20.4508,           -6.2372,           -0.1278,           -0.3169,           -0.0660,           12.1008,
Ref 6,5.23833e-08,,,,,,1.1863e-02,4.1652e-03,4.8322e-05,4.4026e-06,6.5025e-08,,,,,,,,,,,
Sam 6,5.24294e-08,1.18278e-02,4.1895e-03,4.8436e-05,4.4523e-06,6.7270e-08,,,,,,           -2.9526,            5.8105,            2.3722,           11.4706,           28.7713,           -6.2334,           -0.1111,           -0.2854,           -0.1821,           20.3152,
Ref 7,5.14507e-08,,,,,,1.1863e-02,4.1653e-03,4.8322e-05,4.4011e-06,6.5759e-08,,,,,,,,,,,
Sam 7,5.15311e-08,1.18278e-02,4.1895e-03,4.8443e-05,4.4535e-06,6.7027e-08,,,,,,           -2.9559,            5.8183,            2.5087,           11.9882,           19.7901,           -6.2371,           -0.1033,           -0.1535,            0.3140,           11.3959,
Ref 8,5.05550e-08,,,,,,1.1863e-02,4.1653e-03,4.8323e-05,4.4003e-06,6.5693e-08,,,,,,,,,,,
Sam 8,5.06582e-08,1.18278e-02,4.1896e-03,4.8438e-05,4.4512e-06,6.6671e-08,,,,,,           -2.9527,            5.8160,            2.3668,           11.4629,           12.1195,           -6.2337,           -0.1056,           -0.2961,           -0.2006,            3.7896,
Ref 9,4.96848e-08,,,,,,1.1863e-02,4.1654e-03,4.8324e-05,4.4012e-06,6.6056e-08,,,,,,,,,,,
Sam 9,4.98183e-08,1.18277e-02,4.1896e-03,4.8444e-05,4.4529e-06,6.6830e-08,,,,,,           -2.9530,            5.8074,            2.4365,           11.9126,           10.9367,           -6.2336,           -0.1142,           -0.2179,            0.2610,            2.6337,
Ref 10,4.88370e-08,,,,,,1.1863e-02,4.1654e-03,4.8327e-05,4.3998e-06,6.6159e-08,,,,,,,,,,,
Sam 10,4.89911e-08,1.18277e-02,4.1896e-03,4.8435e-05,4.4522e-06,6.6896e-08,,,,,,           -2.9557,            5.8091,            2.2908,           11.8325,           11.6826,           -6.2365,           -0.1125,           -0.3622,            0.1784,            3.3729,
Ref 11,4.80103e-08,,,,,,1.1863e-02,4.1654e-03,4.8322e-05,4.4004e-06,6.6087e-08,,,,,,,,,,,
Sam 11,4.81873e-08,1.18277e-02,4.1896e-03,4.8441e-05,4.4505e-06,6.7511e-08,,,,,,           -2.9593,            5.8146,            2.4577,           11.5521,           18.7607,           -6.2407,           -0.1070,           -0.1972,           -0.1097,           10.3861,
Ref 12,4.72014e-08,,,,,,1.1863e-02,4.1654e-03,4.8322e-05,4.3990e-06,6.6451e-08,,,,,,,,,,,
Sam 12,4.73958e-08,1.18276e-02,4.1896e-03,4.8440e-05,4.4521e-06,6.6771e-08,,,,,,           -2.9540,            5.8127,            2.3864,           12.0370,           12.6717,           -6.2349,           -0.1089,           -0.2721,            0.3733,            4.3450,
Ref 13,4.64103e-08,,,,,,1.1863e-02,4.1654e-03,4.8326e-05,4.3994e-06,6.5411e-08,,,,,,,,,,,
Sam 13,4.66261e-08,1.18276e-02,4.1896e-03,4.8440e-05,4.4488e-06,6.7064e-08,,,,,,           -2.9496,            5.8000,            2.3663,           11.0630,           16.7227,           -6.2297,           -0.1216,           -0.2842,           -0.5641,            8.3831,
Ref 14,4.56362e-08,,,,,,1.1863e-02,4.1655e-03,4.8325e-05,4.4008e-06,6.6520e-08,,,,,,,,,,,
Sam 14,4.58734e-08,1.18276e-02,4.1897e-03,4.8438e-05,4.4524e-06,6.8679e-08,,,,,,           -2.9442,            5.8062,            2.3274,           11.8186,           35.2915,           -6.2243,           -0.1154,           -0.3346,            0.1705,           26.7813,
Ref 15,4.48820e-08,,,,,,1.1863e-02,4.1655e-03,4.8326e-05,4.4000e-06,6.6152e-08,,,,,,,,,,,
Sam 15,4.51380e-08,1.18276e-02,4.1897e-03,4.8436e-05,4.4509e-06,6.6732e-08,,,,,,           -2.9505,            5.8104,            2.2657,           11.5467,            7.2315,           -6.2311,           -0.1112,           -0.3938,           -0.1068,           -1.0497,
Ref 16,4.41440e-08,,,,,,1.1863e-02,4.1655e-03,4.8328e-05,4.4002e-06,6.6355e-08,,,,,,,,,,,
Sam 16,4.44187e-08,1.18275e-02,4.1897e-03,4.8436e-05,4.4497e-06,6.6174e-08,,,,,,           -2.9538,            5.7919,            2.3139,           11.3850,           -9.2407,           -6.2339,           -0.1296,           -0.3241,           -0.2297,          -17.3474,
Ref 17,4.34201e-08,,,,,,1.1862e-02,4.1655e-03,4.8320e-05,4.3990e-06,6.7234e-08,,,,,,,,,,,
Sam 17,4.37145e-08,1.18275e-02,4.1898e-03,4.8442e-05,4.4497e-06,6.7501e-08,,,,,,           -2.9452,            5.8083,            2.4589,           11.4092,           13.3663,           -6.2254,           -0.1133,           -0.2045,           -0.2384,            5.0332,
Ref 18,4.27104e-08,,,,,,1.1862e-02,4.1656e-03,4.8325e-05,4.4000e-06,6.5978e-08,,,,,,,,,,,
Sam 18,4.30214e-08,1.18275e-02,4.1898e-03,4.8442e-05,4.4517e-06,6.7005e-08,,,,,,           -2.9503,            5.8015,            2.4074,           11.9700,           13.5893,           -6.2306,           -0.1201,           -0.2439,            0.3295,            5.2732,
Ref 19,4.20213e-08,,,,,,1.1862e-02,4.1656e-03,4.8326e-05,4.3981e-06,6.6238e-08,,,,,,,,,,,
Sam 19,4.23645e-08,1.18274e-02,4.1898e-03,4.8444e-05,4.4489e-06,6.6841e-08,,,,,,           -2.9569,            5.7959,            2.4194,           11.1648,            0.4600,           -6.2374,           -0.1257,           -0.2196,           -0.4553,           -7.7305,
Ref 20,4.13603e-08,,,,,,1.1862e-02,4.1656e-03,4.8328e-05,4.4015e-06,6.7392e-08,,,,,,,,,,,
Sam 20,4.17268e-08,1.18272e-02,4.1898e-03,4.8443e-05,4.4531e-06,6.7940e-08,,,,,,           -2.9680,            5.8067,            2.3668,           11.8739,           22.1115,           -6.2496,           -0.1149,           -0.2712,            0.2243,           13.7344,
Ref 21,4.07509e-08,,,,,,1.1862e-02,4.1656e-03,4.8329e-05,4.4001e-06,6.5535e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.04231e-08,,,,,,1.1862e-02,4.1655e-03,4.8320e-05,4.3997e-06,6.5628e-08,
Sam 1,4.07867e-08,1.18273e-02,4.1898e-03,4.8444e-05,4.4515e-06,6.6113e-08,,,,,,           -2.9496,            5.8057,            2.4877,           11.5652,           -1.3232,           -6.2300,           -0.1159,           -0.1686,           -0.0789,           -9.5257,
Ref 2,3.97675e-08,,,,,,1.1862e-02,4.1657e-03,4.8328e-05,4.4016e-06,6.6782e-08,,,,,,,,,,,
Sam 2,4.01578e-08,1.18272e-02,4.1898e-03,4.8441e-05,4.4495e-06,6.7455e-08,,,,,,           -2.9544,            5.8048,            2.3317,           11.1875,           16.5004,           -6.2351,           -0.1168,           -0.3184,           -0.4506,            8.1583,
Ref 3,3.91438e-08,,,,,,1.1862e-02,4.1656e-03,4.8328e-05,4.3989e-06,6.5932e-08,,,,,,,,,,,
Sam 3,3.95340e-08,1.18272e-02,4.1898e-03,4.8443e-05,4.4478e-06,6.8389e-08,,,,,,           -2.9515,            5.7865,            2.3493,           11.0646,           29.1481,           -6.2313,           -0.1350,           -0.2859,           -0.5356,           20.7356,
Ref 4,3.84912e-08,,,,,,1.1862e-02,4.1658e-03,4.8331e-05,4.3993e-06,6.6980e-08,,,,,,,,,,,
Sam 4,3.89167e-08,1.18272e-02,4.1899e-03,4.8443e-05,4.4513e-06,6.8136e-08,,,,,,           -2.9569,            5.8064,            2.3234,           11.8376,           29.2854,           -6.2377,           -0.1152,           -0.3257,            0.1889,           20.8379,
Ref 5,3.79291e-08,,,,,,1.1862e-02,4.1657e-03,4.8330e-05,4.3992e-06,6.5403e-08,,,,,,,,,,,
Sam 5,3.83584e-08,1.18271e-02,4.1899e-03,4.8442e-05,4.4507e-06,6.8736e-08,,,,,,           -2.9581,            5.8164,            2.3294,           12.0738,           38.0583,           -6.2394,           -0.1052,           -0.3282,            0.4024,           29.5200,
Ref 6,3.73381e-08,,,,,,1.1862e-02,4.1657e-03,4.8329e-05,4.3961e-06,6.7042e-08,,,,,,,,,,,
Sam 6,3.77835e-08,1.18270e-02,4.1899e-03,4.8449e-05,4.4503e-06,6.7936e-08,,,,,,           -2.9655,            5.8016,            2.5019,           11.9527,           18.3151,           -6.2468,           -0.1199,           -0.1341,            0.3121,            9.9763,
Ref 7,3.67397e-08,,,,,,1.1862e-02,4.1658e-03,4.8328e-05,4.3994e-06,6.6382e-08,,,,,,,,,,,
Sam 7,3.72122e-08,1.18271e-02,4.1899e-03,4.8440e-05,4.4518e-06,6.8057e-08,,,,,,           -2.9543,            5.7906,            2.3115,           11.8692,           26.0000,           -6.2345,           -0.1309,           -0.3247,            0.2515,           17.6082,
Ref 8,3.61638e-08,,,,,,1.1862e-02,4.1658e-03,4.8329e-05,4.3998e-06,6.6282e-08,,,,,,,,,,,
Sam 8,3.66524e-08,1.18272e-02,4.1900e-03,4.8443e-05,4.4502e-06,6.7535e-08,,,,,,           -2.9482,            5.7852,            2.3253,           11.3818,           28.1138,           -6.2278,           -0.1363,           -0.3121,           -0.2196,           19.7087,
Ref 9,3.56223e-08,,,,,,1.1862e-02,4.1659e-03,4.8332e-05,4.4004e-06,6.5086e-08,,,,,,,,,,,
Sam 9,3.61141e-08,1.18271e-02,4.1900e-03,4.8454e-05,4.4505e-06,6.8933e-08,,,,,,           -2.9563,            5.7825,            2.6030,           11.5450,           46.9120,           -6.2363,           -0.1390,           -0.0240,           -0.0529,           38.3677,
Ref 10,3.50816e-08,,,,,,1.1862e-02,4.1660e-03,4.8323e-05,4.3991e-06,6.6614e-08,,,,,,,,,,,
Sam 10,3.55791e-08,1.18270e-02,4.1900e-03,4.8446e-05,4.4481e-06,6.9231e-08,,,,,,           -2.9576,            5.7800,            2.4290,           10.9718,           35.9421,           -6.2376,           -0.1415,           -0.1938,           -0.6145,           27.4938,
Ref 11,3.45537e-08,,,,,,1.1862e-02,4.1659e-03,4.8334e-05,4.4006e-06,6.7047e-08,,,,,,,,,,,
Sam 11,3.50698e-08,1.18270e-02,4.1901e-03,4.8439e-05,4.4497e-06,6.8253e-08,,,,,,           -2.9576,            5.8013,            2.2781,           11.5523,           19.6276,           -6.2383,           -0.1202,           -0.3652,           -0.0831,           11.2701,
Ref 12,3.40562e-08,,,,,,1.1862e-02,4.1659e-03,4.8325e-05,4.3972e-06,6.6829e-08,,,,,,,,,,,
Sam 12,3.45717e-08,1.18270e-02,4.1901e-03,4.8451e-05,4.4504e-06,6.7327e-08,,,,,,           -2.9546,            5.7927,            2.5343,           11.8221,           19.1620,           -6.2348,           -0.1288,           -0.1043,            0.2008,           10.8222,
Ref 13,3.35484e-08,,,,,,1.1862e-02,4.1660e-03,4.8332e-05,4.3996e-06,6.5282e-08,,,,,,,,,,,
Sam 13,3.40562e-08,1.18271e-02,4.1901e-03,4.8440e-05,4.4504e-06,6.6304e-08,,,,,,           -2.9501,            5.7800,            2.2213,           11.6092,           -0.1392,           -6.2296,           -0.1414,           -0.4088,            0.0155,           -8.3013,
Ref 14,3.30230e-08,,,,,,1.1862e-02,4.1661e-03,4.8333e-05,4.3991e-06,6.7361e-08,,,,,,,,,,,
Sam 14,3.35600e-08,1.18271e-02,4.1902e-03,4.8445e-05,4.4491e-06,6.7322e-08,,,,,,           -2.9401,            5.7820,            2.3726,           11.4666,           13.5203,           -6.2190,           -0.1395,           -0.2701,           -0.1293,            5.2321,
Ref 15,3.25601e-08,,,,,,1.1862e-02,4.1661e-03,4.8328e-05,4.3982e-06,6.5473e-08,,,,,,,,,,,
Sam 15,3.31098e-08,1.18269e-02,4.1902e-03,4.8445e-05,4.4502e-06,6.6752e-08,,,,,,           -2.9501,            5.7844,            2.3900,           11.9399,           12.4477,           -6.2298,           -0.1371,           -0.2447,            0.3338,            4.1745,
Ref 16,3.20591e-08,,,,,,1.1862e-02,4.1661e-03,4.8332e-05,4.3972e-06,6.6396e-08,,,,,,,,,,,
Sam 16,3.26262e-08,1.18269e-02,4.1902e-03,4.8452e-05,4.4487e-06,6.7736e-08,,,,,,           -2.9506,            5.7754,            2.4645,           11.6599,           27.1491,           -6.2300,           -0.1460,           -0.1612,            0.0747,           18.7740,
Ref 17,3.15808e-08,,,,,,1.1862e-02,4.1662e-03,4.8334e-05,4.3976e-06,6.5488e-08,,,,,,,,,,,
Sam 17,3.21477e-08,1.18270e-02,4.1903e-03,4.8448e-05,4.4495e-06,6.5535e-08,,,,,,           -2.9459,            5.7870,            2.3311,           11.7786,            3.4989,           -6.2254,           -0.1345,           -0.3104,            0.1690,           -4.7110,
Ref 18,3.11297e-08,,,,,,1.1862e-02,4.1662e-03,4.8337e-05,4.3978e-06,6.5122e-08,,,,,,,,,,,
Sam 18,3.17201e-08,1.18268e-02,4.1903e-03,4.8448e-05,4.4484e-06,6.7878e-08,,,,,,           -2.9615,            5.7938,            2.2678,           11.8380,           51.4433,           -6.2422,           -0.1277,           -0.3641,            0.2144,           42.8448,
Ref 19,3.06936e-08,,,,,,1.1862e-02,4.1662e-03,4.8339e-05,4.3948e-06,6.3984e-08,,,,,,,,,,,
Sam 19,3.12741e-08,1.18269e-02,4.1903e-03,4.8455e-05,4.4480e-06,6.6954e-08,,,,,,           -2.9498,            5.7790,            2.4277,           11.9989,           21.0434,           -6.2292,           -0.1425,           -0.2022,            0.4028,           12.7101,
Ref 20,3.02530e-08,,,,,,1.1862e-02,4.1663e-03,4.8335e-05,4.3957e-06,6.7186e-08,,,,,,,,,,,
Sam 20,3.08137e-08,1.18269e-02,4.1904e-03,4.8453e-05,4.4446e-06,6.7768e-08,,,,,,           -2.9576,            5.7825,            2.4381,           10.8690,           26.5005,           -6.2377,           -0.1389,           -0.1871,           -0.7212,           18.1242,
Ref 21,2.98114e-08,,,,,,1.1862e-02,4.1663e-03,4.8336e-05,4.3979e-06,6.4834e-08,,,,,,,,,,,


