Nu Stable Isotope Analysis Program
Data Collected on Saturday, November 04, 2023 at 15:38 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, November 04, 2023 at 16:38 with Stable 1.71.5 on PS019

Data File = Data_20824 WS 7.7B.txt,       Sample Weight = 497,                      Vial Location = 17,                       Initial Sam Beam = 2.5031e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8107e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02848
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.93704e-08,,,,,,1.1863e-02,4.1639e-03,4.8309e-05,4.4003e-06,6.3778e-08,
Sam 1,8.85497e-08,1.17804e-02,4.1841e-03,4.8175e-05,4.4430e-06,6.4771e-08,,,,,,           -6.9768,            4.8224,           -2.7919,            9.5840,           16.5073,          -10.4820,           -1.0857,           -0.3150,           -0.0833,           14.4572,
Ref 2,8.75879e-08,,,,,,1.1863e-02,4.1642e-03,4.8311e-05,4.4014e-06,6.3659e-08,,,,,,,,,,,
Sam 2,8.67445e-08,1.17806e-02,4.1843e-03,4.8173e-05,4.4436e-06,6.4334e-08,,,,,,           -6.9816,            4.8062,           -2.8585,            9.5805,            5.5607,          -10.4865,           -1.1018,           -0.3610,           -0.0546,            3.5696,
Ref 3,8.57367e-08,,,,,,1.1864e-02,4.1644e-03,4.8311e-05,4.4015e-06,6.4304e-08,,,,,,,,,,,
Sam 3,8.49549e-08,1.17807e-02,4.1843e-03,4.8175e-05,4.4435e-06,6.4982e-08,,,,,,           -6.9823,            4.7986,           -2.8507,            9.4579,            8.5526,          -10.4870,           -1.1093,           -0.3451,           -0.1608,            6.5713,
Ref 4,8.39333e-08,,,,,,1.1864e-02,4.1644e-03,4.8316e-05,4.4022e-06,6.4561e-08,,,,,,,,,,,
Sam 4,8.32145e-08,1.17807e-02,4.1844e-03,4.8176e-05,4.4418e-06,6.5159e-08,,,,,,           -6.9862,            4.8051,           -2.8247,            8.9859,           14.9075,          -10.4914,           -1.1028,           -0.3213,           -0.6414,           12.9050,
Ref 5,8.21581e-08,,,,,,1.1864e-02,4.1644e-03,4.8309e-05,4.4023e-06,6.3836e-08,,,,,,,,,,,
Sam 5,8.15014e-08,1.17806e-02,4.1844e-03,4.8177e-05,4.4438e-06,6.5254e-08,,,,,,           -6.9904,            4.8079,           -2.8018,            9.5643,           18.4860,          -10.4959,           -1.1000,           -0.2968,           -0.0740,           16.4754,
Ref 6,8.04445e-08,,,,,,1.1864e-02,4.1645e-03,4.8316e-05,4.4010e-06,6.4309e-08,,,,,,,,,,,
Sam 6,7.98458e-08,1.17805e-02,4.1844e-03,4.8176e-05,4.4450e-06,6.5091e-08,,,,,,           -6.9962,            4.7915,           -2.8956,           10.0706,            7.8711,          -10.5015,           -1.1163,           -0.3687,            0.4601,            5.9200,
Ref 7,7.87707e-08,,,,,,1.1864e-02,4.1645e-03,4.8315e-05,4.4003e-06,6.4862e-08,,,,,,,,,,,
Sam 7,7.82298e-08,1.17805e-02,4.1845e-03,4.8181e-05,4.4445e-06,6.4298e-08,,,,,,           -6.9957,            4.7818,           -2.7556,            9.8166,           -5.5531,          -10.5007,           -1.1260,           -0.2193,            0.2280,           -7.4597,
Ref 8,7.71436e-08,,,,,,1.1863e-02,4.1646e-03,4.8312e-05,4.4023e-06,6.4448e-08,,,,,,,,,,,
Sam 8,7.66547e-08,1.17805e-02,4.1846e-03,4.8176e-05,4.4432e-06,6.5869e-08,,,,,,           -6.9911,            4.7975,           -2.8754,            9.4417,           22.4435,          -10.4964,           -1.1104,           -0.3595,           -0.1746,           20.4469,
Ref 9,7.55597e-08,,,,,,1.1863e-02,4.1645e-03,4.8319e-05,4.4011e-06,6.4398e-08,,,,,,,,,,,
Sam 9,7.51151e-08,1.17805e-02,4.1846e-03,4.8181e-05,4.4432e-06,6.4962e-08,,,,,,           -6.9878,            4.8034,           -2.8528,            9.4616,            4.2929,          -10.4930,           -1.1046,           -0.3460,           -0.1667,            2.3166,
Ref 10,7.40244e-08,,,,,,1.1863e-02,4.1646e-03,4.8320e-05,4.4020e-06,6.4978e-08,,,,,,,,,,,
Sam 10,7.36419e-08,1.17805e-02,4.1846e-03,4.8178e-05,4.4427e-06,6.5096e-08,,,,,,           -6.9721,            4.8391,           -2.9061,            9.1317,           -2.0731,          -10.4775,           -1.0690,           -0.4508,           -0.5646,           -4.1235,
Ref 11,7.29432e-08,,,,,,1.1863e-02,4.1644e-03,4.8316e-05,4.4030e-06,6.5490e-08,,,,,,,,,,,
Sam 11,7.23436e-08,1.17803e-02,4.1846e-03,4.8177e-05,4.4443e-06,6.4337e-08,,,,,,           -6.9688,            4.8488,           -2.8666,            9.6108,          -19.0577,          -10.4744,           -1.0594,           -0.4241,           -0.1092,          -21.0950,
Ref 12,7.14975e-08,,,,,,1.1863e-02,4.1645e-03,4.8314e-05,4.4011e-06,6.5686e-08,,,,,,,,,,,
Sam 12,6.96907e-08,1.17804e-02,4.1847e-03,4.8181e-05,4.4448e-06,6.5742e-08,,,,,,           -6.9601,            4.8598,           -2.7744,            9.8241,           10.1036,          -10.4655,           -1.0485,           -0.3515,            0.0800,            7.9745,
Ref 13,7.01136e-08,,,,,,1.1863e-02,4.1645e-03,4.8315e-05,4.4020e-06,6.4470e-08,,,,,,,,,,,
Sam 13,6.91528e-08,1.17803e-02,4.1848e-03,4.8182e-05,4.4420e-06,6.6204e-08,,,,,,           -6.9757,            4.8393,           -2.8256,            9.1654,           22.5858,          -10.4814,           -1.0688,           -0.3666,           -0.5315,           20.4884,
Ref 14,6.84543e-08,,,,,,1.1863e-02,4.1647e-03,4.8322e-05,4.4013e-06,6.5019e-08,,,,,,,,,,,
Sam 14,6.78442e-08,1.17804e-02,4.1849e-03,4.8184e-05,4.4433e-06,6.6052e-08,,,,,,           -6.9762,            4.8290,           -2.8592,            9.5162,           14.7280,          -10.4815,           -1.0791,           -0.3896,           -0.1635,           12.6677,
Ref 15,6.69936e-08,,,,,,1.1863e-02,4.1649e-03,4.8322e-05,4.4016e-06,6.5169e-08,,,,,,,,,,,
Sam 15,6.66218e-08,1.17804e-02,4.1849e-03,4.8184e-05,4.4428e-06,6.6349e-08,,,,,,           -6.9844,            4.7939,           -2.8521,            9.1871,           16.2666,          -10.4891,           -1.1139,           -0.3397,           -0.4198,           14.2817,
Ref 16,6.56976e-08,,,,,,1.1863e-02,4.1650e-03,4.8321e-05,4.4031e-06,6.5407e-08,,,,,,,,,,,
Sam 16,6.54018e-08,1.17803e-02,4.1850e-03,4.8182e-05,4.4446e-06,6.6373e-08,,,,,,           -6.9925,            4.8032,           -2.8860,            9.3941,           11.9626,          -10.4981,           -1.1047,           -0.3743,           -0.2333,            9.9765,
Ref 17,6.44351e-08,,,,,,1.1863e-02,4.1650e-03,4.8321e-05,4.4033e-06,6.5773e-08,,,,,,,,,,,
Sam 17,6.42051e-08,1.17804e-02,4.1850e-03,4.8186e-05,4.4447e-06,6.5844e-08,,,,,,           -6.9902,            4.8001,           -2.8224,            9.6579,            4.0051,          -10.4955,           -1.1078,           -0.3100,            0.0342,            2.0382,
Ref 18,6.32079e-08,,,,,,1.1863e-02,4.1651e-03,4.8323e-05,4.4010e-06,6.5386e-08,,,,,,,,,,,
Sam 18,6.30310e-08,1.17804e-02,4.1851e-03,4.8186e-05,4.4434e-06,6.6327e-08,,,,,,           -6.9861,            4.8124,           -2.8188,            9.6126,           18.7839,          -10.4915,           -1.0956,           -0.3226,           -0.0350,           16.7592,
Ref 19,6.21432e-08,,,,,,1.1863e-02,4.1650e-03,4.8322e-05,4.4011e-06,6.4818e-08,,,,,,,,,,,
Sam 19,6.19043e-08,1.17804e-02,4.1851e-03,4.8191e-05,4.4464e-06,6.5824e-08,,,,,,           -6.9848,            4.8055,           -2.7513,           10.1733,            7.1453,          -10.4900,           -1.1024,           -0.2496,            0.5339,            5.1559,
Ref 20,6.08319e-08,,,,,,1.1863e-02,4.1652e-03,4.8325e-05,4.4022e-06,6.5909e-08,,,,,,,,,,,
Sam 20,6.07561e-08,1.17804e-02,4.1851e-03,4.8189e-05,4.4435e-06,6.5903e-08,,,,,,           -6.9874,            4.7901,           -2.8218,            9.3998,            6.4063,          -10.4921,           -1.1178,           -0.3024,           -0.2014,            4.4516,
Ref 21,5.97083e-08,,,,,,1.1863e-02,4.1652e-03,4.8325e-05,4.4021e-06,6.5050e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.92715e-08,,,,,,1.1863e-02,4.1651e-03,4.8323e-05,4.4022e-06,6.5336e-08,
Sam 1,5.92055e-08,1.17802e-02,4.1852e-03,4.8190e-05,4.4442e-06,6.5439e-08,,,,,,           -6.9859,            4.8098,           -2.7794,            9.8199,            0.2025,          -10.4912,           -1.0981,           -0.2808,            0.1754,           -1.7804,
Ref 2,5.81632e-08,,,,,,1.1863e-02,4.1651e-03,4.8326e-05,4.3998e-06,6.5517e-08,,,,,,,,,,,
Sam 2,5.81851e-08,1.17802e-02,4.1851e-03,4.8190e-05,4.4427e-06,6.5398e-08,,,,,,           -6.9927,            4.7832,           -2.7684,            9.6624,           -4.5380,          -10.4975,           -1.1246,           -0.2367,            0.0723,           -6.4526,
Ref 3,5.70447e-08,,,,,,1.1863e-02,4.1653e-03,4.8322e-05,4.4006e-06,6.5877e-08,,,,,,,,,,,
Sam 3,5.70572e-08,1.17803e-02,4.1853e-03,4.8185e-05,4.4432e-06,6.6390e-08,,,,,,           -6.9821,            4.7951,           -2.8583,            9.5027,            5.3726,          -10.4867,           -1.1128,           -0.3495,           -0.1096,            3.4041,
Ref 4,5.60553e-08,,,,,,1.1863e-02,4.1653e-03,4.8324e-05,4.4022e-06,6.6195e-08,,,,,,,,,,,
Sam 4,5.60343e-08,1.17803e-02,4.1853e-03,4.8192e-05,4.4444e-06,6.6111e-08,,,,,,           -6.9834,            4.7985,           -2.7917,            9.5563,            7.3822,          -10.4882,           -1.1094,           -0.2846,           -0.0631,            5.4046,
Ref 5,5.49278e-08,,,,,,1.1863e-02,4.1654e-03,4.8329e-05,4.4025e-06,6.5047e-08,,,,,,,,,,,
Sam 5,5.50740e-08,1.17802e-02,4.1854e-03,4.8192e-05,4.4419e-06,6.6839e-08,,,,,,           -6.9882,            4.8044,           -2.7819,            9.0317,           19.0930,          -10.4935,           -1.1036,           -0.2755,           -0.5944,           17.0859,
Ref 6,5.39998e-08,,,,,,1.1863e-02,4.1654e-03,4.8324e-05,4.4018e-06,6.6135e-08,,,,,,,,,,,
Sam 6,5.41036e-08,1.17801e-02,4.1855e-03,4.8193e-05,4.4426e-06,6.6487e-08,,,,,,           -6.9920,            4.8091,           -2.7984,            9.2143,           11.1672,          -10.4978,           -1.0989,           -0.2927,           -0.4229,            9.1706,
Ref 7,5.30172e-08,,,,,,1.1863e-02,4.1655e-03,4.8333e-05,4.4023e-06,6.5364e-08,,,,,,,,,,,
Sam 7,5.31699e-08,1.17802e-02,4.1854e-03,4.8192e-05,4.4424e-06,6.6663e-08,,,,,,           -6.9783,            4.7918,           -2.8908,            9.2929,           25.7023,          -10.4825,           -1.1161,           -0.3826,           -0.3106,           23.6967,
Ref 8,5.21600e-08,,,,,,1.1863e-02,4.1654e-03,4.8330e-05,4.4007e-06,6.4614e-08,,,,,,,,,,,
Sam 8,5.22402e-08,1.17802e-02,4.1855e-03,4.8196e-05,4.4430e-06,6.6110e-08,,,,,,           -6.9828,            4.8168,           -2.8034,            9.7358,           15.6636,          -10.4882,           -1.0912,           -0.3150,            0.0781,           13.6327,
Ref 9,5.11494e-08,,,,,,1.1863e-02,4.1655e-03,4.8333e-05,4.3996e-06,6.5576e-08,,,,,,,,,,,
Sam 9,5.13624e-08,1.17802e-02,4.1855e-03,4.8190e-05,4.4417e-06,6.5868e-08,,,,,,           -6.9821,            4.7937,           -2.8868,            9.3072,            7.5468,          -10.4867,           -1.1142,           -0.3766,           -0.3004,            5.5769,
Ref 10,5.02609e-08,,,,,,1.1863e-02,4.1656e-03,4.8327e-05,4.4019e-06,6.5170e-08,,,,,,,,,,,
Sam 10,5.05013e-08,1.17802e-02,4.1855e-03,4.8194e-05,4.4433e-06,6.6393e-08,,,,,,           -6.9843,            4.7745,           -2.8133,            9.4896,           10.5119,          -10.4883,           -1.1333,           -0.2818,           -0.0814,            8.5766,
Ref 11,4.93974e-08,,,,,,1.1863e-02,4.1656e-03,4.8334e-05,4.4012e-06,6.6244e-08,,,,,,,,,,,
Sam 11,4.96630e-08,1.17801e-02,4.1855e-03,4.8192e-05,4.4421e-06,6.6117e-08,,,,,,           -6.9853,            4.7923,           -2.9008,            9.2622,            3.8521,          -10.4900,           -1.1155,           -0.3860,           -0.3422,            1.8955,
Ref 12,4.85493e-08,,,,,,1.1863e-02,4.1656e-03,4.8330e-05,4.4016e-06,6.5475e-08,,,,,,,,,,,
Sam 12,4.88425e-08,1.17801e-02,4.1856e-03,4.8190e-05,4.4436e-06,6.7081e-08,,,,,,           -6.9857,            4.8027,           -2.8530,            9.5638,           24.7540,          -10.4908,           -1.1052,           -0.3478,           -0.0642,           22.7363,
Ref 13,4.77296e-08,,,,,,1.1863e-02,4.1656e-03,4.8326e-05,4.4015e-06,6.5446e-08,,,,,,,,,,,
Sam 13,4.80488e-08,1.17801e-02,4.1856e-03,4.8190e-05,4.4441e-06,6.6902e-08,,,,,,           -6.9866,            4.7889,           -2.8428,            9.7736,           18.2492,          -10.4912,           -1.1190,           -0.3232,            0.1711,           16.2729,
Ref 14,4.69320e-08,,,,,,1.1863e-02,4.1657e-03,4.8328e-05,4.4007e-06,6.5964e-08,,,,,,,,,,,
Sam 14,4.72685e-08,1.17801e-02,4.1856e-03,4.8194e-05,4.4443e-06,6.6387e-08,,,,,,           -6.9832,            4.7624,           -2.7610,            9.9403,           19.8885,          -10.4867,           -1.1453,           -0.2187,            0.3891,           17.9580,
Ref 15,4.61557e-08,,,,,,1.1863e-02,4.1657e-03,4.8327e-05,4.4004e-06,6.4206e-08,,,,,,,,,,,
Sam 15,4.65064e-08,1.17800e-02,4.1856e-03,4.8194e-05,4.4426e-06,6.5468e-08,,,,,,           -6.9827,            4.7757,           -2.8134,            9.6845,            3.9621,          -10.4867,           -1.1321,           -0.2848,            0.1092,            2.0352,
Ref 16,4.53911e-08,,,,,,1.1863e-02,4.1657e-03,4.8333e-05,4.3997e-06,6.6229e-08,,,,,,,,,,,
Sam 16,4.57543e-08,1.17800e-02,4.1857e-03,4.8198e-05,4.4403e-06,6.5383e-08,,,,,,           -6.9900,            4.8031,           -2.8120,            9.0421,          -14.9222,          -10.4954,           -1.1049,           -0.3026,           -0.5816,          -16.8578,
Ref 17,4.46523e-08,,,,,,1.1863e-02,4.1657e-03,4.8336e-05,4.4014e-06,6.6520e-08,,,,,,,,,,,
Sam 17,4.50250e-08,1.17799e-02,4.1857e-03,4.8197e-05,4.4406e-06,6.6077e-08,,,,,,           -6.9869,            4.7947,           -2.8654,            8.7699,          -11.0989,          -10.4917,           -1.1131,           -0.3512,           -0.8346,          -13.0293,
Ref 18,4.39219e-08,,,,,,1.1863e-02,4.1657e-03,4.8335e-05,4.4025e-06,6.7122e-08,,,,,,,,,,,
Sam 18,4.43041e-08,1.17799e-02,4.1857e-03,4.8192e-05,4.4414e-06,6.5445e-08,,,,,,           -6.9815,            4.7851,           -2.9446,            8.8364,           -9.2997,          -10.4857,           -1.1227,           -0.4268,           -0.7496,          -11.2207,
Ref 19,4.31990e-08,,,,,,1.1863e-02,4.1658e-03,4.8333e-05,4.4024e-06,6.4979e-08,,,,,,,,,,,
Sam 19,4.36000e-08,1.17798e-02,4.1857e-03,4.8193e-05,4.4410e-06,6.6112e-08,,,,,,           -6.9930,            4.7872,           -2.8732,            9.0089,           12.3457,          -10.4980,           -1.1206,           -0.3453,           -0.5830,           10.3910,
Ref 20,4.24956e-08,,,,,,1.1863e-02,4.1658e-03,4.8331e-05,4.4002e-06,6.5638e-08,,,,,,,,,,,
Sam 20,4.29092e-08,1.17798e-02,4.1857e-03,4.8189e-05,4.4415e-06,6.6735e-08,,,,,,           -6.9900,            4.7730,           -2.8714,            9.5939,           15.6077,          -10.4943,           -1.1348,           -0.3326,            0.0248,           13.6718,
Ref 21,4.18076e-08,,,,,,1.1863e-02,4.1659e-03,4.8325e-05,4.3983e-06,6.5781e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.14678e-08,,,,,,1.1863e-02,4.1658e-03,4.8328e-05,4.4007e-06,6.5238e-08,
Sam 1,4.19257e-08,1.17798e-02,4.1857e-03,4.8197e-05,4.4405e-06,6.7055e-08,,,,,,           -6.9866,            4.7838,           -2.8077,            9.1681,           25.0578,          -10.4910,           -1.1241,           -0.2829,           -0.4183,           23.0784,
Ref 2,4.08218e-08,,,,,,1.1863e-02,4.1658e-03,4.8338e-05,4.3995e-06,6.5596e-08,,,,,,,,,,,
Sam 2,4.12781e-08,1.17797e-02,4.1858e-03,4.8201e-05,4.4425e-06,6.5962e-08,,,,,,           -6.9807,            4.7920,           -2.8203,            9.8282,            6.6784,          -10.4851,           -1.1159,           -0.3098,            0.2190,            4.7120,
Ref 3,4.01708e-08,,,,,,1.1862e-02,4.1658e-03,4.8337e-05,4.3990e-06,6.5453e-08,,,,,,,,,,,
Sam 3,4.06279e-08,1.17796e-02,4.1858e-03,4.8201e-05,4.4403e-06,6.6173e-08,,,,,,           -6.9853,            4.7876,           -2.7952,            9.4587,           10.3221,          -10.4898,           -1.1203,           -0.2755,           -0.1381,            8.3623,
Ref 4,3.95349e-08,,,,,,1.1862e-02,4.1659e-03,4.8334e-05,4.3983e-06,6.5542e-08,,,,,,,,,,,
Sam 4,4.00082e-08,1.17796e-02,4.1858e-03,4.8197e-05,4.4422e-06,6.6510e-08,,,,,,           -6.9829,            4.7920,           -2.7762,            9.7006,           22.3202,          -10.4875,           -1.1158,           -0.2633,            0.0926,           20.3256,
Ref 5,3.89527e-08,,,,,,1.1862e-02,4.1658e-03,4.8329e-05,4.4008e-06,6.4566e-08,,,,,,,,,,,
Sam 5,3.94073e-08,1.17797e-02,4.1857e-03,4.8201e-05,4.4429e-06,6.6739e-08,,,,,,           -6.9773,            4.7682,           -2.6708,            9.6981,           24.5871,          -10.4807,           -1.1396,           -0.1401,            0.1376,           22.6297,
Ref 6,3.83297e-08,,,,,,1.1862e-02,4.1659e-03,4.8331e-05,4.3996e-06,6.5718e-08,,,,,,,,,,,
Sam 6,3.87956e-08,1.17796e-02,4.1859e-03,4.8200e-05,4.4400e-06,6.6823e-08,,,,,,           -6.9795,            4.7874,           -2.7412,            8.9915,           19.2511,          -10.4837,           -1.1204,           -0.2272,           -0.6006,           17.2681,
Ref 7,3.77277e-08,,,,,,1.1862e-02,4.1659e-03,4.8334e-05,4.4014e-06,6.5402e-08,,,,,,,,,,,
Sam 7,3.82031e-08,1.17795e-02,4.1859e-03,4.8204e-05,4.4414e-06,6.6273e-08,,,,,,           -6.9794,            4.7918,           -2.7813,            9.2531,            3.6135,          -10.4837,           -1.1161,           -0.2717,           -0.3501,            1.6522,
Ref 8,3.71538e-08,,,,,,1.1862e-02,4.1659e-03,4.8343e-05,4.4000e-06,6.6677e-08,,,,,,,,,,,
Sam 8,3.76425e-08,1.17796e-02,4.1859e-03,4.8197e-05,4.4403e-06,6.6039e-08,,,,,,           -6.9742,            4.7944,           -2.8999,            9.1530,           -0.9842,          -10.4782,           -1.1135,           -0.3987,           -0.4545,           -2.9473,
Ref 9,3.65476e-08,,,,,,1.1862e-02,4.1660e-03,4.8331e-05,4.4001e-06,6.5522e-08,,,,,,,,,,,
Sam 9,3.70739e-08,1.17796e-02,4.1859e-03,4.8196e-05,4.4379e-06,6.6709e-08,,,,,,           -6.9718,            4.7827,           -2.7424,            8.8785,           24.6146,          -10.4753,           -1.1251,           -0.2318,           -0.7032,           22.6220,
Ref 10,3.60197e-08,,,,,,1.1862e-02,4.1660e-03,4.8327e-05,4.3975e-06,6.4685e-08,,,,,,,,,,,
Sam 10,3.65609e-08,1.17793e-02,4.1859e-03,4.8188e-05,4.4391e-06,6.5826e-08,,,,,,           -6.9913,            4.7753,           -2.9132,            9.2299,            6.2284,          -10.4958,           -1.1325,           -0.3755,           -0.3402,            4.3073,
Ref 11,3.54692e-08,,,,,,1.1862e-02,4.1660e-03,4.8330e-05,4.3995e-06,6.6163e-08,,,,,,,,,,,
Sam 11,3.60120e-08,1.17795e-02,4.1859e-03,4.8199e-05,4.4387e-06,6.6243e-08,,,,,,           -6.9779,            4.7792,           -2.7654,            9.1593,           -1.8341,          -10.4816,           -1.1286,           -0.2451,           -0.4180,           -3.7619,
Ref 12,3.49246e-08,,,,,,1.1862e-02,4.1660e-03,4.8335e-05,4.3974e-06,6.6570e-08,,,,,,,,,,,
Sam 12,3.54633e-08,1.17795e-02,4.1859e-03,4.8194e-05,4.4393e-06,6.7021e-08,,,,,,           -6.9757,            4.7605,           -2.9152,            9.4105,           15.4818,          -10.4786,           -1.1472,           -0.3793,           -0.1320,           13.5553,
Ref 13,3.43745e-08,,,,,,1.1862e-02,4.1661e-03,4.8336e-05,4.3985e-06,6.5420e-08,,,,,,,,,,,
Sam 13,3.49466e-08,1.17794e-02,4.1859e-03,4.8197e-05,4.4392e-06,6.6099e-08,,,,,,           -6.9774,            4.7608,           -2.9560,            9.2668,           16.6972,          -10.4805,           -1.1469,           -0.4187,           -0.2749,           14.7696,
Ref 14,3.38637e-08,,,,,,1.1862e-02,4.1661e-03,4.8344e-05,4.3983e-06,6.4600e-08,,,,,,,,,,,
Sam 14,3.44209e-08,1.17793e-02,4.1860e-03,4.8201e-05,4.4399e-06,6.5331e-08,,,,,,           -6.9885,            4.7770,           -2.9253,            9.2225,           18.5428,          -10.4928,           -1.1308,           -0.3922,           -0.3509,           16.5916,
Ref 15,3.33636e-08,,,,,,1.1862e-02,4.1662e-03,4.8341e-05,4.4003e-06,6.3677e-08,,,,,,,,,,,
Sam 15,3.39450e-08,1.17794e-02,4.1861e-03,4.8204e-05,4.4395e-06,6.7896e-08,,,,,,           -6.9805,            4.7918,           -2.7800,            9.2160,           52.5256,          -10.4849,           -1.1160,           -0.2694,           -0.3870,           50.4698,
Ref 16,3.28948e-08,,,,,,1.1862e-02,4.1661e-03,4.8337e-05,4.3976e-06,6.5351e-08,,,,,,,,,,,
Sam 16,3.34740e-08,1.17794e-02,4.1861e-03,4.8195e-05,4.4408e-06,6.6165e-08,,,,,,           -6.9743,            4.7983,           -2.9566,            9.8252,           13.8743,          -10.4785,           -1.1096,           -0.4592,            0.2034,           11.8744,
Ref 17,3.24064e-08,,,,,,1.1862e-02,4.1661e-03,4.8338e-05,4.3976e-06,6.5166e-08,,,,,,,,,,,
Sam 17,3.29841e-08,1.17793e-02,4.1861e-03,4.8202e-05,4.4380e-06,6.6209e-08,,,,,,           -6.9841,            4.7833,           -2.8090,            9.1102,            1.6714,          -10.4884,           -1.1246,           -0.2864,           -0.4748,           -0.2645,
Ref 18,3.19136e-08,,,,,,1.1862e-02,4.1662e-03,4.8337e-05,4.3984e-06,6.7046e-08,,,,,,,,,,,
Sam 18,3.25082e-08,1.17793e-02,4.1861e-03,4.8204e-05,4.4410e-06,6.6167e-08,,,,,,           -6.9804,            4.7721,           -2.8288,            9.8378,            1.5374,          -10.4841,           -1.1357,           -0.2991,            0.2682,           -0.3802,
Ref 19,3.14596e-08,,,,,,1.1862e-02,4.1662e-03,4.8345e-05,4.3970e-06,6.5070e-08,,,,,,,,,,,
Sam 19,3.20720e-08,1.17792e-02,4.1861e-03,4.8202e-05,4.4407e-06,6.5137e-08,,,,,,           -6.9898,            4.7651,           -2.8821,            9.8344,           -8.9173,          -10.4938,           -1.1427,           -0.3359,            0.2789,          -10.7914,
Ref 20,3.09915e-08,,,,,,1.1862e-02,4.1663e-03,4.8338e-05,4.3978e-06,6.6387e-08,,,,,,,,,,,
Sam 20,3.15933e-08,1.17792e-02,4.1862e-03,4.8201e-05,4.4417e-06,6.5383e-08,,,,,,           -6.9875,            4.7903,           -2.8571,           10.0541,          -10.7605,          -10.4923,           -1.1175,           -0.3380,            0.4461,          -12.6824,
