Nu Stable Isotope Analysis Program
Data Collected on Saturday, November 04, 2023 at 16:59 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, November 04, 2023 at 17:58 with Stable 1.71.5 on PS019

Data File = Data_20825 MRT-3 C.txt,       Sample Weight = 415,                      Vial Location = 18,                       Initial Sam Beam = 2.4816e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7229e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02848
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.41566e-08,,,,,,1.1863e-02,4.1645e-03,4.8315e-05,4.4025e-06,6.4787e-08,
Sam 1,7.37743e-08,1.19133e-02,4.2148e-03,4.9088e-05,4.5075e-06,6.6201e-08,,,,,,            4.2283,           12.0617,           15.8933,           24.0190,           22.9755,            1.1933,            6.0941,           -0.3795,           -0.2439,           -5.3423,
Ref 2,7.30683e-08,,,,,,1.1863e-02,4.1647e-03,4.8325e-05,4.4010e-06,6.4641e-08,,,,,,,,,,,
Sam 2,7.24499e-08,1.19135e-02,4.2149e-03,4.9098e-05,4.5067e-06,6.6656e-08,,,,,,            4.2258,           12.0554,           16.0579,           24.0821,           34.5399,            1.1907,            6.0879,           -0.2089,           -0.1699,            5.9169,
Ref 3,7.16688e-08,,,,,,1.1863e-02,4.1647e-03,4.8319e-05,4.4005e-06,6.4216e-08,,,,,,,,,,,
Sam 3,7.10665e-08,1.19135e-02,4.2150e-03,4.9093e-05,4.5073e-06,6.6932e-08,,,,,,            4.2365,           12.0846,           16.0594,           24.2823,           31.0175,            1.2011,            6.1169,           -0.2468,           -0.0322,            2.4238,
Ref 4,7.05016e-08,,,,,,1.1863e-02,4.1646e-03,4.8314e-05,4.4005e-06,6.5632e-08,,,,,,,,,,,
Sam 4,6.98726e-08,1.19133e-02,4.2149e-03,4.9089e-05,4.5063e-06,6.6510e-08,,,,,,            4.2278,           12.0642,           15.9705,           23.9368,           20.9883,            1.1926,            6.0966,           -0.3056,           -0.3292,           -7.2789,
Ref 5,6.90556e-08,,,,,,1.1863e-02,4.1647e-03,4.8321e-05,4.4015e-06,6.4642e-08,,,,,,,,,,,
Sam 5,6.85600e-08,1.19133e-02,4.2149e-03,4.9089e-05,4.5076e-06,6.7105e-08,,,,,,            4.2251,           12.0575,           15.9453,           24.0392,           35.4295,            1.1899,            6.0900,           -0.3209,           -0.2160,            6.7786,
Ref 6,6.77354e-08,,,,,,1.1863e-02,4.1647e-03,4.8317e-05,4.4020e-06,6.4978e-08,,,,,,,,,,,
Sam 6,6.72491e-08,1.19132e-02,4.2150e-03,4.9095e-05,4.5070e-06,6.6863e-08,,,,,,            4.2262,           12.0613,           16.1023,           23.7026,           31.2934,            1.1910,            6.0937,           -0.1714,           -0.5521,            2.7483,
Ref 7,6.64237e-08,,,,,,1.1863e-02,4.1647e-03,4.8316e-05,4.4033e-06,6.4687e-08,,,,,,,,,,,
Sam 7,6.59792e-08,1.19133e-02,4.2150e-03,4.9092e-05,4.5065e-06,6.7123e-08,,,,,,            4.2241,           12.0495,           16.0566,           23.6869,           30.0580,            1.1892,            6.0820,           -0.2027,           -0.5440,            1.5724,
Ref 8,6.50859e-08,,,,,,1.1863e-02,4.1648e-03,4.8316e-05,4.4012e-06,6.5651e-08,,,,,,,,,,,
Sam 8,6.46696e-08,1.19134e-02,4.2151e-03,4.9095e-05,4.5063e-06,6.6740e-08,,,,,,            4.2288,           12.0510,           16.0905,           23.8522,           25.7856,            1.1941,            6.0835,           -0.1755,           -0.3856,           -2.5897,
Ref 9,6.38396e-08,,,,,,1.1863e-02,4.1649e-03,4.8319e-05,4.4013e-06,6.4462e-08,,,,,,,,,,,
Sam 9,6.34825e-08,1.19133e-02,4.2151e-03,4.9097e-05,4.5072e-06,6.6579e-08,,,,,,            4.2255,           12.0529,           16.1068,           24.0522,           30.3186,            1.1906,            6.0854,           -0.1581,           -0.1942,            1.8176,
Ref 10,6.26331e-08,,,,,,1.1863e-02,4.1649e-03,4.8319e-05,4.4014e-06,6.4782e-08,,,,,,,,,,,
Sam 10,6.24366e-08,1.19130e-02,4.2150e-03,4.9093e-05,4.5066e-06,6.8107e-08,,,,,,            4.2001,           12.0211,           15.9727,           23.8659,           34.5186,            1.1646,            6.0538,           -0.2330,           -0.3131,            5.9907,
Ref 11,6.14089e-08,,,,,,1.1863e-02,4.1650e-03,4.8323e-05,4.4017e-06,6.6909e-08,,,,,,,,,,,
Sam 11,6.11374e-08,1.19133e-02,4.2152e-03,4.9096e-05,4.5068e-06,6.7794e-08,,,,,,            4.2220,           12.0474,           16.0656,           23.8225,           26.5754,            1.1870,            6.0799,           -0.1896,           -0.4075,           -1.8076,
Ref 12,6.02949e-08,,,,,,1.1863e-02,4.1650e-03,4.8317e-05,4.4022e-06,6.5153e-08,,,,,,,,,,,
Sam 12,5.99597e-08,1.19134e-02,4.2153e-03,4.9095e-05,4.5056e-06,6.7736e-08,,,,,,            4.2427,           12.0761,           16.0993,           23.6951,           39.3640,            1.2080,            6.1084,           -0.2056,           -0.5886,           10.5489,
Ref 13,5.92936e-08,,,,,,1.1863e-02,4.1649e-03,4.8317e-05,4.4005e-06,6.5188e-08,,,,,,,,,,,
Sam 13,5.90047e-08,1.19131e-02,4.2152e-03,4.9098e-05,4.5060e-06,6.7447e-08,,,,,,            4.2256,           12.0493,           16.1458,           23.9799,           25.9346,            1.1908,            6.0818,           -0.1163,           -0.2577,           -2.4382,
Ref 14,5.81533e-08,,,,,,1.1863e-02,4.1650e-03,4.8317e-05,4.4005e-06,6.6307e-08,,,,,,,,,,,
Sam 14,5.79520e-08,1.19132e-02,4.2152e-03,4.9091e-05,4.5061e-06,6.7583e-08,,,,,,            4.2299,           12.0362,           15.9768,           24.0181,           24.0067,            1.1958,            6.0687,           -0.2741,           -0.1944,           -4.2918,
Ref 15,5.70326e-08,,,,,,1.1863e-02,4.1651e-03,4.8320e-05,4.4003e-06,6.5684e-08,,,,,,,,,,,
Sam 15,5.69316e-08,1.19131e-02,4.2153e-03,4.9096e-05,4.5063e-06,6.7061e-08,,,,,,            4.2186,           12.0370,           16.0843,           23.9757,           30.1703,            1.1838,            6.0696,           -0.1576,           -0.2374,            1.7118,
Ref 16,5.60026e-08,,,,,,1.1863e-02,4.1651e-03,4.8317e-05,4.4013e-06,6.4498e-08,,,,,,,,,,,
Sam 16,5.59077e-08,1.19131e-02,4.2153e-03,4.9099e-05,4.5077e-06,6.7307e-08,,,,,,            4.2204,           12.0395,           16.1276,           24.0210,           26.9717,            1.1856,            6.0720,           -0.1193,           -0.1981,           -1.4051,
Ref 17,5.49762e-08,,,,,,1.1863e-02,4.1652e-03,4.8322e-05,4.4027e-06,6.6600e-08,,,,,,,,,,,
Sam 17,5.48364e-08,1.19132e-02,4.2154e-03,4.9090e-05,4.5071e-06,6.7761e-08,,,,,,            4.2275,           12.0426,           15.8734,           24.2176,           29.7316,            1.1930,            6.0752,           -0.3797,           -0.0124,            1.2647,
Ref 18,5.39928e-08,,,,,,1.1863e-02,4.1652e-03,4.8324e-05,4.3984e-06,6.4994e-08,,,,,,,,,,,
Sam 18,5.39737e-08,1.19130e-02,4.2154e-03,4.9091e-05,4.5075e-06,6.7204e-08,,,,,,            4.2166,           12.0377,           15.7979,           24.3790,           17.5910,            1.1816,            6.0702,           -0.4381,            0.1551,          -10.5193,
Ref 19,5.30836e-08,,,,,,1.1863e-02,4.1652e-03,4.8331e-05,4.4022e-06,6.7108e-08,,,,,,,,,,,
Sam 19,5.30445e-08,1.19131e-02,4.2154e-03,4.9094e-05,4.5088e-06,6.8516e-08,,,,,,            4.2167,           12.0372,           15.8945,           24.3715,           24.9515,            1.1817,            6.0697,           -0.3426,            0.1487,           -3.3612,
Ref 20,5.21135e-08,,,,,,1.1863e-02,4.1653e-03,4.8320e-05,4.4008e-06,6.6583e-08,,,,,,,,,,,
Sam 20,5.20904e-08,1.19130e-02,4.2155e-03,4.9099e-05,4.5070e-06,6.7543e-08,,,,,,            4.2171,           12.0476,           16.0425,           24.2977,           21.1293,            1.1818,            6.0802,           -0.2076,            0.0559,           -7.0985,
Ref 21,5.12166e-08,,,,,,1.1863e-02,4.1653e-03,4.8327e-05,4.3995e-06,6.5700e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.07725e-08,,,,,,1.1863e-02,4.1653e-03,4.8321e-05,4.3986e-06,6.5098e-08,
Sam 1,5.08961e-08,1.19128e-02,4.2154e-03,4.9093e-05,4.5064e-06,6.7501e-08,,,,,,            4.2106,           12.0228,           15.8669,           24.3675,           38.4239,            1.1757,            6.0555,           -0.3496,            0.1731,            9.7736,
Ref 2,4.99767e-08,,,,,,1.1863e-02,4.1653e-03,4.8331e-05,4.3997e-06,6.4908e-08,,,,,,,,,,,
Sam 2,4.99124e-08,1.19130e-02,4.2155e-03,4.9102e-05,4.5054e-06,6.8061e-08,,,,,,            4.2262,           12.0416,           16.0143,           23.9212,           41.1212,            1.1917,            6.0742,           -0.2388,           -0.2998,           12.3428,
Ref 3,4.90323e-08,,,,,,1.1863e-02,4.1654e-03,4.8324e-05,4.4005e-06,6.5848e-08,,,,,,,,,,,
Sam 3,4.90718e-08,1.19130e-02,4.2156e-03,4.9097e-05,4.5060e-06,6.8196e-08,,,,,,            4.2263,           12.0474,           15.9926,           24.0003,           44.7002,            1.1916,            6.0799,           -0.2660,           -0.2341,           15.8113,
Ref 4,4.81951e-08,,,,,,1.1863e-02,4.1654e-03,4.8325e-05,4.4004e-06,6.4699e-08,,,,,,,,,,,
Sam 4,4.82484e-08,1.19129e-02,4.2156e-03,4.9097e-05,4.5080e-06,6.8393e-08,,,,,,            4.2256,           12.0385,           15.9892,           24.4628,           42.2136,            1.1911,            6.0711,           -0.2598,            0.2352,           13.4118,
Ref 5,4.73749e-08,,,,,,1.1863e-02,4.1655e-03,4.8323e-05,4.4003e-06,6.6562e-08,,,,,,,,,,,
Sam 5,4.74546e-08,1.19129e-02,4.2156e-03,4.9105e-05,4.5069e-06,6.7641e-08,,,,,,            4.2271,           12.0231,           16.2312,           24.1655,           27.4228,            1.1933,            6.0557,           -0.0083,           -0.0246,           -0.9418,
Ref 6,4.65817e-08,,,,,,1.1863e-02,4.1655e-03,4.8319e-05,4.4008e-06,6.5097e-08,,,,,,,,,,,
Sam 6,4.66769e-08,1.19129e-02,4.2156e-03,4.9099e-05,4.5060e-06,6.8048e-08,,,,,,            4.2277,           12.0310,           16.0835,           24.0813,           40.8444,            1.1937,            6.0636,           -0.1620,           -0.1225,           12.0930,
Ref 7,4.58013e-08,,,,,,1.1863e-02,4.1655e-03,4.8326e-05,4.3993e-06,6.5663e-08,,,,,,,,,,,
Sam 7,4.59131e-08,1.19129e-02,4.2157e-03,4.9098e-05,4.5075e-06,6.8129e-08,,,,,,            4.2247,           12.0273,           15.9313,           24.3690,           37.2734,            1.1905,            6.0599,           -0.3050,            0.1658,            8.6312,
Ref 8,4.50398e-08,,,,,,1.1863e-02,4.1656e-03,4.8331e-05,4.4013e-06,6.5698e-08,,,,,,,,,,,
Sam 8,4.51712e-08,1.19129e-02,4.2157e-03,4.9102e-05,4.5058e-06,6.8151e-08,,,,,,            4.2282,           12.0208,           15.9696,           23.8084,           29.7595,            1.1945,            6.0534,           -0.2646,           -0.3688,            1.3336,
Ref 9,4.42950e-08,,,,,,1.1863e-02,4.1656e-03,4.8329e-05,4.4007e-06,6.6673e-08,,,,,,,,,,,
Sam 9,4.44456e-08,1.19128e-02,4.2157e-03,4.9101e-05,4.5072e-06,6.7815e-08,,,,,,            4.2250,           12.0252,           16.0022,           24.2429,           33.6455,            1.1909,            6.0578,           -0.2334,            0.0468,            5.1073,
Ref 10,4.35668e-08,,,,,,1.1863e-02,4.1656e-03,4.8327e-05,4.4003e-06,6.4525e-08,,,,,,,,,,,
Sam 10,4.37379e-08,1.19127e-02,4.2158e-03,4.9097e-05,4.5061e-06,6.8397e-08,,,,,,            4.2135,           12.0345,           15.8982,           23.9048,           60.6615,            1.1784,            6.0671,           -0.3332,           -0.3017,           31.3711,
Ref 11,4.28542e-08,,,,,,1.1863e-02,4.1657e-03,4.8330e-05,4.4015e-06,6.4446e-08,,,,,,,,,,,
Sam 11,4.30449e-08,1.19129e-02,4.2157e-03,4.9103e-05,4.5054e-06,6.9199e-08,,,,,,            4.2340,           12.0264,           15.9990,           23.8350,           64.9012,            1.2005,            6.0590,           -0.2471,           -0.3539,           35.4876,
Ref 12,4.21665e-08,,,,,,1.1863e-02,4.1656e-03,4.8330e-05,4.3995e-06,6.5527e-08,,,,,,,,,,,
Sam 12,4.23722e-08,1.19126e-02,4.2158e-03,4.9096e-05,4.5070e-06,6.8323e-08,,,,,,            4.2101,           12.0301,           15.8919,           24.3555,           34.4178,            1.1749,            6.0627,           -0.3316,            0.1470,            5.8643,
Ref 13,4.14852e-08,,,,,,1.1863e-02,4.1657e-03,4.8326e-05,4.4001e-06,6.6581e-08,,,,,,,,,,,
Sam 13,4.17074e-08,1.19127e-02,4.2158e-03,4.9097e-05,4.5056e-06,6.7328e-08,,,,,,            4.2223,           12.0157,           15.9804,           24.1664,           15.1841,            1.1884,            6.0484,           -0.2429,           -0.0092,          -12.8235,
Ref 14,4.08263e-08,,,,,,1.1863e-02,4.1657e-03,4.8324e-05,4.3985e-06,6.6057e-08,,,,,,,,,,,
Sam 14,4.10830e-08,1.19125e-02,4.2158e-03,4.9107e-05,4.5055e-06,6.7094e-08,,,,,,            4.2067,           12.0114,           16.2035,           24.0918,           10.6558,            1.1720,            6.0441,           -0.0032,           -0.0734,          -17.2023,
Ref 15,4.01763e-08,,,,,,1.1863e-02,4.1658e-03,4.8323e-05,4.4006e-06,6.6721e-08,,,,,,,,,,,
Sam 15,4.04813e-08,1.19125e-02,4.2158e-03,4.9101e-05,4.5039e-06,6.8657e-08,,,,,,            4.2170,           12.0117,           16.0660,           23.7641,           33.0257,            1.1830,            6.0444,           -0.1494,           -0.3940,            4.5394,
Ref 16,3.95455e-08,,,,,,1.1862e-02,4.1657e-03,4.8326e-05,4.3981e-06,6.6198e-08,,,,,,,,,,,
Sam 16,3.98149e-08,1.19125e-02,4.2158e-03,4.9102e-05,4.5035e-06,6.8625e-08,,,,,,            4.2122,           12.0293,           16.0725,           23.7318,           31.1225,            1.1772,            6.0619,           -0.1552,           -0.4603,            2.6595,
Ref 17,3.89193e-08,,,,,,1.1863e-02,4.1658e-03,4.8324e-05,4.4001e-06,6.6914e-08,,,,,,,,,,,
Sam 17,3.92133e-08,1.19125e-02,4.2158e-03,4.9098e-05,4.5042e-06,6.7931e-08,,,,,,            4.2099,           12.0229,           15.9131,           23.8121,           14.0659,            1.1750,            6.0555,           -0.3034,           -0.3692,          -13.9115,
Ref 18,3.82882e-08,,,,,,1.1862e-02,4.1657e-03,4.8334e-05,4.3988e-06,6.7064e-08,,,,,,,,,,,
Sam 18,3.86045e-08,1.19124e-02,4.2158e-03,4.9098e-05,4.5041e-06,6.8173e-08,,,,,,            4.2079,           12.0185,           15.9163,           23.9917,           23.6168,            1.1730,            6.0512,           -0.2940,           -0.1854,           -4.6137,
Ref 19,3.76969e-08,,,,,,1.1863e-02,4.1658e-03,4.8323e-05,4.3984e-06,6.6129e-08,,,,,,,,,,,
Sam 19,3.80579e-08,1.19123e-02,4.2158e-03,4.9100e-05,4.5035e-06,6.7710e-08,,,,,,            4.2025,           12.0082,           15.9850,           23.9765,           14.3124,            1.1676,            6.0409,           -0.2108,           -0.1796,          -13.6360,
Ref 20,3.71350e-08,,,,,,1.1862e-02,4.1658e-03,4.8331e-05,4.3977e-06,6.7389e-08,,,,,,,,,,,
Sam 20,3.74636e-08,1.19124e-02,4.2160e-03,4.9101e-05,4.5048e-06,6.8665e-08,,,,,,            4.2175,           12.0388,           15.9305,           24.2254,           35.1321,            1.1825,            6.0714,           -0.3096,            0.0028,            6.5341,
Ref 21,3.65536e-08,,,,,,1.1862e-02,4.1658e-03,4.8331e-05,4.3988e-06,6.5262e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.62715e-08,,,,,,1.1862e-02,4.1658e-03,4.8331e-05,4.3986e-06,6.5691e-08,
Sam 1,3.66144e-08,1.19123e-02,4.2159e-03,4.9098e-05,4.5064e-06,6.7888e-08,,,,,,            4.2214,           12.0248,           15.8801,           24.4251,           26.2786,            1.1871,            6.0574,           -0.3496,            0.2255,           -2.0517,
Ref 2,3.57352e-08,,,,,,1.1862e-02,4.1658e-03,4.8330e-05,4.3992e-06,6.6616e-08,,,,,,,,,,,
Sam 2,3.61155e-08,1.19123e-02,4.2159e-03,4.9107e-05,4.5073e-06,6.8970e-08,,,,,,            4.2215,           12.0189,           16.0737,           24.2889,           38.0346,            1.1875,            6.0516,           -0.1535,            0.1041,            9.3911,
Ref 3,3.52115e-08,,,,,,1.1862e-02,4.1659e-03,4.8332e-05,4.4016e-06,6.6267e-08,,,,,,,,,,,
Sam 3,3.55847e-08,1.19122e-02,4.2159e-03,4.9103e-05,4.5049e-06,6.8647e-08,,,,,,            4.2176,           12.0097,           15.9248,           23.8528,           45.5001,            1.1836,            6.0424,           -0.2870,           -0.3035,           16.6730,
Ref 4,3.46616e-08,,,,,,1.1862e-02,4.1659e-03,4.8335e-05,4.3983e-06,6.5043e-08,,,,,,,,,,,
Sam 4,3.50438e-08,1.19123e-02,4.2160e-03,4.9113e-05,4.5046e-06,6.8303e-08,,,,,,            4.2226,           12.0008,           16.1866,           23.9668,           32.8389,            1.1892,            6.0335,           -0.0258,           -0.1746,            4.3731,
Ref 5,3.41286e-08,,,,,,1.1862e-02,4.1660e-03,4.8327e-05,4.4001e-06,6.7238e-08,,,,,,,,,,,
Sam 5,3.45262e-08,1.19122e-02,4.2160e-03,4.9099e-05,4.5042e-06,6.7494e-08,,,,,,            4.2171,           12.0031,           15.9019,           24.0018,            2.8103,            1.1833,            6.0358,           -0.3025,           -0.1449,          -24.8266,
Ref 6,3.36249e-08,,,,,,1.1862e-02,4.1660e-03,4.8334e-05,4.3971e-06,6.7373e-08,,,,,,,,,,,
Sam 6,3.40323e-08,1.19123e-02,4.2162e-03,4.9102e-05,4.5037e-06,6.7417e-08,,,,,,            4.2327,           12.0284,           15.8635,           24.2477,            8.4876,            1.1990,            6.0610,           -0.3811,            0.0450,          -19.3703,
Ref 7,3.31397e-08,,,,,,1.1862e-02,4.1661e-03,4.8336e-05,4.3971e-06,6.6319e-08,,,,,,,,,,,
Sam 7,3.35421e-08,1.19123e-02,4.2161e-03,4.9104e-05,4.5038e-06,6.8786e-08,,,,,,            4.2303,           12.0133,           15.9289,           23.7506,           45.2628,            1.1971,            6.0460,           -0.2996,           -0.4104,           16.4214,
Ref 8,3.26198e-08,,,,,,1.1862e-02,4.1661e-03,4.8332e-05,4.4016e-06,6.5288e-08,,,,,,,,,,,
Sam 8,3.30562e-08,1.19122e-02,4.2163e-03,4.9109e-05,4.5037e-06,6.7028e-08,,,,,,            4.2057,           12.0351,           16.0972,           23.3766,           19.0930,            1.1701,            6.0677,           -0.1299,           -0.8185,           -9.0424,
Ref 9,3.21395e-08,,,,,,1.1862e-02,4.1661e-03,4.8331e-05,4.4000e-06,6.6264e-08,,,,,,,,,,,
Sam 9,3.25866e-08,1.19122e-02,4.2162e-03,4.9113e-05,4.5060e-06,6.8592e-08,,,,,,            4.2115,           12.0162,           16.1169,           24.1603,           33.1739,            1.1769,            6.0489,           -0.0981,           -0.0161,            4.6804,
Ref 10,3.16754e-08,,,,,,1.1862e-02,4.1662e-03,4.8336e-05,4.3994e-06,6.6517e-08,,,,,,,,,,,
Sam 10,3.21312e-08,1.19121e-02,4.2163e-03,4.9111e-05,4.5033e-06,6.9625e-08,,,,,,            4.2144,           12.0114,           16.0628,           23.5493,           39.3020,            1.1801,            6.0441,           -0.1496,           -0.6032,           10.6460,
Ref 11,3.12157e-08,,,,,,1.1862e-02,4.1663e-03,4.8333e-05,4.4000e-06,6.7474e-08,,,,,,,,,,,
Sam 11,3.16771e-08,1.19122e-02,4.2163e-03,4.9114e-05,4.5071e-06,6.7812e-08,,,,,,            4.2135,           12.0034,           16.0955,           24.4078,           21.0563,            1.1795,            6.0362,           -0.1088,            0.2509,           -7.0804,
Ref 12,3.07530e-08,,,,,,1.1862e-02,4.1663e-03,4.8339e-05,4.3995e-06,6.5338e-08,,,,,,,,,,,
Sam 12,3.12364e-08,1.19123e-02,4.2163e-03,4.9111e-05,4.5032e-06,6.9301e-08,,,,,,            4.2249,           12.0044,           15.9986,           23.6772,           40.2638,            1.1916,            6.0371,           -0.2167,           -0.4644,           11.5838,
Ref 13,3.03325e-08,,,,,,1.1862e-02,4.1663e-03,4.8337e-05,4.3986e-06,6.7918e-08,,,,,,,,,,,
Sam 13,3.08168e-08,1.19121e-02,4.2163e-03,4.9110e-05,4.5070e-06,6.9682e-08,,,,,,            4.2081,           12.0050,           15.9121,           24.4801,           37.9026,            1.1737,            6.0378,           -0.2853,            0.3182,            9.3043,
Ref 14,2.98950e-08,,,,,,1.1862e-02,4.1663e-03,4.8346e-05,4.4000e-06,6.6346e-08,,,,,,,,,,,
Sam 14,3.03886e-08,1.19120e-02,4.2163e-03,4.9108e-05,4.5045e-06,7.0381e-08,,,,,,            4.2109,           12.0004,           15.8635,           23.7480,           61.7486,            1.1768,            6.0331,           -0.3315,           -0.3874,           32.4995,
Ref 15,2.94640e-08,,,,,,1.1862e-02,4.1663e-03,4.8337e-05,4.4000e-06,6.6230e-08,,,,,,,,,,,
Sam 15,2.99675e-08,1.19120e-02,4.2163e-03,4.9111e-05,4.5048e-06,6.8751e-08,,,,,,            4.2231,           12.0040,           15.9999,           24.3658,           30.3166,            1.1897,            6.0367,           -0.2132,            0.2087,            1.9135,
Ref 16,2.90402e-08,,,,,,1.1862e-02,4.1663e-03,4.8339e-05,4.3952e-06,6.7233e-08,,,,,,,,,,,
Sam 16,2.95398e-08,1.19121e-02,4.2164e-03,4.9114e-05,4.5001e-06,6.8378e-08,,,,,,            4.2258,           12.0191,           16.0748,           23.8074,           16.8696,            1.1920,            6.0518,           -0.1571,           -0.3665,          -11.1948,
Ref 17,2.86375e-08,,,,,,1.1862e-02,4.1664e-03,4.8335e-05,4.3957e-06,6.7255e-08,,,,,,,,,,,
Sam 17,2.91459e-08,1.19121e-02,4.2164e-03,4.9114e-05,4.5013e-06,7.1119e-08,,,,,,            4.2201,           12.0012,           15.9979,           24.0818,           77.6051,            1.1866,            6.0339,           -0.2094,           -0.0631,           47.9074,
Ref 18,2.82172e-08,,,,,,1.1862e-02,4.1664e-03,4.8345e-05,4.3953e-06,6.4720e-08,,,,,,,,,,,
Sam 18,2.87386e-08,1.19120e-02,4.2165e-03,4.9119e-05,4.5046e-06,6.8076e-08,,,,,,            4.2215,           12.0077,           16.0002,           24.3292,           36.7172,            1.1878,            6.0404,           -0.2149,            0.1657,            8.1321,
Ref 19,2.78167e-08,,,,,,1.1862e-02,4.1665e-03,4.8346e-05,4.4000e-06,6.6623e-08,,,,,,,,,,,
Sam 19,2.83502e-08,1.19118e-02,4.2165e-03,4.9118e-05,4.5011e-06,6.9942e-08,,,,,,            4.2144,           12.0041,           15.9332,           23.1664,           49.0495,            1.1804,            6.0368,           -0.2699,           -0.9626,           20.1392,
Ref 20,2.74381e-08,,,,,,1.1862e-02,4.1665e-03,4.8348e-05,4.3983e-06,6.6721e-08,,,,,,,,,,,
Sam 20,2.79790e-08,1.19120e-02,4.2165e-03,4.9117e-05,4.5057e-06,6.7949e-08,,,,,,            4.2252,           11.9921,           15.9567,           24.2380,           23.2918,            1.1923,            6.0248,           -0.2462,            0.1075,           -4.8968,
Ref 21,2.70549e-08,,,,,,1.1862e-02,4.1665e-03,4.8344e-05,4.3999e-06,6.6080e-08,,,,,,,,,,,


