Nu Stable Isotope Analysis Program
Data Collected on Saturday, November 04, 2023 at 20:24 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, November 04, 2023 at 21:23 with Stable 1.71.5 on PS019

Data File = Data_20827 IAEA-C2.txt,       Sample Weight = 479,                      Vial Location = 20,                       Initial Sam Beam = 2.5033e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5779e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02848
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.06790e-08,,,,,,1.1863e-02,4.1639e-03,4.8309e-05,4.4010e-06,6.4439e-08,
Sam 1,8.98542e-08,1.18044e-02,4.1818e-03,4.8259e-05,4.4390e-06,6.4872e-08,,,,,,           -4.9600,            4.2654,           -1.0551,            8.4635,            8.9888,           -8.3163,           -1.6443,           -0.1205,           -0.0849,            5.8796,
Ref 2,8.88703e-08,,,,,,1.1863e-02,4.1642e-03,4.8311e-05,4.4025e-06,6.4145e-08,,,,,,,,,,,
Sam 2,8.80405e-08,1.18045e-02,4.1819e-03,4.8256e-05,4.4384e-06,6.4027e-08,,,,,,           -4.9755,            4.2456,           -1.1923,            8.1782,           -1.4657,           -8.3322,           -1.6641,           -0.2223,           -0.3282,           -4.4874,
Ref 3,8.70029e-08,,,,,,1.1864e-02,4.1643e-03,4.8316e-05,4.4022e-06,6.4096e-08,,,,,,,,,,,
Sam 3,8.62154e-08,1.18046e-02,4.1820e-03,4.8260e-05,4.4390e-06,6.4594e-08,,,,,,           -4.9732,            4.2392,           -1.1620,            8.3323,            7.6509,           -8.3294,           -1.6704,           -0.1882,           -0.1628,            4.6116,
Ref 4,8.51237e-08,,,,,,1.1864e-02,4.1644e-03,4.8316e-05,4.4025e-06,6.4111e-08,,,,,,,,,,,
Sam 4,8.44087e-08,1.18046e-02,4.1821e-03,4.8261e-05,4.4396e-06,6.4953e-08,,,,,,           -4.9729,            4.2436,           -1.1072,            8.3682,            9.9072,           -8.3293,           -1.6660,           -0.1379,           -0.1359,            6.8522,
Ref 5,8.33199e-08,,,,,,1.1864e-02,4.1644e-03,4.8313e-05,4.4031e-06,6.4525e-08,,,,,,,,,,,
Sam 5,8.26624e-08,1.18045e-02,4.1821e-03,4.8258e-05,4.4387e-06,6.5032e-08,,,,,,           -4.9771,            4.2378,           -1.1849,            8.1599,            6.9282,           -8.3335,           -1.6718,           -0.2057,           -0.3309,            3.8980,
Ref 6,8.15694e-08,,,,,,1.1864e-02,4.1645e-03,4.8317e-05,4.4024e-06,6.4645e-08,,,,,,,,,,,
Sam 6,8.09433e-08,1.18045e-02,4.1821e-03,4.8258e-05,4.4397e-06,6.4688e-08,,,,,,           -4.9754,            4.2209,           -1.2055,            8.2799,            7.9242,           -8.3312,           -1.6886,           -0.2115,           -0.1783,            4.9224,
Ref 7,7.98503e-08,,,,,,1.1864e-02,4.1645e-03,4.8316e-05,4.4040e-06,6.3703e-08,,,,,,,,,,,
Sam 7,7.92869e-08,1.18046e-02,4.1822e-03,4.8258e-05,4.4411e-06,6.4726e-08,,,,,,           -4.9666,            4.2378,           -1.2092,            8.5832,            9.7905,           -8.3224,           -1.6718,           -0.2408,            0.0889,            6.7405,
Ref 8,7.81810e-08,,,,,,1.1863e-02,4.1645e-03,4.8318e-05,4.4026e-06,6.4503e-08,,,,,,,,,,,
Sam 8,7.76795e-08,1.18045e-02,4.1822e-03,4.8260e-05,4.4398e-06,6.4254e-08,,,,,,           -4.9716,            4.2405,           -1.1876,            8.5731,           -0.3918,           -8.3277,           -1.6691,           -0.2168,            0.0734,           -3.4112,
Ref 9,7.65662e-08,,,,,,1.1863e-02,4.1646e-03,4.8317e-05,4.4015e-06,6.4051e-08,,,,,,,,,,,
Sam 9,7.61099e-08,1.18044e-02,4.1823e-03,4.8261e-05,4.4399e-06,6.4485e-08,,,,,,           -4.9776,            4.2408,           -1.1851,            8.5474,            0.0444,           -8.3341,           -1.6688,           -0.2083,            0.0474,           -2.9703,
Ref 10,7.50142e-08,,,,,,1.1863e-02,4.1646e-03,4.8320e-05,4.4031e-06,6.4921e-08,,,,,,,,,,,
Sam 10,7.48320e-08,1.18042e-02,4.1821e-03,4.8260e-05,4.4390e-06,6.4628e-08,,,,,,           -4.9906,            4.2021,           -1.2114,            8.2707,           -3.6398,           -8.3466,           -1.7073,           -0.1832,           -0.1499,           -6.5544,
Ref 11,7.36006e-08,,,,,,1.1863e-02,4.1646e-03,4.8318e-05,4.4020e-06,6.4805e-08,,,,,,,,,,,
Sam 11,7.32590e-08,1.18043e-02,4.1822e-03,4.8263e-05,4.4405e-06,6.5720e-08,,,,,,           -4.9666,            4.2325,           -1.1185,            8.8105,           13.4156,           -8.3222,           -1.6771,           -0.1449,            0.3247,           10.3651,
Ref 12,7.21229e-08,,,,,,1.1863e-02,4.1646e-03,4.8317e-05,4.4014e-06,6.4896e-08,,,,,,,,,,,
Sam 12,7.18495e-08,1.18042e-02,4.1822e-03,4.8262e-05,4.4395e-06,6.5486e-08,,,,,,           -4.9732,            4.2292,           -1.1293,            8.4308,           11.6897,           -8.3291,           -1.6804,           -0.1455,           -0.0452,            8.6581,
Ref 13,7.07116e-08,,,,,,1.1863e-02,4.1646e-03,4.8317e-05,4.4033e-06,6.4560e-08,,,,,,,,,,,
Sam 13,7.04584e-08,1.18042e-02,4.1823e-03,4.8260e-05,4.4410e-06,6.5561e-08,,,,,,           -4.9754,            4.2314,           -1.1865,            8.5956,           10.3303,           -8.3315,           -1.6782,           -0.2027,            0.1139,            7.3007,
Ref 14,6.93187e-08,,,,,,1.1863e-02,4.1646e-03,4.8317e-05,4.4031e-06,6.5228e-08,,,,,,,,,,,
Sam 14,6.91011e-08,1.18042e-02,4.1823e-03,4.8260e-05,4.4385e-06,6.5001e-08,,,,,,           -4.9731,            4.2364,           -1.1840,            8.0730,           -1.7351,           -8.3292,           -1.6732,           -0.2075,           -0.4142,           -4.7406,
Ref 15,6.79598e-08,,,,,,1.1863e-02,4.1647e-03,4.8316e-05,4.4029e-06,6.4998e-08,,,,,,,,,,,
Sam 15,6.81261e-08,1.18038e-02,4.1821e-03,4.8254e-05,4.4376e-06,6.5254e-08,,,,,,           -5.0014,            4.1833,           -1.2995,            7.8419,            1.3324,           -8.3575,           -1.7260,           -0.2418,           -0.5377,           -1.5483,
Ref 16,6.66574e-08,,,,,,1.1863e-02,4.1647e-03,4.8318e-05,4.4033e-06,6.5340e-08,,,,,,,,,,,
Sam 16,6.65788e-08,1.18041e-02,4.1823e-03,4.8262e-05,4.4395e-06,6.6276e-08,,,,,,           -4.9752,            4.2440,           -1.1580,            8.5393,           11.1620,           -8.3317,           -1.6656,           -0.1868,            0.0329,            8.1048,
Ref 17,6.54275e-08,,,,,,1.1863e-02,4.1646e-03,4.8318e-05,4.4006e-06,6.5754e-08,,,,,,,,,,,
Sam 17,6.53392e-08,1.18041e-02,4.1823e-03,4.8260e-05,4.4403e-06,6.5933e-08,,,,,,           -4.9781,            4.2241,           -1.2186,            8.8262,            1.9127,           -8.3342,           -1.6854,           -0.2249,            0.3571,           -1.0744,
Ref 18,6.40580e-08,,,,,,1.1863e-02,4.1648e-03,4.8320e-05,4.4024e-06,6.5861e-08,,,,,,,,,,,
Sam 18,6.40148e-08,1.18042e-02,4.1825e-03,4.8263e-05,4.4403e-06,6.5395e-08,,,,,,           -4.9723,            4.2332,           -1.1824,            8.4592,           -2.2764,           -8.3283,           -1.6764,           -0.2036,           -0.0249,           -5.2750,
Ref 19,6.28834e-08,,,,,,1.1863e-02,4.1648e-03,4.8321e-05,4.4037e-06,6.5220e-08,,,,,,,,,,,
Sam 19,6.28326e-08,1.18041e-02,4.1825e-03,4.8269e-05,4.4397e-06,6.5922e-08,,,,,,           -4.9704,            4.2480,           -1.0485,            8.3702,           14.5882,           -8.3268,           -1.6617,           -0.0861,           -0.1427,           11.5076,
Ref 20,6.17914e-08,,,,,,1.1863e-02,4.1648e-03,4.8317e-05,4.4020e-06,6.4724e-08,,,,,,,,,,,
Sam 20,6.16920e-08,1.18041e-02,4.1825e-03,4.8264e-05,4.4385e-06,6.6428e-08,,,,,,           -4.9683,            4.2598,           -1.1124,            8.2026,           14.4028,           -8.3249,           -1.6499,           -0.1638,           -0.3324,           11.2971,
Ref 21,6.06337e-08,,,,,,1.1863e-02,4.1648e-03,4.8318e-05,4.4028e-06,6.6260e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.00172e-08,,,,,,1.1863e-02,4.1649e-03,4.8310e-05,4.4020e-06,6.4230e-08,
Sam 1,6.01371e-08,1.18040e-02,4.1824e-03,4.8265e-05,4.4393e-06,6.5835e-08,,,,,,           -4.9740,            4.2052,           -1.0383,            8.5134,            8.7463,           -8.3292,           -1.7043,           -0.0301,            0.0846,            5.7717,
Ref 2,5.89308e-08,,,,,,1.1863e-02,4.1649e-03,4.8322e-05,4.4017e-06,6.6318e-08,,,,,,,,,,,
Sam 2,5.89753e-08,1.18040e-02,4.1825e-03,4.8265e-05,4.4406e-06,6.5713e-08,,,,,,           -4.9685,            4.2342,           -1.1261,            8.9450,           -3.3149,           -8.3243,           -1.6753,           -0.1522,            0.4547,           -6.3164,
Ref 3,5.78612e-08,,,,,,1.1863e-02,4.1649e-03,4.8318e-05,4.4007e-06,6.5538e-08,,,,,,,,,,,
Sam 3,5.79668e-08,1.18039e-02,4.1825e-03,4.8266e-05,4.4395e-06,6.5872e-08,,,,,,           -4.9784,            4.2189,           -1.0360,            8.7094,           16.0073,           -8.3343,           -1.6906,           -0.0367,            0.2517,           12.9888,
Ref 4,5.67647e-08,,,,,,1.1863e-02,4.1650e-03,4.8314e-05,4.4016e-06,6.4117e-08,,,,,,,,,,,
Sam 4,5.68813e-08,1.18040e-02,4.1827e-03,4.8263e-05,4.4387e-06,6.5199e-08,,,,,,           -4.9719,            4.2356,           -1.1235,            8.5357,            3.0882,           -8.3279,           -1.6740,           -0.1474,            0.0462,            0.0684,
Ref 5,5.57591e-08,,,,,,1.1863e-02,4.1650e-03,4.8321e-05,4.4006e-06,6.5896e-08,,,,,,,,,,,
Sam 5,5.58454e-08,1.18041e-02,4.1827e-03,4.8264e-05,4.4384e-06,6.6159e-08,,,,,,           -4.9690,            4.2346,           -1.2040,            8.5308,           15.4167,           -8.3249,           -1.6750,           -0.2300,            0.0432,           12.3586,
Ref 6,5.46320e-08,,,,,,1.1863e-02,4.1651e-03,4.8324e-05,4.4012e-06,6.4398e-08,,,,,,,,,,,
Sam 6,5.47897e-08,1.18040e-02,4.1828e-03,4.8269e-05,4.4381e-06,6.6415e-08,,,,,,           -4.9718,            4.2532,           -1.1184,            8.5004,           27.7099,           -8.3285,           -1.6564,           -0.1597,           -0.0240,           24.5805,
Ref 7,5.37560e-08,,,,,,1.1863e-02,4.1651e-03,4.8322e-05,4.4002e-06,6.4855e-08,,,,,,,,,,,
Sam 7,5.39233e-08,1.18040e-02,4.1828e-03,4.8265e-05,4.4373e-06,6.5682e-08,,,,,,           -4.9707,            4.2299,           -1.1774,            8.3660,            2.9229,           -8.3265,           -1.6796,           -0.1971,           -0.1109,           -0.0866,
Ref 8,5.27512e-08,,,,,,1.1863e-02,4.1652e-03,4.8321e-05,4.4008e-06,6.6138e-08,,,,,,,,,,,
Sam 8,5.29625e-08,1.18040e-02,4.1828e-03,4.8263e-05,4.4377e-06,6.6849e-08,,,,,,           -4.9702,            4.2229,           -1.1908,            8.3340,           11.4656,           -8.3257,           -1.6866,           -0.2040,           -0.1286,            8.4438,
Ref 9,5.18344e-08,,,,,,1.1863e-02,4.1652e-03,4.8319e-05,4.4012e-06,6.6045e-08,,,,,,,,,,,
Sam 9,5.20636e-08,1.18039e-02,4.1828e-03,4.8264e-05,4.4385e-06,6.5033e-08,,,,,,           -4.9699,            4.2262,           -1.1693,            8.3122,          -19.0290,           -8.3255,           -1.6833,           -0.1862,           -0.1568,          -21.9663,
Ref 10,5.09345e-08,,,,,,1.1863e-02,4.1653e-03,4.8322e-05,4.4026e-06,6.6548e-08,,,,,,,,,,,
Sam 10,5.11811e-08,1.18040e-02,4.1829e-03,4.8268e-05,4.4390e-06,6.6902e-08,,,,,,           -4.9619,            4.2259,           -1.1179,            8.6229,           17.2009,           -8.3170,           -1.6837,           -0.1426,            0.1519,           14.1471,
Ref 11,5.00565e-08,,,,,,1.1863e-02,4.1653e-03,4.8323e-05,4.3995e-06,6.4979e-08,,,,,,,,,,,
Sam 11,5.03363e-08,1.18039e-02,4.1829e-03,4.8270e-05,4.4398e-06,6.7073e-08,,,,,,           -4.9727,            4.2270,           -1.1166,            9.1088,           28.6710,           -8.3285,           -1.6825,           -0.1312,            0.6315,           25.5923,
Ref 12,4.91968e-08,,,,,,1.1863e-02,4.1653e-03,4.8325e-05,4.4001e-06,6.5431e-08,,,,,,,,,,,
Sam 12,4.94968e-08,1.18039e-02,4.1829e-03,4.8267e-05,4.4393e-06,6.6198e-08,,,,,,           -4.9705,            4.2302,           -1.2091,            8.7833,           -1.2678,           -8.3262,           -1.6793,           -0.2293,            0.3023,           -4.2656,
Ref 13,4.83574e-08,,,,,,1.1863e-02,4.1653e-03,4.8326e-05,4.4012e-06,6.7148e-08,,,,,,,,,,,
Sam 13,4.86790e-08,1.18038e-02,4.1829e-03,4.8276e-05,4.4379e-06,6.5969e-08,,,,,,           -4.9700,            4.2168,           -1.0567,            8.1978,          -10.1816,           -8.3253,           -1.6927,           -0.0640,           -0.2514,          -13.1270,
Ref 14,4.75452e-08,,,,,,1.1863e-02,4.1654e-03,4.8328e-05,4.4024e-06,6.6140e-08,,,,,,,,,,,
Sam 14,4.78804e-08,1.18038e-02,4.1830e-03,4.8272e-05,4.4381e-06,6.7428e-08,,,,,,           -4.9713,            4.2158,           -1.1616,            8.1722,           24.7003,           -8.3266,           -1.6936,           -0.1669,           -0.2750,           21.6542,
Ref 15,4.67494e-08,,,,,,1.1863e-02,4.1654e-03,4.8329e-05,4.4018e-06,6.5460e-08,,,,,,,,,,,
Sam 15,4.70995e-08,1.18038e-02,4.1830e-03,4.8273e-05,4.4401e-06,6.6394e-08,,,,,,           -4.9685,            4.2116,           -1.1200,            8.7877,           17.6726,           -8.3234,           -1.6979,           -0.1239,            0.3439,           14.6528,
Ref 16,4.59733e-08,,,,,,1.1863e-02,4.1655e-03,4.8325e-05,4.4010e-06,6.5017e-08,,,,,,,,,,,
Sam 16,4.63344e-08,1.18037e-02,4.1830e-03,4.8274e-05,4.4379e-06,6.5788e-08,,,,,,           -4.9725,            4.2110,           -1.0357,            8.3746,            8.9604,           -8.3278,           -1.6985,           -0.0347,           -0.0646,            5.9720,
Ref 17,4.52141e-08,,,,,,1.1863e-02,4.1655e-03,4.8322e-05,4.4011e-06,6.5393e-08,,,,,,,,,,,
Sam 17,4.55909e-08,1.18037e-02,4.1831e-03,4.8269e-05,4.4373e-06,6.6170e-08,,,,,,           -4.9735,            4.2173,           -1.1379,            8.2598,            7.2691,           -8.3290,           -1.6922,           -0.1422,           -0.1910,            4.2745,
Ref 18,4.44694e-08,,,,,,1.1863e-02,4.1655e-03,4.8326e-05,4.4008e-06,6.5998e-08,,,,,,,,,,,
Sam 18,4.48587e-08,1.18036e-02,4.1831e-03,4.8273e-05,4.4378e-06,6.5708e-08,,,,,,           -4.9746,            4.2212,           -1.1095,            8.5456,           -3.8314,           -8.3303,           -1.6884,           -0.1164,            0.0848,           -6.7994,
Ref 19,4.37441e-08,,,,,,1.1863e-02,4.1655e-03,4.8328e-05,4.3996e-06,6.5923e-08,,,,,,,,,,,
Sam 19,4.41421e-08,1.18037e-02,4.1832e-03,4.8272e-05,4.4373e-06,6.6880e-08,,,,,,           -4.9640,            4.2279,           -1.1613,            8.3849,           25.1050,           -8.3192,           -1.6817,           -0.1859,           -0.0880,           22.0257,
Ref 20,4.30291e-08,,,,,,1.1863e-02,4.1656e-03,4.8328e-05,4.4013e-06,6.4550e-08,,,,,,,,,,,
Sam 20,4.34388e-08,1.18037e-02,4.1832e-03,4.8266e-05,4.4374e-06,6.7444e-08,,,,,,           -4.9667,            4.2258,           -1.2845,            8.0592,           30.6447,           -8.3220,           -1.6837,           -0.3044,           -0.4070,           27.5558,
Ref 21,4.23300e-08,,,,,,1.1863e-02,4.1656e-03,4.8328e-05,4.4025e-06,6.6343e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.19841e-08,,,,,,1.1863e-02,4.1656e-03,4.8332e-05,4.4004e-06,6.4457e-08,
Sam 1,4.24146e-08,1.18036e-02,4.1832e-03,4.8272e-05,4.4379e-06,6.7066e-08,,,,,,           -4.9659,            4.2256,           -1.0800,            8.7918,           37.0062,           -8.3213,           -1.6839,           -0.1003,            0.3199,           33.8978,
Ref 2,4.13089e-08,,,,,,1.1863e-02,4.1656e-03,4.8317e-05,4.3981e-06,6.4892e-08,,,,,,,,,,,
Sam 2,4.17497e-08,1.18035e-02,4.1833e-03,4.8277e-05,4.4364e-06,6.6763e-08,,,,,,           -4.9722,            4.2294,           -0.9510,            8.4417,           18.8410,           -8.3280,           -1.6802,            0.0317,           -0.0347,           15.7865,
Ref 3,4.06474e-08,,,,,,1.1863e-02,4.1657e-03,4.8329e-05,4.4006e-06,6.6176e-08,,,,,,,,,,,
Sam 3,4.11263e-08,1.18035e-02,4.1833e-03,4.8278e-05,4.4390e-06,6.6223e-08,,,,,,           -4.9678,            4.2307,           -0.9904,            8.7839,            6.2385,           -8.3234,           -1.6789,           -0.0137,            0.3020,            3.2143,
Ref 4,4.00507e-08,,,,,,1.1862e-02,4.1656e-03,4.8323e-05,4.4001e-06,6.5444e-08,,,,,,,,,,,
Sam 4,4.04927e-08,1.18034e-02,4.1832e-03,4.8269e-05,4.4377e-06,6.6716e-08,,,,,,           -4.9643,            4.2177,           -1.1375,            8.6474,           12.1649,           -8.3192,           -1.6918,           -0.1518,            0.1925,            9.1448,
Ref 5,3.93860e-08,,,,,,1.1862e-02,4.1657e-03,4.8325e-05,4.3992e-06,6.6394e-08,,,,,,,,,,,
Sam 5,3.98436e-08,1.18035e-02,4.1833e-03,4.8277e-05,4.4362e-06,6.5918e-08,,,,,,           -4.9609,            4.2308,           -0.9666,            8.3764,           -7.4517,           -8.3160,           -1.6788,            0.0029,           -0.1022,          -10.4421,
Ref 6,3.87461e-08,,,,,,1.1862e-02,4.1657e-03,4.8321e-05,4.3995e-06,6.6433e-08,,,,,,,,,,,
Sam 6,3.92657e-08,1.18034e-02,4.1833e-03,4.8279e-05,4.4394e-06,6.7125e-08,,,,,,           -4.9719,            4.2230,           -0.8653,            9.3997,           15.2123,           -8.3275,           -1.6865,            0.1234,            0.9280,           12.1810,
Ref 7,3.82024e-08,,,,,,1.1862e-02,4.1657e-03,4.8321e-05,4.3965e-06,6.5801e-08,,,,,,,,,,,
Sam 7,3.86593e-08,1.18034e-02,4.1833e-03,4.8274e-05,4.4361e-06,6.6550e-08,,,,,,           -4.9656,            4.2188,           -1.0809,            8.7430,            9.8393,           -8.3207,           -1.6907,           -0.0948,            0.2851,            6.8255,
Ref 8,3.75951e-08,,,,,,1.1862e-02,4.1657e-03,4.8331e-05,4.3988e-06,6.6003e-08,,,,,,,,,,,
Sam 8,3.80731e-08,1.18034e-02,4.1833e-03,4.8275e-05,4.4357e-06,6.7030e-08,,,,,,           -4.9583,            4.2143,           -1.0810,            8.4555,            6.2927,           -8.3127,           -1.6952,           -0.0981,            0.0090,            3.2905,
Ref 9,3.70197e-08,,,,,,1.1862e-02,4.1658e-03,4.8325e-05,4.3982e-06,6.7227e-08,,,,,,,,,,,
Sam 9,3.75437e-08,1.18034e-02,4.1834e-03,4.8272e-05,4.4374e-06,6.6180e-08,,,,,,           -4.9638,            4.2158,           -1.1018,            8.6256,          -15.2892,           -8.3187,           -1.6937,           -0.1146,            0.1747,          -18.2240,
Ref 10,3.64274e-08,,,,,,1.1862e-02,4.1658e-03,4.8326e-05,4.4008e-06,6.7187e-08,,,,,,,,,,,
Sam 10,3.69801e-08,1.18033e-02,4.1834e-03,4.8277e-05,4.4365e-06,6.7169e-08,,,,,,           -4.9661,            4.2190,           -1.0287,            8.2688,           10.5734,           -8.3212,           -1.6905,           -0.0423,           -0.1855,            7.5576,
Ref 11,3.58801e-08,,,,,,1.1862e-02,4.1659e-03,4.8327e-05,4.3994e-06,6.5734e-08,,,,,,,,,,,
Sam 11,3.64193e-08,1.18032e-02,4.1834e-03,4.8276e-05,4.4378e-06,6.6725e-08,,,,,,           -4.9704,            4.2057,           -1.0715,            8.8070,            8.6364,           -8.3253,           -1.7038,           -0.0676,            0.3747,            5.6572,
Ref 12,3.53334e-08,,,,,,1.1862e-02,4.1659e-03,4.8328e-05,4.3988e-06,6.6579e-08,,,,,,,,,,,
Sam 12,3.58691e-08,1.18032e-02,4.1835e-03,4.8275e-05,4.4356e-06,6.7230e-08,,,,,,           -4.9760,            4.2110,           -1.1751,            8.3470,           26.5553,           -8.3314,           -1.6984,           -0.1709,           -0.0921,           23.5185,
Ref 13,3.47795e-08,,,,,,1.1862e-02,4.1659e-03,4.8335e-05,4.3989e-06,6.4385e-08,,,,,,,,,,,
Sam 13,3.53291e-08,1.18033e-02,4.1835e-03,4.8275e-05,4.4358e-06,6.6856e-08,,,,,,           -4.9623,            4.2150,           -1.1867,            8.2228,           23.1205,           -8.3170,           -1.6945,           -0.2004,           -0.2232,           20.0710,
Ref 14,3.42559e-08,,,,,,1.1862e-02,4.1659e-03,4.8330e-05,4.4003e-06,6.6319e-08,,,,,,,,,,,
Sam 14,3.48371e-08,1.18031e-02,4.1835e-03,4.8273e-05,4.4370e-06,6.6589e-08,,,,,,           -4.9697,            4.2197,           -1.2294,            8.1785,           13.5120,           -8.3250,           -1.6898,           -0.2402,           -0.2765,           10.4898,
Ref 15,3.37634e-08,,,,,,1.1862e-02,4.1659e-03,4.8335e-05,4.4017e-06,6.5073e-08,,,,,,,,,,,
Sam 15,3.43222e-08,1.18032e-02,4.1836e-03,4.8272e-05,4.4352e-06,6.8583e-08,,,,,,           -4.9627,            4.2286,           -1.2872,            7.8030,           48.3561,           -8.3179,           -1.6809,           -0.3140,           -0.6665,           45.2039,
Ref 16,3.32666e-08,,,,,,1.1862e-02,4.1660e-03,4.8334e-05,4.4000e-06,6.5771e-08,,,,,,,,,,,
Sam 16,3.38171e-08,1.18032e-02,4.1836e-03,4.8282e-05,4.4368e-06,6.7968e-08,,,,,,           -4.9705,            4.2223,           -1.0300,            8.4433,           25.8815,           -8.3259,           -1.6872,           -0.0424,           -0.0191,           22.8180,
Ref 17,3.27363e-08,,,,,,1.1862e-02,4.1661e-03,4.8330e-05,4.3993e-06,6.6743e-08,,,,,,,,,,,
Sam 17,3.33262e-08,1.18032e-02,4.1837e-03,4.8278e-05,4.4370e-06,6.6801e-08,,,,,,           -4.9689,            4.2170,           -1.1597,            8.4966,           18.1039,           -8.3241,           -1.6925,           -0.1686,            0.0444,           15.0725,
Ref 18,3.22831e-08,,,,,,1.1862e-02,4.1661e-03,4.8339e-05,4.4000e-06,6.4468e-08,,,,,,,,,,,
Sam 18,3.28779e-08,1.18032e-02,4.1837e-03,4.8277e-05,4.4335e-06,6.6293e-08,,,,,,           -4.9634,            4.2179,           -1.2833,            7.6667,           20.4050,           -8.3183,           -1.6916,           -0.2988,           -0.7803,           17.3591,
Ref 19,3.18060e-08,,,,,,1.1862e-02,4.1661e-03,4.8340e-05,4.3994e-06,6.5474e-08,,,,,,,,,,,
Sam 19,3.24071e-08,1.18030e-02,4.1837e-03,4.8280e-05,4.4330e-06,6.6726e-08,,,,,,           -4.9675,            4.2246,           -1.1780,            7.3297,            7.3557,           -8.3228,           -1.6849,           -0.1958,           -1.1279,            4.3398,
Ref 20,3.13415e-08,,,,,,1.1862e-02,4.1661e-03,4.8333e-05,4.4021e-06,6.7015e-08,,,,,,,,,,,
Sam 20,3.19520e-08,1.18031e-02,4.1838e-03,4.8282e-05,4.4369e-06,6.4957e-08,,,,,,           -4.9666,            4.2278,           -1.0713,            8.2012,          -27.0052,           -8.3221,           -1.6818,           -0.0930,           -0.2700,          -29.9251,
