Nu Stable Isotope Analysis Program
Data Collected on Saturday, November 04, 2023 at 23:13 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, November 05, 2023 at 00:12 with Stable 1.71.5 on PS019

Data File = Data_20829 MDS 200.txt,       Sample Weight = 467,                      Vial Location = 22,                       Initial Sam Beam = 2.5034e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0353e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02848
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.06518e-08,,,,,,1.1863e-02,4.1643e-03,4.8309e-05,4.4015e-06,6.3828e-08,
Sam 1,8.01243e-08,1.18058e-02,4.1872e-03,4.8322e-05,4.4501e-06,6.3996e-08,,,,,,           -4.8379,            5.4783,            0.1632,           10.9469,            3.5693,           -8.2284,           -0.4376,           -0.2159,           -0.0393,           -2.0260,
Ref 2,7.93416e-08,,,,,,1.1863e-02,4.1645e-03,4.8319e-05,4.4022e-06,6.3708e-08,,,,,,,,,,,
Sam 2,7.85855e-08,1.18060e-02,4.1873e-03,4.8321e-05,4.4496e-06,6.4137e-08,,,,,,           -4.8316,            5.4596,            0.0391,           10.8938,            6.8582,           -8.2210,           -0.4562,           -0.3282,           -0.0547,            1.2744,
Ref 3,7.77422e-08,,,,,,1.1863e-02,4.1646e-03,4.8318e-05,4.4010e-06,6.3692e-08,,,,,,,,,,,
Sam 3,7.70317e-08,1.18060e-02,4.1873e-03,4.8324e-05,4.4483e-06,6.4532e-08,,,,,,           -4.8334,            5.4576,            0.0775,           10.4701,           12.0509,           -8.2228,           -0.4582,           -0.2860,           -0.4697,            6.4443,
Ref 4,7.61698e-08,,,,,,1.1863e-02,4.1646e-03,4.8322e-05,4.4035e-06,6.3838e-08,,,,,,,,,,,
Sam 4,7.55132e-08,1.18059e-02,4.1874e-03,4.8319e-05,4.4499e-06,6.4781e-08,,,,,,           -4.8420,            5.4535,           -0.0241,           10.6115,            2.4611,           -8.2318,           -0.4622,           -0.3747,           -0.3219,           -3.0753,
Ref 5,7.46528e-08,,,,,,1.1863e-02,4.1647e-03,4.8319e-05,4.4028e-06,6.5422e-08,,,,,,,,,,,
Sam 5,7.40523e-08,1.18060e-02,4.1874e-03,4.8319e-05,4.4501e-06,6.4852e-08,,,,,,           -4.8364,            5.4559,            0.0021,           10.6775,            4.6912,           -8.2259,           -0.4598,           -0.3567,           -0.2614,           -0.8682,
Ref 6,7.31438e-08,,,,,,1.1863e-02,4.1647e-03,4.8319e-05,4.4033e-06,6.3657e-08,,,,,,,,,,,
Sam 6,7.26047e-08,1.18061e-02,4.1875e-03,4.8319e-05,4.4503e-06,6.5302e-08,,,,,,           -4.8304,            5.4666,            0.0140,           10.7247,           25.5351,           -8.2199,           -0.4492,           -0.3614,           -0.2359,           19.8324,
Ref 7,7.16961e-08,,,,,,1.1863e-02,4.1647e-03,4.8318e-05,4.4028e-06,6.3696e-08,,,,,,,,,,,
Sam 7,7.16603e-08,1.18055e-02,4.1872e-03,4.8318e-05,4.4484e-06,6.4593e-08,,,,,,           -4.8649,            5.4043,            0.0540,           10.5443,           11.0406,           -8.2545,           -0.5112,           -0.2247,           -0.2904,            5.5783,
Ref 8,7.04752e-08,,,,,,1.1863e-02,4.1646e-03,4.8313e-05,4.4012e-06,6.4084e-08,,,,,,,,,,,
Sam 8,7.01427e-08,1.18056e-02,4.1873e-03,4.8319e-05,4.4483e-06,6.4920e-08,,,,,,           -4.8426,            5.4478,            0.1182,           10.7036,            9.0674,           -8.2323,           -0.4679,           -0.2262,           -0.2194,            3.5064,
Ref 9,6.90810e-08,,,,,,1.1863e-02,4.1646e-03,4.8314e-05,4.4012e-06,6.4595e-08,,,,,,,,,,,
Sam 9,6.87617e-08,1.18056e-02,4.1874e-03,4.8316e-05,4.4496e-06,6.5462e-08,,,,,,           -4.8399,            5.4521,            0.0249,           11.0868,           17.4685,           -8.2296,           -0.4637,           -0.3264,            0.1512,           11.8499,
Ref 10,6.77486e-08,,,,,,1.1863e-02,4.1647e-03,4.8315e-05,4.4003e-06,6.4076e-08,,,,,,,,,,,
Sam 10,6.73530e-08,1.18057e-02,4.1875e-03,4.8322e-05,4.4505e-06,6.5650e-08,,,,,,           -4.8329,            5.4587,            0.1207,           11.1384,           17.0572,           -8.2223,           -0.4571,           -0.2445,            0.1891,           11.4201,
Ref 11,6.63270e-08,,,,,,1.1863e-02,4.1648e-03,4.8319e-05,4.4027e-06,6.5032e-08,,,,,,,,,,,
Sam 11,6.60087e-08,1.18057e-02,4.1875e-03,4.8323e-05,4.4491e-06,6.5332e-08,,,,,,           -4.8360,            5.4622,            0.0893,           10.7438,           12.2706,           -8.2258,           -0.4536,           -0.2760,           -0.2083,            6.6565,
Ref 12,6.50329e-08,,,,,,1.1863e-02,4.1648e-03,4.8318e-05,4.4009e-06,6.4038e-08,,,,,,,,,,,
Sam 12,6.47735e-08,1.18057e-02,4.1875e-03,4.8321e-05,4.4504e-06,6.4651e-08,,,,,,           -4.8380,            5.4509,            0.0706,           11.0561,            5.2813,           -8.2275,           -0.4649,           -0.2816,            0.1232,           -0.2697,
Ref 13,6.37887e-08,,,,,,1.1863e-02,4.1649e-03,4.8318e-05,4.4027e-06,6.4589e-08,,,,,,,,,,,
Sam 13,6.35865e-08,1.18058e-02,4.1876e-03,4.8326e-05,4.4507e-06,6.5326e-08,,,,,,           -4.8360,            5.4493,            0.1394,           10.9355,            8.5073,           -8.2253,           -0.4665,           -0.2132,            0.0072,            2.9394,
Ref 14,6.25781e-08,,,,,,1.1863e-02,4.1649e-03,4.8320e-05,4.4025e-06,6.4964e-08,,,,,,,,,,,
Sam 14,6.24254e-08,1.18057e-02,4.1877e-03,4.8321e-05,4.4503e-06,6.5490e-08,,,,,,           -4.8409,            5.4613,            0.0334,           10.8737,           11.9265,           -8.2309,           -0.4545,           -0.3260,           -0.0780,            6.3213,
Ref 15,6.14270e-08,,,,,,1.1863e-02,4.1650e-03,4.8318e-05,4.4024e-06,6.4467e-08,,,,,,,,,,,
Sam 15,6.12370e-08,1.18058e-02,4.1877e-03,4.8323e-05,4.4505e-06,6.5712e-08,,,,,,           -4.8320,            5.4483,            0.1067,           11.1612,           18.7210,           -8.2210,           -0.4675,           -0.2492,            0.2324,           13.0943,
Ref 16,6.02434e-08,,,,,,1.1863e-02,4.1650e-03,4.8318e-05,4.4004e-06,6.4543e-08,,,,,,,,,,,
Sam 16,6.00946e-08,1.18057e-02,4.1878e-03,4.8321e-05,4.4504e-06,6.6001e-08,,,,,,           -4.8364,            5.4651,            0.0776,           11.2515,           22.5301,           -8.2262,           -0.4507,           -0.2902,            0.2882,           16.8537,
Ref 17,5.91270e-08,,,,,,1.1863e-02,4.1650e-03,4.8316e-05,4.4014e-06,6.4549e-08,,,,,,,,,,,
Sam 17,5.90426e-08,1.18056e-02,4.1878e-03,4.8329e-05,4.4501e-06,6.5426e-08,,,,,,           -4.8347,            5.4749,            0.2253,           11.0144,            8.9612,           -8.2248,           -0.4410,           -0.1538,            0.0341,            3.3391,
Ref 18,5.81412e-08,,,,,,1.1863e-02,4.1650e-03,4.8320e-05,4.4018e-06,6.5146e-08,,,,,,,,,,,
Sam 18,5.80316e-08,1.18055e-02,4.1878e-03,4.8324e-05,4.4494e-06,6.6224e-08,,,,,,           -4.8372,            5.4672,            0.0884,           10.6956,           20.1784,           -8.2272,           -0.4486,           -0.2805,           -0.2658,           14.5118,
Ref 19,5.70603e-08,,,,,,1.1863e-02,4.1651e-03,4.8320e-05,4.4028e-06,6.4678e-08,,,,,,,,,,,
Sam 19,5.69957e-08,1.18056e-02,4.1878e-03,4.8323e-05,4.4478e-06,6.6097e-08,,,,,,           -4.8382,            5.4580,            0.0173,           10.2978,           21.0823,           -8.2279,           -0.4578,           -0.3416,           -0.6410,           15.4301,
Ref 20,5.60057e-08,,,,,,1.1863e-02,4.1651e-03,4.8324e-05,4.4022e-06,6.4788e-08,,,,,,,,,,,
Sam 20,5.59791e-08,1.18056e-02,4.1879e-03,4.8325e-05,4.4502e-06,6.6473e-08,,,,,,           -4.8375,            5.4737,            0.0607,           10.9791,           33.6030,           -8.2277,           -0.4422,           -0.3143,            0.0017,           27.8492,
Ref 21,5.49825e-08,,,,,,1.1863e-02,4.1651e-03,4.8320e-05,4.4016e-06,6.3828e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.44316e-08,,,,,,1.1863e-02,4.1652e-03,4.8326e-05,4.4021e-06,6.3580e-08,
Sam 1,5.44621e-08,1.18056e-02,4.1880e-03,4.8324e-05,4.4518e-06,6.4559e-08,,,,,,           -4.8457,            5.4524,           -0.0127,           11.2382,            3.5526,           -8.2357,           -0.4633,           -0.3584,            0.3002,           -1.9837,
Ref 2,5.34980e-08,,,,,,1.1863e-02,4.1653e-03,4.8324e-05,4.4026e-06,6.5094e-08,,,,,,,,,,,
Sam 2,5.35537e-08,1.18056e-02,4.1880e-03,4.8325e-05,4.4499e-06,6.5945e-08,,,,,,           -4.8373,            5.4630,            0.0066,           10.6281,           16.5535,           -8.2271,           -0.4528,           -0.3582,           -0.3243,           10.9153,
Ref 3,5.25984e-08,,,,,,1.1863e-02,4.1652e-03,4.8326e-05,4.4036e-06,6.4644e-08,,,,,,,,,,,
Sam 3,5.26706e-08,1.18055e-02,4.1880e-03,4.8322e-05,4.4495e-06,6.6779e-08,,,,,,           -4.8315,            5.4514,           -0.0133,           10.5695,           23.0029,           -8.2205,           -0.4644,           -0.3727,           -0.3590,           17.3459,
Ref 4,5.17282e-08,,,,,,1.1863e-02,4.1653e-03,4.8319e-05,4.4023e-06,6.5921e-08,,,,,,,,,,,
Sam 4,5.17244e-08,1.18057e-02,4.1880e-03,4.8324e-05,4.4504e-06,6.4958e-08,,,,,,           -4.8226,            5.4515,            0.0497,           11.2743,          -12.5941,           -8.2111,           -0.4642,           -0.3190,            0.3378,          -18.0639,
Ref 5,5.07494e-08,,,,,,1.1863e-02,4.1654e-03,4.8324e-05,4.3992e-06,6.5649e-08,,,,,,,,,,,
Sam 5,5.08531e-08,1.18055e-02,4.1881e-03,4.8325e-05,4.4494e-06,6.5607e-08,,,,,,           -4.8311,            5.4399,            0.0357,           11.1554,            8.7041,           -8.2197,           -0.4758,           -0.3128,            0.2433,            3.1483,
Ref 6,4.98762e-08,,,,,,1.1863e-02,4.1654e-03,4.8323e-05,4.4014e-06,6.4422e-08,,,,,,,,,,,
Sam 6,4.99977e-08,1.18055e-02,4.1881e-03,4.8329e-05,4.4501e-06,6.4458e-08,,,,,,           -4.8279,            5.4486,            0.1033,           11.1581,           -9.8009,           -8.2166,           -0.4672,           -0.2571,            0.2286,          -15.2750,
Ref 7,4.90182e-08,,,,,,1.1863e-02,4.1654e-03,4.8324e-05,4.4006e-06,6.5783e-08,,,,,,,,,,,
Sam 7,4.91645e-08,1.18055e-02,4.1882e-03,4.8333e-05,4.4485e-06,6.4769e-08,,,,,,           -4.8235,            5.4592,            0.1662,           10.6289,           -9.2128,           -8.2124,           -0.4567,           -0.2090,           -0.3158,          -14.7150,
Ref 8,4.81806e-08,,,,,,1.1863e-02,4.1654e-03,4.8325e-05,4.4028e-06,6.4952e-08,,,,,,,,,,,
Sam 8,4.83471e-08,1.18055e-02,4.1882e-03,4.8334e-05,4.4492e-06,6.6607e-08,,,,,,           -4.8279,            5.4493,            0.1358,           10.6050,           29.1451,           -8.2167,           -0.4665,           -0.2253,           -0.3198,           23.4544,
Ref 9,4.73615e-08,,,,,,1.1863e-02,4.1655e-03,4.8329e-05,4.4021e-06,6.4486e-08,,,,,,,,,,,
Sam 9,4.75494e-08,1.18054e-02,4.1882e-03,4.8329e-05,4.4485e-06,6.6367e-08,,,,,,           -4.8312,            5.4552,            0.0269,           10.3745,           27.0864,           -8.2204,           -0.4606,           -0.3365,           -0.5595,           21.3990,
Ref 10,4.65663e-08,,,,,,1.1863e-02,4.1654e-03,4.8325e-05,4.4034e-06,6.4750e-08,,,,,,,,,,,
Sam 10,4.67777e-08,1.18055e-02,4.1882e-03,4.8334e-05,4.4490e-06,6.5604e-08,,,,,,           -4.8265,            5.4665,            0.2058,           10.6250,            9.2865,           -8.2158,           -0.4494,           -0.1735,           -0.3342,            3.6703,
Ref 11,4.57891e-08,,,,,,1.1863e-02,4.1655e-03,4.8323e-05,4.4010e-06,6.5255e-08,,,,,,,,,,,
Sam 11,4.60166e-08,1.18054e-02,4.1882e-03,4.8326e-05,4.4481e-06,6.6479e-08,,,,,,           -4.8301,            5.4399,            0.0329,           11.0084,           23.9758,           -8.2187,           -0.4758,           -0.3167,            0.0978,           18.3347,
Ref 12,4.50245e-08,,,,,,1.1863e-02,4.1656e-03,4.8325e-05,4.3983e-06,6.4584e-08,,,,,,,,,,,
Sam 12,4.52781e-08,1.18054e-02,4.1882e-03,4.8329e-05,4.4504e-06,6.5636e-08,,,,,,           -4.8248,            5.4437,            0.0380,           11.3198,            8.3261,           -8.2132,           -0.4720,           -0.3208,            0.3983,            2.7581,
Ref 13,4.42886e-08,,,,,,1.1863e-02,4.1655e-03,4.8328e-05,4.4029e-06,6.5613e-08,,,,,,,,,,,
Sam 13,4.45603e-08,1.18053e-02,4.1882e-03,4.8334e-05,4.4495e-06,6.5301e-08,,,,,,           -4.8243,            5.4441,            0.1571,           10.7580,            5.9864,           -8.2126,           -0.4717,           -0.2027,           -0.1581,            0.4301,
Ref 14,4.35667e-08,,,,,,1.1863e-02,4.1656e-03,4.8325e-05,4.4014e-06,6.4201e-08,,,,,,,,,,,
Sam 14,4.38518e-08,1.18053e-02,4.1884e-03,4.8334e-05,4.4496e-06,6.6585e-08,,,,,,           -4.8291,            5.4637,            0.1609,           10.9128,           30.4692,           -8.2184,           -0.4521,           -0.2130,           -0.0440,           24.7436,
Ref 15,4.28601e-08,,,,,,1.1863e-02,4.1656e-03,4.8327e-05,4.4019e-06,6.5038e-08,,,,,,,,,,,
Sam 15,4.31592e-08,1.18053e-02,4.1883e-03,4.8331e-05,4.4497e-06,6.5950e-08,,,,,,           -4.8267,            5.4493,            0.1090,           10.9478,           21.3551,           -8.2153,           -0.4664,           -0.2534,            0.0192,           15.7060,
Ref 16,4.21669e-08,,,,,,1.1863e-02,4.1656e-03,4.8324e-05,4.4011e-06,6.4097e-08,,,,,,,,,,,
Sam 16,4.24763e-08,1.18052e-02,4.1884e-03,4.8330e-05,4.4495e-06,6.6388e-08,,,,,,           -4.8295,            5.4519,            0.0737,           11.1129,           32.6481,           -8.2185,           -0.4639,           -0.2882,            0.1775,           26.9346,
Ref 17,4.14873e-08,,,,,,1.1862e-02,4.1657e-03,4.8329e-05,4.4002e-06,6.4483e-08,,,,,,,,,,,
Sam 17,4.18121e-08,1.18052e-02,4.1884e-03,4.8339e-05,4.4474e-06,6.6446e-08,,,,,,           -4.8299,            5.4388,            0.2066,           10.6173,           30.8709,           -8.2185,           -0.4769,           -0.1422,           -0.2869,           25.1938,
Ref 18,4.08290e-08,,,,,,1.1862e-02,4.1658e-03,4.8329e-05,4.4012e-06,6.4428e-08,,,,,,,,,,,
Sam 18,4.11607e-08,1.18052e-02,4.1884e-03,4.8335e-05,4.4481e-06,6.6524e-08,,,,,,           -4.8299,            5.4322,            0.1895,           10.7152,           28.6305,           -8.2182,           -0.4835,           -0.1528,           -0.1768,           22.9791,
Ref 19,4.01748e-08,,,,,,1.1863e-02,4.1657e-03,4.8323e-05,4.4007e-06,6.4921e-08,,,,,,,,,,,
Sam 19,4.05292e-08,1.18051e-02,4.1884e-03,4.8331e-05,4.4473e-06,6.5350e-08,,,,,,           -4.8381,            5.4515,            0.0874,           10.5284,           18.6979,           -8.2276,           -0.4643,           -0.2652,           -0.3999,           13.0717,
Ref 20,3.95365e-08,,,,,,1.1862e-02,4.1658e-03,4.8332e-05,4.4012e-06,6.3368e-08,,,,,,,,,,,
Sam 20,3.99079e-08,1.18051e-02,4.1885e-03,4.8329e-05,4.4474e-06,6.5911e-08,,,,,,           -4.8301,            5.4533,           -0.0249,           10.6207,           29.7219,           -8.2191,           -0.4624,           -0.3876,           -0.3123,           24.0223,
Ref 21,3.89696e-08,,,,,,1.1862e-02,4.1657e-03,4.8329e-05,4.4001e-06,6.4657e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.86389e-08,,,,,,1.1862e-02,4.1658e-03,4.8328e-05,4.3987e-06,6.3471e-08,
Sam 1,3.90019e-08,1.18051e-02,4.1885e-03,4.8333e-05,4.4474e-06,6.5626e-08,,,,,,           -4.8268,            5.4509,            0.0529,           10.9022,           22.5573,           -8.2155,           -0.4649,           -0.3109,           -0.0290,           16.8986,
Ref 2,3.80290e-08,,,,,,1.1862e-02,4.1658e-03,4.8333e-05,4.4001e-06,6.4898e-08,,,,,,,,,,,
Sam 2,3.84116e-08,1.18050e-02,4.1885e-03,4.8330e-05,4.4484e-06,6.6458e-08,,,,,,           -4.8336,            5.4425,           -0.0540,           10.8860,           35.2993,           -8.2225,           -0.4732,           -0.4024,           -0.0284,           29.5945,
Ref 3,3.74333e-08,,,,,,1.1862e-02,4.1659e-03,4.8332e-05,4.4008e-06,6.3475e-08,,,,,,,,,,,
Sam 3,3.78312e-08,1.18050e-02,4.1885e-03,4.8330e-05,4.4476e-06,6.5511e-08,,,,,,           -4.8207,            5.4363,           -0.0251,           10.8672,           17.7658,           -8.2085,           -0.4794,           -0.3809,           -0.0347,           12.1558,
Ref 4,3.68785e-08,,,,,,1.1862e-02,4.1659e-03,4.8331e-05,4.3989e-06,6.5274e-08,,,,,,,,,,,
Sam 4,3.72875e-08,1.18050e-02,4.1885e-03,4.8328e-05,4.4467e-06,6.6183e-08,,,,,,           -4.8272,            5.4360,           -0.0342,           10.8880,           23.2120,           -8.2155,           -0.4797,           -0.3830,           -0.0135,           17.5798,
Ref 5,3.62815e-08,,,,,,1.1862e-02,4.1659e-03,4.8328e-05,4.3987e-06,6.4081e-08,,,,,,,,,,,
Sam 5,3.66972e-08,1.18049e-02,4.1886e-03,4.8329e-05,4.4491e-06,6.4968e-08,,,,,,           -4.8323,            5.4575,           -0.0140,           11.4387,            0.7359,           -8.2217,           -0.4583,           -0.3784,            0.4886,           -4.8089,
Ref 6,3.57485e-08,,,,,,1.1862e-02,4.1658e-03,4.8332e-05,4.3989e-06,6.5771e-08,,,,,,,,,,,
Sam 6,3.61951e-08,1.18049e-02,4.1886e-03,4.8332e-05,4.4486e-06,6.5044e-08,,,,,,           -4.8331,            5.4387,            0.0078,           11.2955,           -6.6279,           -8.2218,           -0.4770,           -0.3375,            0.3844,          -12.0947,
Ref 7,3.51869e-08,,,,,,1.1862e-02,4.1660e-03,4.8330e-05,4.3988e-06,6.5180e-08,,,,,,,,,,,
Sam 7,3.56258e-08,1.18048e-02,4.1886e-03,4.8336e-05,4.4475e-06,6.6861e-08,,,,,,           -4.8322,            5.4428,            0.1966,           10.9595,           31.5376,           -8.2210,           -0.4729,           -0.1538,            0.0437,           25.8514,
Ref 8,3.46593e-08,,,,,,1.1862e-02,4.1659e-03,4.8323e-05,4.3997e-06,6.4449e-08,,,,,,,,,,,
Sam 8,3.51042e-08,1.18049e-02,4.1887e-03,4.8334e-05,4.4493e-06,6.4926e-08,,,,,,           -4.8200,            5.4577,            0.1629,           11.0085,          -10.5429,           -8.2085,           -0.4581,           -0.2147,            0.0626,          -16.0387,
Ref 9,3.41413e-08,,,,,,1.1862e-02,4.1660e-03,4.8328e-05,4.4020e-06,6.6804e-08,,,,,,,,,,,
Sam 9,3.45934e-08,1.18048e-02,4.1887e-03,4.8341e-05,4.4461e-06,6.7239e-08,,,,,,           -4.8282,            5.4468,            0.1695,           10.0384,           15.6279,           -8.2169,           -0.4690,           -0.1889,           -0.8754,           10.0171,
Ref 10,3.36282e-08,,,,,,1.1862e-02,4.1660e-03,4.8337e-05,4.4018e-06,6.5595e-08,,,,,,,,,,,
Sam 10,3.40970e-08,1.18048e-02,4.1887e-03,4.8339e-05,4.4460e-06,6.5879e-08,,,,,,           -4.8286,            5.4520,            0.0825,           10.1372,           10.6866,           -8.2175,           -0.4637,           -0.2805,           -0.7880,            5.0933,
Ref 11,3.31574e-08,,,,,,1.1862e-02,4.1660e-03,4.8333e-05,4.4010e-06,6.4763e-08,,,,,,,,,,,
Sam 11,3.36244e-08,1.18048e-02,4.1888e-03,4.8341e-05,4.4492e-06,6.3816e-08,,,,,,           -4.8261,            5.4558,            0.1690,           11.0710,            0.5310,           -8.2150,           -0.4600,           -0.2003,            0.1281,           -5.0161,
Ref 12,3.26496e-08,,,,,,1.1862e-02,4.1662e-03,4.8333e-05,4.4000e-06,6.2786e-08,,,,,,,,,,,
Sam 12,3.31280e-08,1.18047e-02,4.1888e-03,4.8332e-05,4.4453e-06,6.4540e-08,,,,,,           -4.8426,            5.4175,           -0.0372,           10.3825,           11.0512,           -8.2313,           -0.4980,           -0.3519,           -0.4768,            5.5388,
Ref 13,3.21593e-08,,,,,,1.1862e-02,4.1662e-03,4.8334e-05,4.3993e-06,6.4899e-08,,,,,,,,,,,
Sam 13,3.26525e-08,1.18047e-02,4.1888e-03,4.8338e-05,4.4466e-06,6.4330e-08,,,,,,           -4.8361,            5.4319,            0.0707,           10.8679,           -4.0396,           -8.2248,           -0.4838,           -0.2649,           -0.0251,           -9.5044,
Ref 14,3.16832e-08,,,,,,1.1862e-02,4.1662e-03,4.8336e-05,4.3982e-06,6.4277e-08,,,,,,,,,,,
Sam 14,3.21822e-08,1.18047e-02,4.1889e-03,4.8342e-05,4.4469e-06,6.5403e-08,,,,,,           -4.8318,            5.4427,            0.1148,           11.0164,           22.9003,           -8.2206,           -0.4730,           -0.2357,            0.1002,           17.2615,
Ref 15,3.12130e-08,,,,,,1.1862e-02,4.1663e-03,4.8336e-05,4.3986e-06,6.3596e-08,,,,,,,,,,,
Sam 15,3.17233e-08,1.18047e-02,4.1890e-03,4.8349e-05,4.4438e-06,6.7037e-08,,,,,,           -4.8292,            5.4427,            0.2401,           10.1820,           46.5611,           -8.2178,           -0.4730,           -0.1132,           -0.7252,           40.7888,
Ref 16,3.07660e-08,,,,,,1.1862e-02,4.1663e-03,4.8339e-05,4.3995e-06,6.4520e-08,,,,,,,,,,,
Sam 16,3.12855e-08,1.18047e-02,4.1889e-03,4.8341e-05,4.4461e-06,6.5963e-08,,,,,,           -4.8365,            5.4276,            0.0045,           10.6287,           32.4604,           -8.2250,           -0.4880,           -0.3265,           -0.2533,           26.8042,
Ref 17,3.03405e-08,,,,,,1.1862e-02,4.1663e-03,4.8344e-05,4.3991e-06,6.3250e-08,,,,,,,,,,,
Sam 17,3.08621e-08,1.18047e-02,4.1890e-03,4.8346e-05,4.4475e-06,6.4753e-08,,,,,,           -4.8339,            5.4254,            0.0673,           11.1323,           18.7599,           -8.2222,           -0.4903,           -0.2642,            0.2494,           13.1805,
Ref 18,2.99028e-08,,,,,,1.1862e-02,4.1664e-03,4.8342e-05,4.3979e-06,6.3877e-08,,,,,,,,,,,
Sam 18,3.04055e-08,1.18047e-02,4.1890e-03,4.8351e-05,4.4445e-06,6.4520e-08,,,,,,           -4.8235,            5.4292,            0.1372,           10.4587,           20.7109,           -8.2113,           -0.4865,           -0.2087,           -0.4245,           15.1020,
Ref 19,2.94490e-08,,,,,,1.1862e-02,4.1665e-03,4.8347e-05,4.3991e-06,6.2535e-08,,,,,,,,,,,
Sam 19,2.99887e-08,1.18047e-02,4.1891e-03,4.8348e-05,4.4434e-06,6.6496e-08,,,,,,           -4.8276,            5.4304,            0.1781,           10.0076,           41.0527,           -8.2157,           -0.4852,           -0.1648,           -0.8734,           35.3339,
Ref 20,2.90490e-08,,,,,,1.1862e-02,4.1665e-03,4.8333e-05,4.3996e-06,6.5231e-08,,,,,,,,,,,
Sam 20,2.95810e-08,1.18046e-02,4.1891e-03,4.8339e-05,4.4459e-06,6.4142e-08,,,,,,           -4.8313,            5.4235,            0.0345,           10.8366,           -2.9172,           -8.2194,           -0.4921,           -0.2978,           -0.0395,           -8.3770,
Ref 21,2.86174e-08,,,,,,1.1862e-02,4.1665e-03,4.8342e-05,4.3968e-06,6.3415e-08,,,,,,,,,,,


