Nu Stable Isotope Analysis Program
Data Collected on Sunday, November 05, 2023 at 04:39 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, November 05, 2023 at 05:38 with Stable 1.71.5 on PS019

Data File = Data_20833 WS 2.6.txt,        Sample Weight = 456,                      Vial Location = 26,                       Initial Sam Beam = 2.5035e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7306e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02846
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.57200e-08,,,,,,1.1863e-02,4.1642e-03,4.8312e-05,4.4023e-06,6.3834e-08,
Sam 1,8.49433e-08,1.17775e-02,4.1839e-03,4.8160e-05,4.4436e-06,6.3618e-08,,,,,,           -7.2292,            4.6959,           -3.2368,            9.3926,           -7.8438,          -10.7462,           -1.2110,           -0.3754,           -0.0211,           -9.3318,
Ref 2,8.40834e-08,,,,,,1.1863e-02,4.1644e-03,4.8320e-05,4.4021e-06,6.4413e-08,,,,,,,,,,,
Sam 2,8.32686e-08,1.17776e-02,4.1840e-03,4.8165e-05,4.4431e-06,6.4219e-08,,,,,,           -7.2391,            4.6920,           -3.1727,            9.2254,           -3.3392,          -10.7567,           -1.2149,           -0.2969,           -0.1790,           -4.8157,
Ref 3,8.23418e-08,,,,,,1.1864e-02,4.1646e-03,4.8317e-05,4.4029e-06,6.4456e-08,,,,,,,,,,,
Sam 3,8.15790e-08,1.17777e-02,4.1841e-03,4.8166e-05,4.4444e-06,6.4591e-08,,,,,,           -7.2384,            4.6805,           -3.1857,            9.4925,           -0.0585,          -10.7555,           -1.2263,           -0.2995,            0.1086,           -1.5181,
Ref 4,8.06323e-08,,,,,,1.1864e-02,4.1646e-03,4.8322e-05,4.4023e-06,6.4738e-08,,,,,,,,,,,
Sam 4,7.99141e-08,1.17777e-02,4.1841e-03,4.8165e-05,4.4424e-06,6.5109e-08,,,,,,           -7.2420,            4.6724,           -3.2177,            9.0085,            9.8801,          -10.7591,           -1.2343,           -0.3199,           -0.3550,            8.4257,
Ref 5,7.89612e-08,,,,,,1.1864e-02,4.1647e-03,4.8320e-05,4.4031e-06,6.4201e-08,,,,,,,,,,,
Sam 5,7.83052e-08,1.17777e-02,4.1842e-03,4.8162e-05,4.4441e-06,6.4417e-08,,,,,,           -7.2436,            4.6689,           -3.2929,            9.3047,            1.0613,          -10.7606,           -1.2379,           -0.3902,           -0.0543,           -0.3717,
Ref 6,7.73346e-08,,,,,,1.1864e-02,4.1648e-03,4.8322e-05,4.4032e-06,6.4499e-08,,,,,,,,,,,
Sam 6,7.67382e-08,1.17777e-02,4.1842e-03,4.8163e-05,4.4441e-06,6.4740e-08,,,,,,           -7.2466,            4.6652,           -3.3439,            9.2796,           -1.0419,          -10.7637,           -1.2415,           -0.4346,           -0.0718,           -2.4614,
Ref 7,7.57556e-08,,,,,,1.1864e-02,4.1648e-03,4.8327e-05,4.4034e-06,6.5121e-08,,,,,,,,,,,
Sam 7,7.55345e-08,1.17773e-02,4.1840e-03,4.8159e-05,4.4435e-06,6.4824e-08,,,,,,           -7.2729,            4.5996,           -3.3950,            9.0754,            0.3059,          -10.7894,           -1.3068,           -0.3944,           -0.1436,           -0.9591,
Ref 8,7.41567e-08,,,,,,1.1864e-02,4.1648e-03,4.8319e-05,4.4036e-06,6.4481e-08,,,,,,,,,,,
Sam 8,7.36992e-08,1.17777e-02,4.1843e-03,4.8168e-05,4.4424e-06,6.5245e-08,,,,,,           -7.2397,            4.6738,           -3.1726,            8.7837,            6.3198,          -10.7567,           -1.2330,           -0.2784,           -0.5803,            4.8655,
Ref 9,7.27033e-08,,,,,,1.1864e-02,4.1649e-03,4.8324e-05,4.4037e-06,6.5197e-08,,,,,,,,,,,
Sam 9,7.22699e-08,1.17777e-02,4.1843e-03,4.8172e-05,4.4430e-06,6.5088e-08,,,,,,           -7.2149,            4.7072,           -3.0697,            8.9837,           -1.5633,          -10.7314,           -1.1998,           -0.2337,           -0.4487,           -3.0980,
Ref 10,7.16846e-08,,,,,,1.1863e-02,4.1646e-03,4.8316e-05,4.4031e-06,6.5183e-08,,,,,,,,,,,
Sam 10,7.10212e-08,1.17774e-02,4.1843e-03,4.8168e-05,4.4432e-06,6.4658e-08,,,,,,           -7.2245,            4.7047,           -3.1290,            9.1681,           -7.0429,          -10.7415,           -1.2022,           -0.2808,           -0.2610,           -8.5542,
Ref 11,7.00852e-08,,,,,,1.1863e-02,4.1648e-03,4.8323e-05,4.4025e-06,6.5050e-08,,,,,,,,,,,
Sam 11,6.95892e-08,1.17775e-02,4.1843e-03,4.8165e-05,4.4426e-06,6.4840e-08,,,,,,           -7.2269,            4.6836,           -3.3018,            8.9716,           -2.9762,          -10.7434,           -1.2232,           -0.4309,           -0.4138,           -4.4500,
Ref 12,6.85937e-08,,,,,,1.1863e-02,4.1648e-03,4.8326e-05,4.4037e-06,6.5018e-08,,,,,,,,,,,
Sam 12,6.82889e-08,1.17775e-02,4.1843e-03,4.8170e-05,4.4427e-06,6.5667e-08,,,,,,           -7.2315,            4.6794,           -3.2172,            8.7972,           11.6187,          -10.7481,           -1.2274,           -0.3371,           -0.5780,           10.1368,
Ref 13,6.73258e-08,,,,,,1.1863e-02,4.1649e-03,4.8325e-05,4.4043e-06,6.4805e-08,,,,,,,,,,,
Sam 13,6.70507e-08,1.17775e-02,4.1844e-03,4.8165e-05,4.4440e-06,6.4706e-08,,,,,,           -7.2312,            4.6759,           -3.2701,            9.1183,            2.5185,          -10.7477,           -1.2308,           -0.3871,           -0.2531,            1.0563,
Ref 14,6.60301e-08,,,,,,1.1863e-02,4.1649e-03,4.8321e-05,4.4033e-06,6.4276e-08,,,,,,,,,,,
Sam 14,6.56854e-08,1.17775e-02,4.1844e-03,4.8169e-05,4.4448e-06,6.5397e-08,,,,,,           -7.2296,            4.6740,           -3.2282,            9.5424,           10.0797,          -10.7459,           -1.2327,           -0.3449,            0.1708,            8.6085,
Ref 15,6.46461e-08,,,,,,1.1863e-02,4.1651e-03,4.8328e-05,4.4023e-06,6.5223e-08,,,,,,,,,,,
Sam 15,6.44344e-08,1.17775e-02,4.1845e-03,4.8166e-05,4.4431e-06,6.5554e-08,,,,,,           -7.2338,            4.6614,           -3.2660,            9.1800,            4.7091,          -10.7499,           -1.2453,           -0.3662,           -0.1631,            3.2749,
Ref 16,6.33935e-08,,,,,,1.1863e-02,4.1651e-03,4.8320e-05,4.4030e-06,6.5271e-08,,,,,,,,,,,
Sam 16,6.32667e-08,1.17774e-02,4.1845e-03,4.8166e-05,4.4450e-06,6.5783e-08,,,,,,           -7.2388,            4.6579,           -3.2357,            9.3337,            8.9494,          -10.7552,           -1.2488,           -0.3271,           -0.0039,            7.5216,
Ref 17,6.22154e-08,,,,,,1.1863e-02,4.1651e-03,4.8325e-05,4.4048e-06,6.5127e-08,,,,,,,,,,,
Sam 17,6.21987e-08,1.17773e-02,4.1845e-03,4.8167e-05,4.4428e-06,6.5812e-08,,,,,,           -7.2415,            4.6435,           -3.2679,            8.8772,            2.9396,          -10.7575,           -1.2631,           -0.3425,           -0.4274,            1.5514,
Ref 18,6.10898e-08,,,,,,1.1863e-02,4.1651e-03,4.8325e-05,4.4026e-06,6.6120e-08,,,,,,,,,,,
Sam 18,6.10584e-08,1.17773e-02,4.1845e-03,4.8172e-05,4.4430e-06,6.6250e-08,,,,,,           -7.2386,            4.6501,           -3.1604,            9.2361,            3.4135,          -10.7546,           -1.2565,           -0.2442,           -0.0850,            2.0086,
Ref 19,5.99977e-08,,,,,,1.1863e-02,4.1651e-03,4.8325e-05,4.4021e-06,6.5928e-08,,,,,,,,,,,
Sam 19,5.99459e-08,1.17773e-02,4.1846e-03,4.8169e-05,4.4448e-06,6.5293e-08,,,,,,           -7.2354,            4.6879,           -3.2097,            9.7081,           -6.8200,          -10.7526,           -1.2189,           -0.3340,            0.3073,           -8.2874,
Ref 20,5.89377e-08,,,,,,1.1863e-02,4.1651e-03,4.8324e-05,4.4020e-06,6.5551e-08,,,,,,,,,,,
Sam 20,5.88402e-08,1.17774e-02,4.1846e-03,4.8173e-05,4.4438e-06,6.4989e-08,,,,,,           -7.2227,            4.6741,           -3.1640,            9.3485,           -9.1583,          -10.7386,           -1.2327,           -0.2878,           -0.0213,          -10.6089,
Ref 21,5.78285e-08,,,,,,1.1863e-02,4.1651e-03,4.8328e-05,4.4032e-06,6.5628e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.72590e-08,,,,,,1.1863e-02,4.1652e-03,4.8328e-05,4.4022e-06,6.3614e-08,
Sam 1,5.72180e-08,1.17774e-02,4.1848e-03,4.8171e-05,4.4437e-06,6.6572e-08,,,,,,           -7.2376,            4.6915,           -3.2694,            9.3221,           35.6279,          -10.7550,           -1.2154,           -0.3950,           -0.0822,           34.0930,
Ref 2,5.61579e-08,,,,,,1.1863e-02,4.1653e-03,4.8330e-05,4.4032e-06,6.4963e-08,,,,,,,,,,,
Sam 2,5.62484e-08,1.17772e-02,4.1847e-03,4.8172e-05,4.4435e-06,6.5764e-08,,,,,,           -7.2547,            4.6561,           -3.2708,            9.1665,            8.7168,          -10.7720,           -1.2505,           -0.3440,           -0.1659,            7.3100,
Ref 3,5.51446e-08,,,,,,1.1863e-02,4.1654e-03,4.8330e-05,4.4030e-06,6.5433e-08,,,,,,,,,,,
Sam 3,5.52256e-08,1.17774e-02,4.1848e-03,4.8174e-05,4.4439e-06,6.5706e-08,,,,,,           -7.2349,            4.6584,           -3.1829,            9.3775,            0.9347,          -10.7510,           -1.2483,           -0.2787,            0.0387,           -0.4869,
Ref 4,5.42032e-08,,,,,,1.1863e-02,4.1654e-03,4.8326e-05,4.4023e-06,6.5860e-08,,,,,,,,,,,
Sam 4,5.41379e-08,1.17775e-02,4.1849e-03,4.8174e-05,4.4435e-06,6.4916e-08,,,,,,           -7.2243,            4.6870,           -3.2261,            9.3310,           -8.9705,          -10.7407,           -1.2198,           -0.3611,           -0.0645,          -10.4448,
Ref 5,5.31121e-08,,,,,,1.1863e-02,4.1654e-03,4.8334e-05,4.4026e-06,6.5139e-08,,,,,,,,,,,
Sam 5,5.33292e-08,1.17772e-02,4.1848e-03,4.8172e-05,4.4414e-06,6.5246e-08,,,,,,           -7.2476,            4.6373,           -3.2910,            8.7647,           -7.6844,          -10.7638,           -1.2693,           -0.3533,           -0.5265,           -9.0392,
Ref 6,5.22345e-08,,,,,,1.1863e-02,4.1655e-03,4.8328e-05,4.4031e-06,6.6374e-08,,,,,,,,,,,
Sam 6,5.24057e-08,1.17772e-02,4.1849e-03,4.8171e-05,4.4435e-06,6.6314e-08,,,,,,           -7.2423,            4.6585,           -3.2781,            9.3499,            3.5867,          -10.7588,           -1.2481,           -0.3666,            0.0110,            2.1689,
Ref 7,5.13238e-08,,,,,,1.1863e-02,4.1655e-03,4.8331e-05,4.4016e-06,6.5775e-08,,,,,,,,,,,
Sam 7,5.14769e-08,1.17772e-02,4.1849e-03,4.8175e-05,4.4429e-06,6.6566e-08,,,,,,           -7.2432,            4.6595,           -3.2081,            9.0450,           16.5629,          -10.7598,           -1.2472,           -0.2964,           -0.2930,           15.1259,
Ref 8,5.04379e-08,,,,,,1.1863e-02,4.1656e-03,4.8329e-05,4.4045e-06,6.5183e-08,,,,,,,,,,,
Sam 8,5.06123e-08,1.17773e-02,4.1849e-03,4.8175e-05,4.4443e-06,6.6166e-08,,,,,,           -7.2320,            4.6531,           -3.2083,            9.2459,           10.3037,          -10.7477,           -1.2535,           -0.3020,           -0.0813,            8.8760,
Ref 9,4.95661e-08,,,,,,1.1863e-02,4.1656e-03,4.8331e-05,4.4026e-06,6.5806e-08,,,,,,,,,,,
Sam 9,4.97576e-08,1.17772e-02,4.1850e-03,4.8176e-05,4.4422e-06,6.5873e-08,,,,,,           -7.2325,            4.6599,           -3.1480,            8.9805,            5.2290,          -10.7484,           -1.2468,           -0.2477,           -0.3577,            3.7957,
Ref 10,4.87122e-08,,,,,,1.1863e-02,4.1656e-03,4.8325e-05,4.4027e-06,6.5249e-08,,,,,,,,,,,
Sam 10,4.89329e-08,1.17772e-02,4.1850e-03,4.8181e-05,4.4443e-06,6.6201e-08,,,,,,           -7.2362,            4.6479,           -2.9726,            9.3386,           16.9868,          -10.7520,           -1.2587,           -0.0562,            0.0209,           15.5646,
Ref 11,4.78851e-08,,,,,,1.1863e-02,4.1657e-03,4.8324e-05,4.4037e-06,6.4938e-08,,,,,,,,,,,
Sam 11,4.81291e-08,1.17772e-02,4.1851e-03,4.8172e-05,4.4427e-06,6.7206e-08,,,,,,           -7.2316,            4.6672,           -3.2602,            9.1278,           25.8859,          -10.7478,           -1.2396,           -0.3683,           -0.2263,           24.4076,
Ref 12,4.70818e-08,,,,,,1.1863e-02,4.1656e-03,4.8335e-05,4.4013e-06,6.6092e-08,,,,,,,,,,,
Sam 12,4.73439e-08,1.17771e-02,4.1851e-03,4.8178e-05,4.4430e-06,6.5851e-08,,,,,,           -7.2413,            4.6789,           -3.2701,            9.2310,           -2.7172,          -10.7586,           -1.2279,           -0.3796,           -0.1473,           -4.1668,
Ref 13,4.62898e-08,,,,,,1.1863e-02,4.1656e-03,4.8336e-05,4.4034e-06,6.5967e-08,,,,,,,,,,,
Sam 13,4.65734e-08,1.17771e-02,4.1851e-03,4.8179e-05,4.4430e-06,6.6214e-08,,,,,,           -7.2453,            4.6573,           -3.1975,            9.1729,            8.2108,          -10.7621,           -1.2494,           -0.2814,           -0.1619,            6.7923,
Ref 14,4.55171e-08,,,,,,1.1863e-02,4.1657e-03,4.8331e-05,4.4019e-06,6.5378e-08,,,,,,,,,,,
Sam 14,4.58260e-08,1.17771e-02,4.1851e-03,4.8176e-05,4.4427e-06,6.6194e-08,,,,,,           -7.2315,            4.6609,           -3.2149,            9.2230,           10.6163,          -10.7475,           -1.2458,           -0.3167,           -0.1194,            9.1723,
Ref 15,4.47684e-08,,,,,,1.1863e-02,4.1658e-03,4.8332e-05,4.4022e-06,6.5621e-08,,,,,,,,,,,
Sam 15,4.50972e-08,1.17770e-02,4.1851e-03,4.8182e-05,4.4417e-06,6.5820e-08,,,,,,           -7.2326,            4.6468,           -3.0770,            8.8290,           16.9878,          -10.7481,           -1.2599,           -0.1635,           -0.4817,           15.5639,
Ref 16,4.40351e-08,,,,,,1.1863e-02,4.1658e-03,4.8329e-05,4.4035e-06,6.3806e-08,,,,,,,,,,,
Sam 16,4.43817e-08,1.17771e-02,4.1851e-03,4.8174e-05,4.4431e-06,6.5939e-08,,,,,,           -7.2256,            4.6498,           -3.2066,            9.1702,           23.7170,          -10.7408,           -1.2569,           -0.3037,           -0.1497,           22.2700,
Ref 17,4.33160e-08,,,,,,1.1863e-02,4.1658e-03,4.8329e-05,4.4020e-06,6.5026e-08,,,,,,,,,,,
Sam 17,4.36815e-08,1.17771e-02,4.1852e-03,4.8172e-05,4.4435e-06,6.5244e-08,,,,,,           -7.2249,            4.6681,           -3.3263,            9.4893,           -3.1608,          -10.7407,           -1.2387,           -0.4424,            0.1301,           -4.6061,
Ref 18,4.26125e-08,,,,,,1.1863e-02,4.1657e-03,4.8335e-05,4.4015e-06,6.5882e-08,,,,,,,,,,,
Sam 18,4.30001e-08,1.17770e-02,4.1852e-03,4.8176e-05,4.4413e-06,6.5163e-08,,,,,,           -7.2327,            4.6648,           -3.2967,            9.1089,           -7.3989,          -10.7488,           -1.2419,           -0.4015,           -0.2404,           -8.8236,
Ref 19,4.19262e-08,,,,,,1.1863e-02,4.1658e-03,4.8336e-05,4.4010e-06,6.5412e-08,,,,,,,,,,,
Sam 19,4.23293e-08,1.17769e-02,4.1853e-03,4.8179e-05,4.4414e-06,6.5473e-08,,,,,,           -7.2398,            4.6613,           -3.2675,            9.1440,           -6.3746,          -10.7564,           -1.2454,           -0.3612,           -0.1985,           -7.7862,
Ref 20,4.12511e-08,,,,,,1.1863e-02,4.1659e-03,4.8338e-05,4.4013e-06,6.6383e-08,,,,,,,,,,,
Sam 20,4.16695e-08,1.17769e-02,4.1853e-03,4.8174e-05,4.4428e-06,6.8012e-08,,,,,,           -7.2325,            4.6612,           -3.3572,            9.1636,           35.9335,          -10.7485,           -1.2455,           -0.4589,           -0.1790,           34.4537,
Ref 21,4.05912e-08,,,,,,1.1863e-02,4.1658e-03,4.8335e-05,4.4036e-06,6.4911e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.02668e-08,,,,,,1.1863e-02,4.1658e-03,4.8336e-05,4.4000e-06,6.4222e-08,
Sam 1,4.07094e-08,1.17769e-02,4.1852e-03,4.8184e-05,4.4408e-06,6.6884e-08,,,,,,           -7.2296,            4.6437,           -3.1488,            9.2478,           19.2982,          -10.7448,           -1.2629,           -0.2357,           -0.0607,           17.8738,
Ref 2,3.96276e-08,,,,,,1.1863e-02,4.1659e-03,4.8337e-05,4.4002e-06,6.7036e-08,,,,,,,,,,,
Sam 2,4.00777e-08,1.17768e-02,4.1853e-03,4.8183e-05,4.4414e-06,6.6497e-08,,,,,,           -7.2354,            4.6453,           -3.2206,            9.2994,            1.6711,          -10.7510,           -1.2613,           -0.3032,           -0.0128,            0.2745,
Ref 3,3.89999e-08,,,,,,1.1863e-02,4.1660e-03,4.8341e-05,4.4007e-06,6.5726e-08,,,,,,,,,,,
Sam 3,3.94751e-08,1.17767e-02,4.1853e-03,4.8182e-05,4.4406e-06,6.5986e-08,,,,,,           -7.2364,            4.6505,           -3.1973,            8.8402,           -2.3079,          -10.7523,           -1.2561,           -0.2839,           -0.4781,           -3.7080,
Ref 4,3.83946e-08,,,,,,1.1863e-02,4.1660e-03,4.8333e-05,4.4026e-06,6.6557e-08,,,,,,,,,,,
Sam 4,3.88846e-08,1.17768e-02,4.1853e-03,4.8182e-05,4.4398e-06,6.6174e-08,,,,,,           -7.2286,            4.6490,           -3.2048,            8.5774,           -2.0589,          -10.7440,           -1.2576,           -0.2981,           -0.7356,           -3.4648,
Ref 5,3.78150e-08,,,,,,1.1863e-02,4.1659e-03,4.8342e-05,4.4014e-06,6.6059e-08,,,,,,,,,,,
Sam 5,3.83520e-08,1.17767e-02,4.1852e-03,4.8185e-05,4.4432e-06,6.5535e-08,,,,,,           -7.2319,            4.6380,           -3.1900,            9.7293,           -6.2612,          -10.7471,           -1.2686,           -0.2690,            0.4278,           -7.6362,
Ref 6,3.72618e-08,,,,,,1.1862e-02,4.1659e-03,4.8336e-05,4.3994e-06,6.5835e-08,,,,,,,,,,,
Sam 6,3.77373e-08,1.17766e-02,4.1854e-03,4.8185e-05,4.4399e-06,6.6238e-08,,,,,,           -7.2314,            4.6668,           -3.1966,            9.0187,           -3.7365,          -10.7475,           -1.2400,           -0.3043,           -0.3336,           -5.1715,
Ref 7,3.66425e-08,,,,,,1.1862e-02,4.1660e-03,4.8342e-05,4.4011e-06,6.7148e-08,,,,,,,,,,,
Sam 7,3.71694e-08,1.17766e-02,4.1854e-03,4.8178e-05,4.4414e-06,6.6023e-08,,,,,,           -7.2354,            4.6601,           -3.3296,            9.0778,           -9.9912,          -10.7516,           -1.2466,           -0.4269,           -0.2617,          -11.4001,
Ref 8,3.61223e-08,,,,,,1.1862e-02,4.1660e-03,4.8335e-05,4.4017e-06,6.6224e-08,,,,,,,,,,,
Sam 8,3.66627e-08,1.17765e-02,4.1854e-03,4.8180e-05,4.4399e-06,6.7336e-08,,,,,,           -7.2434,            4.6401,           -3.2733,            9.0319,           23.6556,          -10.7594,           -1.2665,           -0.3426,           -0.2674,           22.2476,
Ref 9,3.55723e-08,,,,,,1.1862e-02,4.1661e-03,4.8342e-05,4.3986e-06,6.5328e-08,,,,,,,,,,,
Sam 9,3.61104e-08,1.17766e-02,4.1854e-03,4.8183e-05,4.4403e-06,6.7940e-08,,,,,,           -7.2330,            4.6352,           -3.2233,            9.1195,           32.8889,          -10.7482,           -1.2714,           -0.2984,           -0.1708,           31.4667,
Ref 10,3.50220e-08,,,,,,1.1862e-02,4.1661e-03,4.8336e-05,4.4017e-06,6.6232e-08,,,,,,,,,,,
Sam 10,3.55415e-08,1.17766e-02,4.1855e-03,4.8180e-05,4.4426e-06,6.7352e-08,,,,,,           -7.2295,            4.6331,           -3.2589,            9.4113,           16.6035,          -10.7444,           -1.2735,           -0.3357,            0.1224,           15.2041,
Ref 11,3.44748e-08,,,,,,1.1862e-02,4.1662e-03,4.8340e-05,4.4006e-06,6.6272e-08,,,,,,,,,,,
Sam 11,3.50256e-08,1.17765e-02,4.1855e-03,4.8190e-05,4.4443e-06,6.6582e-08,,,,,,           -7.2430,            4.6341,           -3.1240,            9.7773,           16.5185,          -10.7587,           -1.2724,           -0.1875,            0.4830,           15.1317,
Ref 12,3.39791e-08,,,,,,1.1862e-02,4.1662e-03,4.8342e-05,4.4020e-06,6.4718e-08,,,,,,,,,,,
Sam 12,3.45390e-08,1.17766e-02,4.1856e-03,4.8193e-05,4.4425e-06,6.5993e-08,,,,,,           -7.2314,            4.6466,           -3.1055,            9.5974,            6.4849,          -10.7468,           -1.2600,           -0.1932,            0.2799,            5.0747,
Ref 13,3.34742e-08,,,,,,1.1862e-02,4.1662e-03,4.8344e-05,4.3986e-06,6.6431e-08,,,,,,,,,,,
Sam 13,3.40376e-08,1.17766e-02,4.1856e-03,4.8186e-05,4.4410e-06,6.7223e-08,,,,,,           -7.2263,            4.6401,           -3.2282,            8.9271,           11.2082,          -10.7412,           -1.2665,           -0.3151,           -0.3713,            9.7988,
Ref 14,3.29835e-08,,,,,,1.1862e-02,4.1663e-03,4.8341e-05,4.4048e-06,6.6525e-08,,,,,,,,,,,
Sam 14,3.35741e-08,1.17764e-02,4.1856e-03,4.8184e-05,4.4412e-06,6.5994e-08,,,,,,           -7.2445,            4.6198,           -3.2759,            8.6893,          -12.0061,          -10.7599,           -1.2867,           -0.3241,           -0.5664,          -13.3245,
Ref 15,3.24697e-08,,,,,,1.1862e-02,4.1664e-03,4.8343e-05,4.4011e-06,6.7071e-08,,,,,,,,,,,
Sam 15,3.30472e-08,1.17765e-02,4.1857e-03,4.8190e-05,4.4405e-06,6.3767e-08,,,,,,           -7.2375,            4.6319,           -3.1627,            9.0972,          -51.4546,          -10.7528,           -1.2747,           -0.2298,           -0.1863,          -52.7500,
Ref 16,3.19954e-08,,,,,,1.1862e-02,4.1664e-03,4.8343e-05,4.3997e-06,6.7384e-08,,,,,,,,,,,
Sam 16,3.26028e-08,1.17765e-02,4.1857e-03,4.8189e-05,4.4411e-06,6.7071e-08,,,,,,           -7.2287,            4.6503,           -3.1713,            9.0470,           10.5350,          -10.7441,           -1.2564,           -0.2655,           -0.2728,            9.1090,
Ref 17,3.15398e-08,,,,,,1.1862e-02,4.1663e-03,4.8342e-05,4.4029e-06,6.5346e-08,,,,,,,,,,,
Sam 17,3.21736e-08,1.17764e-02,4.1857e-03,4.8192e-05,4.4412e-06,6.8122e-08,,,,,,           -7.2386,            4.6459,           -3.1467,            8.9366,           37.5342,          -10.7545,           -1.2607,           -0.2264,           -0.3734,           36.0900,
Ref 18,3.10883e-08,,,,,,1.1862e-02,4.1664e-03,4.8345e-05,4.4009e-06,6.5973e-08,,,,,,,,,,,
Sam 18,3.17181e-08,1.17764e-02,4.1857e-03,4.8195e-05,4.4440e-06,6.5864e-08,,,,,,           -7.2382,            4.6356,           -3.1476,            9.6443,            7.1087,          -10.7537,           -1.2710,           -0.2176,            0.3484,            5.7267,
Ref 19,3.06114e-08,,,,,,1.1862e-02,4.1665e-03,4.8348e-05,4.4022e-06,6.4816e-08,,,,,,,,,,,
Sam 19,3.12486e-08,1.17764e-02,4.1857e-03,4.8186e-05,4.4404e-06,6.3489e-08,,,,,,           -7.2280,            4.6233,           -3.3944,            8.6582,          -40.4819,          -10.7425,           -1.2832,           -0.4636,           -0.6043,          -41.7859,
Ref 20,3.01802e-08,,,,,,1.1862e-02,4.1665e-03,4.8352e-05,4.4024e-06,6.7538e-08,,,,,,,,,,,
Sam 20,3.08182e-08,1.17764e-02,4.1858e-03,4.8192e-05,4.4408e-06,6.6093e-08,,,,,,           -7.2297,            4.6407,           -3.2522,            8.8282,          -19.2978,          -10.7448,           -1.2659,           -0.3362,           -0.4705,          -20.6622,
