Nu Stable Isotope Analysis Program
Data Collected on Sunday, November 05, 2023 at 08:04 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, November 05, 2023 at 09:04 with Stable 1.71.5 on PS019

Data File = Data_20835 ETH-03.txt,        Sample Weight = 498,                      Vial Location = 28,                       Initial Sam Beam = 2.5034e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5747e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.03084
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,1.00666e-07,,,,,,1.1863e-02,4.1638e-03,4.8301e-05,4.3983e-06,6.3846e-08,
Sam 1,9.97018e-08,1.19152e-02,4.2128e-03,4.9073e-05,4.5035e-06,6.5193e-08,,,,,,            4.3648,           11.7162,           15.9283,           23.7857,           16.0572,            1.3504,            5.7500,           -0.1492,            0.2110,          -11.5481,
Ref 2,9.85311e-08,,,,,,1.1864e-02,4.1642e-03,4.8307e-05,4.3994e-06,6.4487e-08,,,,,,,,,,,
Sam 2,9.75624e-08,1.19154e-02,4.2130e-03,4.9073e-05,4.5028e-06,6.5274e-08,,,,,,            4.3544,           11.7015,           15.8073,           23.3208,           16.9800,            1.3399,            5.7354,           -0.2434,           -0.2141,          -10.6112,
Ref 3,9.63297e-08,,,,,,1.1864e-02,4.1643e-03,4.8312e-05,4.4011e-06,6.3874e-08,,,,,,,,,,,
Sam 3,9.54531e-08,1.19155e-02,4.2131e-03,4.9075e-05,4.5029e-06,6.5414e-08,,,,,,            4.3504,           11.7034,           15.8153,           23.1655,           25.1699,            1.3355,            5.7373,           -0.2331,           -0.3695,           -2.6429,
Ref 4,9.42055e-08,,,,,,1.1864e-02,4.1644e-03,4.8309e-05,4.4008e-06,6.3741e-08,,,,,,,,,,,
Sam 4,9.33928e-08,1.19155e-02,4.2131e-03,4.9078e-05,4.5028e-06,6.5448e-08,,,,,,            4.3522,           11.6928,           15.9406,           23.2277,           22.6418,            1.3378,            5.7267,           -0.1014,           -0.2878,           -5.0838,
Ref 5,9.21014e-08,,,,,,1.1864e-02,4.1644e-03,4.8306e-05,4.4004e-06,6.4263e-08,,,,,,,,,,,
Sam 5,9.13692e-08,1.19155e-02,4.2131e-03,4.9076e-05,4.5023e-06,6.5700e-08,,,,,,            4.3522,           11.6844,           15.8664,           23.1269,           18.8619,            1.3381,            5.7184,           -0.1664,           -0.3698,           -8.7452,
Ref 6,9.00602e-08,,,,,,1.1864e-02,4.1645e-03,4.8312e-05,4.4007e-06,6.4709e-08,,,,,,,,,,,
Sam 6,8.94097e-08,1.19155e-02,4.2132e-03,4.9081e-05,4.5035e-06,6.5088e-08,,,,,,            4.3470,           11.6947,           15.9221,           23.3891,            9.0491,            1.3322,            5.7286,           -0.1161,           -0.1339,          -18.3062,
Ref 7,8.80931e-08,,,,,,1.1864e-02,4.1646e-03,4.8312e-05,4.4004e-06,6.4295e-08,,,,,,,,,,,
Sam 7,8.75133e-08,1.19154e-02,4.2133e-03,4.9081e-05,4.5030e-06,6.5961e-08,,,,,,            4.3504,           11.6948,           15.9315,           23.3213,           23.5420,            1.3358,            5.7287,           -0.1104,           -0.2003,           -4.2100,
Ref 8,8.61817e-08,,,,,,1.1864e-02,4.1646e-03,4.8311e-05,4.4003e-06,6.4596e-08,,,,,,,,,,,
Sam 8,8.56815e-08,1.19154e-02,4.2133e-03,4.9076e-05,4.5028e-06,6.5913e-08,,,,,,            4.3514,           11.6976,           15.7860,           23.2086,           21.2424,            1.3368,            5.7315,           -0.2574,           -0.3160,           -6.4538,
Ref 9,8.43220e-08,,,,,,1.1864e-02,4.1646e-03,4.8317e-05,4.4010e-06,6.4486e-08,,,,,,,,,,,
Sam 9,8.38894e-08,1.19154e-02,4.2133e-03,4.9083e-05,4.5043e-06,6.6031e-08,,,,,,            4.3485,           11.6844,           15.9028,           23.4104,           24.8124,            1.3342,            5.7184,           -0.1267,           -0.0928,           -2.9521,
Ref 10,8.25272e-08,,,,,,1.1864e-02,4.1647e-03,4.8312e-05,4.4014e-06,6.4378e-08,,,,,,,,,,,
Sam 10,8.21449e-08,1.19154e-02,4.2134e-03,4.9079e-05,4.5028e-06,6.6127e-08,,,,,,            4.3440,           11.6780,           15.9028,           23.0887,           21.5053,            1.3295,            5.7120,           -0.1157,           -0.3943,           -6.1523,
Ref 11,8.07795e-08,,,,,,1.1864e-02,4.1648e-03,4.8310e-05,4.4010e-06,6.5100e-08,,,,,,,,,,,
Sam 11,8.04572e-08,1.19153e-02,4.2134e-03,4.9076e-05,4.5017e-06,6.6532e-08,,,,,,            4.3430,           11.6709,           15.8334,           22.7733,           28.8138,            1.3287,            5.7050,           -0.1762,           -0.6886,            0.9732,
Ref 12,7.90809e-08,,,,,,1.1864e-02,4.1648e-03,4.8312e-05,4.4019e-06,6.4228e-08,,,,,,,,,,,
Sam 12,7.88217e-08,1.19154e-02,4.2134e-03,4.9080e-05,4.5021e-06,6.6329e-08,,,,,,            4.3513,           11.6725,           15.8505,           23.0156,           19.9852,            1.3376,            5.7066,           -0.1695,           -0.4550,           -7.6284,
Ref 13,7.74345e-08,,,,,,1.1864e-02,4.1648e-03,4.8316e-05,4.3997e-06,6.5848e-08,,,,,,,,,,,
Sam 13,7.72146e-08,1.19152e-02,4.2135e-03,4.9077e-05,4.5027e-06,6.5169e-08,,,,,,            4.3431,           11.6792,           15.7688,           23.3074,           -6.4795,            1.3285,            5.7132,           -0.2479,           -0.1831,          -33.3807,
Ref 14,7.58223e-08,,,,,,1.1864e-02,4.1648e-03,4.8315e-05,4.4006e-06,6.5335e-08,,,,,,,,,,,
Sam 14,7.56831e-08,1.19153e-02,4.2134e-03,4.9079e-05,4.5011e-06,6.6639e-08,,,,,,            4.3495,           11.6719,           15.8575,           22.9793,           24.3284,            1.3356,            5.7059,           -0.1601,           -0.4892,           -3.3996,
Ref 15,7.43036e-08,,,,,,1.1864e-02,4.1648e-03,4.8310e-05,4.3994e-06,6.4772e-08,,,,,,,,,,,
Sam 15,7.45972e-08,1.19148e-02,4.2132e-03,4.9072e-05,4.5023e-06,6.6545e-08,,,,,,            4.3282,           11.6421,           15.7510,           23.4333,           21.4252,            1.3140,            5.6763,           -0.2140,            0.0134,           -6.1442,
Ref 16,7.30426e-08,,,,,,1.1863e-02,4.1647e-03,4.8312e-05,4.3991e-06,6.5533e-08,,,,,,,,,,,
Sam 16,7.29981e-08,1.19149e-02,4.2134e-03,4.9080e-05,4.5036e-06,6.6908e-08,,,,,,            4.3496,           11.6876,           15.8973,           23.8003,           24.1666,            1.3352,            5.7216,           -0.1363,            0.2818,           -3.5876,
Ref 17,7.15741e-08,,,,,,1.1863e-02,4.1647e-03,4.8312e-05,4.3987e-06,6.5121e-08,,,,,,,,,,,
Sam 17,7.15699e-08,1.19149e-02,4.2134e-03,4.9079e-05,4.5027e-06,6.6486e-08,,,,,,            4.3459,           11.6847,           15.8432,           23.6565,           20.7288,            1.3314,            5.7187,           -0.1830,            0.1471,           -6.9228,
Ref 18,7.01488e-08,,,,,,1.1863e-02,4.1647e-03,4.8315e-05,4.3985e-06,6.5152e-08,,,,,,,,,,,
Sam 18,7.02148e-08,1.19148e-02,4.2135e-03,4.9077e-05,4.5025e-06,6.6524e-08,,,,,,            4.3520,           11.7113,           15.8270,           23.5357,           17.2989,            1.3369,            5.7451,           -0.2309,           -0.0234,          -10.3172,
Ref 19,6.90349e-08,,,,,,1.1863e-02,4.1646e-03,4.8309e-05,4.3994e-06,6.5638e-08,,,,,,,,,,,
Sam 19,6.88689e-08,1.19148e-02,4.2134e-03,4.9078e-05,4.5035e-06,6.6072e-08,,,,,,            4.3512,           11.6880,           15.8674,           23.8056,           12.5999,            1.3368,            5.7219,           -0.1676,            0.2863,          -14.8432,
Ref 20,6.74074e-08,,,,,,1.1863e-02,4.1649e-03,4.8314e-05,4.3980e-06,6.4851e-08,,,,,,,,,,,
Sam 20,6.74573e-08,1.19150e-02,4.2136e-03,4.9080e-05,4.5030e-06,6.6365e-08,,,,,,            4.3630,           11.7152,           15.8871,           23.8455,           23.6721,            1.3486,            5.7490,           -0.1869,            0.2715,           -4.1364,
Ref 21,6.63870e-08,,,,,,1.1863e-02,4.1647e-03,4.8312e-05,4.3982e-06,6.4809e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.57615e-08,,,,,,1.1863e-02,4.1647e-03,4.8309e-05,4.3979e-06,6.5381e-08,
Sam 1,6.59104e-08,1.19146e-02,4.2134e-03,4.9078e-05,4.5024e-06,6.7852e-08,,,,,,            4.3334,           11.6506,           15.8595,           23.5000,           38.4406,            1.3193,            5.6848,           -0.1209,            0.0616,           10.3896,
Ref 2,6.41153e-08,,,,,,1.1863e-02,4.1650e-03,4.8315e-05,4.4001e-06,6.5298e-08,,,,,,,,,,,
Sam 2,6.43285e-08,1.19149e-02,4.2137e-03,4.9081e-05,4.5030e-06,6.6204e-08,,,,,,            4.3471,           11.6774,           15.8544,           23.4302,           13.2472,            1.3329,            5.7114,           -0.1660,           -0.0596,          -14.1889,
Ref 3,6.29319e-08,,,,,,1.1863e-02,4.1650e-03,4.8316e-05,4.3998e-06,6.5380e-08,,,,,,,,,,,
Sam 3,6.31412e-08,1.19149e-02,4.2136e-03,4.9081e-05,4.5036e-06,6.6979e-08,,,,,,            4.3484,           11.6665,           15.8460,           23.6174,           20.0085,            1.3347,            5.7005,           -0.1650,            0.1450,           -7.5910,
Ref 4,6.17109e-08,,,,,,1.1863e-02,4.1650e-03,4.8314e-05,4.3996e-06,6.5955e-08,,,,,,,,,,,
Sam 4,6.19813e-08,1.19148e-02,4.2137e-03,4.9082e-05,4.5023e-06,6.6804e-08,,,,,,            4.3439,           11.6772,           15.8313,           23.3938,           12.4759,            1.3295,            5.7112,           -0.1853,           -0.0947,          -14.9357,
Ref 5,6.05815e-08,,,,,,1.1863e-02,4.1651e-03,4.8321e-05,4.3991e-06,6.6007e-08,,,,,,,,,,,
Sam 5,6.08415e-08,1.19147e-02,4.2137e-03,4.9077e-05,4.5020e-06,6.6986e-08,,,,,,            4.3426,           11.6720,           15.6920,           23.3492,           21.3467,            1.3283,            5.7061,           -0.3160,           -0.1281,           -6.2937,
Ref 6,5.95058e-08,,,,,,1.1863e-02,4.1651e-03,4.8316e-05,4.3994e-06,6.5157e-08,,,,,,,,,,,
Sam 6,5.97782e-08,1.19148e-02,4.2137e-03,4.9078e-05,4.5011e-06,6.6161e-08,,,,,,            4.3469,           11.6573,           15.7927,           22.9112,           10.8115,            1.3334,            5.6914,           -0.2070,           -0.5269,          -16.5200,
Ref 7,5.83791e-08,,,,,,1.1863e-02,4.1652e-03,4.8313e-05,4.4011e-06,6.5756e-08,,,,,,,,,,,
Sam 7,5.87436e-08,1.19146e-02,4.2137e-03,4.9080e-05,4.5034e-06,6.7634e-08,,,,,,            4.3348,           11.6486,           15.8209,           23.4822,           27.6113,            1.3208,            5.6828,           -0.1584,            0.0481,           -0.1448,
Ref 8,5.73069e-08,,,,,,1.1863e-02,4.1652e-03,4.8319e-05,4.3990e-06,6.5879e-08,,,,,,,,,,,
Sam 8,5.77199e-08,1.19146e-02,4.2137e-03,4.9082e-05,4.5027e-06,6.7210e-08,,,,,,            4.3378,           11.6477,           15.8155,           23.5307,           21.2195,            1.3240,            5.6818,           -0.1659,            0.0975,           -6.3652,
Ref 9,5.63142e-08,,,,,,1.1863e-02,4.1652e-03,4.8318e-05,4.3993e-06,6.5748e-08,,,,,,,,,,,
Sam 9,5.66463e-08,1.19147e-02,4.2138e-03,4.9082e-05,4.5020e-06,6.7083e-08,,,,,,            4.3499,           11.6713,           15.7990,           23.4203,           18.4032,            1.3361,            5.7054,           -0.2175,           -0.0571,           -9.1637,
Ref 10,5.52602e-08,,,,,,1.1863e-02,4.1653e-03,4.8320e-05,4.3986e-06,6.5995e-08,,,,,,,,,,,
Sam 10,5.56364e-08,1.19147e-02,4.2139e-03,4.9087e-05,4.5024e-06,6.7802e-08,,,,,,            4.3462,           11.6747,           15.9136,           23.6200,           22.5222,            1.3320,            5.7087,           -0.1042,            0.1313,           -5.1589,
Ref 11,5.42309e-08,,,,,,1.1863e-02,4.1653e-03,4.8316e-05,4.3984e-06,6.6628e-08,,,,,,,,,,,
Sam 11,5.47047e-08,1.19146e-02,4.2139e-03,4.9084e-05,4.5021e-06,6.7404e-08,,,,,,            4.3430,           11.6804,           15.9046,           23.5004,           21.6407,            1.3285,            5.7145,           -0.1154,            0.0030,           -6.0243,
Ref 12,5.33237e-08,,,,,,1.1863e-02,4.1652e-03,4.8316e-05,4.3990e-06,6.5314e-08,,,,,,,,,,,
Sam 12,5.37585e-08,1.19146e-02,4.2139e-03,4.9082e-05,4.5013e-06,6.7090e-08,,,,,,            4.3453,           11.6812,           15.7581,           23.3376,           19.2102,            1.3308,            5.7153,           -0.2627,           -0.1576,           -8.3929,
Ref 13,5.23470e-08,,,,,,1.1863e-02,4.1653e-03,4.8325e-05,4.3982e-06,6.6348e-08,,,,,,,,,,,
Sam 13,5.28062e-08,1.19146e-02,4.2139e-03,4.9077e-05,4.5019e-06,6.8395e-08,,,,,,            4.3437,           11.6651,           15.6267,           23.4088,           31.9004,            1.3297,            5.6992,           -0.3747,           -0.0561,            3.9869,
Ref 14,5.14332e-08,,,,,,1.1863e-02,4.1654e-03,4.8318e-05,4.3996e-06,6.6212e-08,,,,,,,,,,,
Sam 14,5.19237e-08,1.19145e-02,4.2140e-03,4.9089e-05,4.5031e-06,6.6520e-08,,,,,,            4.3441,           11.6710,           15.9100,           23.5182,            3.5674,            1.3299,            5.7050,           -0.1020,            0.0391,          -23.5913,
Ref 15,5.05537e-08,,,,,,1.1863e-02,4.1654e-03,4.8323e-05,4.3997e-06,6.6356e-08,,,,,,,,,,,
Sam 15,5.10608e-08,1.19146e-02,4.2140e-03,4.9091e-05,4.5011e-06,6.7998e-08,,,,,,            4.3465,           11.6621,           15.8929,           22.9612,           23.9305,            1.3327,            5.6962,           -0.1126,           -0.4875,           -3.7646,
Ref 16,4.96900e-08,,,,,,1.1863e-02,4.1654e-03,4.8324e-05,4.4003e-06,6.6462e-08,,,,,,,,,,,
Sam 16,5.02054e-08,1.19145e-02,4.2141e-03,4.9092e-05,4.5003e-06,6.7052e-08,,,,,,            4.3484,           11.6641,           15.8935,           22.9745,           15.7860,            1.3348,            5.6982,           -0.1160,           -0.4785,          -11.6948,
Ref 17,4.88385e-08,,,,,,1.1863e-02,4.1655e-03,4.8323e-05,4.3980e-06,6.5549e-08,,,,,,,,,,,
Sam 17,4.93647e-08,1.19144e-02,4.2141e-03,4.9085e-05,4.5022e-06,6.8585e-08,,,,,,            4.3458,           11.6675,           15.7812,           23.6202,           41.7370,            1.3319,            5.7016,           -0.2272,            0.1457,           13.5503,
Ref 18,4.80064e-08,,,,,,1.1863e-02,4.1655e-03,4.8322e-05,4.3986e-06,6.6130e-08,,,,,,,,,,,
Sam 18,4.85489e-08,1.19145e-02,4.2141e-03,4.9083e-05,4.5028e-06,6.8176e-08,,,,,,            4.3506,           11.6644,           15.7683,           23.6386,           24.4648,            1.3371,            5.6984,           -0.2417,            0.1698,           -3.2535,
Ref 19,4.71971e-08,,,,,,1.1863e-02,4.1655e-03,4.8320e-05,4.3990e-06,6.6972e-08,,,,,,,,,,,
Sam 19,4.77558e-08,1.19143e-02,4.2141e-03,4.9086e-05,4.5021e-06,6.7525e-08,,,,,,            4.3417,           11.6556,           15.8691,           23.3059,            5.2956,            1.3279,            5.6897,           -0.1248,           -0.1379,          -21.8781,
Ref 20,4.64111e-08,,,,,,1.1863e-02,4.1656e-03,4.8319e-05,4.4002e-06,6.7371e-08,,,,,,,,,,,
Sam 20,4.69775e-08,1.19144e-02,4.2142e-03,4.9078e-05,4.5018e-06,6.8305e-08,,,,,,            4.3472,           11.6562,           15.7118,           23.1282,           23.9697,            1.3337,            5.6904,           -0.2859,           -0.3129,           -3.7158,
Ref 21,4.56384e-08,,,,,,1.1863e-02,4.1656e-03,4.8318e-05,4.3999e-06,6.6031e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.52590e-08,,,,,,1.1863e-02,4.1656e-03,4.8325e-05,4.3989e-06,6.4340e-08,
Sam 1,4.58451e-08,1.19144e-02,4.2141e-03,4.9083e-05,4.5019e-06,6.8343e-08,,,,,,            4.3486,           11.6472,           15.7236,           23.5135,           50.5693,            1.3355,            5.6814,           -0.2669,            0.0816,           22.1809,
Ref 2,4.45149e-08,,,,,,1.1863e-02,4.1657e-03,4.8321e-05,4.3980e-06,6.5778e-08,,,,,,,,,,,
Sam 2,4.51131e-08,1.19142e-02,4.2142e-03,4.9088e-05,4.5016e-06,6.8584e-08,,,,,,            4.3394,           11.6516,           15.8957,           23.7025,           47.3831,            1.3256,            5.6858,           -0.0924,            0.2574,           19.0820,
Ref 3,4.37822e-08,,,,,,1.1863e-02,4.1657e-03,4.8319e-05,4.3966e-06,6.5179e-08,,,,,,,,,,,
Sam 3,4.43968e-08,1.19143e-02,4.2142e-03,4.9087e-05,4.5002e-06,6.7676e-08,,,,,,            4.3415,           11.6531,           15.8380,           23.3015,           32.0786,            1.3278,            5.6872,           -0.1527,           -0.1372,            4.1860,
Ref 4,4.30712e-08,,,,,,1.1863e-02,4.1657e-03,4.8325e-05,4.3988e-06,6.5973e-08,,,,,,,,,,,
Sam 4,4.36945e-08,1.19143e-02,4.2143e-03,4.9085e-05,4.5003e-06,6.7909e-08,,,,,,            4.3448,           11.6548,           15.6679,           22.9264,           31.0302,            1.3312,            5.6889,           -0.3252,           -0.5071,            3.1591,
Ref 5,4.23709e-08,,,,,,1.1863e-02,4.1657e-03,4.8330e-05,4.4001e-06,6.5755e-08,,,,,,,,,,,
Sam 5,4.30064e-08,1.19143e-02,4.2143e-03,4.9093e-05,4.4999e-06,6.7336e-08,,,,,,            4.3426,           11.6617,           15.8680,           22.8192,           23.8804,            1.3286,            5.6958,           -0.1327,           -0.6254,           -3.8084,
Ref 6,4.16856e-08,,,,,,1.1863e-02,4.1658e-03,4.8322e-05,4.3988e-06,6.5777e-08,,,,,,,,,,,
Sam 6,4.23359e-08,1.19142e-02,4.2143e-03,4.9090e-05,4.5021e-06,6.9121e-08,,,,,,            4.3387,           11.6549,           15.8139,           23.6307,           56.6830,            1.3247,            5.6891,           -0.1754,            0.1808,           28.1248,
Ref 7,4.10228e-08,,,,,,1.1863e-02,4.1658e-03,4.8328e-05,4.3976e-06,6.5044e-08,,,,,,,,,,,
Sam 7,4.16875e-08,1.19142e-02,4.2144e-03,4.9090e-05,4.4985e-06,6.8772e-08,,,,,,            4.3481,           11.6634,           15.8266,           22.9318,           45.9396,            1.3344,            5.6975,           -0.1807,           -0.5188,           17.6450,
Ref 8,4.03708e-08,,,,,,1.1863e-02,4.1658e-03,4.8323e-05,4.3978e-06,6.6470e-08,,,,,,,,,,,
Sam 8,4.10411e-08,1.19141e-02,4.2144e-03,4.9091e-05,4.4995e-06,6.9694e-08,,,,,,            4.3453,           11.6673,           15.9348,           22.8409,           44.0195,            1.3313,            5.7013,           -0.0751,           -0.6153,           15.7721,
Ref 9,3.97290e-08,,,,,,1.1863e-02,4.1658e-03,4.8320e-05,4.4003e-06,6.7045e-08,,,,,,,,,,,
Sam 9,4.04115e-08,1.19140e-02,4.2144e-03,4.9087e-05,4.4986e-06,6.7611e-08,,,,,,            4.3398,           11.6564,           15.8546,           22.5645,           18.9806,            1.3258,            5.6906,           -0.1379,           -0.8639,           -8.5627,
Ref 10,3.91032e-08,,,,,,1.1862e-02,4.1659e-03,4.8322e-05,4.3984e-06,6.5648e-08,,,,,,,,,,,
Sam 10,3.98019e-08,1.19139e-02,4.2144e-03,4.9089e-05,4.4982e-06,6.7564e-08,,,,,,            4.3363,           11.6515,           15.8690,           22.8873,           24.7204,            1.3223,            5.6857,           -0.1154,           -0.5388,           -2.9647,
Ref 11,3.84791e-08,,,,,,1.1863e-02,4.1659e-03,4.8322e-05,4.3967e-06,6.6225e-08,,,,,,,,,,,
Sam 11,3.91942e-08,1.19140e-02,4.2144e-03,4.9092e-05,4.4996e-06,6.8101e-08,,,,,,            4.3434,           11.6626,           15.8682,           23.5213,           36.4829,            1.3295,            5.6967,           -0.1343,            0.0587,            8.4505,
Ref 12,3.79440e-08,,,,,,1.1862e-02,4.1658e-03,4.8327e-05,4.3956e-06,6.5175e-08,,,,,,,,,,,
Sam 12,3.86426e-08,1.19139e-02,4.2145e-03,4.9092e-05,4.4999e-06,6.6949e-08,,,,,,            4.3389,           11.6715,           15.8028,           23.9389,           17.7329,            1.3244,            5.7056,           -0.2027,            0.4492,           -9.8047,
Ref 13,3.73437e-08,,,,,,1.1863e-02,4.1659e-03,4.8329e-05,4.3939e-06,6.6400e-08,,,,,,,,,,,
Sam 13,3.80635e-08,1.19139e-02,4.2145e-03,4.9091e-05,4.4980e-06,6.8414e-08,,,,,,            4.3455,           11.6614,           15.8195,           23.3590,           41.7069,            1.3317,            5.6955,           -0.1832,           -0.0975,           13.5334,
Ref 14,3.67661e-08,,,,,,1.1862e-02,4.1659e-03,4.8324e-05,4.3969e-06,6.4938e-08,,,,,,,,,,,
Sam 14,3.74622e-08,1.19140e-02,4.2145e-03,4.9092e-05,4.4988e-06,6.7689e-08,,,,,,            4.3556,           11.6494,           15.9654,           23.1406,           21.3759,            1.3429,            5.6835,           -0.0382,           -0.2872,           -6.2351,
Ref 15,3.61820e-08,,,,,,1.1862e-02,4.1660e-03,4.8317e-05,4.3972e-06,6.7627e-08,,,,,,,,,,,
Sam 15,3.69210e-08,1.19138e-02,4.2145e-03,4.9091e-05,4.4988e-06,6.8521e-08,,,,,,            4.3370,           11.6408,           15.9275,           23.3298,           18.9094,            1.3234,            5.6751,           -0.0482,           -0.0854,           -8.5990,
Ref 16,3.56421e-08,,,,,,1.1862e-02,4.1660e-03,4.8326e-05,4.3952e-06,6.6866e-08,,,,,,,,,,,
Sam 16,3.63470e-08,1.19139e-02,4.2146e-03,4.9095e-05,4.4987e-06,6.7025e-08,,,,,,            4.3537,           11.6556,           15.9559,           23.2633,            9.3011,            1.3406,            5.6897,           -0.0517,           -0.1795,          -17.9933,
Ref 17,3.51107e-08,,,,,,1.1862e-02,4.1661e-03,4.8322e-05,4.3977e-06,6.5942e-08,,,,,,,,,,,
Sam 17,3.58376e-08,1.19137e-02,4.2146e-03,4.9092e-05,4.4985e-06,6.7299e-08,,,,,,            4.3462,           11.6366,           15.8396,           23.0857,           23.4925,            1.3334,            5.6709,           -0.1401,           -0.3156,           -4.1412,
Ref 18,3.45825e-08,,,,,,1.1862e-02,4.1661e-03,4.8330e-05,4.3963e-06,6.5564e-08,,,,,,,,,,,
Sam 18,3.53121e-08,1.19138e-02,4.2146e-03,4.9096e-05,4.4993e-06,6.9364e-08,,,,,,            4.3489,           11.6458,           15.8639,           23.5127,           47.4973,            1.3359,            5.6799,           -0.1277,            0.0836,           19.1945,
Ref 19,3.40441e-08,,,,,,1.1862e-02,4.1661e-03,4.8329e-05,4.3955e-06,6.6884e-08,,,,,,,,,,,
Sam 19,3.48050e-08,1.19137e-02,4.2146e-03,4.9094e-05,4.4980e-06,6.7503e-08,,,,,,            4.3316,           11.6345,           15.8450,           23.2170,           14.3830,            1.3179,            5.6687,           -0.1176,           -0.1830,          -12.9853,
Ref 20,3.35228e-08,,,,,,1.1862e-02,4.1662e-03,4.8328e-05,4.3964e-06,6.6202e-08,,,,,,,,,,,
Sam 20,3.42787e-08,1.19137e-02,4.2146e-03,4.9093e-05,4.5026e-06,6.7981e-08,,,,,,            4.3429,           11.6259,           15.8527,           24.2583,           31.7337,            1.3302,            5.6602,           -0.1132,            0.8514,            3.9020,
Ref 21,3.30282e-08,,,,,,1.1862e-02,4.1662e-03,4.8327e-05,4.3956e-06,6.5574e-08,,,,,,,,,,,


