Nu Stable Isotope Analysis Program
Data Collected on Sunday, November 05, 2023 at 19:02 with Stable 1.71.5 on PS019,Reanalyzed on Sunday, November 05, 2023 at 20:02 with Stable 1.71.5 on PS019

Data File = Data_20843 WS 7.7A.txt,       Sample Weight = 393,                      Vial Location = 36,                       Initial Sam Beam = 2.2098e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.9212e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02612
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.31507e-08,,,,,,1.1863e-02,4.1648e-03,4.8320e-05,4.4022e-06,6.3789e-08,
Sam 1,6.27553e-08,1.17805e-02,4.1839e-03,4.8180e-05,4.4422e-06,6.4071e-08,,,,,,           -6.9609,            4.5498,           -2.9506,            9.1186,           -3.0356,          -10.4557,           -1.3570,           -0.2237,           -0.0017,           -4.5321,
Ref 2,6.22154e-08,,,,,,1.1863e-02,4.1651e-03,4.8325e-05,4.4019e-06,6.4751e-08,,,,,,,,,,,
Sam 2,6.16401e-08,1.17806e-02,4.1840e-03,4.8182e-05,4.4443e-06,6.5213e-08,,,,,,           -6.9696,            4.5407,           -2.9595,            9.4995,            6.5887,          -10.4646,           -1.3660,           -0.2147,            0.3939,            5.1050,
Ref 3,6.11124e-08,,,,,,1.1863e-02,4.1651e-03,4.8325e-05,4.4031e-06,6.4822e-08,,,,,,,,,,,
Sam 3,6.05596e-08,1.17807e-02,4.1842e-03,4.8180e-05,4.4406e-06,6.3926e-08,,,,,,           -6.9636,            4.5638,           -3.0566,            8.4623,           -9.9100,          -10.4590,           -1.3430,           -0.3410,           -0.6800,          -11.4204,
Ref 4,5.99448e-08,,,,,,1.1863e-02,4.1652e-03,4.8331e-05,4.4037e-06,6.4304e-08,,,,,,,,,,,
Sam 4,5.95890e-08,1.17806e-02,4.1840e-03,4.8183e-05,4.4420e-06,6.4190e-08,,,,,,           -6.9764,            4.5172,           -3.0106,            8.7074,           -4.8095,          -10.4710,           -1.3894,           -0.2358,           -0.3443,           -6.2234,
Ref 5,5.88347e-08,,,,,,1.1863e-02,4.1652e-03,4.8325e-05,4.4037e-06,6.4700e-08,,,,,,,,,,,
Sam 5,5.84726e-08,1.17807e-02,4.1841e-03,4.8180e-05,4.4419e-06,6.5795e-08,,,,,,           -6.9642,            4.5250,           -2.9885,            8.7302,           16.2459,          -10.4583,           -1.3816,           -0.2341,           -0.3373,           14.7732,
Ref 6,5.78146e-08,,,,,,1.1863e-02,4.1652e-03,4.8324e-05,4.4032e-06,6.4787e-08,,,,,,,,,,,
Sam 6,5.74127e-08,1.17806e-02,4.1842e-03,4.8172e-05,4.4406e-06,6.4072e-08,,,,,,           -6.9673,            4.5403,           -3.2283,            8.4567,           -7.4093,          -10.4621,           -1.3664,           -0.4864,           -0.6388,           -8.8741,
Ref 7,5.67639e-08,,,,,,1.1863e-02,4.1653e-03,4.8332e-05,4.4036e-06,6.4310e-08,,,,,,,,,,,
Sam 7,5.63233e-08,1.17806e-02,4.1843e-03,4.8186e-05,4.4445e-06,6.3838e-08,,,,,,           -6.9668,            4.5475,           -2.9710,            9.3428,           -4.3430,          -10.4618,           -1.3592,           -0.2358,            0.2250,           -5.8269,
Ref 8,5.57059e-08,,,,,,1.1863e-02,4.1653e-03,4.8327e-05,4.4031e-06,6.3920e-08,,,,,,,,,,,
Sam 8,5.53316e-08,1.17807e-02,4.1843e-03,4.8179e-05,4.4415e-06,6.5199e-08,,,,,,           -6.9590,            4.5539,           -3.0848,            8.6598,           12.7458,          -10.4537,           -1.3528,           -0.3644,           -0.4646,           11.2152,
Ref 9,5.47568e-08,,,,,,1.1863e-02,4.1653e-03,4.8329e-05,4.4036e-06,6.4845e-08,,,,,,,,,,,
Sam 9,5.43337e-08,1.17805e-02,4.1843e-03,4.8187e-05,4.4431e-06,6.4132e-08,,,,,,           -6.9669,            4.5506,           -2.9502,            8.7387,           -9.7831,          -10.4620,           -1.3562,           -0.2179,           -0.3798,          -11.2647,
Ref 10,5.37421e-08,,,,,,1.1863e-02,4.1654e-03,4.8329e-05,4.4055e-06,6.4685e-08,,,,,,,,,,,
Sam 10,5.34158e-08,1.17805e-02,4.1843e-03,4.8187e-05,4.4433e-06,6.4444e-08,,,,,,           -6.9658,            4.5357,           -2.9524,            8.8892,           -5.3746,          -10.4603,           -1.3710,           -0.2067,           -0.2009,           -6.8349,
Ref 11,5.28659e-08,,,,,,1.1863e-02,4.1654e-03,4.8330e-05,4.4028e-06,6.4902e-08,,,,,,,,,,,
Sam 11,5.24984e-08,1.17805e-02,4.1843e-03,4.8185e-05,4.4417e-06,6.5148e-08,,,,,,           -6.9603,            4.5310,           -2.9925,            8.6834,            3.4212,          -10.4543,           -1.3757,           -0.2480,           -0.3956,            1.9512,
Ref 12,5.18842e-08,,,,,,1.1863e-02,4.1655e-03,4.8329e-05,4.4041e-06,6.4951e-08,,,,,,,,,,,
Sam 12,5.16062e-08,1.17805e-02,4.1844e-03,4.8185e-05,4.4438e-06,6.5245e-08,,,,,,           -6.9706,            4.5392,           -3.0588,            9.2166,            9.2416,          -10.4656,           -1.3675,           -0.3118,            0.1165,            7.7581,
Ref 13,5.09185e-08,,,,,,1.1863e-02,4.1656e-03,4.8336e-05,4.4023e-06,6.4339e-08,,,,,,,,,,,
Sam 13,5.06685e-08,1.17806e-02,4.1845e-03,4.8184e-05,4.4422e-06,6.5804e-08,,,,,,           -6.9642,            4.5459,           -3.1495,            8.9602,           13.6672,          -10.4590,           -1.3608,           -0.4160,           -0.1509,           12.1568,
Ref 14,5.00488e-08,,,,,,1.1863e-02,4.1656e-03,4.8337e-05,4.4031e-06,6.5504e-08,,,,,,,,,,,
Sam 14,4.98219e-08,1.17805e-02,4.1846e-03,4.8187e-05,4.4450e-06,6.5518e-08,,,,,,           -6.9705,            4.5413,           -3.0804,            9.3218,           -4.8644,          -10.4656,           -1.3654,           -0.3355,            0.2166,           -6.3314,
Ref 15,4.91945e-08,,,,,,1.1863e-02,4.1656e-03,4.8334e-05,4.4049e-06,6.6180e-08,,,,,,,,,,,
Sam 15,4.89871e-08,1.17805e-02,4.1845e-03,4.8193e-05,4.4423e-06,6.5883e-08,,,,,,           -6.9639,            4.5374,           -2.9427,            8.6808,            2.1244,          -10.4584,           -1.3693,           -0.2005,           -0.4109,            0.6477,
Ref 16,4.83596e-08,,,,,,1.1863e-02,4.1656e-03,4.8336e-05,4.4032e-06,6.5299e-08,,,,,,,,,,,
Sam 16,4.81728e-08,1.17804e-02,4.1846e-03,4.8191e-05,4.4439e-06,6.6321e-08,,,,,,           -6.9620,            4.5421,           -3.0249,            9.1763,           20.2528,          -10.4566,           -1.3646,           -0.2895,            0.0707,           18.7379,
Ref 17,4.75413e-08,,,,,,1.1863e-02,4.1657e-03,4.8339e-05,4.4038e-06,6.4705e-08,,,,,,,,,,,
Sam 17,4.73811e-08,1.17804e-02,4.1846e-03,4.8192e-05,4.4427e-06,6.5614e-08,,,,,,           -6.9617,            4.5326,           -2.9793,            8.5171,           17.5139,          -10.4559,           -1.3741,           -0.2349,           -0.5636,           16.0216,
Ref 18,4.67425e-08,,,,,,1.1863e-02,4.1658e-03,4.8333e-05,4.4067e-06,6.4261e-08,,,,,,,,,,,
Sam 18,4.66025e-08,1.17805e-02,4.1846e-03,4.8193e-05,4.4433e-06,6.4623e-08,,,,,,           -6.9586,            4.5291,           -2.8600,            8.4721,            0.0529,          -10.4524,           -1.3775,           -0.1150,           -0.6013,           -1.4104,
Ref 19,4.59610e-08,,,,,,1.1863e-02,4.1658e-03,4.8330e-05,4.4053e-06,6.4984e-08,,,,,,,,,,,
Sam 19,4.58452e-08,1.17803e-02,4.1847e-03,4.8188e-05,4.4437e-06,6.6279e-08,,,,,,           -6.9656,            4.5374,           -3.0017,            8.7879,           26.0351,          -10.4602,           -1.3693,           -0.2579,           -0.3047,           24.5251,
Ref 20,4.52046e-08,,,,,,1.1863e-02,4.1658e-03,4.8337e-05,4.4046e-06,6.4204e-08,,,,,,,,,,,
Sam 20,4.51008e-08,1.17804e-02,4.1847e-03,4.8188e-05,4.4417e-06,6.6128e-08,,,,,,           -6.9592,            4.5406,           -3.0720,            8.6164,           32.1673,          -10.4535,           -1.3661,           -0.3383,           -0.4812,           30.6345,
Ref 21,4.44711e-08,,,,,,1.1863e-02,4.1658e-03,4.8336e-05,4.4029e-06,6.3928e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.41087e-08,,,,,,1.1863e-02,4.1658e-03,4.8334e-05,4.4058e-06,6.4673e-08,
Sam 1,4.40210e-08,1.17804e-02,4.1847e-03,4.8192e-05,4.4424e-06,6.5654e-08,,,,,,           -6.9589,            4.5270,           -2.9862,            8.5654,           14.0714,          -10.4527,           -1.3796,           -0.2392,           -0.5046,           12.5922,
Ref 2,4.33852e-08,,,,,,1.1863e-02,4.1659e-03,4.8339e-05,4.4035e-06,6.4815e-08,,,,,,,,,,,
Sam 2,4.33140e-08,1.17803e-02,4.1848e-03,4.8191e-05,4.4440e-06,6.5347e-08,,,,,,           -6.9662,            4.5272,           -3.0154,            9.1392,           17.4512,          -10.4605,           -1.3794,           -0.2611,            0.0635,           15.9746,
Ref 3,4.26776e-08,,,,,,1.1863e-02,4.1659e-03,4.8336e-05,4.4040e-06,6.3628e-08,,,,,,,,,,,
Sam 3,4.26194e-08,1.17802e-02,4.1848e-03,4.8189e-05,4.4409e-06,6.5363e-08,,,,,,           -6.9701,            4.5212,           -3.0019,            8.4224,           18.0533,          -10.4645,           -1.3854,           -0.2376,           -0.6347,           16.5921,
Ref 4,4.19862e-08,,,,,,1.1863e-02,4.1659e-03,4.8333e-05,4.4037e-06,6.4790e-08,,,,,,,,,,,
Sam 4,4.19419e-08,1.17801e-02,4.1848e-03,4.8195e-05,4.4444e-06,6.5933e-08,,,,,,           -6.9698,            4.5213,           -2.8864,            9.2543,           19.0519,          -10.4641,           -1.3853,           -0.1223,            0.1896,           17.5887,
Ref 5,4.13042e-08,,,,,,1.1863e-02,4.1660e-03,4.8336e-05,4.4035e-06,6.4609e-08,,,,,,,,,,,
Sam 5,4.12783e-08,1.17802e-02,4.1848e-03,4.8195e-05,4.4426e-06,6.4403e-08,,,,,,           -6.9659,            4.5288,           -2.9609,            8.7800,          -12.5433,          -10.4602,           -1.3779,           -0.2083,           -0.2954,          -13.9796,
Ref 6,4.06446e-08,,,,,,1.1863e-02,4.1660e-03,4.8341e-05,4.4045e-06,6.5842e-08,,,,,,,,,,,
Sam 6,4.06383e-08,1.17802e-02,4.1848e-03,4.8184e-05,4.4434e-06,6.6565e-08,,,,,,           -6.9687,            4.5283,           -3.1987,            8.8776,           21.3063,          -10.4632,           -1.3784,           -0.4434,           -0.1977,           19.8248,
Ref 7,3.99988e-08,,,,,,1.1863e-02,4.1660e-03,4.8337e-05,4.4042e-06,6.4500e-08,,,,,,,,,,,
Sam 7,4.00013e-08,1.17801e-02,4.1849e-03,4.8190e-05,4.4428e-06,6.7259e-08,,,,,,           -6.9683,            4.5319,           -3.0404,            8.7120,           38.2044,          -10.4629,           -1.3748,           -0.2885,           -0.3690,           36.6905,
Ref 8,3.93617e-08,,,,,,1.1863e-02,4.1660e-03,4.8336e-05,4.4046e-06,6.5072e-08,,,,,,,,,,,
Sam 8,3.93888e-08,1.17801e-02,4.1849e-03,4.8194e-05,4.4417e-06,6.4723e-08,,,,,,           -6.9599,            4.5275,           -2.9668,            8.5422,            0.3940,          -10.4538,           -1.3791,           -0.2192,           -0.5286,           -1.0652,
Ref 9,3.87505e-08,,,,,,1.1863e-02,4.1660e-03,4.8339e-05,4.4037e-06,6.4317e-08,,,,,,,,,,,
Sam 9,3.87895e-08,1.17800e-02,4.1849e-03,4.8192e-05,4.4404e-06,6.5271e-08,,,,,,           -6.9700,            4.5197,           -3.0433,            8.4770,            8.9158,          -10.4643,           -1.3869,           -0.2778,           -0.5777,            7.4704,
Ref 10,3.81603e-08,,,,,,1.1863e-02,4.1661e-03,4.8338e-05,4.4024e-06,6.5077e-08,,,,,,,,,,,
Sam 10,3.81986e-08,1.17800e-02,4.1849e-03,4.8196e-05,4.4419e-06,6.6084e-08,,,,,,           -6.9661,            4.5324,           -2.9340,            8.8621,           15.4429,          -10.4605,           -1.3742,           -0.1847,           -0.2214,           13.9587,
Ref 11,3.76033e-08,,,,,,1.1863e-02,4.1660e-03,4.8338e-05,4.4035e-06,6.5081e-08,,,,,,,,,,,
Sam 11,3.76469e-08,1.17798e-02,4.1850e-03,4.8193e-05,4.4420e-06,6.7000e-08,,,,,,           -6.9751,            4.5375,           -3.0537,            8.9098,           24.5365,          -10.4703,           -1.3692,           -0.3003,           -0.1841,           23.0388,
Ref 12,3.69567e-08,,,,,,1.1863e-02,4.1662e-03,4.8343e-05,4.4021e-06,6.5716e-08,,,,,,,,,,,
Sam 12,3.70956e-08,1.17799e-02,4.1850e-03,4.8192e-05,4.4402e-06,6.3658e-08,,,,,,           -6.9668,            4.5181,           -3.1033,            8.8463,          -40.2065,          -10.4609,           -1.3885,           -0.3396,           -0.2084,          -41.5816,
Ref 13,3.64434e-08,,,,,,1.1862e-02,4.1661e-03,4.8340e-05,4.4004e-06,6.6941e-08,,,,,,,,,,,
Sam 13,3.65443e-08,1.17799e-02,4.1850e-03,4.8194e-05,4.4422e-06,6.6174e-08,,,,,,           -6.9600,            4.5224,           -2.9866,            9.3009,            4.8417,          -10.4537,           -1.3843,           -0.2339,            0.2335,            3.3862,
Ref 14,3.58913e-08,,,,,,1.1862e-02,4.1661e-03,4.8338e-05,4.4022e-06,6.4752e-08,,,,,,,,,,,
Sam 14,3.59980e-08,1.17798e-02,4.1851e-03,4.8193e-05,4.4414e-06,6.6026e-08,,,,,,           -6.9657,            4.5352,           -2.9994,            8.9571,           20.6033,          -10.4602,           -1.3715,           -0.2534,           -0.1326,           19.1057,
Ref 15,3.53243e-08,,,,,,1.1863e-02,4.1662e-03,4.8338e-05,4.4018e-06,6.4632e-08,,,,,,,,,,,
Sam 15,3.54305e-08,1.17799e-02,4.1851e-03,4.8193e-05,4.4416e-06,6.5670e-08,,,,,,           -6.9654,            4.5306,           -3.0641,            8.7435,           13.9602,          -10.4598,           -1.3761,           -0.3141,           -0.3352,           12.4812,
Ref 16,3.47838e-08,,,,,,1.1862e-02,4.1663e-03,4.8343e-05,4.4044e-06,6.4902e-08,,,,,,,,,,,
Sam 16,3.49073e-08,1.17799e-02,4.1851e-03,4.8196e-05,4.4424e-06,6.4401e-08,,,,,,           -6.9626,            4.5348,           -3.0504,            9.0837,            4.2735,          -10.4569,           -1.3719,           -0.3073,           -0.0065,            2.7973,
Ref 17,3.42890e-08,,,,,,1.1862e-02,4.1662e-03,4.8344e-05,4.4004e-06,6.3340e-08,,,,,,,,,,,
Sam 17,3.44307e-08,1.17799e-02,4.1851e-03,4.8198e-05,4.4413e-06,6.5095e-08,,,,,,           -6.9606,            4.5182,           -2.9837,            9.2492,           14.8320,          -10.4542,           -1.3884,           -0.2263,            0.1906,           13.3710,
Ref 18,3.37817e-08,,,,,,1.1862e-02,4.1663e-03,4.8342e-05,4.4009e-06,6.4958e-08,,,,,,,,,,,
Sam 18,3.38935e-08,1.17799e-02,4.1852e-03,4.8191e-05,4.4426e-06,6.4813e-08,,,,,,           -6.9563,            4.5310,           -3.1108,            9.5186,          -16.8996,          -10.4501,           -1.3757,           -0.3708,            0.4321,          -18.3440,
Ref 19,3.32665e-08,,,,,,1.1862e-02,4.1663e-03,4.8342e-05,4.4005e-06,6.6910e-08,,,,,,,,,,,
Sam 19,3.34104e-08,1.17799e-02,4.1852e-03,4.8199e-05,4.4424e-06,6.5407e-08,,,,,,           -6.9583,            4.5214,           -2.9913,            9.2556,            2.0602,          -10.4518,           -1.3852,           -0.2395,            0.1905,            0.6088,
Ref 20,3.27688e-08,,,,,,1.1862e-02,4.1665e-03,4.8345e-05,4.4028e-06,6.3610e-08,,,,,,,,,,,
Sam 20,3.29146e-08,1.17799e-02,4.1853e-03,4.8201e-05,4.4411e-06,6.5176e-08,,,,,,           -6.9641,            4.5201,           -3.0227,            8.7374,           10.3246,          -10.4581,           -1.3865,           -0.2636,           -0.3204,            8.8701,
Ref 21,3.22710e-08,,,,,,1.1863e-02,4.1664e-03,4.8349e-05,4.4025e-06,6.5423e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.20266e-08,,,,,,1.1862e-02,4.1665e-03,4.8347e-05,4.3992e-06,6.2862e-08,
Sam 1,3.22150e-08,1.17798e-02,4.1853e-03,4.8204e-05,4.4430e-06,6.3516e-08,,,,,,           -6.9691,            4.5174,           -3.0528,            9.3725,            3.9831,          -10.4632,           -1.3892,           -0.2860,            0.3144,            2.5484,
Ref 2,3.15662e-08,,,,,,1.1862e-02,4.1665e-03,4.8355e-05,4.4043e-06,6.3672e-08,,,,,,,,,,,
Sam 2,3.17488e-08,1.17797e-02,4.1854e-03,4.8196e-05,4.4401e-06,6.5986e-08,,,,,,           -6.9725,            4.5229,           -3.1733,            8.0860,           21.2227,          -10.4670,           -1.3837,           -0.4087,           -0.9715,           19.7561,
Ref 3,3.11066e-08,,,,,,1.1862e-02,4.1666e-03,4.8344e-05,4.4047e-06,6.5572e-08,,,,,,,,,,,
Sam 3,3.12884e-08,1.17797e-02,4.1854e-03,4.8199e-05,4.4396e-06,6.4837e-08,,,,,,           -6.9699,            4.5268,           -3.0485,            8.1744,           -6.4840,          -10.4645,           -1.3798,           -0.2900,           -0.8916,           -7.9211,
Ref 4,3.06424e-08,,,,,,1.1862e-02,4.1666e-03,4.8350e-05,4.4025e-06,6.4943e-08,,,,,,,,,,,
Sam 4,3.08589e-08,1.17797e-02,4.1854e-03,4.8201e-05,4.4436e-06,6.4743e-08,,,,,,           -6.9648,            4.5265,           -3.0547,            9.5267,            0.5416,          -10.4590,           -1.3801,           -0.3013,            0.4490,           -0.9106,
Ref 5,3.02191e-08,,,,,,1.1862e-02,4.1665e-03,4.8348e-05,4.4008e-06,6.4469e-08,,,,,,,,,,,
Sam 5,3.04359e-08,1.17796e-02,4.1854e-03,4.8196e-05,4.4439e-06,6.3157e-08,,,,,,           -6.9731,            4.5219,           -3.1782,           10.0264,          -20.6443,          -10.4677,           -1.3847,           -0.4120,            0.9533,          -22.0482,
Ref 6,2.97871e-08,,,,,,1.1862e-02,4.1667e-03,4.8352e-05,4.3988e-06,6.4509e-08,,,,,,,,,,,
Sam 6,3.00097e-08,1.17796e-02,4.1855e-03,4.8206e-05,4.4415e-06,6.3488e-08,,,,,,           -6.9683,            4.5089,           -3.0604,            9.2384,          -22.8020,          -10.4621,           -1.3976,           -0.2861,            0.1983,          -24.1830,
Ref 7,2.93564e-08,,,,,,1.1862e-02,4.1667e-03,4.8357e-05,4.4030e-06,6.5437e-08,,,,,,,,,,,
Sam 7,2.95918e-08,1.17796e-02,4.1855e-03,4.8201e-05,4.4411e-06,6.6699e-08,,,,,,           -6.9588,            4.5200,           -3.1432,            8.6104,           24.1237,          -10.4523,           -1.3866,           -0.3899,           -0.4460,           22.6438,
Ref 8,2.89404e-08,,,,,,1.1862e-02,4.1667e-03,4.8349e-05,4.4033e-06,6.4815e-08,,,,,,,,,,,
Sam 8,2.91855e-08,1.17795e-02,4.1855e-03,4.8205e-05,4.4417e-06,6.5900e-08,,,,,,           -6.9699,            4.5151,           -2.9838,            9.1154,            8.6880,          -10.4640,           -1.3915,           -0.2138,            0.0642,            7.2520,
Ref 9,2.85254e-08,,,,,,1.1862e-02,4.1667e-03,4.8350e-05,4.3998e-06,6.5858e-08,,,,,,,,,,,
Sam 9,2.87809e-08,1.17796e-02,4.1855e-03,4.8206e-05,4.4397e-06,6.6304e-08,,,,,,           -6.9689,            4.5098,           -3.0231,            9.0407,           30.9251,          -10.4627,           -1.3967,           -0.2491,            0.0006,           29.4670,
Ref 10,2.81086e-08,,,,,,1.1862e-02,4.1668e-03,4.8356e-05,4.4000e-06,6.2750e-08,,,,,,,,,,,
Sam 10,2.83646e-08,1.17795e-02,4.1857e-03,4.8209e-05,4.4421e-06,6.6572e-08,,,,,,           -6.9705,            4.5367,           -3.0438,            9.1846,           43.6819,          -10.4654,           -1.3699,           -0.2944,            0.0897,           42.1526,
Ref 11,2.77233e-08,,,,,,1.1862e-02,4.1668e-03,4.8358e-05,4.4035e-06,6.4835e-08,,,,,,,,,,,
Sam 11,2.79941e-08,1.17794e-02,4.1856e-03,4.8204e-05,4.4418e-06,6.3901e-08,,,,,,           -6.9715,            4.5184,           -3.1603,            8.6406,           -4.1794,          -10.4658,           -1.3882,           -0.3923,           -0.4130,           -5.6019,
Ref 12,2.73342e-08,,,,,,1.1862e-02,4.1668e-03,4.8357e-05,4.4041e-06,6.3494e-08,,,,,,,,,,,
Sam 12,2.75973e-08,1.17796e-02,4.1857e-03,4.8215e-05,4.4412e-06,6.5047e-08,,,,,,           -6.9627,            4.5166,           -2.8897,            8.5162,           14.3202,          -10.4564,           -1.3900,           -0.1282,           -0.5326,           12.8655,
Ref 13,2.69414e-08,,,,,,1.1862e-02,4.1669e-03,4.8352e-05,4.4032e-06,6.4772e-08,,,,,,,,,,,
Sam 13,2.72278e-08,1.17796e-02,4.1857e-03,4.8215e-05,4.4396e-06,6.6494e-08,,,,,,           -6.9652,            4.5172,           -2.9273,            8.4688,           23.0772,          -10.4591,           -1.3894,           -0.1640,           -0.5807,           21.6114,
Ref 14,2.65616e-08,,,,,,1.1862e-02,4.1669e-03,4.8360e-05,4.4014e-06,6.5220e-08,,,,,,,,,,,
Sam 14,2.68604e-08,1.17795e-02,4.1858e-03,4.8213e-05,4.4410e-06,6.6172e-08,,,,,,           -6.9676,            4.5382,           -3.0465,            8.6984,           12.8874,          -10.4624,           -1.3685,           -0.3016,           -0.3951,           11.3971,
Ref 15,2.61956e-08,,,,,,1.1862e-02,4.1669e-03,4.8360e-05,4.4040e-06,6.5442e-08,,,,,,,,,,,
Sam 15,2.64973e-08,1.17796e-02,4.1858e-03,4.8215e-05,4.4422e-06,6.4953e-08,,,,,,           -6.9549,            4.5231,           -2.9448,            8.9912,            8.3152,          -10.4484,           -1.3836,           -0.1979,           -0.0748,            6.8479,
Ref 16,2.58406e-08,,,,,,1.1862e-02,4.1669e-03,4.8354e-05,4.4012e-06,6.3379e-08,,,,,,,,,,,
Sam 16,2.61476e-08,1.17795e-02,4.1858e-03,4.8220e-05,4.4434e-06,6.4536e-08,,,,,,           -6.9572,            4.5258,           -2.8587,            9.4440,           -7.6220,          -10.4508,           -1.3809,           -0.1120,            0.3686,           -9.0691,
Ref 17,2.54867e-08,,,,,,1.1862e-02,4.1669e-03,4.8364e-05,4.4024e-06,6.6708e-08,,,,,,,,,,,
Sam 17,2.57905e-08,1.17796e-02,4.1858e-03,4.8222e-05,4.4412e-06,6.6081e-08,,,,,,           -6.9503,            4.5320,           -2.9059,            9.0492,           25.8323,          -10.4437,           -1.3747,           -0.1725,           -0.0351,           24.3165,
Ref 18,2.51367e-08,,,,,,1.1862e-02,4.1670e-03,4.8361e-05,4.4002e-06,6.2095e-08,,,,,,,,,,,
Sam 18,2.54568e-08,1.17795e-02,4.1858e-03,4.8217e-05,4.4421e-06,6.5845e-08,,,,,,           -6.9566,            4.5192,           -2.9671,            9.4064,           38.9408,          -10.4500,           -1.3874,           -0.2148,            0.3444,           37.4386,
Ref 19,2.48110e-08,,,,,,1.1862e-02,4.1670e-03,4.8360e-05,4.4013e-06,6.4676e-08,,,,,,,,,,,
Sam 19,2.51136e-08,1.17795e-02,4.1859e-03,4.8224e-05,4.4412e-06,6.5691e-08,,,,,,           -6.9527,            4.5334,           -2.8949,            9.2425,            5.9248,          -10.4463,           -1.3733,           -0.1604,            0.1537,            4.4382,
Ref 20,2.44569e-08,,,,,,1.1862e-02,4.1670e-03,4.8368e-05,4.3998e-06,6.5942e-08,,,,,,,,,,,
Sam 20,2.47794e-08,1.17794e-02,4.1859e-03,4.8211e-05,4.4413e-06,6.5278e-08,,,,,,           -6.9577,            4.5283,           -3.2321,            9.5628,           -8.4154,          -10.4514,           -1.3784,           -0.4883,            0.4813,           -9.8656,
