Nu Stable Isotope Analysis Program
Data Collected on Monday, November 06, 2023 at 05:58 with Stable 1.71.5 on PS019,Reanalyzed on Monday, November 06, 2023 at 06:57 with Stable 1.71.5 on PS019

Data File = Data_20851 ETH-03.txt,        Sample Weight = 449,                      Vial Location = 44,                       Initial Sam Beam = 2.5037e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0597e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02848
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.98319e-08,,,,,,1.1863e-02,4.1645e-03,4.8314e-05,4.3980e-06,6.3622e-08,
Sam 1,8.89635e-08,1.19156e-02,4.2135e-03,4.9083e-05,4.5048e-06,6.4548e-08,,,,,,            4.3720,           11.7210,           15.8571,           23.8268,           12.9601,            1.3579,            5.7547,           -0.2313,            0.2418,          -14.5778,
Ref 2,8.80692e-08,,,,,,1.1864e-02,4.1649e-03,4.8318e-05,4.4019e-06,6.3825e-08,,,,,,,,,,,
Sam 2,8.71862e-08,1.19157e-02,4.2136e-03,4.9087e-05,4.5041e-06,6.5195e-08,,,,,,            4.3570,           11.6999,           15.8806,           23.2870,           22.0086,            1.3426,            5.7338,           -0.1723,           -0.2439,           -5.7186,
Ref 3,8.62110e-08,,,,,,1.1864e-02,4.1649e-03,4.8321e-05,4.4013e-06,6.3757e-08,,,,,,,,,,,
Sam 3,8.53891e-08,1.19158e-02,4.2137e-03,4.9084e-05,4.5035e-06,6.6000e-08,,,,,,            4.3542,           11.7077,           15.8072,           23.2712,           31.0642,            1.3394,            5.7415,           -0.2492,           -0.2748,            3.0790,
Ref 4,8.43942e-08,,,,,,1.1864e-02,4.1649e-03,4.8320e-05,4.4008e-06,6.4272e-08,,,,,,,,,,,
Sam 4,8.36169e-08,1.19157e-02,4.2137e-03,4.9087e-05,4.5037e-06,6.6381e-08,,,,,,            4.3514,           11.7061,           15.8808,           23.4016,           31.3530,            1.3365,            5.7400,           -0.1724,           -0.1443,            3.3660,
Ref 5,8.26070e-08,,,,,,1.1864e-02,4.1650e-03,4.8319e-05,4.4006e-06,6.4456e-08,,,,,,,,,,,
Sam 5,8.19035e-08,1.19157e-02,4.2138e-03,4.9087e-05,4.5032e-06,6.5890e-08,,,,,,            4.3521,           11.6926,           15.9001,           23.2811,           24.3063,            1.3377,            5.7265,           -0.1410,           -0.2352,           -3.4639,
Ref 6,8.08812e-08,,,,,,1.1864e-02,4.1651e-03,4.8318e-05,4.4008e-06,6.4193e-08,,,,,,,,,,,
Sam 6,8.02269e-08,1.19157e-02,4.2138e-03,4.9087e-05,4.5033e-06,6.6061e-08,,,,,,            4.3538,           11.7004,           15.9021,           23.3928,           29.7038,            1.3392,            5.7343,           -0.1483,           -0.1415,            1.7703,
Ref 7,7.91906e-08,,,,,,1.1864e-02,4.1651e-03,4.8321e-05,4.3998e-06,6.4117e-08,,,,,,,,,,,
Sam 7,7.85891e-08,1.19157e-02,4.2138e-03,4.9089e-05,4.5031e-06,6.6227e-08,,,,,,            4.3504,           11.7018,           15.8731,           23.2911,           25.4043,            1.3356,            5.7357,           -0.1748,           -0.2437,           -2.4118,
Ref 8,7.75481e-08,,,,,,1.1864e-02,4.1651e-03,4.8324e-05,4.4014e-06,6.5066e-08,,,,,,,,,,,
Sam 8,7.70109e-08,1.19156e-02,4.2139e-03,4.9084e-05,4.5029e-06,6.6672e-08,,,,,,            4.3522,           11.6997,           15.7601,           23.0984,           26.4773,            1.3375,            5.7336,           -0.2857,           -0.4277,           -1.3658,
Ref 9,7.59569e-08,,,,,,1.1864e-02,4.1652e-03,4.8322e-05,4.4011e-06,6.4836e-08,,,,,,,,,,,
Sam 9,7.54509e-08,1.19156e-02,4.2139e-03,4.9087e-05,4.5026e-06,6.6311e-08,,,,,,            4.3542,           11.7073,           15.8481,           23.1274,           23.1121,            1.3394,            5.7412,           -0.2086,           -0.4146,           -4.6566,
Ref 10,7.44127e-08,,,,,,1.1864e-02,4.1652e-03,4.8321e-05,4.4006e-06,6.4790e-08,,,,,,,,,,,
Sam 10,7.44244e-08,1.19151e-02,4.2136e-03,4.9084e-05,4.5025e-06,6.6692e-08,,,,,,            4.3217,           11.6363,           15.8131,           23.0366,           27.0480,            1.3073,            5.6706,           -0.1406,           -0.3630,           -0.6552,
Ref 11,7.31337e-08,,,,,,1.1864e-02,4.1650e-03,4.8319e-05,4.4015e-06,6.5084e-08,,,,,,,,,,,
Sam 11,7.27284e-08,1.19153e-02,4.2138e-03,4.9085e-05,4.5025e-06,6.6494e-08,,,,,,            4.3556,           11.6927,           15.7851,           23.0702,           26.8699,            1.3414,            5.7266,           -0.2578,           -0.4415,           -0.9737,
Ref 12,7.16808e-08,,,,,,1.1864e-02,4.1651e-03,4.8325e-05,4.4005e-06,6.4418e-08,,,,,,,,,,,
Sam 12,7.13156e-08,1.19152e-02,4.2138e-03,4.9085e-05,4.5043e-06,6.6465e-08,,,,,,            4.3468,           11.6914,           15.8111,           23.6713,           28.3386,            1.3321,            5.7254,           -0.2219,            0.1483,            0.4669,
Ref 13,7.02421e-08,,,,,,1.1864e-02,4.1651e-03,4.8317e-05,4.3997e-06,6.4854e-08,,,,,,,,,,,
Sam 13,6.99339e-08,1.19152e-02,4.2139e-03,4.9084e-05,4.5018e-06,6.6952e-08,,,,,,            4.3468,           11.6958,           15.8607,           23.0755,           31.8000,            1.3320,            5.7297,           -0.1774,           -0.4425,            3.8259,
Ref 14,6.88735e-08,,,,,,1.1864e-02,4.1652e-03,4.8319e-05,4.4008e-06,6.4925e-08,,,,,,,,,,,
Sam 14,6.86333e-08,1.19152e-02,4.2138e-03,4.9085e-05,4.5038e-06,6.5936e-08,,,,,,            4.3427,           11.6638,           15.7940,           23.5732,           11.9283,            1.3287,            5.6979,           -0.2077,            0.1072,          -15.4414,
Ref 15,6.73877e-08,,,,,,1.1864e-02,4.1652e-03,4.8324e-05,4.3993e-06,6.5399e-08,,,,,,,,,,,
Sam 15,6.71956e-08,1.19152e-02,4.2139e-03,4.9088e-05,4.5037e-06,6.6802e-08,,,,,,            4.3485,           11.6764,           15.8218,           23.7168,           22.3669,            1.3344,            5.7105,           -0.1986,            0.2223,           -5.3157,
Ref 16,6.61315e-08,,,,,,1.1864e-02,4.1653e-03,4.8323e-05,4.3993e-06,6.5281e-08,,,,,,,,,,,
Sam 16,6.59761e-08,1.19151e-02,4.2139e-03,4.9087e-05,4.5021e-06,6.5890e-08,,,,,,            4.3515,           11.6812,           15.8594,           23.4121,           17.9510,            1.3375,            5.7152,           -0.1694,           -0.0847,           -9.6245,
Ref 17,6.49184e-08,,,,,,1.1864e-02,4.1652e-03,4.8319e-05,4.3988e-06,6.4165e-08,,,,,,,,,,,
Sam 17,6.47593e-08,1.19151e-02,4.2140e-03,4.9086e-05,4.5022e-06,6.6045e-08,,,,,,            4.3474,           11.6896,           15.8683,           23.3456,           14.2827,            1.3328,            5.7236,           -0.1646,           -0.1663,          -13.2052,
Ref 18,6.36133e-08,,,,,,1.1864e-02,4.1654e-03,4.8320e-05,4.4001e-06,6.6086e-08,,,,,,,,,,,
Sam 18,6.35075e-08,1.19152e-02,4.2141e-03,4.9091e-05,4.5027e-06,6.6829e-08,,,,,,            4.3581,           11.7027,           15.9334,           23.2300,           17.5439,            1.3437,            5.7366,           -0.1242,           -0.3052,          -10.0689,
Ref 19,6.24608e-08,,,,,,1.1863e-02,4.1653e-03,4.8323e-05,4.4009e-06,6.5261e-08,,,,,,,,,,,
Sam 19,6.23549e-08,1.19152e-02,4.2141e-03,4.9091e-05,4.5036e-06,6.7201e-08,,,,,,            4.3552,           11.7045,           15.9265,           23.5961,           27.5272,            1.3406,            5.7384,           -0.1297,            0.0489,           -0.3569,
Ref 20,6.12772e-08,,,,,,1.1864e-02,4.1654e-03,4.8320e-05,4.3987e-06,6.5544e-08,,,,,,,,,,,
Sam 20,6.12726e-08,1.19150e-02,4.2141e-03,4.9091e-05,4.5022e-06,6.6704e-08,,,,,,            4.3399,           11.6940,           15.9624,           23.4854,           20.2111,            1.3246,            5.7280,           -0.0685,           -0.0384,           -7.4380,
Ref 21,6.02004e-08,,,,,,1.1863e-02,4.1654e-03,4.8320e-05,4.3991e-06,6.5219e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.95637e-08,,,,,,1.1864e-02,4.1654e-03,4.8324e-05,4.3994e-06,6.5577e-08,
Sam 1,5.96607e-08,1.19149e-02,4.2141e-03,4.9089e-05,4.5016e-06,6.6876e-08,,,,,,            4.3335,           11.6795,           15.8755,           22.9124,           26.2260,            1.3184,            5.7136,           -0.1334,           -0.5696,           -1.5513,
Ref 2,5.85460e-08,,,,,,1.1863e-02,4.1654e-03,4.8319e-05,4.4020e-06,6.4750e-08,,,,,,,,,,,
Sam 2,5.85780e-08,1.19150e-02,4.2141e-03,4.9091e-05,4.5017e-06,6.7300e-08,,,,,,            4.3510,           11.6859,           15.9449,           22.7993,           36.2959,            1.3367,            5.7198,           -0.0891,           -0.6927,            8.2150,
Ref 3,5.75427e-08,,,,,,1.1863e-02,4.1654e-03,4.8322e-05,4.4006e-06,6.5140e-08,,,,,,,,,,,
Sam 3,5.74280e-08,1.19150e-02,4.2142e-03,4.9096e-05,4.5028e-06,6.6836e-08,,,,,,            4.3597,           11.6995,           15.9295,           23.2930,           22.8663,            1.3456,            5.7334,           -0.1265,           -0.2372,           -4.8863,
Ref 4,5.63792e-08,,,,,,1.1863e-02,4.1655e-03,4.8329e-05,4.3999e-06,6.5548e-08,,,,,,,,,,,
Sam 4,5.64055e-08,1.19150e-02,4.2142e-03,4.9085e-05,4.5021e-06,6.6697e-08,,,,,,            4.3485,           11.6841,           15.7125,           23.1735,           15.2690,            1.3342,            5.7181,           -0.3137,           -0.3236,          -12.2363,
Ref 5,5.53426e-08,,,,,,1.1863e-02,4.1656e-03,4.8323e-05,4.4004e-06,6.5842e-08,,,,,,,,,,,
Sam 5,5.54222e-08,1.19149e-02,4.2143e-03,4.9090e-05,4.5015e-06,6.6312e-08,,,,,,            4.3360,           11.6801,           15.7969,           23.1345,           11.6009,            1.3210,            5.7141,           -0.2138,           -0.3538,          -15.7842,
Ref 6,5.43109e-08,,,,,,1.1863e-02,4.1656e-03,4.8331e-05,4.3991e-06,6.5256e-08,,,,,,,,,,,
Sam 6,5.44693e-08,1.19148e-02,4.2143e-03,4.9084e-05,4.5019e-06,6.7948e-08,,,,,,            4.3380,           11.6762,           15.7069,           23.2529,           31.3819,            1.3233,            5.7103,           -0.3008,           -0.2305,            3.4667,
Ref 7,5.34214e-08,,,,,,1.1863e-02,4.1656e-03,4.8319e-05,4.4001e-06,6.6516e-08,,,,,,,,,,,
Sam 7,5.35370e-08,1.19149e-02,4.2143e-03,4.9086e-05,4.5010e-06,6.7365e-08,,,,,,            4.3504,           11.6736,           15.8152,           23.1425,           24.0781,            1.3365,            5.7077,           -0.2043,           -0.3331,           -3.6474,
Ref 8,5.24333e-08,,,,,,1.1863e-02,4.1657e-03,4.8325e-05,4.3981e-06,6.5031e-08,,,,,,,,,,,
Sam 8,5.25645e-08,1.19149e-02,4.2143e-03,4.9089e-05,4.5027e-06,6.7876e-08,,,,,,            4.3568,           11.6802,           15.8258,           23.6189,           34.5907,            1.3432,            5.7142,           -0.2069,            0.1192,            6.5607,
Ref 9,5.15107e-08,,,,,,1.1863e-02,4.1657e-03,4.8324e-05,4.3996e-06,6.6193e-08,,,,,,,,,,,
Sam 9,5.16763e-08,1.19149e-02,4.2144e-03,4.9088e-05,4.5006e-06,6.7012e-08,,,,,,            4.3552,           11.6727,           15.8092,           23.1195,           12.4608,            1.3417,            5.7067,           -0.2142,           -0.3539,          -14.9535,
Ref 10,5.06146e-08,,,,,,1.1863e-02,4.1658e-03,4.8323e-05,4.3982e-06,6.6181e-08,,,,,,,,,,,
Sam 10,5.08097e-08,1.19147e-02,4.2144e-03,4.9092e-05,4.5013e-06,6.7148e-08,,,,,,            4.3402,           11.6720,           15.8442,           23.3290,           17.9686,            1.3257,            5.7060,           -0.1637,           -0.1477,           -9.5776,
Ref 11,4.97432e-08,,,,,,1.1863e-02,4.1658e-03,4.8330e-05,4.3991e-06,6.5741e-08,,,,,,,,,,,
Sam 11,4.99567e-08,1.19148e-02,4.2144e-03,4.9091e-05,4.5029e-06,6.8348e-08,,,,,,            4.3506,           11.6699,           15.7943,           23.5365,           34.5694,            1.3368,            5.7040,           -0.2214,            0.0591,            6.5669,
Ref 12,4.88902e-08,,,,,,1.1863e-02,4.1658e-03,4.8325e-05,4.3996e-06,6.6394e-08,,,,,,,,,,,
Sam 12,4.91252e-08,1.19147e-02,4.2144e-03,4.9092e-05,4.5023e-06,6.7853e-08,,,,,,            4.3407,           11.6661,           15.8188,           23.3964,           22.9314,            1.3265,            5.7002,           -0.1836,           -0.0704,           -4.7385,
Ref 13,4.80575e-08,,,,,,1.1863e-02,4.1659e-03,4.8331e-05,4.3991e-06,6.6268e-08,,,,,,,,,,,
Sam 13,4.83142e-08,1.19147e-02,4.2145e-03,4.9093e-05,4.5030e-06,6.7023e-08,,,,,,            4.3496,           11.6718,           15.8431,           23.5536,           16.2421,            1.3357,            5.7058,           -0.1742,            0.0721,          -11.2669,
Ref 14,4.72475e-08,,,,,,1.1863e-02,4.1658e-03,4.8325e-05,4.3997e-06,6.5629e-08,,,,,,,,,,,
Sam 14,4.75237e-08,1.19147e-02,4.2145e-03,4.9096e-05,4.4997e-06,6.7031e-08,,,,,,            4.3484,           11.6809,           15.8535,           22.8621,           11.0435,            1.3342,            5.7149,           -0.1717,           -0.6216,          -16.3411,
Ref 15,4.64599e-08,,,,,,1.1863e-02,4.1659e-03,4.8335e-05,4.3987e-06,6.6980e-08,,,,,,,,,,,
Sam 15,4.67537e-08,1.19146e-02,4.2146e-03,4.9098e-05,4.5012e-06,6.6915e-08,,,,,,            4.3434,           11.6779,           15.8506,           23.2323,            5.6944,            1.3290,            5.7120,           -0.1665,           -0.2539,          -21.5343,
Ref 16,4.56960e-08,,,,,,1.1863e-02,4.1660e-03,4.8329e-05,4.3994e-06,6.6085e-08,,,,,,,,,,,
Sam 16,4.59957e-08,1.19147e-02,4.2146e-03,4.9097e-05,4.5022e-06,6.7194e-08,,,,,,            4.3517,           11.6623,           15.8955,           23.5613,            9.7975,            1.3383,            5.6964,           -0.1156,            0.0983,          -17.5212,
Ref 17,4.49366e-08,,,,,,1.1863e-02,4.1660e-03,4.8329e-05,4.3977e-06,6.7007e-08,,,,,,,,,,,
Sam 17,4.52536e-08,1.19146e-02,4.2146e-03,4.9096e-05,4.5009e-06,6.8707e-08,,,,,,            4.3538,           11.6620,           15.8928,           23.3365,           27.8327,            1.3406,            5.6961,           -0.1202,           -0.1208,            0.0244,
Ref 18,4.42081e-08,,,,,,1.1863e-02,4.1660e-03,4.8326e-05,4.3988e-06,6.6683e-08,,,,,,,,,,,
Sam 18,4.45330e-08,1.19146e-02,4.2146e-03,4.9095e-05,4.5009e-06,6.7273e-08,,,,,,            4.3545,           11.6807,           15.8576,           23.2538,            6.9822,            1.3407,            5.7147,           -0.1737,           -0.2383,          -20.2983,
Ref 19,4.34857e-08,,,,,,1.1863e-02,4.1660e-03,4.8331e-05,4.3984e-06,6.6931e-08,,,,,,,,,,,
Sam 19,4.38237e-08,1.19145e-02,4.2146e-03,4.9095e-05,4.5018e-06,6.8345e-08,,,,,,            4.3469,           11.6735,           15.8179,           23.5252,           27.9178,            1.3328,            5.7075,           -0.1979,            0.0410,            0.0923,
Ref 20,4.27763e-08,,,,,,1.1863e-02,4.1660e-03,4.8330e-05,4.3983e-06,6.6039e-08,,,,,,,,,,,
Sam 20,4.31247e-08,1.19144e-02,4.2146e-03,4.9097e-05,4.5011e-06,6.7836e-08,,,,,,            4.3433,           11.6759,           15.8737,           23.3983,           42.9450,            1.3289,            5.7099,           -0.1416,           -0.0877,           14.7119,
Ref 21,4.20829e-08,,,,,,1.1863e-02,4.1660e-03,4.8330e-05,4.3981e-06,6.4030e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.17385e-08,,,,,,1.1863e-02,4.1660e-03,4.8326e-05,4.3963e-06,6.5967e-08,
Sam 1,4.21299e-08,1.19143e-02,4.2146e-03,4.9092e-05,4.4998e-06,6.8805e-08,,,,,,            4.3468,           11.6781,           15.8347,           23.2417,           33.2190,            1.3325,            5.7121,           -0.1857,           -0.2450,            5.2412,
Ref 2,4.11206e-08,,,,,,1.1863e-02,4.1660e-03,4.8329e-05,4.3988e-06,6.7228e-08,,,,,,,,,,,
Sam 2,4.15000e-08,1.19142e-02,4.2146e-03,4.9095e-05,4.4996e-06,6.7824e-08,,,,,,            4.3426,           11.6602,           15.8508,           23.1297,           15.6353,            1.3288,            5.6943,           -0.1483,           -0.3191,          -11.8277,
Ref 3,4.04218e-08,,,,,,1.1863e-02,4.1661e-03,4.8329e-05,4.3969e-06,6.6325e-08,,,,,,,,,,,
Sam 3,4.08183e-08,1.19143e-02,4.2147e-03,4.9098e-05,4.5026e-06,6.7687e-08,,,,,,            4.3536,           11.6557,           15.8418,           23.8461,           15.2873,            1.3405,            5.6899,           -0.1640,            0.3897,          -12.1693,
Ref 4,3.97538e-08,,,,,,1.1863e-02,4.1661e-03,4.8336e-05,4.3985e-06,6.7016e-08,,,,,,,,,,,
Sam 4,4.01835e-08,1.19142e-02,4.2147e-03,4.9094e-05,4.5006e-06,6.8947e-08,,,,,,            4.3394,           11.6559,           15.7384,           23.1903,           35.4356,            1.3254,            5.6900,           -0.2513,           -0.2514,            7.4491,
Ref 5,3.91403e-08,,,,,,1.1863e-02,4.1661e-03,4.8332e-05,4.3986e-06,6.6152e-08,,,,,,,,,,,
Sam 5,3.95822e-08,1.19141e-02,4.2146e-03,4.9099e-05,4.5019e-06,6.8906e-08,,,,,,            4.3408,           11.6364,           15.8996,           23.6738,           35.8480,            1.3276,            5.6707,           -0.0752,            0.2595,            7.8869,
Ref 6,3.85261e-08,,,,,,1.1863e-02,4.1662e-03,4.8329e-05,4.3969e-06,6.6896e-08,,,,,,,,,,,
Sam 6,3.89866e-08,1.19141e-02,4.2147e-03,4.9097e-05,4.4989e-06,6.7982e-08,,,,,,            4.3427,           11.6521,           15.8084,           23.1699,           21.4310,            1.3291,            5.6863,           -0.1822,           -0.2640,           -6.1733,
Ref 7,3.79451e-08,,,,,,1.1863e-02,4.1662e-03,4.8336e-05,4.3971e-06,6.6210e-08,,,,,,,,,,,
Sam 7,3.84151e-08,1.19141e-02,4.2148e-03,4.9097e-05,4.5006e-06,6.8281e-08,,,,,,            4.3369,           11.6602,           15.8153,           23.5054,           23.9003,            1.3226,            5.6943,           -0.1773,            0.0480,           -3.7802,
Ref 8,3.73373e-08,,,,,,1.1863e-02,4.1662e-03,4.8330e-05,4.3974e-06,6.7173e-08,,,,,,,,,,,
Sam 8,3.78011e-08,1.19141e-02,4.2148e-03,4.9099e-05,4.4982e-06,6.7243e-08,,,,,,            4.3440,           11.6500,           15.8234,           22.8972,           11.2434,            1.3306,            5.6842,           -0.1667,           -0.5262,          -16.0828,
Ref 9,3.67673e-08,,,,,,1.1863e-02,4.1663e-03,4.8338e-05,4.3976e-06,6.5807e-08,,,,,,,,,,,
Sam 9,3.72347e-08,1.19141e-02,4.2148e-03,4.9098e-05,4.4983e-06,6.7992e-08,,,,,,            4.3470,           11.6620,           15.8214,           22.6552,           28.4426,            1.3333,            5.6962,           -0.1835,           -0.7865,            0.6250,
Ref 10,3.62392e-08,,,,,,1.1862e-02,4.1662e-03,4.8328e-05,4.3997e-06,6.6420e-08,,,,,,,,,,,
Sam 10,3.67297e-08,1.19140e-02,4.2148e-03,4.9103e-05,4.5003e-06,6.8814e-08,,,,,,            4.3442,           11.6621,           15.9378,           23.3806,           18.7571,            1.3304,            5.6963,           -0.0662,           -0.0778,           -8.7958,
Ref 11,3.56941e-08,,,,,,1.1862e-02,4.1662e-03,4.8336e-05,4.3953e-06,6.8692e-08,,,,,,,,,,,
Sam 11,3.61797e-08,1.19140e-02,4.2149e-03,4.9097e-05,4.4987e-06,6.9213e-08,,,,,,            4.3475,           11.6733,           15.7824,           23.3539,           25.3327,            1.3335,            5.7073,           -0.2333,           -0.1260,           -2.4231,
Ref 12,3.51474e-08,,,,,,1.1862e-02,4.1663e-03,4.8333e-05,4.3968e-06,6.6296e-08,,,,,,,,,,,
Sam 12,3.56085e-08,1.19141e-02,4.2149e-03,4.9100e-05,4.4986e-06,6.8902e-08,,,,,,            4.3582,           11.6627,           15.8527,           22.8657,           31.3233,            1.3452,            5.6967,           -0.1648,           -0.5819,            3.4147,
Ref 13,3.45854e-08,,,,,,1.1862e-02,4.1664e-03,4.8335e-05,4.3992e-06,6.7332e-08,,,,,,,,,,,
Sam 13,3.50755e-08,1.19140e-02,4.2150e-03,4.9100e-05,4.4995e-06,6.7681e-08,,,,,,            4.3480,           11.6585,           15.8130,           23.0784,           16.8099,            1.3345,            5.6926,           -0.1893,           -0.3658,          -10.6872,
Ref 14,3.40638e-08,,,,,,1.1862e-02,4.1664e-03,4.8337e-05,4.3967e-06,6.5780e-08,,,,,,,,,,,
Sam 14,3.45741e-08,1.19140e-02,4.2150e-03,4.9101e-05,4.4971e-06,6.9681e-08,,,,,,            4.3490,           11.6632,           15.7946,           22.8733,           58.9411,            1.3354,            5.6973,           -0.2131,           -0.5757,           30.2940,
Ref 15,3.35730e-08,,,,,,1.1862e-02,4.1664e-03,4.8339e-05,4.3964e-06,6.5826e-08,,,,,,,,,,,
Sam 15,3.40783e-08,1.19139e-02,4.2150e-03,4.9104e-05,4.4992e-06,6.8591e-08,,,,,,            4.3442,           11.6559,           15.8378,           23.6371,           31.2298,            1.3306,            5.6901,           -0.1585,            0.1851,            3.3517,
Ref 16,3.30613e-08,,,,,,1.1862e-02,4.1665e-03,4.8339e-05,4.3941e-06,6.7212e-08,,,,,,,,,,,
Sam 16,3.35874e-08,1.19140e-02,4.2150e-03,4.9105e-05,4.4988e-06,6.7640e-08,,,,,,            4.3410,           11.6469,           15.9336,           23.5365,            9.2149,            1.3274,            5.6811,           -0.0522,            0.1045,          -18.0475,
Ref 17,3.25687e-08,,,,,,1.1862e-02,4.1665e-03,4.8331e-05,4.3965e-06,6.6829e-08,,,,,,,,,,,
Sam 17,3.31056e-08,1.19140e-02,4.2151e-03,4.9103e-05,4.5005e-06,6.7646e-08,,,,,,            4.3484,           11.6602,           15.8611,           23.4979,            5.7277,            1.3349,            5.6943,           -0.1441,            0.0405,          -21.4735,
Ref 18,3.20811e-08,,,,,,1.1862e-02,4.1665e-03,4.8341e-05,4.3978e-06,6.7700e-08,,,,,,,,,,,
Sam 18,3.26289e-08,1.19140e-02,4.2151e-03,4.9105e-05,4.4994e-06,6.7916e-08,,,,,,            4.3565,           11.6531,           15.8613,           23.0839,           16.4579,            1.3437,            5.6873,           -0.1452,           -0.3500,          -11.0283,
Ref 19,3.16148e-08,,,,,,1.1862e-02,4.1666e-03,4.8335e-05,4.3981e-06,6.5921e-08,,,,,,,,,,,
Sam 19,3.21674e-08,1.19138e-02,4.2152e-03,4.9102e-05,4.4997e-06,6.9236e-08,,,,,,            4.3460,           11.6512,           15.8053,           23.1504,           39.6284,            1.3326,            5.6854,           -0.1877,           -0.2811,           11.5307,
Ref 20,3.11506e-08,,,,,,1.1862e-02,4.1666e-03,4.8341e-05,4.3977e-06,6.7282e-08,,,,,,,,,,,
Sam 20,3.17131e-08,1.19138e-02,4.2152e-03,4.9111e-05,4.5019e-06,6.8643e-08,,,,,,            4.3423,           11.6563,           15.9422,           23.7065,           12.3063,            1.3286,            5.6904,           -0.0542,            0.2521,          -15.0589,
Ref 21,3.07224e-08,,,,,,1.1862e-02,4.1667e-03,4.8341e-05,4.3975e-06,6.8342e-08,,,,,,,,,,,


