Nu Stable Isotope Analysis Program
Data Collected on Monday, November 06, 2023 at 10:02 with Stable 1.71.5 on PS019,Reanalyzed on Monday, November 06, 2023 at 11:01 with Stable 1.71.5 on PS019

Data File = Data_20854 IAEA-C2.txt,       Sample Weight = 478,                      Vial Location = 47,                       Initial Sam Beam = 2.5035e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.8335e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02613
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.85886e-08,,,,,,1.1863e-02,4.1642e-03,4.8312e-05,4.4013e-06,6.2973e-08,
Sam 1,9.76129e-08,1.18048e-02,4.1821e-03,4.8260e-05,4.4404e-06,6.3577e-08,,,,,,           -4.9652,            4.2529,           -1.1782,            8.7307,            5.3241,           -8.3214,           -1.6568,           -0.2261,            0.2049,            2.2563,
Ref 2,9.65710e-08,,,,,,1.1864e-02,4.1645e-03,4.8322e-05,4.4026e-06,6.3513e-08,,,,,,,,,,,
Sam 2,9.55607e-08,1.18051e-02,4.1822e-03,4.8263e-05,4.4399e-06,6.3335e-08,,,,,,           -4.9765,            4.2395,           -1.1696,            8.4400,           -2.1529,           -8.3329,           -1.6701,           -0.1927,           -0.0565,           -5.1596,
Ref 3,9.44487e-08,,,,,,1.1864e-02,4.1647e-03,4.8317e-05,4.4029e-06,6.3429e-08,,,,,,,,,,,
Sam 3,9.34906e-08,1.18051e-02,4.1824e-03,4.8265e-05,4.4404e-06,6.3253e-08,,,,,,           -4.9783,            4.2414,           -1.1233,            8.4689,           -1.5668,           -8.3350,           -1.6681,           -0.1464,           -0.0317,           -4.5772,
Ref 4,9.23524e-08,,,,,,1.1864e-02,4.1647e-03,4.8322e-05,4.4034e-06,6.3274e-08,,,,,,,,,,,
Sam 4,9.14736e-08,1.18052e-02,4.1825e-03,4.8265e-05,4.4417e-06,6.2890e-08,,,,,,           -4.9755,            4.2526,           -1.1654,            8.6855,          -10.7792,           -8.3324,           -1.6570,           -0.2023,            0.1607,          -13.7864,
Ref 5,9.03132e-08,,,,,,1.1864e-02,4.1647e-03,4.8320e-05,4.4036e-06,6.3885e-08,,,,,,,,,,,
Sam 5,8.95078e-08,1.18052e-02,4.1825e-03,4.8268e-05,4.4412e-06,6.4357e-08,,,,,,           -4.9778,            4.2420,           -1.0990,            8.4660,           15.7489,           -8.3344,           -1.6676,           -0.1231,           -0.0357,           12.6847,
Ref 6,8.83325e-08,,,,,,1.1864e-02,4.1649e-03,4.8323e-05,4.4042e-06,6.2823e-08,,,,,,,,,,,
Sam 6,8.76089e-08,1.18052e-02,4.1825e-03,4.8266e-05,4.4391e-06,6.3317e-08,,,,,,           -4.9772,            4.2386,           -1.1566,            8.0070,           -6.0591,           -8.3337,           -1.6710,           -0.1780,           -0.4841,           -9.0517,
Ref 7,8.64187e-08,,,,,,1.1864e-02,4.1649e-03,4.8320e-05,4.4034e-06,6.4603e-08,,,,,,,,,,,
Sam 7,8.57593e-08,1.18052e-02,4.1826e-03,4.8269e-05,4.4406e-06,6.4556e-08,,,,,,           -4.9730,            4.2477,           -1.0560,            8.3765,            7.5710,           -8.3295,           -1.6620,           -0.0906,           -0.1358,            4.5151,
Ref 8,8.45788e-08,,,,,,1.1864e-02,4.1649e-03,4.8320e-05,4.4041e-06,6.3527e-08,,,,,,,,,,,
Sam 8,8.39919e-08,1.18051e-02,4.1826e-03,4.8266e-05,4.4398e-06,6.4109e-08,,,,,,           -4.9783,            4.2352,           -1.1504,            8.3410,            5.0054,           -8.3347,           -1.6743,           -0.1674,           -0.1462,            1.9874,
Ref 9,8.27769e-08,,,,,,1.1864e-02,4.1650e-03,4.8323e-05,4.4021e-06,6.4058e-08,,,,,,,,,,,
Sam 9,8.22482e-08,1.18050e-02,4.1826e-03,4.8270e-05,4.4408e-06,6.3981e-08,,,,,,           -4.9770,            4.2365,           -1.1028,            8.5274,            1.8205,           -8.3333,           -1.6731,           -0.1224,            0.0361,           -1.1919,
Ref 10,8.10251e-08,,,,,,1.1864e-02,4.1650e-03,4.8323e-05,4.4043e-06,6.3667e-08,,,,,,,,,,,
Sam 10,8.05526e-08,1.18051e-02,4.1827e-03,4.8263e-05,4.4397e-06,6.4151e-08,,,,,,           -4.9737,            4.2371,           -1.2122,            8.0579,            0.3445,           -8.3299,           -1.6724,           -0.2359,           -0.4308,           -2.6683,
Ref 11,7.93269e-08,,,,,,1.1864e-02,4.1650e-03,4.8321e-05,4.4040e-06,6.4601e-08,,,,,,,,,,,
Sam 11,7.89081e-08,1.18050e-02,4.1827e-03,4.8270e-05,4.4400e-06,6.3573e-08,,,,,,           -4.9870,            4.2372,           -1.1285,            8.3296,          -11.0773,           -8.3440,           -1.6724,           -0.1384,           -0.1614,          -14.0417,
Ref 12,7.76868e-08,,,,,,1.1864e-02,4.1650e-03,4.8329e-05,4.4026e-06,6.3963e-08,,,,,,,,,,,
Sam 12,7.73035e-08,1.18050e-02,4.1827e-03,4.8270e-05,4.4405e-06,6.3829e-08,,,,,,           -4.9828,            4.2273,           -1.2233,            8.4753,           -8.6542,           -8.3393,           -1.6822,           -0.2279,            0.0027,          -11.6112,
Ref 13,7.60848e-08,,,,,,1.1864e-02,4.1651e-03,4.8330e-05,4.4038e-06,6.4818e-08,,,,,,,,,,,
Sam 13,7.57580e-08,1.18050e-02,4.1828e-03,4.8269e-05,4.4410e-06,6.4529e-08,,,,,,           -4.9816,            4.2303,           -1.2617,            8.4935,           -0.6172,           -8.3381,           -1.6792,           -0.2705,            0.0148,           -3.6052,
Ref 14,7.45374e-08,,,,,,1.1864e-02,4.1652e-03,4.8330e-05,4.4034e-06,6.4314e-08,,,,,,,,,,,
Sam 14,7.42499e-08,1.18049e-02,4.1828e-03,4.8270e-05,4.4407e-06,6.4640e-08,,,,,,           -4.9831,            4.2235,           -1.2332,            8.3073,            8.1377,           -8.3395,           -1.6860,           -0.2337,           -0.1563,            5.1386,
Ref 15,7.30346e-08,,,,,,1.1864e-02,4.1652e-03,4.8329e-05,4.4048e-06,6.3919e-08,,,,,,,,,,,
Sam 15,7.30485e-08,1.18046e-02,4.1826e-03,4.8266e-05,4.4392e-06,6.4453e-08,,,,,,           -4.9972,            4.2053,           -1.2121,            8.0279,            4.3709,           -8.3538,           -1.7041,           -0.1803,           -0.3970,            1.4338,
Ref 16,7.18229e-08,,,,,,1.1864e-02,4.1650e-03,4.8321e-05,4.4029e-06,6.4430e-08,,,,,,,,,,,
Sam 16,7.16174e-08,1.18046e-02,4.1827e-03,4.8267e-05,4.4401e-06,6.4819e-08,,,,,,           -4.9842,            4.2255,           -1.1555,            8.3804,            6.2185,           -8.3407,           -1.6840,           -0.1568,           -0.0878,            3.2223,
Ref 17,7.03373e-08,,,,,,1.1864e-02,4.1651e-03,4.8324e-05,4.4035e-06,6.4408e-08,,,,,,,,,,,
Sam 17,7.04429e-08,1.18044e-02,4.1826e-03,4.8265e-05,4.4396e-06,6.5024e-08,,,,,,           -4.9957,            4.1986,           -1.2116,            8.1955,            8.1083,           -8.3520,           -1.7108,           -0.1746,           -0.2175,            5.1718,
Ref 18,6.90072e-08,,,,,,1.1864e-02,4.1651e-03,4.8322e-05,4.4035e-06,6.4597e-08,,,,,,,,,,,
Sam 18,6.91238e-08,1.18044e-02,4.1826e-03,4.8265e-05,4.4387e-06,6.4211e-08,,,,,,           -4.9989,            4.1924,           -1.1576,            8.1020,           -4.6531,           -8.3551,           -1.7170,           -0.1113,           -0.2978,           -7.5370,
Ref 19,6.76436e-08,,,,,,1.1864e-02,4.1651e-03,4.8321e-05,4.4026e-06,6.4424e-08,,,,,,,,,,,
Sam 19,6.76436e-08,1.18045e-02,4.1827e-03,4.8271e-05,4.4392e-06,6.5032e-08,,,,,,           -4.9886,            4.2050,           -1.0658,            8.2427,            7.5104,           -8.3446,           -1.7044,           -0.0424,           -0.1836,            4.5553,
Ref 20,6.61748e-08,,,,,,1.1864e-02,4.1653e-03,4.8325e-05,4.4032e-06,6.4673e-08,,,,,,,,,,,
Sam 20,6.61836e-08,1.18047e-02,4.1829e-03,4.8274e-05,4.4404e-06,6.5824e-08,,,,,,           -4.9754,            4.2327,           -1.0660,            8.4517,            9.7857,           -8.3316,           -1.6769,           -0.0834,           -0.0314,            6.7552,
Ref 21,6.49833e-08,,,,,,1.1864e-02,4.1653e-03,4.8327e-05,4.4031e-06,6.5708e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.43115e-08,,,,,,1.1864e-02,4.1653e-03,4.8324e-05,4.4038e-06,6.4086e-08,
Sam 1,6.43162e-08,1.18047e-02,4.1830e-03,4.8276e-05,4.4383e-06,6.4899e-08,,,,,,           -4.9716,            4.2376,           -1.0755,            7.6451,            3.4352,           -8.3276,           -1.6720,           -0.1017,           -0.8410,            0.4100,
Ref 2,6.30872e-08,,,,,,1.1864e-02,4.1653e-03,4.8332e-05,4.4054e-06,6.5279e-08,,,,,,,,,,,
Sam 2,6.31461e-08,1.18046e-02,4.1830e-03,4.8270e-05,4.4391e-06,6.4836e-08,,,,,,           -4.9763,            4.2370,           -1.2807,            7.8145,           -2.4605,           -8.3327,           -1.6726,           -0.3016,           -0.6718,           -5.4617,
Ref 3,6.20002e-08,,,,,,1.1864e-02,4.1653e-03,4.8333e-05,4.4039e-06,6.4707e-08,,,,,,,,,,,
Sam 3,6.19399e-08,1.18047e-02,4.1830e-03,4.8273e-05,4.4408e-06,6.6162e-08,,,,,,           -4.9694,            4.2341,           -1.2192,            8.5681,           24.8194,           -8.3252,           -1.6755,           -0.2443,            0.0813,           21.7345,
Ref 4,6.07415e-08,,,,,,1.1864e-02,4.1654e-03,4.8330e-05,4.4023e-06,6.4409e-08,,,,,,,,,,,
Sam 4,6.08154e-08,1.18047e-02,4.1831e-03,4.8273e-05,4.4372e-06,6.4389e-08,,,,,,           -4.9712,            4.2331,           -1.1768,            7.9667,           -4.3583,           -8.3272,           -1.6764,           -0.1991,           -0.5132,           -7.3516,
Ref 5,5.96183e-08,,,,,,1.1864e-02,4.1654e-03,4.8329e-05,4.4020e-06,6.4938e-08,,,,,,,,,,,
Sam 5,5.97905e-08,1.18045e-02,4.1831e-03,4.8271e-05,4.4381e-06,6.5134e-08,,,,,,           -4.9781,            4.2323,           -1.2080,            7.9948,           -2.2174,           -8.3344,           -1.6772,           -0.2224,           -0.4837,           -5.2083,
Ref 6,5.85307e-08,,,,,,1.1864e-02,4.1654e-03,4.8330e-05,4.4038e-06,6.5626e-08,,,,,,,,,,,
Sam 6,5.87163e-08,1.18045e-02,4.1831e-03,4.8275e-05,4.4407e-06,6.4641e-08,,,,,,           -4.9735,            4.2337,           -1.1111,            8.5173,           -7.8424,           -8.3296,           -1.6759,           -0.1316,            0.0316,          -10.8240,
Ref 7,5.75117e-08,,,,,,1.1864e-02,4.1655e-03,4.8328e-05,4.4026e-06,6.4671e-08,,,,,,,,,,,
Sam 7,5.77088e-08,1.18045e-02,4.1830e-03,4.8275e-05,4.4403e-06,6.4763e-08,,,,,,           -4.9820,            4.2014,           -1.0972,            8.7371,           -2.2605,           -8.3375,           -1.7080,           -0.0772,            0.3140,           -5.1868,
Ref 8,5.64107e-08,,,,,,1.1864e-02,4.1656e-03,4.8329e-05,4.4011e-06,6.5153e-08,,,,,,,,,,,
Sam 8,5.66930e-08,1.18044e-02,4.1832e-03,4.8274e-05,4.4385e-06,6.4665e-08,,,,,,           -4.9886,            4.2223,           -1.1600,            8.1600,           -5.9184,           -8.3452,           -1.6872,           -0.1537,           -0.2999,           -8.8676,
Ref 9,5.53778e-08,,,,,,1.1864e-02,4.1656e-03,4.8331e-05,4.4040e-06,6.4945e-08,,,,,,,,,,,
Sam 9,5.55600e-08,1.18045e-02,4.1832e-03,4.8275e-05,4.4384e-06,6.4361e-08,,,,,,           -4.9708,            4.2356,           -1.1374,            8.0970,           -7.9357,           -8.3267,           -1.6740,           -0.1626,           -0.3889,          -10.9236,
Ref 10,5.44084e-08,,,,,,1.1863e-02,4.1655e-03,4.8329e-05,4.4015e-06,6.4807e-08,,,,,,,,,,,
Sam 10,5.46075e-08,1.18045e-02,4.1832e-03,4.8272e-05,4.4374e-06,6.5415e-08,,,,,,           -4.9619,            4.2416,           -1.1648,            8.0749,            5.0622,           -8.3175,           -1.6680,           -0.2051,           -0.4228,            2.0139,
Ref 11,5.34501e-08,,,,,,1.1863e-02,4.1656e-03,4.8327e-05,4.4022e-06,6.5370e-08,,,,,,,,,,,
Sam 11,5.37351e-08,1.18044e-02,4.1832e-03,4.8275e-05,4.4386e-06,6.5662e-08,,,,,,           -4.9785,            4.2309,           -1.1317,            8.2653,            4.9098,           -8.3348,           -1.6786,           -0.1442,           -0.2127,            1.9008,
Ref 12,5.24571e-08,,,,,,1.1864e-02,4.1657e-03,4.8333e-05,4.4023e-06,6.5312e-08,,,,,,,,,,,
Sam 12,5.28395e-08,1.18043e-02,4.1833e-03,4.8272e-05,4.4385e-06,6.6413e-08,,,,,,           -4.9868,            4.2349,           -1.2627,            8.4066,           16.0804,           -8.3437,           -1.6747,           -0.2706,           -0.0805,           13.0391,
Ref 13,5.15426e-08,,,,,,1.1864e-02,4.1657e-03,4.8334e-05,4.4008e-06,6.5413e-08,,,,,,,,,,,
Sam 13,5.18786e-08,1.18044e-02,4.1834e-03,4.8280e-05,4.4407e-06,6.5368e-08,,,,,,           -4.9744,            4.2376,           -1.1296,            9.0952,           -2.2538,           -8.3307,           -1.6720,           -0.1529,            0.5968,           -5.2589,
Ref 14,5.06569e-08,,,,,,1.1863e-02,4.1657e-03,4.8335e-05,4.4006e-06,6.5621e-08,,,,,,,,,,,
Sam 14,5.10102e-08,1.18043e-02,4.1834e-03,4.8276e-05,4.4381e-06,6.5724e-08,,,,,,           -4.9779,            4.2357,           -1.1836,            8.0393,            2.7064,           -8.3343,           -1.6739,           -0.2014,           -0.4463,           -0.3060,
Ref 15,4.97899e-08,,,,,,1.1863e-02,4.1658e-03,4.8332e-05,4.4049e-06,6.5471e-08,,,,,,,,,,,
Sam 15,5.01637e-08,1.18044e-02,4.1834e-03,4.8278e-05,4.4393e-06,6.4373e-08,,,,,,           -4.9689,            4.2280,           -1.1122,            7.8786,          -22.2555,           -8.3245,           -1.6815,           -0.1318,           -0.5903,          -25.1876,
Ref 16,4.89430e-08,,,,,,1.1863e-02,4.1658e-03,4.8331e-05,4.4043e-06,6.6213e-08,,,,,,,,,,,
Sam 16,4.93246e-08,1.18043e-02,4.1834e-03,4.8275e-05,4.4386e-06,6.5236e-08,,,,,,           -4.9747,            4.2275,           -1.1979,            7.8974,          -11.6348,           -8.3307,           -1.6820,           -0.2111,           -0.5707,          -14.5917,
Ref 17,4.81114e-08,,,,,,1.1863e-02,4.1658e-03,4.8334e-05,4.4034e-06,6.5792e-08,,,,,,,,,,,
Sam 17,4.85060e-08,1.18043e-02,4.1835e-03,4.8276e-05,4.4366e-06,6.4804e-08,,,,,,           -4.9711,            4.2402,           -1.2113,            7.6981,           -9.3420,           -8.3273,           -1.6694,           -0.2407,           -0.7936,          -12.3341,
Ref 18,4.72972e-08,,,,,,1.1863e-02,4.1658e-03,4.8336e-05,4.4019e-06,6.5031e-08,,,,,,,,,,,
Sam 18,4.77068e-08,1.18043e-02,4.1835e-03,4.8282e-05,4.4416e-06,6.6006e-08,,,,,,           -4.9772,            4.2300,           -1.1241,            8.9440,            5.8149,           -8.3334,           -1.6795,           -0.1371,            0.4621,            2.8035,
Ref 19,4.64968e-08,,,,,,1.1863e-02,4.1659e-03,4.8335e-05,4.4025e-06,6.6227e-08,,,,,,,,,,,
Sam 19,4.69258e-08,1.18042e-02,4.1835e-03,4.8285e-05,4.4390e-06,6.3907e-08,,,,,,           -4.9790,            4.2200,           -1.0028,            8.4610,          -35.3524,           -8.3350,           -1.6895,           -0.0040,            0.0031,          -38.2199,
Ref 20,4.57239e-08,,,,,,1.1863e-02,4.1660e-03,4.8331e-05,4.4010e-06,6.6271e-08,,,,,,,,,,,
Sam 20,4.61679e-08,1.18042e-02,4.1836e-03,4.8276e-05,4.4419e-06,6.5344e-08,,,,,,           -4.9742,            4.2217,           -1.1667,            9.0727,          -18.1032,           -8.3299,           -1.6879,           -0.1746,            0.6064,          -21.0301,
Ref 21,4.49672e-08,,,,,,1.1863e-02,4.1660e-03,4.8334e-05,4.4029e-06,6.6830e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.45947e-08,,,,,,1.1863e-02,4.1659e-03,4.8340e-05,4.4010e-06,6.5724e-08,
Sam 1,4.50583e-08,1.18042e-02,4.1836e-03,4.8275e-05,4.4395e-06,6.4222e-08,,,,,,           -4.9721,            4.2433,           -1.3047,            8.7938,          -18.9833,           -8.3284,           -1.6663,           -0.3361,            0.2867,          -21.9512,
Ref 2,4.38631e-08,,,,,,1.1863e-02,4.1660e-03,4.8337e-05,4.4007e-06,6.5202e-08,,,,,,,,,,,
Sam 2,4.43370e-08,1.18041e-02,4.1836e-03,4.8284e-05,4.4408e-06,6.6126e-08,,,,,,           -4.9785,            4.2279,           -1.0485,            8.9584,           15.9104,           -8.3347,           -1.6816,           -0.0579,            0.4805,           12.8744,
Ref 3,4.31449e-08,,,,,,1.1863e-02,4.1661e-03,4.8332e-05,4.4020e-06,6.4978e-08,,,,,,,,,,,
Sam 3,4.36300e-08,1.18041e-02,4.1836e-03,4.8285e-05,4.4393e-06,6.6083e-08,,,,,,           -4.9752,            4.2160,           -1.0351,            8.5232,            2.8277,           -8.3308,           -1.6935,           -0.0362,            0.0728,           -0.1494,
Ref 4,4.24433e-08,,,,,,1.1863e-02,4.1661e-03,4.8338e-05,4.4015e-06,6.6831e-08,,,,,,,,,,,
Sam 4,4.29482e-08,1.18041e-02,4.1837e-03,4.8282e-05,4.4385e-06,6.6383e-08,,,,,,           -4.9750,            4.2184,           -1.1947,            8.2776,            1.2542,           -8.3307,           -1.6910,           -0.1986,           -0.1757,           -1.7232,
Ref 5,4.17591e-08,,,,,,1.1863e-02,4.1661e-03,4.8341e-05,4.4025e-06,6.5759e-08,,,,,,,,,,,
Sam 5,4.22731e-08,1.18041e-02,4.1837e-03,4.8280e-05,4.4386e-06,6.6034e-08,,,,,,           -4.9725,            4.2272,           -1.2501,            8.2705,            3.4692,           -8.3283,           -1.6823,           -0.2653,           -0.2001,            0.4654,
Ref 6,4.10887e-08,,,,,,1.1863e-02,4.1661e-03,4.8339e-05,4.4019e-06,6.5853e-08,,,,,,,,,,,
Sam 6,4.16239e-08,1.18041e-02,4.1837e-03,4.8280e-05,4.4384e-06,6.5260e-08,,,,,,           -4.9601,            4.2203,           -1.1404,            8.1559,           -3.8519,           -8.3149,           -1.6892,           -0.1615,           -0.3001,           -6.8336,
Ref 7,4.04846e-08,,,,,,1.1863e-02,4.1661e-03,4.8332e-05,4.4031e-06,6.5166e-08,,,,,,,,,,,
Sam 7,4.09938e-08,1.18039e-02,4.1837e-03,4.8278e-05,4.4388e-06,6.4924e-08,,,,,,           -4.9751,            4.2314,           -1.1549,            8.1903,           -7.7451,           -8.3311,           -1.6782,           -0.1714,           -0.2880,          -10.7208,
Ref 8,3.98103e-08,,,,,,1.1863e-02,4.1661e-03,4.8336e-05,4.4023e-06,6.5699e-08,,,,,,,,,,,
Sam 8,4.03638e-08,1.18038e-02,4.1837e-03,4.8288e-05,4.4393e-06,6.5654e-08,,,,,,           -4.9802,            4.2259,           -1.0719,            8.3238,           -1.4180,           -8.3365,           -1.6837,           -0.0776,           -0.1446,           -4.3964,
Ref 9,3.91655e-08,,,,,,1.1863e-02,4.1662e-03,4.8344e-05,4.4030e-06,6.5795e-08,,,,,,,,,,,
Sam 9,3.97742e-08,1.18039e-02,4.1837e-03,4.8284e-05,4.4407e-06,6.3646e-08,,,,,,           -4.9737,            4.2146,           -1.1586,            8.5850,          -31.0605,           -8.3292,           -1.6948,           -0.1602,            0.1367,          -33.9359,
Ref 10,3.85572e-08,,,,,,1.1863e-02,4.1661e-03,4.8335e-05,4.4029e-06,6.5576e-08,,,,,,,,,,,
Sam 10,3.91297e-08,1.18039e-02,4.1837e-03,4.8282e-05,4.4381e-06,6.6605e-08,,,,,,           -4.9714,            4.2160,           -1.1802,            8.2034,           16.0373,           -8.3268,           -1.6935,           -0.1854,           -0.2443,           13.0169,
Ref 11,3.79485e-08,,,,,,1.1863e-02,4.1662e-03,4.8342e-05,4.4012e-06,6.5530e-08,,,,,,,,,,,
Sam 11,3.85176e-08,1.18038e-02,4.1838e-03,4.8288e-05,4.4382e-06,6.6670e-08,,,,,,           -4.9709,            4.2250,           -1.1082,            8.4942,           21.1950,           -8.3265,           -1.6845,           -0.1227,            0.0261,           18.1407,
Ref 12,3.73724e-08,,,,,,1.1863e-02,4.1662e-03,4.8341e-05,4.4004e-06,6.5038e-08,,,,,,,,,,,
Sam 12,3.79522e-08,1.18038e-02,4.1838e-03,4.8286e-05,4.4382e-06,6.6819e-08,,,,,,           -4.9673,            4.2169,           -1.1097,            8.3037,           14.9039,           -8.3224,           -1.6926,           -0.1201,           -0.1467,           11.8804,
Ref 13,3.67898e-08,,,,,,1.1863e-02,4.1662e-03,4.8338e-05,4.4030e-06,6.6651e-08,,,,,,,,,,,
Sam 13,3.73902e-08,1.18037e-02,4.1838e-03,4.8281e-05,4.4366e-06,6.5432e-08,,,,,,           -4.9742,            4.2098,           -1.2016,            7.5924,           -3.6320,           -8.3295,           -1.6997,           -0.1979,           -0.8379,           -6.5789,
Ref 14,3.62541e-08,,,,,,1.1863e-02,4.1663e-03,4.8341e-05,4.4033e-06,6.4677e-08,,,,,,,,,,,
Sam 14,3.68660e-08,1.18037e-02,4.1838e-03,4.8284e-05,4.4388e-06,6.7299e-08,,,,,,           -4.9715,            4.2197,           -1.1684,            8.4166,           33.6168,           -8.3270,           -1.6898,           -0.1772,           -0.0403,           30.5368,
Ref 15,3.57024e-08,,,,,,1.1863e-02,4.1662e-03,4.8341e-05,4.4001e-06,6.5551e-08,,,,,,,,,,,
Sam 15,3.63210e-08,1.18036e-02,4.1838e-03,4.8290e-05,4.4385e-06,6.5724e-08,,,,,,           -4.9785,            4.2138,           -1.0302,            8.4943,           -0.2345,           -8.3342,           -1.6957,           -0.0258,            0.0485,           -3.1947,
Ref 16,3.51246e-08,,,,,,1.1863e-02,4.1663e-03,4.8338e-05,4.4022e-06,6.5932e-08,,,,,,,,,,,
Sam 16,3.57548e-08,1.18036e-02,4.1839e-03,4.8287e-05,4.4369e-06,6.6415e-08,,,,,,           -4.9770,            4.2094,           -1.0654,            7.9501,            4.5428,           -8.3325,           -1.7001,           -0.0583,           -0.4823,            1.5755,
Ref 17,3.46030e-08,,,,,,1.1863e-02,4.1663e-03,4.8339e-05,4.4016e-06,6.6300e-08,,,,,,,,,,,
Sam 17,3.52563e-08,1.18036e-02,4.1839e-03,4.8284e-05,4.4387e-06,6.6553e-08,,,,,,           -4.9779,            4.2178,           -1.1528,            8.5677,            6.5068,           -8.3337,           -1.6917,           -0.1531,            0.1133,            3.5181,
Ref 18,3.40724e-08,,,,,,1.1863e-02,4.1663e-03,4.8341e-05,4.4003e-06,6.5942e-08,,,,,,,,,,,
Sam 18,3.47183e-08,1.18036e-02,4.1839e-03,4.8286e-05,4.4367e-06,6.6023e-08,,,,,,           -4.9803,            4.2141,           -1.2601,            8.1161,            7.8133,           -8.3362,           -1.6953,           -0.2544,           -0.3271,            4.8306,
Ref 19,3.35731e-08,,,,,,1.1863e-02,4.1664e-03,4.8353e-05,4.4016e-06,6.5075e-08,,,,,,,,,,,
Sam 19,3.42207e-08,1.18037e-02,4.1840e-03,4.8287e-05,4.4403e-06,6.6017e-08,,,,,,           -4.9666,            4.2164,           -1.2630,            8.7101,            9.3968,           -8.3217,           -1.6931,           -0.2737,            0.2572,            6.3901,
Ref 20,3.30781e-08,,,,,,1.1863e-02,4.1665e-03,4.8343e-05,4.4022e-06,6.5735e-08,,,,,,,,,,,
Sam 20,3.37255e-08,1.18036e-02,4.1841e-03,4.8289e-05,4.4378e-06,6.6885e-08,,,,,,           -4.9649,            4.2170,           -1.1605,            8.2225,           22.6574,           -8.3199,           -1.6926,           -0.1734,           -0.2273,           19.6083,
