Nu Stable Isotope Analysis Program
Data Collected on Thursday, December 21, 2023 at 08:15 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, December 21, 2023 at 09:14 with Stable 1.71.5 on PS019

Data File = Data_21466 20231220 clumped Oman 5 CH 5.txt,Sample Weight = 410,                      Vial Location = 9,                        Initial Sam Beam = 2.4240e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.3230e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01799
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.37024e-08,,,,,,1.1858e-02,4.1647e-03,4.8394e-05,4.4450e-06,7.4672e-08,
Sam 1,7.30773e-08,1.19091e-02,4.2130e-03,4.9157e-05,4.5523e-06,8.0374e-08,,,,,,            4.2912,           11.5865,           15.6940,           23.6261,           72.9903,            1.2766,            5.6211,           -0.1782,            0.3116,           44.1829,
Ref 2,7.22703e-08,,,,,,1.1858e-02,4.1649e-03,4.8401e-05,4.4496e-06,7.5145e-08,,,,,,,,,,,
Sam 2,7.16489e-08,1.19092e-02,4.2131e-03,4.9158e-05,4.5544e-06,8.0247e-08,,,,,,            4.2781,           11.5742,           15.6336,           23.3788,           65.1048,            1.2631,            5.6089,           -0.2123,            0.0942,           36.5480,
Ref 3,7.08088e-08,,,,,,1.1859e-02,4.1650e-03,4.8401e-05,4.4511e-06,7.5542e-08,,,,,,,,,,,
Sam 3,7.02393e-08,1.19093e-02,4.2132e-03,4.9159e-05,4.5562e-06,8.0760e-08,,,,,,            4.2810,           11.5689,           15.6617,           23.4950,           69.0796,            1.2663,            5.6036,           -0.1824,            0.2182,           40.4239,
Ref 4,6.93802e-08,,,,,,1.1859e-02,4.1651e-03,4.8402e-05,4.4521e-06,7.5541e-08,,,,,,,,,,,
Sam 4,6.88631e-08,1.19093e-02,4.2133e-03,4.9161e-05,4.5581e-06,8.0112e-08,,,,,,            4.2733,           11.5671,           15.6718,           23.4832,           62.3966,            1.2581,            5.6018,           -0.1627,            0.2103,           33.9321,
Ref 5,6.80045e-08,,,,,,1.1859e-02,4.1651e-03,4.8404e-05,4.4549e-06,7.5270e-08,,,,,,,,,,,
Sam 5,6.75300e-08,1.19093e-02,4.2133e-03,4.9167e-05,4.5571e-06,7.9710e-08,,,,,,            4.2707,           11.5783,           15.7920,           23.2898,           61.7391,            1.2550,            5.6130,           -0.0528,           -0.0010,           33.2724,
Ref 6,6.66599e-08,,,,,,1.1859e-02,4.1651e-03,4.8402e-05,4.4518e-06,7.4876e-08,,,,,,,,,,,
Sam 6,6.62268e-08,1.19093e-02,4.2134e-03,4.9166e-05,4.5575e-06,8.0947e-08,,,,,,            4.2774,           11.5719,           15.7841,           23.3651,           77.2686,            1.2623,            5.6066,           -0.0610,            0.0854,           48.3913,
Ref 7,6.53551e-08,,,,,,1.1859e-02,4.1652e-03,4.8402e-05,4.4550e-06,7.5411e-08,,,,,,,,,,,
Sam 7,6.49562e-08,1.19093e-02,4.2134e-03,4.9164e-05,4.5573e-06,8.1311e-08,,,,,,            4.2807,           11.5706,           15.7103,           22.9733,           79.4832,            1.2659,            5.6053,           -0.1358,           -0.2948,           50.5456,
Ref 8,6.40818e-08,,,,,,1.1859e-02,4.1652e-03,4.8406e-05,4.4549e-06,7.5235e-08,,,,,,,,,,,
Sam 8,6.37226e-08,1.19093e-02,4.2135e-03,4.9166e-05,4.5573e-06,8.0427e-08,,,,,,            4.2796,           11.5739,           15.6855,           23.1145,           63.4711,            1.2646,            5.6086,           -0.1623,           -0.1634,           34.9572,
Ref 9,6.28459e-08,,,,,,1.1859e-02,4.1653e-03,4.8407e-05,4.4538e-06,7.6026e-08,,,,,,,,,,,
Sam 9,6.25244e-08,1.19093e-02,4.2136e-03,4.9166e-05,4.5568e-06,8.0978e-08,,,,,,            4.2837,           11.5836,           15.7030,           23.0713,           59.2137,            1.2687,            5.6183,           -0.1589,           -0.2249,           30.7899,
Ref 10,6.16434e-08,,,,,,1.1859e-02,4.1653e-03,4.8405e-05,4.4543e-06,7.6885e-08,,,,,,,,,,,
Sam 10,6.13516e-08,1.19092e-02,4.2135e-03,4.9170e-05,4.5582e-06,8.1258e-08,,,,,,            4.2719,           11.5729,           15.7669,           23.2321,           61.8900,            1.2565,            5.6076,           -0.0734,           -0.0465,           33.4290,
Ref 11,6.04659e-08,,,,,,1.1859e-02,4.1653e-03,4.8409e-05,4.4550e-06,7.6153e-08,,,,,,,,,,,
Sam 11,6.02131e-08,1.19092e-02,4.2136e-03,4.9167e-05,4.5585e-06,8.1304e-08,,,,,,            4.2721,           11.5790,           15.6872,           23.1823,           68.3785,            1.2565,            5.6136,           -0.1580,           -0.1072,           39.7310,
Ref 12,5.93270e-08,,,,,,1.1858e-02,4.1654e-03,4.8408e-05,4.4555e-06,7.6047e-08,,,,,,,,,,,
Sam 12,5.91027e-08,1.19092e-02,4.2136e-03,4.9168e-05,4.5577e-06,8.0638e-08,,,,,,            4.2747,           11.5591,           15.6918,           23.2164,           61.3215,            1.2599,            5.5939,           -0.1367,           -0.0346,           32.9003,
Ref 13,5.82005e-08,,,,,,1.1859e-02,4.1655e-03,4.8409e-05,4.4531e-06,7.5909e-08,,,,,,,,,,,
Sam 13,5.80092e-08,1.19092e-02,4.2136e-03,4.9166e-05,4.5567e-06,8.1434e-08,,,,,,            4.2709,           11.5552,           15.6464,           23.0334,           68.7992,            1.2560,            5.5900,           -0.1738,           -0.2058,           40.1899,
Ref 14,5.71163e-08,,,,,,1.1859e-02,4.1655e-03,4.8408e-05,4.4551e-06,7.6480e-08,,,,,,,,,,,
Sam 14,5.69533e-08,1.19092e-02,4.2137e-03,4.9170e-05,4.5570e-06,8.1320e-08,,,,,,            4.2733,           11.5760,           15.7419,           23.0011,           60.0690,            1.2578,            5.6107,           -0.1024,           -0.2785,           31.6490,
Ref 15,5.60569e-08,,,,,,1.1858e-02,4.1655e-03,4.8408e-05,4.4540e-06,7.6949e-08,,,,,,,,,,,
Sam 15,5.59257e-08,1.19092e-02,4.2137e-03,4.9171e-05,4.5585e-06,8.1507e-08,,,,,,            4.2764,           11.5727,           15.7427,           23.4111,           65.4046,            1.2613,            5.6074,           -0.1016,            0.1287,           36.8448,
Ref 16,5.50299e-08,,,,,,1.1858e-02,4.1655e-03,4.8410e-05,4.4544e-06,7.6049e-08,,,,,,,,,,,
Sam 16,5.49229e-08,1.19092e-02,4.2137e-03,4.9176e-05,4.5574e-06,8.2350e-08,,,,,,            4.2761,           11.5785,           15.7988,           23.1073,           78.8106,            1.2607,            5.6132,           -0.0517,           -0.1796,           49.8800,
Ref 17,5.40233e-08,,,,,,1.1858e-02,4.1656e-03,4.8413e-05,4.4545e-06,7.6625e-08,,,,,,,,,,,
Sam 17,5.39479e-08,1.19091e-02,4.2138e-03,4.9176e-05,4.5569e-06,8.0839e-08,,,,,,            4.2712,           11.5748,           15.7786,           22.8273,           61.2143,            1.2557,            5.6095,           -0.0630,           -0.4458,           32.7683,
Ref 18,5.30454e-08,,,,,,1.1858e-02,4.1655e-03,4.8410e-05,4.4559e-06,7.5719e-08,,,,,,,,,,,
Sam 18,5.29944e-08,1.19091e-02,4.2138e-03,4.9171e-05,4.5582e-06,8.1369e-08,,,,,,            4.2684,           11.5844,           15.6565,           23.1648,           74.9427,            1.2524,            5.6190,           -0.1897,           -0.1350,           46.1123,
Ref 19,5.20918e-08,,,,,,1.1858e-02,4.1656e-03,4.8416e-05,4.4541e-06,7.5673e-08,,,,,,,,,,,
Sam 19,5.20671e-08,1.19092e-02,4.2138e-03,4.9171e-05,4.5575e-06,8.2221e-08,,,,,,            4.2833,           11.5712,           15.6191,           23.1430,           84.1365,            1.2687,            5.6059,           -0.2289,           -0.1302,           55.0698,
Ref 20,5.11699e-08,,,,,,1.1858e-02,4.1656e-03,4.8414e-05,4.4547e-06,7.6009e-08,,,,,,,,,,,
Sam 20,5.11606e-08,1.19091e-02,4.2138e-03,4.9177e-05,4.5572e-06,8.1559e-08,,,,,,            4.2734,           11.5600,           15.6864,           22.9548,           70.5403,            1.2585,            5.5948,           -0.1416,           -0.2920,           41.8719,
Ref 21,5.02622e-08,,,,,,1.1858e-02,4.1657e-03,4.8421e-05,4.4552e-06,7.6364e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.98145e-08,,,,,,1.1858e-02,4.1657e-03,4.8415e-05,4.4547e-06,7.6322e-08,
Sam 1,4.98327e-08,1.19091e-02,4.2139e-03,4.9175e-05,4.5576e-06,8.1357e-08,,,,,,            4.2763,           11.5717,           15.7060,           23.0739,           63.8567,            1.2612,            5.6063,           -0.1366,           -0.1987,           35.3406,
Ref 2,4.89340e-08,,,,,,1.1858e-02,4.1657e-03,4.8414e-05,4.4548e-06,7.6628e-08,,,,,,,,,,,
Sam 2,4.89711e-08,1.19091e-02,4.2139e-03,4.9180e-05,4.5596e-06,8.2785e-08,,,,,,            4.2777,           11.5591,           15.8213,           23.3948,           88.9322,            1.2631,            5.5939,           -0.0123,            0.1398,           59.7682,
Ref 3,4.80725e-08,,,,,,1.1858e-02,4.1657e-03,4.8413e-05,4.4559e-06,7.5409e-08,,,,,,,,,,,
Sam 3,4.81327e-08,1.19090e-02,4.2139e-03,4.9176e-05,4.5576e-06,8.3217e-08,,,,,,            4.2684,           11.5634,           15.7336,           23.1989,           93.0734,            1.2531,            5.5981,           -0.0933,           -0.0601,           63.8002,
Ref 4,4.72408e-08,,,,,,1.1858e-02,4.1657e-03,4.8415e-05,4.4526e-06,7.6865e-08,,,,,,,,,,,
Sam 4,4.73149e-08,1.19089e-02,4.2139e-03,4.9177e-05,4.5568e-06,8.2539e-08,,,,,,            4.2663,           11.5609,           15.6822,           23.1259,           75.4705,            1.2509,            5.5957,           -0.1393,           -0.1266,           46.6761,
Ref 5,4.64226e-08,,,,,,1.1858e-02,4.1657e-03,4.8421e-05,4.4549e-06,7.6625e-08,,,,,,,,,,,
Sam 5,4.65148e-08,1.19089e-02,4.2140e-03,4.9182e-05,4.5558e-06,8.2693e-08,,,,,,            4.2723,           11.5761,           15.7257,           22.9826,           80.9878,            1.2568,            5.6108,           -0.1175,           -0.2967,           52.0078,
Ref 6,4.56281e-08,,,,,,1.1858e-02,4.1658e-03,4.8420e-05,4.4520e-06,7.6368e-08,,,,,,,,,,,
Sam 6,4.57394e-08,1.19089e-02,4.2140e-03,4.9183e-05,4.5572e-06,8.2133e-08,,,,,,            4.2754,           11.5518,           15.7798,           23.2568,           72.0038,            1.2609,            5.5866,           -0.0437,            0.0193,           43.3107,
Ref 7,4.48523e-08,,,,,,1.1858e-02,4.1658e-03,4.8417e-05,4.4554e-06,7.6868e-08,,,,,,,,,,,
Sam 7,4.49743e-08,1.19089e-02,4.2140e-03,4.9182e-05,4.5563e-06,8.2115e-08,,,,,,            4.2754,           11.5626,           15.7570,           22.7664,           67.6871,            1.2605,            5.5973,           -0.0766,           -0.4812,           39.0877,
Ref 8,4.40888e-08,,,,,,1.1858e-02,4.1658e-03,4.8422e-05,4.4545e-06,7.6950e-08,,,,,,,,,,,
Sam 8,4.42262e-08,1.19088e-02,4.2140e-03,4.9182e-05,4.5566e-06,8.2820e-08,,,,,,            4.2707,           11.5636,           15.7030,           23.1763,           80.0193,            1.2555,            5.5984,           -0.1260,           -0.0827,           51.0927,
Ref 9,4.33407e-08,,,,,,1.1858e-02,4.1658e-03,4.8421e-05,4.4523e-06,7.6413e-08,,,,,,,,,,,
Sam 9,4.35017e-08,1.19088e-02,4.2140e-03,4.9183e-05,4.5560e-06,8.2551e-08,,,,,,            4.2784,           11.5575,           15.7967,           23.1190,           68.0215,            1.2639,            5.5923,           -0.0357,           -0.1267,           39.4200,
Ref 10,4.26174e-08,,,,,,1.1858e-02,4.1659e-03,4.8415e-05,4.4537e-06,7.8189e-08,,,,,,,,,,,
Sam 10,4.27924e-08,1.19087e-02,4.2140e-03,4.9181e-05,4.5561e-06,8.2654e-08,,,,,,            4.2769,           11.5531,           15.7708,           23.1568,           69.7062,            1.2625,            5.5879,           -0.0554,           -0.0810,           41.0702,
Ref 11,4.19095e-08,,,,,,1.1858e-02,4.1659e-03,4.8418e-05,4.4522e-06,7.6331e-08,,,,,,,,,,,
Sam 11,4.21015e-08,1.19088e-02,4.2141e-03,4.9186e-05,4.5555e-06,8.3619e-08,,,,,,            4.2794,           11.5536,           15.7809,           23.0646,           92.4222,            1.2652,            5.5884,           -0.0486,           -0.1721,           63.1742,
Ref 12,4.12149e-08,,,,,,1.1858e-02,4.1660e-03,4.8426e-05,4.4535e-06,7.6762e-08,,,,,,,,,,,
Sam 12,4.14193e-08,1.19087e-02,4.2140e-03,4.9184e-05,4.5532e-06,8.1836e-08,,,,,,            3.4292,            9.2490,           12.4917,           17.7260,           32.4993,            0.4398,            3.2968,           -0.1743,           -0.8419,           10.2838,
Ref 13,4.21726e-08,,,,,,1.1878e-02,4.1847e-03,4.8725e-05,4.4938e-06,8.1702e-08,,,,,,,,,,,
Sam 13,4.09338e-08,1.19087e-02,4.2141e-03,4.9188e-05,4.5544e-06,8.3986e-08,,,,,,            3.4229,            9.2330,           12.5120,           18.1854,           60.4959,            0.4336,            3.2809,           -0.1321,           -0.3591,           37.7174,
Ref 14,4.00460e-08,,,,,,1.1858e-02,4.1659e-03,4.8427e-05,4.4512e-06,7.6556e-08,,,,,,,,,,,
Sam 14,4.02833e-08,1.19087e-02,4.2141e-03,4.9185e-05,4.5550e-06,8.2271e-08,,,,,,            4.2818,           11.5697,           15.7568,           23.2702,           72.7455,            1.2671,            5.6044,           -0.0903,           -0.0030,           43.9891,
Ref 15,3.94030e-08,,,,,,1.1858e-02,4.1660e-03,4.8417e-05,4.4517e-06,7.6830e-08,,,,,,,,,,,
Sam 15,3.96462e-08,1.19086e-02,4.2141e-03,4.9183e-05,4.5565e-06,8.1911e-08,,,,,,            4.2796,           11.5471,           15.7648,           23.7963,           68.2952,            1.2656,            5.5819,           -0.0582,            0.5560,           39.7062,
Ref 16,3.87678e-08,,,,,,1.1858e-02,4.1660e-03,4.8422e-05,4.4495e-06,7.6516e-08,,,,,,,,,,,
Sam 16,3.90209e-08,1.19085e-02,4.2141e-03,4.9182e-05,4.5541e-06,8.5189e-08,,,,,,            4.2678,           11.5482,           15.6762,           23.1204,          117.9321,            1.2530,            5.5830,           -0.1344,           -0.1069,           88.0260,
Ref 17,3.81481e-08,,,,,,1.1858e-02,4.1660e-03,4.8424e-05,4.4529e-06,7.5884e-08,,,,,,,,,,,
Sam 17,3.84124e-08,1.19086e-02,4.2141e-03,4.9184e-05,4.5549e-06,8.3545e-08,,,,,,            4.2738,           11.5612,           15.6734,           23.0829,           91.7527,            1.2589,            5.5960,           -0.1559,           -0.1692,           62.5133,
Ref 18,3.75424e-08,,,,,,1.1858e-02,4.1659e-03,4.8425e-05,4.4512e-06,7.7175e-08,,,,,,,,,,,
Sam 18,3.78123e-08,1.19086e-02,4.2141e-03,4.9185e-05,4.5549e-06,8.1996e-08,,,,,,            4.2791,           11.5631,           15.7146,           23.2506,           58.8002,            1.2645,            5.5978,           -0.1227,           -0.0091,           30.4337,
Ref 19,3.69459e-08,,,,,,1.1858e-02,4.1660e-03,4.8423e-05,4.4515e-06,7.7714e-08,,,,,,,,,,,
Sam 19,3.72251e-08,1.19086e-02,4.2142e-03,4.9193e-05,4.5555e-06,8.3664e-08,,,,,,            4.2771,           11.5617,           15.8818,           23.6649,           73.3380,            1.2624,            5.5964,            0.0453,            0.3986,           44.5871,
Ref 20,3.63644e-08,,,,,,1.1858e-02,4.1660e-03,4.8424e-05,4.4488e-06,7.8185e-08,,,,,,,,,,,
Sam 20,3.66532e-08,1.19084e-02,4.2142e-03,4.9193e-05,4.5551e-06,8.3399e-08,,,,,,            4.2637,           11.5694,           15.9139,           23.6588,           86.5054,            1.2479,            5.6041,            0.0832,            0.3774,           57.4010,
Ref 21,3.57939e-08,,,,,,1.1858e-02,4.1660e-03,4.8421e-05,4.4510e-06,7.5310e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.55142e-08,,,,,,1.1858e-02,4.1660e-03,4.8424e-05,4.4501e-06,7.6648e-08,
Sam 1,3.58141e-08,1.19084e-02,4.2141e-03,4.9191e-05,4.5521e-06,8.5118e-08,,,,,,            4.2754,           11.5504,           15.7642,           23.0666,          100.1166,            1.2610,            5.5852,           -0.0577,           -0.1639,           70.6737,
Ref 2,3.49559e-08,,,,,,1.1858e-02,4.1661e-03,4.8431e-05,4.4489e-06,7.8107e-08,,,,,,,,,,,
Sam 2,3.52672e-08,1.19083e-02,4.2141e-03,4.9182e-05,4.5532e-06,8.4755e-08,,,,,,            4.2722,           11.5430,           15.5468,           23.6293,           97.4714,            1.2578,            5.5779,           -0.2613,            0.4007,           68.1184,
Ref 3,3.44144e-08,,,,,,1.1858e-02,4.1660e-03,4.8427e-05,4.4473e-06,7.6333e-08,,,,,,,,,,,
Sam 3,3.47342e-08,1.19084e-02,4.2142e-03,4.9192e-05,4.5541e-06,8.2477e-08,,,,,,            4.2806,           11.5602,           15.8119,           23.7661,           88.9468,            1.2661,            5.5949,           -0.0255,            0.5005,           59.7771,
Ref 4,3.38812e-08,,,,,,1.1858e-02,4.1660e-03,4.8426e-05,4.4494e-06,7.5138e-08,,,,,,,,,,,
Sam 4,3.42095e-08,1.19083e-02,4.2142e-03,4.9181e-05,4.5543e-06,8.3319e-08,,,,,,            4.2745,           11.5599,           15.6204,           24.0029,           94.3502,            1.2597,            5.5946,           -0.2076,            0.7325,           65.0432,
Ref 5,3.33578e-08,,,,,,1.1858e-02,4.1661e-03,4.8423e-05,4.4457e-06,7.7148e-08,,,,,,,,,,,
Sam 5,3.36956e-08,1.19084e-02,4.2142e-03,4.9192e-05,4.5513e-06,8.4059e-08,,,,,,            4.2854,           11.5542,           15.8029,           23.4986,           94.4563,            1.2715,            5.5890,           -0.0336,            0.2508,           65.1459,
Ref 6,3.28462e-08,,,,,,1.1858e-02,4.1660e-03,4.8430e-05,4.4481e-06,7.6455e-08,,,,,,,,,,,
Sam 6,3.31857e-08,1.19082e-02,4.2142e-03,4.9184e-05,4.5512e-06,8.3777e-08,,,,,,            4.2746,           11.5523,           15.5539,           23.0070,           85.0069,            1.2601,            5.5871,           -0.2658,           -0.2259,           55.9655,
Ref 7,3.23354e-08,,,,,,1.1857e-02,4.1660e-03,4.8431e-05,4.4497e-06,7.7984e-08,,,,,,,,,,,
Sam 7,3.26931e-08,1.19082e-02,4.2142e-03,4.9189e-05,4.5533e-06,8.6139e-08,,,,,,            4.2812,           11.5507,           15.7441,           23.4310,          109.1038,            1.2672,            5.5855,           -0.0837,            0.1918,           79.4132,
Ref 8,3.18456e-08,,,,,,1.1857e-02,4.1661e-03,4.8422e-05,4.4484e-06,7.7342e-08,,,,,,,,,,,
Sam 8,3.22102e-08,1.19082e-02,4.2143e-03,4.9192e-05,4.5519e-06,8.3139e-08,,,,,,            4.2834,           11.5637,           15.8187,           23.7306,           73.7995,            1.2691,            5.5984,           -0.0253,            0.4588,           45.0252,
Ref 9,3.13635e-08,,,,,,1.1857e-02,4.1661e-03,4.8429e-05,4.4443e-06,7.7510e-08,,,,,,,,,,,
Sam 9,3.17379e-08,1.19080e-02,4.2142e-03,4.9190e-05,4.5497e-06,8.4511e-08,,,,,,            4.2705,           11.5525,           15.7428,           23.3522,           84.2067,            1.2556,            5.5873,           -0.0758,            0.1112,           55.1910,
Ref 10,3.08942e-08,,,,,,1.1857e-02,4.1661e-03,4.8425e-05,4.4474e-06,7.8392e-08,,,,,,,,,,,
Sam 10,3.12741e-08,1.19081e-02,4.2142e-03,4.9197e-05,4.5488e-06,8.6170e-08,,,,,,            4.2763,           11.5459,           15.9092,           23.3320,           99.9140,            1.2621,            5.5807,            0.0885,            0.1045,           70.4850,
Ref 11,3.04354e-08,,,,,,1.1857e-02,4.1661e-03,4.8428e-05,4.4427e-06,7.8293e-08,,,,,,,,,,,
Sam 11,3.08262e-08,1.19080e-02,4.2142e-03,4.9197e-05,4.5493e-06,8.3913e-08,,,,,,            4.2719,           11.5592,           15.8880,           23.7887,           83.0649,            1.2570,            5.5940,            0.0592,            0.5244,           54.0643,
Ref 12,2.99844e-08,,,,,,1.1857e-02,4.1660e-03,4.8428e-05,4.4446e-06,7.6650e-08,,,,,,,,,,,
Sam 12,3.03783e-08,1.19079e-02,4.2142e-03,4.9192e-05,4.5498e-06,8.3120e-08,,,,,,            4.2694,           11.5524,           15.8446,           23.8082,           84.8772,            1.2545,            5.5872,            0.0256,            0.5570,           55.8448,
Ref 13,2.95390e-08,,,,,,1.1857e-02,4.1661e-03,4.8423e-05,4.4434e-06,7.6583e-08,,,,,,,,,,,
Sam 13,2.99532e-08,1.19079e-02,4.2142e-03,4.9196e-05,4.5511e-06,8.3881e-08,,,,,,            4.2676,           11.5403,           15.9216,           24.2708,           91.0942,            1.2530,            5.5752,            0.1151,            1.0330,           61.9225,
Ref 14,2.91165e-08,,,,,,1.1857e-02,4.1662e-03,4.8427e-05,4.4430e-06,7.7178e-08,,,,,,,,,,,
Sam 14,2.95324e-08,1.19079e-02,4.2142e-03,4.9191e-05,4.5474e-06,8.3981e-08,,,,,,            4.2674,           11.5406,           15.7231,           23.4381,           87.7492,            1.2528,            5.5755,           -0.0804,            0.2187,           58.6666,
Ref 15,2.86925e-08,,,,,,1.1857e-02,4.1662e-03,4.8432e-05,4.4436e-06,7.7234e-08,,,,,,,,,,,
Sam 15,2.91118e-08,1.19079e-02,4.2143e-03,4.9193e-05,4.5470e-06,8.6969e-08,,,,,,            4.2739,           11.5497,           15.7159,           23.0814,          129.7575,            1.2594,            5.5845,           -0.1030,           -0.1479,           99.5247,
Ref 16,2.82756e-08,,,,,,1.1857e-02,4.1662e-03,4.8430e-05,4.4453e-06,7.6723e-08,,,,,,,,,,,
Sam 16,2.86997e-08,1.19079e-02,4.2142e-03,4.9189e-05,4.5505e-06,8.4797e-08,,,,,,            4.2832,           11.5345,           15.6960,           24.0298,          101.0818,            1.2698,            5.5694,           -0.1174,            0.8090,           71.6375,
Ref 17,2.78651e-08,,,,,,1.1857e-02,4.1662e-03,4.8427e-05,4.4421e-06,7.7307e-08,,,,,,,,,,,
Sam 17,2.82956e-08,1.19079e-02,4.2143e-03,4.9196e-05,4.5489e-06,8.3993e-08,,,,,,            4.2805,           11.5384,           15.7968,           23.8682,           92.7453,            1.2669,            5.5733,           -0.0193,            0.6433,           63.5188,
Ref 18,2.74631e-08,,,,,,1.1857e-02,4.1662e-03,4.8434e-05,4.4437e-06,7.6414e-08,,,,,,,,,,,
Sam 18,2.78979e-08,1.19079e-02,4.2143e-03,4.9195e-05,4.5424e-06,8.3773e-08,,,,,,            4.2853,           11.5351,           15.7105,           22.2070,           72.7896,            1.2720,            5.5700,           -0.1059,           -0.9736,           44.0984,
Ref 19,2.70702e-08,,,,,,1.1857e-02,4.1662e-03,4.8434e-05,4.4436e-06,7.9789e-08,,,,,,,,,,,
Sam 19,2.75069e-08,1.19078e-02,4.2142e-03,4.9190e-05,4.5460e-06,8.3150e-08,,,,,,            4.2861,           11.5266,           15.6709,           23.2305,           58.5056,            1.2732,            5.5615,           -0.1374,            0.0434,           30.2126,
Ref 20,2.66825e-08,,,,,,1.1857e-02,4.1662e-03,4.8428e-05,4.4419e-06,7.7303e-08,,,,,,,,,,,
Sam 20,2.71252e-08,1.19077e-02,4.2142e-03,4.9191e-05,4.5448e-06,8.2778e-08,,,,,,            4.2732,           11.5390,           15.7385,           23.2043,           80.4226,            1.2590,            5.5739,           -0.0697,           -0.0067,           51.5327,
Ref 21,2.63039e-08,,,,,,1.1857e-02,4.1661e-03,4.8431e-05,4.4416e-06,7.5920e-08,,,,,,,,,,,


