Nu Stable Isotope Analysis Program
Data Collected on Thursday, December 21, 2023 at 11:05 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, December 21, 2023 at 12:04 with Stable 1.71.5 on PS019

Data File = Data_21468 WS4_25_8_A.txt,    Sample Weight = 411,                      Vial Location = 11,                       Initial Sam Beam = 2.3927e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.2587e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01799
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.24303e-08,,,,,,1.1858e-02,4.1645e-03,4.8387e-05,4.4431e-06,7.3165e-08,
Sam 1,7.18939e-08,1.18982e-02,4.2196e-03,4.9184e-05,4.5623e-06,7.8367e-08,,,,,,            3.3804,           13.2010,           16.3973,           26.6140,           63.8968,            0.2516,            7.2297,           -0.1205,            0.0369,           33.0867,
Ref 2,7.10436e-08,,,,,,1.1858e-02,4.1647e-03,4.8395e-05,4.4450e-06,7.4165e-08,,,,,,,,,,,
Sam 2,7.05063e-08,1.18983e-02,4.2197e-03,4.9185e-05,4.5651e-06,7.8775e-08,,,,,,            3.3640,           13.1802,           16.2883,           26.6287,           62.8843,            0.2348,            7.2092,           -0.1906,            0.0921,           32.1630,
Ref 3,6.96177e-08,,,,,,1.1858e-02,4.1648e-03,4.8399e-05,4.4485e-06,7.4063e-08,,,,,,,,,,,
Sam 3,6.91309e-08,1.18983e-02,4.2198e-03,4.9183e-05,4.5651e-06,7.9039e-08,,,,,,            3.3606,           13.1806,           16.2479,           26.2719,           67.2864,            0.2312,            7.2095,           -0.2273,           -0.2563,           36.4408,
Ref 4,6.82334e-08,,,,,,1.1858e-02,4.1650e-03,4.8394e-05,4.4480e-06,7.4048e-08,,,,,,,,,,,
Sam 4,6.77918e-08,1.18984e-02,4.2199e-03,4.9189e-05,4.5657e-06,7.9416e-08,,,,,,            3.3691,           13.1810,           16.3778,           26.5234,           71.9959,            0.2402,            7.2099,           -0.1085,           -0.0120,           41.0042,
Ref 5,6.68798e-08,,,,,,1.1858e-02,4.1650e-03,4.8399e-05,4.4475e-06,7.4117e-08,,,,,,,,,,,
Sam 5,6.64845e-08,1.18983e-02,4.2198e-03,4.9187e-05,4.5676e-06,8.0133e-08,,,,,,            3.3600,           13.1677,           16.3325,           26.8392,           72.6854,            0.2310,            7.1967,           -0.1309,            0.3219,           41.7105,
Ref 6,6.55666e-08,,,,,,1.1858e-02,4.1650e-03,4.8395e-05,4.4490e-06,7.5301e-08,,,,,,,,,,,
Sam 6,6.52072e-08,1.18984e-02,4.2199e-03,4.9191e-05,4.5663e-06,7.9281e-08,,,,,,            3.3617,           13.1699,           16.4156,           26.1494,           54.8402,            0.2327,            7.1989,           -0.0531,           -0.3545,           24.3743,
Ref 7,6.42889e-08,,,,,,1.1859e-02,4.1650e-03,4.8398e-05,4.4510e-06,7.5015e-08,,,,,,,,,,,
Sam 7,6.39674e-08,1.18984e-02,4.2199e-03,4.9190e-05,4.5665e-06,7.9188e-08,,,,,,            3.3689,           13.1752,           16.3124,           25.8776,           55.1902,            0.2402,            7.2042,           -0.1671,           -0.6297,           24.6959,
Ref 8,6.30461e-08,,,,,,1.1858e-02,4.1651e-03,4.8402e-05,4.4516e-06,7.5078e-08,,,,,,,,,,,
Sam 8,6.27688e-08,1.18983e-02,4.2200e-03,4.9197e-05,4.5654e-06,7.9449e-08,,,,,,            3.3592,           13.1724,           16.4311,           25.7752,           64.2027,            0.2300,            7.2014,           -0.0376,           -0.7239,           33.4643,
Ref 9,6.18450e-08,,,,,,1.1858e-02,4.1652e-03,4.8402e-05,4.4497e-06,7.4226e-08,,,,,,,,,,,
Sam 9,6.15998e-08,1.18983e-02,4.2200e-03,4.9193e-05,4.5658e-06,7.9535e-08,,,,,,            3.3628,           13.1808,           16.3410,           26.0894,           69.9809,            0.2335,            7.2097,           -0.1382,           -0.4345,           39.0547,
Ref 10,6.06641e-08,,,,,,1.1858e-02,4.1651e-03,4.8403e-05,4.4497e-06,7.4442e-08,,,,,,,,,,,
Sam 10,6.04549e-08,1.18983e-02,4.2200e-03,4.9195e-05,4.5666e-06,7.9959e-08,,,,,,            3.3681,           13.1688,           16.2864,           26.0519,           70.2900,            0.2396,            7.1977,           -0.1856,           -0.4472,           39.3733,
Ref 11,5.95197e-08,,,,,,1.1858e-02,4.1652e-03,4.8410e-05,4.4516e-06,7.4978e-08,,,,,,,,,,,
Sam 11,5.93342e-08,1.18983e-02,4.2200e-03,4.9192e-05,4.5680e-06,8.0589e-08,,,,,,            3.3668,           13.1610,           16.2083,           26.2835,           74.3591,            0.2384,            7.1900,           -0.2535,           -0.2063,           43.3419,
Ref 12,5.83970e-08,,,,,,1.1858e-02,4.1652e-03,4.8405e-05,4.4504e-06,7.5045e-08,,,,,,,,,,,
Sam 12,5.82460e-08,1.18983e-02,4.2201e-03,4.9193e-05,4.5681e-06,7.9961e-08,,,,,,            3.3657,           13.1834,           16.2383,           26.3128,           71.2611,            0.2365,            7.2123,           -0.2445,           -0.2219,           40.2896,
Ref 13,5.73097e-08,,,,,,1.1858e-02,4.1652e-03,4.8409e-05,4.4515e-06,7.4231e-08,,,,,,,,,,,
Sam 13,5.71882e-08,1.18982e-02,4.2201e-03,4.9198e-05,4.5670e-06,8.1093e-08,,,,,,            3.3617,           13.1653,           16.2972,           26.1833,           80.6726,            0.2329,            7.1943,           -0.1650,           -0.3123,           49.4703,
Ref 14,5.62521e-08,,,,,,1.1858e-02,4.1653e-03,4.8409e-05,4.4493e-06,7.5862e-08,,,,,,,,,,,
Sam 14,5.61563e-08,1.18982e-02,4.2201e-03,4.9195e-05,4.5664e-06,7.9532e-08,,,,,,            3.3716,           13.1624,           16.2774,           26.2198,           58.9290,            0.2436,            7.1914,           -0.1919,           -0.2710,           28.3494,
Ref 15,5.52199e-08,,,,,,1.1858e-02,4.1653e-03,4.8406e-05,4.4502e-06,7.4337e-08,,,,,,,,,,,
Sam 15,5.51526e-08,1.18983e-02,4.2202e-03,4.9196e-05,4.5663e-06,8.1009e-08,,,,,,            3.3750,           13.1712,           16.3169,           25.8926,           83.6290,            0.2468,            7.2002,           -0.1650,           -0.6072,           52.3143,
Ref 16,5.42088e-08,,,,,,1.1858e-02,4.1653e-03,4.8407e-05,4.4519e-06,7.5185e-08,,,,,,,,,,,
Sam 16,5.41703e-08,1.18983e-02,4.2202e-03,4.9202e-05,4.5680e-06,7.9160e-08,,,,,,            3.3681,           13.1668,           16.4004,           26.2369,           57.5982,            0.2396,            7.1958,           -0.0716,           -0.2631,           27.0520,
Ref 17,5.32313e-08,,,,,,1.1858e-02,4.1654e-03,4.8409e-05,4.4506e-06,7.4507e-08,,,,,,,,,,,
Sam 17,5.32177e-08,1.18983e-02,4.2202e-03,4.9199e-05,4.5677e-06,7.9539e-08,,,,,,            3.3711,           13.1545,           16.3562,           26.2972,           58.6425,            0.2433,            7.1835,           -0.1062,           -0.1801,           28.0875,
Ref 18,5.22725e-08,,,,,,1.1858e-02,4.1654e-03,4.8405e-05,4.4507e-06,7.5771e-08,,,,,,,,,,,
Sam 18,5.22877e-08,1.18982e-02,4.2203e-03,4.9205e-05,4.5684e-06,8.0383e-08,,,,,,            3.3676,           13.1732,           16.4591,           26.4620,           74.6625,            0.2388,            7.2021,           -0.0194,           -0.0564,           43.6112,
Ref 19,5.13467e-08,,,,,,1.1858e-02,4.1655e-03,4.8411e-05,4.4507e-06,7.3808e-08,,,,,,,,,,,
Sam 19,5.13811e-08,1.18982e-02,4.2203e-03,4.9198e-05,4.5683e-06,7.9633e-08,,,,,,            3.3680,           13.1697,           16.1943,           26.5323,           73.9594,            0.2394,            7.1987,           -0.2770,            0.0190,           42.9350,
Ref 20,5.04402e-08,,,,,,1.1858e-02,4.1655e-03,4.8417e-05,4.4497e-06,7.4496e-08,,,,,,,,,,,
Sam 20,5.04899e-08,1.18982e-02,4.2204e-03,4.9198e-05,4.5710e-06,8.0330e-08,,,,,,            3.3708,           13.1681,           16.1854,           26.9959,           67.5381,            0.2425,            7.1971,           -0.2872,            0.4738,           36.6993,
Ref 21,4.95461e-08,,,,,,1.1858e-02,4.1655e-03,4.8412e-05,4.4520e-06,7.6014e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.91144e-08,,,,,,1.1858e-02,4.1655e-03,4.8411e-05,4.4498e-06,7.4439e-08,
Sam 1,4.91909e-08,1.18981e-02,4.2204e-03,4.9201e-05,4.5662e-06,8.1176e-08,,,,,,            3.3607,           13.1686,           16.3221,           26.1386,           88.7558,            0.2317,            7.1976,           -0.1427,           -0.3624,           57.3144,
Ref 2,4.82573e-08,,,,,,1.1858e-02,4.1655e-03,4.8410e-05,4.4500e-06,7.4679e-08,,,,,,,,,,,
Sam 2,4.83469e-08,1.18981e-02,4.2204e-03,4.9203e-05,4.5674e-06,8.0359e-08,,,,,,            3.3624,           13.1618,           16.3403,           26.2898,           73.7125,            0.2338,            7.1908,           -0.1200,           -0.2017,           42.7174,
Ref 3,4.74168e-08,,,,,,1.1858e-02,4.1656e-03,4.8413e-05,4.4507e-06,7.5007e-08,,,,,,,,,,,
Sam 3,4.75239e-08,1.18981e-02,4.2204e-03,4.9210e-05,4.5694e-06,8.0479e-08,,,,,,            3.3686,           13.1616,           16.4823,           26.7430,           71.1246,            0.2404,            7.1906,            0.0135,            0.2402,           40.1976,
Ref 4,4.65993e-08,,,,,,1.1858e-02,4.1656e-03,4.8411e-05,4.4501e-06,7.5264e-08,,,,,,,,,,,
Sam 4,4.67217e-08,1.18981e-02,4.2204e-03,4.9203e-05,4.5672e-06,8.1034e-08,,,,,,            3.3765,           13.1625,           16.3451,           26.4636,           74.1270,            0.2487,            7.1915,           -0.1303,           -0.0337,           43.1029,
Ref 5,4.57997e-08,,,,,,1.1858e-02,4.1655e-03,4.8412e-05,4.4488e-06,7.5622e-08,,,,,,,,,,,
Sam 5,4.59326e-08,1.18980e-02,4.2205e-03,4.9204e-05,4.5671e-06,8.1935e-08,,,,,,            3.3670,           13.1758,           16.3031,           26.5089,           80.9386,            0.2382,            7.2047,           -0.1748,           -0.0158,           49.7013,
Ref 6,4.50086e-08,,,,,,1.1858e-02,4.1656e-03,4.8418e-05,4.4496e-06,7.5982e-08,,,,,,,,,,,
Sam 6,4.51623e-08,1.18979e-02,4.2205e-03,4.9209e-05,4.5678e-06,8.1646e-08,,,,,,            3.3583,           13.1639,           16.3476,           26.4620,           84.6179,            0.2293,            7.1929,           -0.1106,           -0.0381,           53.3082,
Ref 7,4.42460e-08,,,,,,1.1858e-02,4.1656e-03,4.8417e-05,4.4504e-06,7.4559e-08,,,,,,,,,,,
Sam 7,4.44161e-08,1.18979e-02,4.2204e-03,4.9205e-05,4.5658e-06,8.1838e-08,,,,,,            3.3595,           13.1510,           16.2512,           26.1141,           95.4286,            0.2311,            7.1800,           -0.1941,           -0.3515,           63.8322,
Ref 8,4.35013e-08,,,,,,1.1858e-02,4.1657e-03,4.8419e-05,4.4488e-06,7.4861e-08,,,,,,,,,,,
Sam 8,4.36840e-08,1.18978e-02,4.2205e-03,4.9208e-05,4.5664e-06,8.1016e-08,,,,,,            3.3589,           13.1590,           16.3001,           26.3565,           74.4766,            0.2301,            7.1880,           -0.1532,           -0.1311,           43.4691,
Ref 9,4.27727e-08,,,,,,1.1858e-02,4.1657e-03,4.8418e-05,4.4495e-06,7.5948e-08,,,,,,,,,,,
Sam 9,4.29695e-08,1.18979e-02,4.2205e-03,4.9199e-05,4.5662e-06,8.0786e-08,,,,,,            3.3628,           13.1559,           16.1388,           26.1970,           66.0081,            0.2344,            7.1849,           -0.3129,           -0.2804,           35.2468,
Ref 10,4.20600e-08,,,,,,1.1858e-02,4.1657e-03,4.8417e-05,4.4497e-06,7.5615e-08,,,,,,,,,,,
Sam 10,4.22734e-08,1.18979e-02,4.2205e-03,4.9202e-05,4.5683e-06,8.1291e-08,,,,,,            3.3639,           13.1531,           16.2004,           26.7177,           74.4831,            0.2356,            7.1822,           -0.2507,            0.2323,           43.4815,
Ref 11,4.13626e-08,,,,,,1.1858e-02,4.1657e-03,4.8418e-05,4.4490e-06,7.5697e-08,,,,,,,,,,,
Sam 11,4.15901e-08,1.18978e-02,4.2205e-03,4.9207e-05,4.5675e-06,8.1844e-08,,,,,,            3.3683,           13.1582,           16.2400,           26.6306,           92.3967,            0.2402,            7.1873,           -0.2213,            0.1373,           60.8628,
Ref 12,4.06797e-08,,,,,,1.1858e-02,4.1657e-03,4.8423e-05,4.4491e-06,7.4133e-08,,,,,,,,,,,
Sam 12,4.09260e-08,1.18978e-02,4.2205e-03,4.9212e-05,4.5640e-06,8.0664e-08,,,,,,            3.3669,           13.1472,           16.3342,           25.8434,           84.5271,            0.2390,            7.1763,           -0.1163,           -0.6077,           53.2445,
Ref 13,4.00179e-08,,,,,,1.1858e-02,4.1657e-03,4.8419e-05,4.4490e-06,7.4626e-08,,,,,,,,,,,
Sam 13,4.02796e-08,1.18977e-02,4.2205e-03,4.9205e-05,4.5649e-06,8.1981e-08,,,,,,            3.3619,           13.1546,           16.2322,           26.1060,           84.0048,            0.2334,            7.1837,           -0.2188,           -0.3666,           52.7277,
Ref 14,3.93738e-08,,,,,,1.1858e-02,4.1658e-03,4.8419e-05,4.4486e-06,7.6646e-08,,,,,,,,,,,
Sam 14,3.96457e-08,1.18976e-02,4.2205e-03,4.9209e-05,4.5652e-06,8.2020e-08,,,,,,            3.3557,           13.1373,           16.2807,           26.1870,           79.1899,            0.2275,            7.1664,           -0.1479,           -0.2534,           48.0941,
Ref 15,3.87408e-08,,,,,,1.1858e-02,4.1658e-03,4.8422e-05,4.4489e-06,7.5346e-08,,,,,,,,,,,
Sam 15,3.90249e-08,1.18976e-02,4.2206e-03,4.9201e-05,4.5656e-06,8.1208e-08,,,,,,            3.3583,           13.1398,           16.0626,           26.4522,           81.4201,            0.2301,            7.1689,           -0.3675,            0.0000,           50.2520,
Ref 16,3.81201e-08,,,,,,1.1858e-02,4.1658e-03,4.8425e-05,4.4470e-06,7.4837e-08,,,,,,,,,,,
Sam 16,3.84123e-08,1.18976e-02,4.2206e-03,4.9211e-05,4.5662e-06,8.2880e-08,,,,,,            3.3525,           13.1586,           16.3192,           26.7019,          104.3210,            0.2233,            7.1876,           -0.1275,            0.2060,           72.4601,
Ref 17,3.75126e-08,,,,,,1.1858e-02,4.1658e-03,4.8418e-05,4.4478e-06,7.5267e-08,,,,,,,,,,,
Sam 17,3.78134e-08,1.18976e-02,4.2206e-03,4.9210e-05,4.5654e-06,8.1190e-08,,,,,,            3.3545,           13.1483,           16.3580,           26.4910,           83.2273,            0.2258,            7.1774,           -0.0813,            0.0210,           51.9939,
Ref 18,3.69197e-08,,,,,,1.1858e-02,4.1658e-03,4.8418e-05,4.4474e-06,7.4631e-08,,,,,,,,,,,
Sam 18,3.72282e-08,1.18975e-02,4.2206e-03,4.9215e-05,4.5656e-06,8.0929e-08,,,,,,            3.3594,           13.1521,           16.4432,           26.5192,           73.6386,            0.2309,            7.1812,           -0.0063,            0.0410,           42.6685,
Ref 19,3.63346e-08,,,,,,1.1858e-02,4.1658e-03,4.8419e-05,4.4479e-06,7.6138e-08,,,,,,,,,,,
Sam 19,3.66498e-08,1.18975e-02,4.2206e-03,4.9209e-05,4.5644e-06,8.0684e-08,,,,,,            3.3598,           13.1437,           16.3529,           26.1761,           61.8223,            0.2316,            7.1728,           -0.0873,           -0.2767,           31.2094,
Ref 20,3.57593e-08,,,,,,1.1858e-02,4.1659e-03,4.8416e-05,4.4481e-06,7.5833e-08,,,,,,,,,,,
Sam 20,3.60863e-08,1.18975e-02,4.2206e-03,4.9210e-05,4.5639e-06,8.0413e-08,,,,,,            3.3625,           13.1471,           16.2859,           26.4197,           75.1589,            0.2344,            7.1762,           -0.1593,           -0.0461,           44.1517,
Ref 21,3.52031e-08,,,,,,1.1858e-02,4.1658e-03,4.8426e-05,4.4448e-06,7.3734e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.49289e-08,,,,,,1.1858e-02,4.1658e-03,4.8422e-05,4.4471e-06,7.3335e-08,
Sam 1,3.52646e-08,1.18974e-02,4.2206e-03,4.9213e-05,4.5644e-06,8.1678e-08,,,,,,            3.3616,           13.1429,           16.3414,           26.2536,          100.4599,            0.2336,            7.1720,           -0.0997,           -0.1997,           68.7326,
Ref 2,3.43835e-08,,,,,,1.1858e-02,4.1658e-03,4.8422e-05,4.4483e-06,7.5122e-08,,,,,,,,,,,
Sam 2,3.47279e-08,1.18974e-02,4.2206e-03,4.9214e-05,4.5630e-06,8.1746e-08,,,,,,            3.3587,           13.1456,           16.3217,           26.2267,           78.9072,            0.2304,            7.1747,           -0.1188,           -0.2313,           47.7990,
Ref 3,3.38526e-08,,,,,,1.1858e-02,4.1659e-03,4.8426e-05,4.4445e-06,7.6422e-08,,,,,,,,,,,
Sam 3,3.42083e-08,1.18974e-02,4.2207e-03,4.9216e-05,4.5646e-06,8.3479e-08,,,,,,            3.3656,           13.1384,           16.3079,           27.2582,          105.4893,            0.2380,            7.1675,           -0.1324,            0.7880,           73.6220,
Ref 4,3.33368e-08,,,,,,1.1857e-02,4.1659e-03,4.8428e-05,4.4425e-06,7.4590e-08,,,,,,,,,,,
Sam 4,3.36988e-08,1.18973e-02,4.2207e-03,4.9212e-05,4.5637e-06,8.0437e-08,,,,,,            3.3616,           13.1575,           16.2323,           26.8830,           83.0270,            0.2331,            7.1865,           -0.2212,            0.3848,           51.7727,
Ref 5,3.28263e-08,,,,,,1.1857e-02,4.1659e-03,4.8425e-05,4.4461e-06,7.3947e-08,,,,,,,,,,,
Sam 5,3.31952e-08,1.18973e-02,4.2207e-03,4.9216e-05,4.5638e-06,8.2444e-08,,,,,,            3.3594,           13.1568,           16.3274,           26.7793,           89.5769,            0.2307,            7.1858,           -0.1248,            0.2851,           58.1374,
Ref 6,3.23271e-08,,,,,,1.1857e-02,4.1658e-03,4.8426e-05,4.4435e-06,7.7412e-08,,,,,,,,,,,
Sam 6,3.27042e-08,1.18973e-02,4.2207e-03,4.9221e-05,4.5611e-06,8.1763e-08,,,,,,            3.3598,           13.1531,           16.4633,           26.3522,           76.5256,            0.2313,            7.1821,            0.0121,           -0.1237,           45.4698,
Ref 7,3.18382e-08,,,,,,1.1857e-02,4.1659e-03,4.8422e-05,4.4446e-06,7.4467e-08,,,,,,,,,,,
Sam 7,3.22239e-08,1.18973e-02,4.2207e-03,4.9214e-05,4.5634e-06,8.3481e-08,,,,,,            3.3631,           13.1507,           16.3872,           26.5199,          117.0327,            0.2349,            7.1797,           -0.0638,            0.0444,           84.8096,
Ref 8,3.13591e-08,,,,,,1.1857e-02,4.1659e-03,4.8418e-05,4.4465e-06,7.5006e-08,,,,,,,,,,,
Sam 8,3.17513e-08,1.18973e-02,4.2207e-03,4.9212e-05,4.5626e-06,8.1468e-08,,,,,,            3.3644,           13.1374,           16.2629,           26.2633,           96.6451,            0.2368,            7.1665,           -0.1745,           -0.1793,           65.0361,
Ref 9,3.08889e-08,,,,,,1.1857e-02,4.1660e-03,4.8430e-05,4.4452e-06,7.3560e-08,,,,,,,,,,,
Sam 9,3.12900e-08,1.18972e-02,4.2207e-03,4.9220e-05,4.5605e-06,8.2178e-08,,,,,,            3.3635,           13.1303,           16.3175,           26.3475,          110.4592,            0.2360,            7.1595,           -0.1129,           -0.0833,           78.4680,
Ref 10,3.04293e-08,,,,,,1.1857e-02,4.1660e-03,4.8429e-05,4.4415e-06,7.4454e-08,,,,,,,,,,,
Sam 10,3.08471e-08,1.18972e-02,4.2207e-03,4.9220e-05,4.5603e-06,8.3804e-08,,,,,,            3.3628,           13.1427,           16.3553,           26.7369,          130.0754,            0.2348,            7.1718,           -0.0871,            0.2716,           97.4934,
Ref 11,2.99871e-08,,,,,,1.1857e-02,4.1660e-03,4.8427e-05,4.4416e-06,7.3858e-08,,,,,,,,,,,
Sam 11,3.04026e-08,1.18972e-02,4.2207e-03,4.9215e-05,4.5566e-06,8.2212e-08,,,,,,            3.3589,           13.1513,           16.3078,           25.6992,          103.4638,            0.2304,            7.1803,           -0.1381,           -0.7563,           71.6356,
Ref 12,2.95441e-08,,,,,,1.1857e-02,4.1659e-03,4.8424e-05,4.4432e-06,7.5159e-08,,,,,,,,,,,
Sam 12,2.99673e-08,1.18971e-02,4.2207e-03,4.9216e-05,4.5605e-06,8.1712e-08,,,,,,            3.3618,           13.1412,           16.3292,           26.5980,           98.4437,            0.2338,            7.1703,           -0.1102,            0.1393,           66.7780,
Ref 13,2.91131e-08,,,,,,1.1857e-02,4.1660e-03,4.8426e-05,4.4414e-06,7.3606e-08,,,,,,,,,,,
Sam 13,2.95422e-08,1.18971e-02,4.2208e-03,4.9220e-05,4.5589e-06,8.2809e-08,,,,,,            3.3685,           13.1428,           16.4097,           26.3002,          124.6591,            0.2409,            7.1719,           -0.0395,           -0.1540,           92.2264,
Ref 14,2.86887e-08,,,,,,1.1857e-02,4.1660e-03,4.8425e-05,4.4428e-06,7.3654e-08,,,,,,,,,,,
Sam 14,2.91241e-08,1.18970e-02,4.2207e-03,4.9216e-05,4.5599e-06,8.1616e-08,,,,,,            3.3574,           13.1383,           16.3568,           26.3445,          100.6268,            0.2292,            7.1675,           -0.0758,           -0.1020,           68.9090,
Ref 15,2.82709e-08,,,,,,1.1857e-02,4.1660e-03,4.8423e-05,4.4429e-06,7.4661e-08,,,,,,,,,,,
Sam 15,2.87111e-08,1.18969e-02,4.2208e-03,4.9222e-05,4.5574e-06,8.1226e-08,,,,,,            3.3604,           13.1524,           16.4521,           26.0553,           71.9278,            0.2320,            7.1814,            0.0013,           -0.4115,           41.0054,
Ref 16,2.78635e-08,,,,,,1.1857e-02,4.1659e-03,4.8427e-05,4.4404e-06,7.6907e-08,,,,,,,,,,,
Sam 16,2.83122e-08,1.18970e-02,4.2207e-03,4.9224e-05,4.5571e-06,8.1291e-08,,,,,,            3.3707,           13.1534,           16.4317,           26.2593,           87.4827,            0.2429,            7.1824,           -0.0303,           -0.2147,           56.0980,
Ref 17,2.74615e-08,,,,,,1.1857e-02,4.1660e-03,4.8430e-05,4.4407e-06,7.2564e-08,,,,,,,,,,,
Sam 17,2.79097e-08,1.18969e-02,4.2207e-03,4.9215e-05,4.5546e-06,8.2873e-08,,,,,,            3.3640,           13.1383,           16.2211,           25.4424,          131.4848,            0.2362,            7.1674,           -0.2160,           -0.9808,           98.8703,
Ref 18,2.70646e-08,,,,,,1.1857e-02,4.1660e-03,4.8429e-05,4.4425e-06,7.3932e-08,,,,,,,,,,,
Sam 18,2.75202e-08,1.18969e-02,4.2207e-03,4.9216e-05,4.5566e-06,8.1668e-08,,,,,,            3.3609,           13.1334,           16.2621,           25.9167,          101.4600,            0.2331,            7.1626,           -0.1678,           -0.5092,           69.7245,
Ref 19,2.66749e-08,,,,,,1.1857e-02,4.1660e-03,4.8429e-05,4.4404e-06,7.4362e-08,,,,,,,,,,,
Sam 19,2.71339e-08,1.18968e-02,4.2208e-03,4.9214e-05,4.5559e-06,8.1460e-08,,,,,,            3.3620,           13.1338,           16.1894,           26.1181,          105.5321,            0.2343,            7.1630,           -0.2409,           -0.3137,           73.6772,
Ref 20,2.62945e-08,,,,,,1.1857e-02,4.1660e-03,4.8431e-05,4.4395e-06,7.2996e-08,,,,,,,,,,,
Sam 20,2.67556e-08,1.18967e-02,4.2207e-03,4.9225e-05,4.5591e-06,8.4643e-08,,,,,,            3.3567,           13.1327,           16.3982,           27.2040,          149.7919,            0.2287,            7.1619,           -0.0289,            0.7464,          116.6702,
Ref 21,2.59169e-08,,,,,,1.1857e-02,4.1660e-03,4.8431e-05,4.4372e-06,7.4246e-08,,,,,,,,,,,


