Nu Stable Isotope Analysis Program
Data Collected on Thursday, December 21, 2023 at 13:50 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, December 21, 2023 at 14:49 with Stable 1.71.5 on PS019

Data File = Data_21470 WS4_53_7_B.txt,    Sample Weight = 444,                      Vial Location = 13,                       Initial Sam Beam = 2.5047e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0953e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01799
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,8.02405e-08,,,,,,1.1858e-02,4.1642e-03,4.8384e-05,4.4408e-06,7.3337e-08,
Sam 1,7.95339e-08,1.19244e-02,4.2206e-03,4.9299e-05,4.5627e-06,7.7595e-08,,,,,,            5.5860,           13.5159,           18.8713,           26.9442,           55.0564,            2.5880,            7.5383,           -0.2577,           -0.2631,           21.4889,
Ref 2,7.86353e-08,,,,,,1.1858e-02,4.1644e-03,4.8388e-05,4.4453e-06,7.3758e-08,,,,,,,,,,,
Sam 2,7.79246e-08,1.19245e-02,4.2207e-03,4.9305e-05,4.5640e-06,7.7784e-08,,,,,,            5.5731,           13.5088,           18.9564,           26.6726,           60.0562,            2.5745,            7.5313,           -0.1541,           -0.5134,           26.3578,
Ref 3,7.70014e-08,,,,,,1.1858e-02,4.1645e-03,4.8388e-05,4.4456e-06,7.2987e-08,,,,,,,,,,,
Sam 3,7.63402e-08,1.19245e-02,4.2208e-03,4.9309e-05,4.5648e-06,7.7250e-08,,,,,,            5.5688,           13.5198,           18.9719,           26.4956,           59.4329,            2.5696,            7.5422,           -0.1452,           -0.7075,           25.7370,
Ref 4,7.54001e-08,,,,,,1.1858e-02,4.1645e-03,4.8394e-05,4.4483e-06,7.2844e-08,,,,,,,,,,,
Sam 4,7.47915e-08,1.19246e-02,4.2208e-03,4.9310e-05,4.5667e-06,7.7970e-08,,,,,,            5.5764,           13.5092,           18.9466,           26.7434,           73.3448,            2.5780,            7.5317,           -0.1676,           -0.4455,           39.2193,
Ref 5,7.38480e-08,,,,,,1.1859e-02,4.1646e-03,4.8392e-05,4.4473e-06,7.2436e-08,,,,,,,,,,,
Sam 5,7.32877e-08,1.19246e-02,4.2209e-03,4.9310e-05,4.5662e-06,7.7489e-08,,,,,,            5.5746,           13.5125,           18.9599,           26.7433,           65.8698,            2.5760,            7.5350,           -0.1559,           -0.4520,           31.9775,
Ref 6,7.23421e-08,,,,,,1.1859e-02,4.1646e-03,4.8394e-05,4.4473e-06,7.2970e-08,,,,,,,,,,,
Sam 6,7.18230e-08,1.19246e-02,4.2209e-03,4.9312e-05,4.5665e-06,7.8576e-08,,,,,,            5.5676,           13.5104,           18.9440,           26.8523,           68.5036,            2.5687,            7.5329,           -0.1623,           -0.3417,           34.5393,
Ref 7,7.08780e-08,,,,,,1.1859e-02,4.1647e-03,4.8397e-05,4.4469e-06,7.4119e-08,,,,,,,,,,,
Sam 7,7.04026e-08,1.19246e-02,4.2210e-03,4.9308e-05,4.5682e-06,7.7804e-08,,,,,,            5.5697,           13.5083,           18.8440,           27.2763,           51.5177,            2.5710,            7.5308,           -0.2605,            0.0752,           18.0952,
Ref 8,6.94552e-08,,,,,,1.1859e-02,4.1648e-03,4.8396e-05,4.4469e-06,7.3863e-08,,,,,,,,,,,
Sam 8,6.90228e-08,1.19247e-02,4.2210e-03,4.9304e-05,4.5671e-06,7.8525e-08,,,,,,            5.5755,           13.5017,           18.7878,           26.8612,           64.3026,            2.5774,            7.5242,           -0.3151,           -0.3157,           30.4808,
Ref 9,6.80709e-08,,,,,,1.1859e-02,4.1648e-03,4.8394e-05,4.4483e-06,7.3697e-08,,,,,,,,,,,
Sam 9,6.76720e-08,1.19246e-02,4.2210e-03,4.9311e-05,4.5666e-06,7.7995e-08,,,,,,            5.5705,           13.4861,           18.9350,           26.6786,           57.9977,            2.5726,            7.5087,           -0.1505,           -0.4630,           24.4126,
Ref 10,6.67253e-08,,,,,,1.1859e-02,4.1649e-03,4.8395e-05,4.4475e-06,7.3742e-08,,,,,,,,,,,
Sam 10,6.63657e-08,1.19246e-02,4.2211e-03,4.9311e-05,4.5678e-06,7.7859e-08,,,,,,            5.5675,           13.4959,           18.8678,           27.0773,           53.5338,            2.5690,            7.5184,           -0.2228,           -0.0941,           20.0743,
Ref 11,6.54200e-08,,,,,,1.1859e-02,4.1649e-03,4.8400e-05,4.4473e-06,7.4068e-08,,,,,,,,,,,
Sam 11,6.50930e-08,1.19246e-02,4.2211e-03,4.9309e-05,4.5660e-06,7.8547e-08,,,,,,            5.5623,           13.5003,           18.7880,           26.6832,           60.6424,            2.5634,            7.5228,           -0.3001,           -0.4864,           26.9540,
Ref 12,6.41445e-08,,,,,,1.1859e-02,4.1649e-03,4.8400e-05,4.4473e-06,7.4043e-08,,,,,,,,,,,
Sam 12,6.38510e-08,1.19246e-02,4.2212e-03,4.9311e-05,4.5683e-06,7.7926e-08,,,,,,            5.5726,           13.4960,           18.8243,           27.1474,           52.3843,            2.5744,            7.5186,           -0.2708,           -0.0260,           18.9556,
Ref 13,6.29035e-08,,,,,,1.1859e-02,4.1650e-03,4.8399e-05,4.4478e-06,7.4052e-08,,,,,,,,,,,
Sam 13,6.26391e-08,1.19246e-02,4.2212e-03,4.9313e-05,4.5695e-06,7.9697e-08,,,,,,            5.5693,           13.4971,           18.8253,           27.2833,           80.1836,            2.5709,            7.5196,           -0.2675,            0.1042,           45.8733,
Ref 14,6.16955e-08,,,,,,1.1859e-02,4.1650e-03,4.8405e-05,4.4485e-06,7.3505e-08,,,,,,,,,,,
Sam 14,6.14702e-08,1.19246e-02,4.2213e-03,4.9317e-05,4.5681e-06,7.8812e-08,,,,,,            5.5677,           13.5075,           18.8846,           26.8903,           68.1047,            2.5689,            7.5300,           -0.2178,           -0.2990,           34.1588,
Ref 15,6.05227e-08,,,,,,1.1859e-02,4.1650e-03,4.8401e-05,4.4484e-06,7.4075e-08,,,,,,,,,,,
Sam 15,6.03275e-08,1.19246e-02,4.2213e-03,4.9321e-05,4.5675e-06,7.8797e-08,,,,,,            5.5694,           13.5096,           18.9769,           26.6376,           65.3201,            2.5707,            7.5320,           -0.1311,           -0.5491,           31.4567,
Ref 16,5.93780e-08,,,,,,1.1858e-02,4.1651e-03,4.8404e-05,4.4496e-06,7.3853e-08,,,,,,,,,,,
Sam 16,5.92180e-08,1.19246e-02,4.2213e-03,4.9316e-05,4.5669e-06,7.8600e-08,,,,,,            5.5759,           13.4978,           18.8595,           26.4639,           63.1634,            2.5779,            7.5203,           -0.2414,           -0.6950,           29.3850,
Ref 17,5.82693e-08,,,,,,1.1859e-02,4.1651e-03,4.8403e-05,4.4486e-06,7.4009e-08,,,,,,,,,,,
Sam 17,5.81372e-08,1.19245e-02,4.2214e-03,4.9318e-05,4.5674e-06,7.8308e-08,,,,,,            5.5686,           13.4978,           18.8742,           26.7548,           61.2742,            2.5702,            7.5204,           -0.2196,           -0.4118,           27.5637,
Ref 18,5.71835e-08,,,,,,1.1858e-02,4.1652e-03,4.8406e-05,4.4482e-06,7.3560e-08,,,,,,,,,,,
Sam 18,5.70772e-08,1.19244e-02,4.2214e-03,4.9318e-05,4.5679e-06,7.9718e-08,,,,,,            5.5661,           13.4993,           18.8585,           26.9510,           76.0489,            2.5674,            7.5219,           -0.2339,           -0.2238,           41.8689,
Ref 19,5.61255e-08,,,,,,1.1858e-02,4.1652e-03,4.8403e-05,4.4479e-06,7.4619e-08,,,,,,,,,,,
Sam 19,5.60471e-08,1.19244e-02,4.2214e-03,4.9322e-05,4.5694e-06,7.9036e-08,,,,,,            5.5671,           13.4991,           18.9708,           27.1707,           63.2287,            2.5685,            7.5216,           -0.1245,           -0.0093,           29.4554,
Ref 20,5.50941e-08,,,,,,1.1858e-02,4.1652e-03,4.8404e-05,4.4492e-06,7.4049e-08,,,,,,,,,,,
Sam 20,5.50448e-08,1.19244e-02,4.2215e-03,4.9314e-05,4.5669e-06,7.9251e-08,,,,,,            5.5661,           13.5001,           18.8321,           26.8574,           69.7656,            2.5674,            7.5226,           -0.2604,           -0.3163,           35.7837,
Ref 21,5.40856e-08,,,,,,1.1858e-02,4.1653e-03,4.8400e-05,4.4457e-06,7.4117e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.35943e-08,,,,,,1.1858e-02,4.1653e-03,4.8405e-05,4.4475e-06,7.3532e-08,
Sam 1,5.35766e-08,1.19244e-02,4.2215e-03,4.9329e-05,4.5685e-06,7.8255e-08,,,,,,            5.5676,           13.4893,           19.0567,           27.2093,           62.1045,            2.5694,            7.5119,           -0.0312,            0.0475,           28.3858,
Ref 2,5.26246e-08,,,,,,1.1858e-02,4.1653e-03,4.8408e-05,4.4474e-06,7.3830e-08,,,,,,,,,,,
Sam 2,5.26274e-08,1.19244e-02,4.2215e-03,4.9320e-05,4.5686e-06,7.8447e-08,,,,,,            5.5659,           13.4909,           18.8911,           27.1813,           62.1772,            2.5675,            7.5134,           -0.1934,            0.0171,           28.4549,
Ref 3,5.16908e-08,,,,,,1.1858e-02,4.1654e-03,4.8404e-05,4.4480e-06,7.3880e-08,,,,,,,,,,,
Sam 3,5.17049e-08,1.19244e-02,4.2216e-03,4.9326e-05,4.5680e-06,7.8875e-08,,,,,,            5.5709,           13.4911,           18.9510,           27.1542,           70.9373,            2.5729,            7.5137,           -0.1401,           -0.0098,           36.9308,
Ref 4,5.07658e-08,,,,,,1.1858e-02,4.1654e-03,4.8414e-05,4.4464e-06,7.3416e-08,,,,,,,,,,,
Sam 4,5.08009e-08,1.19244e-02,4.2215e-03,4.9328e-05,4.5694e-06,7.8335e-08,,,,,,            5.5770,           13.4735,           18.9197,           27.2491,           59.9011,            2.5799,            7.4961,           -0.1598,            0.1175,           26.2737,
Ref 5,4.98646e-08,,,,,,1.1858e-02,4.1654e-03,4.8411e-05,4.4501e-06,7.4409e-08,,,,,,,,,,,
Sam 5,4.99202e-08,1.19244e-02,4.2216e-03,4.9328e-05,4.5676e-06,7.9567e-08,,,,,,            5.5783,           13.4938,           18.8994,           26.9939,           77.0756,            2.5806,            7.5163,           -0.2008,           -0.1710,           42.8607,
Ref 6,4.89886e-08,,,,,,1.1858e-02,4.1654e-03,4.8416e-05,4.4451e-06,7.3327e-08,,,,,,,,,,,
Sam 6,4.90607e-08,1.19243e-02,4.2217e-03,4.9322e-05,4.5665e-06,7.9565e-08,,,,,,            5.5701,           13.4979,           18.7712,           26.9914,           74.0575,            2.5718,            7.5205,           -0.3223,           -0.1817,           39.9392,
Ref 7,4.81296e-08,,,,,,1.1858e-02,4.1654e-03,4.8410e-05,4.4479e-06,7.4844e-08,,,,,,,,,,,
Sam 7,4.82206e-08,1.19244e-02,4.2217e-03,4.9328e-05,4.5674e-06,7.9434e-08,,,,,,            5.5751,           13.4999,           18.9034,           26.7372,           67.2927,            2.5770,            7.5224,           -0.1996,           -0.4329,           33.3799,
Ref 8,4.72911e-08,,,,,,1.1858e-02,4.1655e-03,4.8417e-05,4.4491e-06,7.4001e-08,,,,,,,,,,,
Sam 8,4.74021e-08,1.19243e-02,4.2217e-03,4.9325e-05,4.5682e-06,7.9704e-08,,,,,,            5.5702,           13.4699,           18.8093,           26.9882,           81.3731,            2.5728,            7.4925,           -0.2577,           -0.1295,           47.0793,
Ref 9,4.64771e-08,,,,,,1.1858e-02,4.1656e-03,4.8413e-05,4.4471e-06,7.3408e-08,,,,,,,,,,,
Sam 9,4.66050e-08,1.19242e-02,4.2217e-03,4.9330e-05,4.5663e-06,7.9537e-08,,,,,,            5.5718,           13.4748,           18.9694,           26.6691,           84.0496,            2.5744,            7.4974,           -0.1071,           -0.4499,           49.6590,
Ref 10,4.56788e-08,,,,,,1.1858e-02,4.1655e-03,4.8410e-05,4.4483e-06,7.3332e-08,,,,,,,,,,,
Sam 10,4.58245e-08,1.19243e-02,4.2217e-03,4.9331e-05,4.5656e-06,7.9795e-08,,,,,,            5.5742,           13.4920,           18.9290,           26.6928,           84.6114,            2.5763,            7.5146,           -0.1658,           -0.4608,           50.1653,
Ref 11,4.49019e-08,,,,,,1.1858e-02,4.1655e-03,4.8418e-05,4.4454e-06,7.3812e-08,,,,,,,,,,,
Sam 11,4.50669e-08,1.19242e-02,4.2217e-03,4.9331e-05,4.5668e-06,7.9335e-08,,,,,,            5.5684,           13.4805,           18.9399,           27.3095,           75.2190,            2.5705,            7.5031,           -0.1380,            0.1624,           41.1009,
Ref 12,4.41427e-08,,,,,,1.1858e-02,4.1656e-03,4.8410e-05,4.4454e-06,7.3757e-08,,,,,,,,,,,
Sam 12,4.43208e-08,1.19241e-02,4.2217e-03,4.9333e-05,4.5660e-06,7.8613e-08,,,,,,            5.5690,           13.4729,           18.9600,           27.0183,           69.9007,            2.5715,            7.4955,           -0.1116,           -0.1060,           35.9660,
Ref 13,4.33965e-08,,,,,,1.1858e-02,4.1656e-03,4.8420e-05,4.4463e-06,7.3192e-08,,,,,,,,,,,
Sam 13,4.35959e-08,1.19241e-02,4.2218e-03,4.9329e-05,4.5659e-06,7.8234e-08,,,,,,            5.5692,           13.4837,           18.8125,           26.9967,           67.0167,            2.5712,            7.5063,           -0.2669,           -0.1484,           33.1516,
Ref 14,4.26709e-08,,,,,,1.1858e-02,4.1656e-03,4.8416e-05,4.4455e-06,7.3452e-08,,,,,,,,,,,
Sam 14,4.28895e-08,1.19241e-02,4.2218e-03,4.9327e-05,4.5658e-06,7.9444e-08,,,,,,            5.5642,           13.4891,           18.8164,           26.9178,           84.5485,            2.5657,            7.5117,           -0.2633,           -0.2360,           50.1215,
Ref 15,4.19607e-08,,,,,,1.1858e-02,4.1656e-03,4.8416e-05,4.4467e-06,7.3046e-08,,,,,,,,,,,
Sam 15,4.21919e-08,1.19241e-02,4.2218e-03,4.9329e-05,4.5662e-06,7.9405e-08,,,,,,            5.5633,           13.4856,           18.8518,           26.9327,           75.4539,            2.5650,            7.5082,           -0.2242,           -0.2145,           41.3236,
Ref 16,4.12728e-08,,,,,,1.1858e-02,4.1657e-03,4.8416e-05,4.4462e-06,7.4636e-08,,,,,,,,,,,
Sam 16,4.15077e-08,1.19240e-02,4.2219e-03,4.9329e-05,4.5663e-06,7.8974e-08,,,,,,            5.5678,           13.4906,           18.8556,           27.1074,           60.9134,            2.5695,            7.5132,           -0.2300,           -0.0544,           27.2296,
Ref 17,4.05922e-08,,,,,,1.1858e-02,4.1657e-03,4.8415e-05,4.4452e-06,7.4240e-08,,,,,,,,,,,
Sam 17,4.08408e-08,1.19240e-02,4.2218e-03,4.9335e-05,4.5664e-06,7.9051e-08,,,,,,            5.5694,           13.4664,           18.9435,           27.5606,           56.0406,            2.5720,            7.4891,           -0.1218,            0.4347,           22.5579,
Ref 18,3.99267e-08,,,,,,1.1858e-02,4.1657e-03,4.8419e-05,4.4426e-06,7.5482e-08,,,,,,,,,,,
Sam 18,4.01851e-08,1.19240e-02,4.2219e-03,4.9334e-05,4.5655e-06,7.8623e-08,,,,,,            5.5678,           13.4912,           18.8670,           27.3084,           55.4698,            2.5696,            7.5138,           -0.2195,            0.1401,           21.9576,
Ref 19,3.92748e-08,,,,,,1.1858e-02,4.1657e-03,4.8421e-05,4.4456e-06,7.3484e-08,,,,,,,,,,,
Sam 19,3.95431e-08,1.19240e-02,4.2218e-03,4.9332e-05,4.5656e-06,8.0116e-08,,,,,,            5.5773,           13.4785,           18.8850,           27.1104,           96.9571,            2.5800,            7.5012,           -0.1991,           -0.0276,           62.1433,
Ref 20,3.86408e-08,,,,,,1.1858e-02,4.1657e-03,4.8415e-05,4.4446e-06,7.2579e-08,,,,,,,,,,,
Sam 20,3.89185e-08,1.19239e-02,4.2219e-03,4.9334e-05,4.5657e-06,7.8622e-08,,,,,,            5.5693,           13.4870,           18.9569,           27.2765,           85.8107,            2.5713,            7.5096,           -0.1286,            0.1175,           51.3422,
Ref 21,3.80175e-08,,,,,,1.1858e-02,4.1657e-03,4.8417e-05,4.4443e-06,7.2236e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.77134e-08,,,,,,1.1858e-02,4.1657e-03,4.8414e-05,4.4444e-06,7.1989e-08,
Sam 1,3.80046e-08,1.19239e-02,4.2219e-03,4.9333e-05,4.5643e-06,7.8673e-08,,,,,,            5.5699,           13.4946,           18.9184,           27.0863,           87.0349,            2.5716,            7.5171,           -0.1743,           -0.0827,           52.5115,
Ref 2,3.71113e-08,,,,,,1.1858e-02,4.1657e-03,4.8419e-05,4.4435e-06,7.2766e-08,,,,,,,,,,,
Sam 2,3.74128e-08,1.19238e-02,4.2219e-03,4.9338e-05,4.5633e-06,7.8656e-08,,,,,,            5.5639,           13.4788,           19.0379,           26.8483,           74.2116,            2.5658,            7.5015,           -0.0356,           -0.2833,           40.1338,
Ref 3,3.65197e-08,,,,,,1.1858e-02,4.1658e-03,4.8414e-05,4.4444e-06,7.3686e-08,,,,,,,,,,,
Sam 3,3.68309e-08,1.19237e-02,4.2219e-03,4.9335e-05,4.5657e-06,8.0860e-08,,,,,,            5.5592,           13.4784,           18.9492,           27.4230,          111.6104,            2.5608,            7.5010,           -0.1174,            0.2772,           76.3524,
Ref 4,3.59461e-08,,,,,,1.1858e-02,4.1658e-03,4.8421e-05,4.4433e-06,7.1782e-08,,,,,,,,,,,
Sam 4,3.62674e-08,1.19238e-02,4.2219e-03,4.9335e-05,4.5643e-06,7.9942e-08,,,,,,            5.5719,           13.4792,           18.8751,           26.9814,          106.8919,            2.5743,            7.5019,           -0.2039,           -0.1545,           71.7674,
Ref 5,3.53793e-08,,,,,,1.1858e-02,4.1658e-03,4.8422e-05,4.4455e-06,7.2669e-08,,,,,,,,,,,
Sam 5,3.57096e-08,1.19237e-02,4.2219e-03,4.9337e-05,4.5610e-06,7.8727e-08,,,,,,            5.5705,           13.4760,           18.9644,           26.2335,           80.0365,            2.5730,            7.4986,           -0.1118,           -0.8763,           45.7723,
Ref 6,3.48285e-08,,,,,,1.1858e-02,4.1658e-03,4.8415e-05,4.4432e-06,7.3120e-08,,,,,,,,,,,
Sam 6,3.51703e-08,1.19237e-02,4.2219e-03,4.9334e-05,4.5632e-06,8.0061e-08,,,,,,            5.5724,           13.4711,           18.9229,           26.9759,           89.6572,            2.5751,            7.4937,           -0.1496,           -0.1437,           55.0959,
Ref 7,3.42888e-08,,,,,,1.1858e-02,4.1658e-03,4.8419e-05,4.4435e-06,7.3833e-08,,,,,,,,,,,
Sam 7,3.46396e-08,1.19236e-02,4.2220e-03,4.9343e-05,4.5643e-06,7.8397e-08,,,,,,            5.5717,           13.4759,           19.0264,           27.3873,           62.8490,            2.5743,            7.4985,           -0.0522,            0.2472,           29.1290,
Ref 8,3.37615e-08,,,,,,1.1858e-02,4.1658e-03,4.8424e-05,4.4417e-06,7.3689e-08,,,,,,,,,,,
Sam 8,3.41227e-08,1.19237e-02,4.2220e-03,4.9339e-05,4.5629e-06,8.1272e-08,,,,,,            5.5800,           13.4799,           18.9378,           27.1593,           99.7989,            2.5829,            7.5025,           -0.1514,            0.0173,           64.8890,
Ref 9,3.32441e-08,,,,,,1.1858e-02,4.1658e-03,4.8420e-05,4.4428e-06,7.4109e-08,,,,,,,,,,,
Sam 9,3.36104e-08,1.19235e-02,4.2220e-03,4.9334e-05,4.5599e-06,8.0670e-08,,,,,,            5.5666,           13.4787,           18.8452,           26.5252,           92.4529,            2.5687,            7.5013,           -0.2274,           -0.5976,           57.7936,
Ref 10,3.27355e-08,,,,,,1.1858e-02,4.1658e-03,4.8423e-05,4.4413e-06,7.3573e-08,,,,,,,,,,,
Sam 10,3.31101e-08,1.19235e-02,4.2220e-03,4.9338e-05,4.5624e-06,8.0598e-08,,,,,,            5.5652,           13.4746,           18.9983,           27.3765,           96.3292,            2.5673,            7.4973,           -0.0717,            0.2392,           61.5569,
Ref 11,3.22385e-08,,,,,,1.1858e-02,4.1658e-03,4.8414e-05,4.4403e-06,7.3459e-08,,,,,,,,,,,
Sam 11,3.26233e-08,1.19235e-02,4.2220e-03,4.9346e-05,4.5615e-06,7.9724e-08,,,,,,            5.5667,           13.4783,           19.1784,           27.0849,           85.2718,            2.5688,            7.5009,            0.1000,           -0.0518,           50.8412,
Ref 12,3.17511e-08,,,,,,1.1857e-02,4.1658e-03,4.8421e-05,4.4421e-06,7.3460e-08,,,,,,,,,,,
Sam 12,3.21542e-08,1.19235e-02,4.2220e-03,4.9347e-05,4.5620e-06,7.9480e-08,,,,,,            5.5661,           13.4774,           19.1181,           27.5339,           99.6169,            2.5682,            7.5001,            0.0422,            0.3870,           64.7336,
Ref 13,3.12870e-08,,,,,,1.1858e-02,4.1659e-03,4.8422e-05,4.4373e-06,7.1081e-08,,,,,,,,,,,
Sam 13,3.16789e-08,1.19235e-02,4.2220e-03,4.9343e-05,4.5588e-06,7.8843e-08,,,,,,            5.5717,           13.4687,           19.0109,           26.9695,           95.7659,            2.5745,            7.4914,           -0.0603,           -0.1454,           61.0163,
Ref 14,3.08122e-08,,,,,,1.1857e-02,4.1659e-03,4.8423e-05,4.4410e-06,7.2838e-08,,,,,,,,,,,
Sam 14,3.12216e-08,1.19234e-02,4.2220e-03,4.9341e-05,4.5590e-06,7.9700e-08,,,,,,            5.5637,           13.4663,           18.9436,           26.5443,           96.3808,            2.5660,            7.4890,           -0.1157,           -0.5545,           61.6258,
Ref 15,3.03560e-08,,,,,,1.1857e-02,4.1659e-03,4.8425e-05,4.4412e-06,7.2548e-08,,,,,,,,,,,
Sam 15,3.07729e-08,1.19234e-02,4.2221e-03,4.9346e-05,4.5594e-06,8.0229e-08,,,,,,            5.5699,           13.4748,           18.9692,           26.6447,          115.6055,            2.5723,            7.4975,           -0.1054,           -0.4737,           80.2160,
Ref 16,2.99056e-08,,,,,,1.1857e-02,4.1660e-03,4.8429e-05,4.4408e-06,7.1273e-08,,,,,,,,,,,
Sam 16,3.03232e-08,1.19235e-02,4.2221e-03,4.9347e-05,4.5601e-06,7.9043e-08,,,,,,            5.5846,           13.4767,           19.1154,           26.8157,           98.8159,            2.5879,            7.4993,            0.0213,           -0.3108,           63.9387,
Ref 17,2.94626e-08,,,,,,1.1857e-02,4.1659e-03,4.8412e-05,4.4412e-06,7.2606e-08,,,,,,,,,,,
Sam 17,2.98921e-08,1.19232e-02,4.2220e-03,4.9339e-05,4.5583e-06,8.0057e-08,,,,,,            5.5700,           13.4842,           18.9733,           26.2389,          109.4925,            2.5721,            7.5068,           -0.1105,           -0.8872,           74.2772,
Ref 18,2.90316e-08,,,,,,1.1857e-02,4.1658e-03,4.8427e-05,4.4423e-06,7.1700e-08,,,,,,,,,,,
Sam 18,2.94633e-08,1.19233e-02,4.2221e-03,4.9341e-05,4.5599e-06,7.8091e-08,,,,,,            5.5792,           13.4924,           18.8241,           26.7109,           95.1155,            2.5817,            7.5149,           -0.2743,           -0.4438,           60.3294,
Ref 19,2.86063e-08,,,,,,1.1857e-02,4.1659e-03,4.8431e-05,4.4402e-06,7.0910e-08,,,,,,,,,,,
Sam 19,2.90412e-08,1.19232e-02,4.2221e-03,4.9345e-05,4.5581e-06,7.9115e-08,,,,,,            5.5706,           13.4857,           18.9184,           26.7456,           94.7275,            2.5727,            7.5083,           -0.1664,           -0.3968,           59.9773,
Ref 20,2.81861e-08,,,,,,1.1857e-02,4.1659e-03,4.8426e-05,4.4386e-06,7.3648e-08,,,,,,,,,,,
Sam 20,2.86331e-08,1.19232e-02,4.2221e-03,4.9347e-05,4.5596e-06,8.1204e-08,,,,,,            5.5769,           13.4921,           18.9865,           27.1899,          106.6614,            2.5792,            7.5146,           -0.1123,            0.0231,           71.5118,
Ref 21,2.77824e-08,,,,,,1.1857e-02,4.1659e-03,4.8429e-05,4.4393e-06,7.3103e-08,,,,,,,,,,,


