Nu Stable Isotope Analysis Program
Data Collected on Thursday, December 21, 2023 at 21:23 with Stable 1.71.5 on PS019,Reanalyzed on Thursday, December 21, 2023 at 22:22 with Stable 1.71.5 on PS019

Data File = Data_21475 SB1_50_A.txt,      Sample Weight = 492,                      Vial Location = 18,                       Initial Sam Beam = 2.5052e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6935e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01799
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.61823e-08,,,,,,1.1858e-02,4.1634e-03,4.8365e-05,4.4347e-06,7.0691e-08,
Sam 1,9.52493e-08,1.19363e-02,4.2315e-03,4.9474e-05,4.5807e-06,7.4460e-08,,,,,,            6.6106,           16.3048,           22.7937,           32.6227,           48.6427,            3.5825,           10.3115,           -0.1692,           -0.2448,            8.7131,
Ref 2,9.40988e-08,,,,,,1.1858e-02,4.1637e-03,4.8378e-05,4.4374e-06,7.1329e-08,,,,,,,,,,,
Sam 2,9.31795e-08,1.19364e-02,4.2316e-03,4.9475e-05,4.5835e-06,7.4719e-08,,,,,,            6.5978,           16.2923,           22.6816,           32.8650,           49.3221,            3.5693,           10.2990,           -0.2535,            0.0146,            9.4048,
Ref 3,9.19896e-08,,,,,,1.1858e-02,4.1638e-03,4.8377e-05,4.4380e-06,7.1083e-08,,,,,,,,,,,
Sam 3,9.11426e-08,1.19364e-02,4.2317e-03,4.9478e-05,4.5841e-06,7.5014e-08,,,,,,            6.5893,           16.2937,           22.7343,           32.7868,           52.0872,            3.5602,           10.3004,           -0.1947,           -0.0639,           12.0711,
Ref 4,8.99492e-08,,,,,,1.1858e-02,4.1639e-03,4.8379e-05,4.4392e-06,7.1522e-08,,,,,,,,,,,
Sam 4,8.91560e-08,1.19366e-02,4.2318e-03,4.9477e-05,4.5836e-06,7.5689e-08,,,,,,            6.5981,           16.2862,           22.6579,           32.3894,           58.5602,            3.5698,           10.2930,           -0.2712,           -0.4340,           18.3031,
Ref 5,8.79611e-08,,,,,,1.1858e-02,4.1640e-03,4.8381e-05,4.4404e-06,7.1480e-08,,,,,,,,,,,
Sam 5,8.72383e-08,1.19366e-02,4.2318e-03,4.9486e-05,4.5852e-06,7.5169e-08,,,,,,            6.5975,           16.2782,           22.8667,           32.5665,           48.8616,            3.5695,           10.2851,           -0.0587,           -0.2469,            8.9896,
Ref 6,8.60310e-08,,,,,,1.1858e-02,4.1641e-03,4.8377e-05,4.4407e-06,7.1859e-08,,,,,,,,,,,
Sam 6,8.53745e-08,1.19366e-02,4.2319e-03,4.9484e-05,4.5859e-06,7.5623e-08,,,,,,            6.5955,           16.2819,           22.8109,           32.6372,           53.1575,            3.5672,           10.2887,           -0.1148,           -0.1856,           13.1171,
Ref 7,8.41698e-08,,,,,,1.1858e-02,4.1641e-03,4.8383e-05,4.4412e-06,7.1751e-08,,,,,,,,,,,
Sam 7,8.35765e-08,1.19366e-02,4.2320e-03,4.9482e-05,4.5856e-06,7.5814e-08,,,,,,            6.5963,           16.2877,           22.6943,           32.4885,           58.6174,            3.5679,           10.2944,           -0.2351,           -0.3409,           18.3572,
Ref 8,8.23619e-08,,,,,,1.1858e-02,4.1642e-03,4.8385e-05,4.4414e-06,7.1478e-08,,,,,,,,,,,
Sam 8,8.18229e-08,1.19366e-02,4.2320e-03,4.9482e-05,4.5853e-06,7.5715e-08,,,,,,            6.5937,           16.2749,           22.6515,           32.4169,           56.2869,            3.5655,           10.2817,           -0.2619,           -0.3851,           16.1433,
Ref 9,8.06014e-08,,,,,,1.1858e-02,4.1643e-03,4.8386e-05,4.4412e-06,7.1886e-08,,,,,,,,,,,
Sam 9,8.01145e-08,1.19366e-02,4.2321e-03,4.9486e-05,4.5867e-06,7.5517e-08,,,,,,            6.5960,           16.2845,           22.7498,           32.6688,           54.9352,            3.5676,           10.2913,           -0.1775,           -0.1601,           14.8217,
Ref 10,7.88876e-08,,,,,,1.1858e-02,4.1643e-03,4.8384e-05,4.4420e-06,7.1276e-08,,,,,,,,,,,
Sam 10,7.84554e-08,1.19366e-02,4.2322e-03,4.9487e-05,4.5854e-06,7.5441e-08,,,,,,            6.5925,           16.2871,           22.7574,           32.1240,           57.1697,            3.5638,           10.2939,           -0.1690,           -0.6928,           16.9697,
Ref 11,7.72364e-08,,,,,,1.1858e-02,4.1644e-03,4.8388e-05,4.4434e-06,7.1448e-08,,,,,,,,,,,
Sam 11,7.68589e-08,1.19366e-02,4.2322e-03,4.9481e-05,4.5870e-06,7.6489e-08,,,,,,            6.5944,           16.2722,           22.5971,           32.5214,           64.2855,            3.5664,           10.2791,           -0.3132,           -0.2786,           23.8424,
Ref 12,7.56397e-08,,,,,,1.1858e-02,4.1645e-03,4.8388e-05,4.4417e-06,7.2299e-08,,,,,,,,,,,
Sam 12,7.53040e-08,1.19366e-02,4.2322e-03,4.9488e-05,4.5862e-06,7.6200e-08,,,,,,            6.5932,           16.2741,           22.6781,           32.4768,           54.6644,            3.5651,           10.2810,           -0.2347,           -0.3255,           14.5845,
Ref 13,7.40811e-08,,,,,,1.1858e-02,4.1645e-03,4.8393e-05,4.4422e-06,7.2200e-08,,,,,,,,,,,
Sam 13,7.37854e-08,1.19367e-02,4.2323e-03,4.9486e-05,4.5865e-06,7.6057e-08,,,,,,            6.5966,           16.2749,           22.5928,           32.4091,           55.4090,            3.5686,           10.2817,           -0.3222,           -0.3926,           15.2956,
Ref 14,7.25674e-08,,,,,,1.1858e-02,4.1645e-03,4.8392e-05,4.4427e-06,7.1925e-08,,,,,,,,,,,
Sam 14,7.23090e-08,1.19366e-02,4.2324e-03,4.9491e-05,4.5886e-06,7.6646e-08,,,,,,            6.5884,           16.2845,           22.7141,           33.0404,           59.6945,            3.5595,           10.2913,           -0.2046,            0.1996,           19.4082,
Ref 15,7.10911e-08,,,,,,1.1858e-02,4.1646e-03,4.8392e-05,4.4409e-06,7.2739e-08,,,,,,,,,,,
Sam 15,7.08839e-08,1.19366e-02,4.2324e-03,4.9493e-05,4.5889e-06,7.5974e-08,,,,,,            6.5946,           16.2717,           22.7825,           33.0993,           49.0947,            3.5666,           10.2786,           -0.1317,            0.2818,            9.2296,
Ref 16,6.96687e-08,,,,,,1.1858e-02,4.1646e-03,4.8390e-05,4.4429e-06,7.2092e-08,,,,,,,,,,,
Sam 16,6.94985e-08,1.19366e-02,4.2324e-03,4.9488e-05,4.5860e-06,7.6961e-08,,,,,,            6.5967,           16.2776,           22.6933,           32.1871,           64.5454,            3.5686,           10.2844,           -0.2268,           -0.6129,           24.0793,
Ref 17,6.82777e-08,,,,,,1.1858e-02,4.1646e-03,4.8389e-05,4.4431e-06,7.2502e-08,,,,,,,,,,,
Sam 17,6.81470e-08,1.19367e-02,4.2324e-03,4.9490e-05,4.5880e-06,7.7015e-08,,,,,,            6.5999,           16.2772,           22.6781,           32.6205,           70.6825,            3.5721,           10.2840,           -0.2445,           -0.1924,           29.9804,
Ref 18,6.69333e-08,,,,,,1.1858e-02,4.1647e-03,4.8395e-05,4.4430e-06,7.1348e-08,,,,,,,,,,,
Sam 18,6.68386e-08,1.19366e-02,4.2325e-03,4.9498e-05,4.5876e-06,7.6519e-08,,,,,,            6.5968,           16.2747,           22.8199,           32.6895,           66.0901,            3.5688,           10.2815,           -0.1003,           -0.1208,           25.5709,
Ref 19,6.56210e-08,,,,,,1.1858e-02,4.1647e-03,4.8392e-05,4.4417e-06,7.2211e-08,,,,,,,,,,,
Sam 19,6.55527e-08,1.19367e-02,4.2326e-03,4.9493e-05,4.5886e-06,7.7205e-08,,,,,,            6.6009,           16.2825,           22.7074,           32.9850,           66.4084,            3.5729,           10.2893,           -0.2220,            0.1499,           25.8571,
Ref 20,6.43408e-08,,,,,,1.1858e-02,4.1648e-03,4.8396e-05,4.4425e-06,7.2586e-08,,,,,,,,,,,
Sam 20,6.43051e-08,1.19365e-02,4.2325e-03,4.9497e-05,4.5874e-06,7.6720e-08,,,,,,            6.5880,           16.2690,           22.7217,           32.6547,           60.5187,            3.5597,           10.2759,           -0.1818,           -0.1433,           20.2320,
Ref 21,6.31073e-08,,,,,,1.1858e-02,4.1648e-03,4.8399e-05,4.4421e-06,7.2093e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.25023e-08,,,,,,1.1858e-02,4.1648e-03,4.8397e-05,4.4429e-06,7.1929e-08,
Sam 1,6.24978e-08,1.19365e-02,4.2326e-03,4.9497e-05,4.5879e-06,7.7142e-08,,,,,,            6.5919,           16.2700,           22.6920,           32.5780,           65.9376,            3.5638,           10.2769,           -0.2158,           -0.2195,           25.4388,
Ref 2,6.13015e-08,,,,,,1.1858e-02,4.1648e-03,4.8401e-05,4.4434e-06,7.2819e-08,,,,,,,,,,,
Sam 2,6.13225e-08,1.19366e-02,4.2327e-03,4.9497e-05,4.5882e-06,7.6716e-08,,,,,,            6.5995,           16.2805,           22.7094,           32.7413,           52.8922,            3.5715,           10.2873,           -0.2167,           -0.0820,           12.8604,
Ref 3,6.01366e-08,,,,,,1.1858e-02,4.1649e-03,4.8395e-05,4.4421e-06,7.2906e-08,,,,,,,,,,,
Sam 3,6.01869e-08,1.19365e-02,4.2327e-03,4.9496e-05,4.5873e-06,7.6131e-08,,,,,,            6.5935,           16.2708,           22.7261,           32.5449,           43.5398,            3.5655,           10.2776,           -0.1848,           -0.2531,            3.8888,
Ref 4,5.90027e-08,,,,,,1.1858e-02,4.1649e-03,4.8398e-05,4.4434e-06,7.3004e-08,,,,,,,,,,,
Sam 4,5.90700e-08,1.19365e-02,4.2327e-03,4.9496e-05,4.5880e-06,7.7183e-08,,,,,,            6.5875,           16.2812,           22.6583,           32.5417,           57.8174,            3.5587,           10.2880,           -0.2551,           -0.2767,           17.6097,
Ref 5,5.79001e-08,,,,,,1.1858e-02,4.1649e-03,4.8401e-05,4.4434e-06,7.2924e-08,,,,,,,,,,,
Sam 5,5.79904e-08,1.19365e-02,4.2328e-03,4.9504e-05,4.5888e-06,7.7979e-08,,,,,,            6.5903,           16.2812,           22.8226,           33.0142,           73.2607,            3.5617,           10.2880,           -0.0974,            0.1807,           32.4630,
Ref 6,5.68193e-08,,,,,,1.1858e-02,4.1650e-03,4.8398e-05,4.4409e-06,7.2383e-08,,,,,,,,,,,
Sam 6,5.69357e-08,1.19364e-02,4.2328e-03,4.9499e-05,4.5879e-06,7.7753e-08,,,,,,            6.5941,           16.2753,           22.6768,           32.7935,           77.2615,            3.5659,           10.2821,           -0.2380,           -0.0212,           36.3195,
Ref 7,5.57666e-08,,,,,,1.1858e-02,4.1650e-03,4.8405e-05,4.4435e-06,7.1966e-08,,,,,,,,,,,
Sam 7,5.59148e-08,1.19364e-02,4.2328e-03,4.9505e-05,4.5878e-06,7.8181e-08,,,,,,            6.5813,           16.2646,           22.7579,           32.2743,           76.1594,            3.5526,           10.2716,           -0.1353,           -0.5030,           35.2946,
Ref 8,5.47492e-08,,,,,,1.1858e-02,4.1651e-03,4.8401e-05,4.4453e-06,7.3343e-08,,,,,,,,,,,
Sam 8,5.49174e-08,1.19364e-02,4.2329e-03,4.9500e-05,4.5864e-06,7.7393e-08,,,,,,            6.5826,           16.2752,           22.6828,           32.0310,           62.9401,            3.5537,           10.2820,           -0.2202,           -0.7592,           22.5551,
Ref 9,5.37517e-08,,,,,,1.1858e-02,4.1651e-03,4.8403e-05,4.4428e-06,7.2268e-08,,,,,,,,,,,
Sam 9,5.39502e-08,1.19364e-02,4.2329e-03,4.9502e-05,4.5890e-06,7.7733e-08,,,,,,            6.5891,           16.2649,           22.7174,           32.8776,           81.7236,            3.5610,           10.2718,           -0.1832,            0.0806,           40.6384,
Ref 10,5.27818e-08,,,,,,1.1858e-02,4.1651e-03,4.8403e-05,4.4432e-06,7.1445e-08,,,,,,,,,,,
Sam 10,5.29992e-08,1.19363e-02,4.2329e-03,4.9503e-05,4.5875e-06,7.7755e-08,,,,,,            6.5792,           16.2689,           22.7106,           32.5876,           87.9277,            3.5503,           10.2758,           -0.1835,           -0.2081,           46.6097,
Ref 11,5.18360e-08,,,,,,1.1858e-02,4.1652e-03,4.8404e-05,4.4423e-06,7.1497e-08,,,,,,,,,,,
Sam 11,5.20812e-08,1.19364e-02,4.2329e-03,4.9503e-05,4.5890e-06,7.8353e-08,,,,,,            6.5943,           16.2541,           22.6468,           33.1246,           88.8598,            3.5669,           10.2610,           -0.2471,            0.3411,           47.5197,
Ref 12,5.09118e-08,,,,,,1.1858e-02,4.1652e-03,4.8410e-05,4.4415e-06,7.2429e-08,,,,,,,,,,,
Sam 12,5.11745e-08,1.19363e-02,4.2330e-03,4.9511e-05,4.5871e-06,7.6750e-08,,,,,,            6.5892,           16.2612,           22.8041,           32.4957,           57.8998,            3.5612,           10.2681,           -0.0949,           -0.2819,           17.7267,
Ref 13,5.00085e-08,,,,,,1.1858e-02,4.1652e-03,4.8404e-05,4.4439e-06,7.2672e-08,,,,,,,,,,,
Sam 13,5.02957e-08,1.19362e-02,4.2330e-03,4.9501e-05,4.5869e-06,7.7149e-08,,,,,,            6.5855,           16.2553,           22.6429,           32.3778,           55.6384,            3.5575,           10.2622,           -0.2429,           -0.3844,           15.5668,
Ref 14,4.91281e-08,,,,,,1.1858e-02,4.1653e-03,4.8406e-05,4.4422e-06,7.3501e-08,,,,,,,,,,,
Sam 14,4.94436e-08,1.19362e-02,4.2330e-03,4.9508e-05,4.5877e-06,7.7459e-08,,,,,,            6.5888,           16.2654,           22.7673,           32.7507,           68.3389,            3.5606,           10.2723,           -0.1345,           -0.0432,           27.7614,
Ref 15,4.82672e-08,,,,,,1.1858e-02,4.1653e-03,4.8407e-05,4.4422e-06,7.1489e-08,,,,,,,,,,,
Sam 15,4.86067e-08,1.19362e-02,4.2330e-03,4.9509e-05,4.5864e-06,7.7174e-08,,,,,,            6.5865,           16.2691,           22.7634,           32.3806,           74.0459,            3.5581,           10.2760,           -0.1395,           -0.4088,           33.2468,
Ref 16,4.74294e-08,,,,,,1.1858e-02,4.1653e-03,4.8407e-05,4.4429e-06,7.2224e-08,,,,,,,,,,,
Sam 16,4.77887e-08,1.19362e-02,4.2331e-03,4.9506e-05,4.5868e-06,7.7275e-08,,,,,,            6.5883,           16.2711,           22.6660,           32.5252,           73.0594,            3.5599,           10.2780,           -0.2386,           -0.2728,           32.2918,
Ref 17,4.66163e-08,,,,,,1.1858e-02,4.1653e-03,4.8411e-05,4.4416e-06,7.1800e-08,,,,,,,,,,,
Sam 17,4.69881e-08,1.19361e-02,4.2331e-03,4.9512e-05,4.5876e-06,7.7427e-08,,,,,,            6.5889,           16.2628,           22.8139,           32.7747,           77.2877,            3.5608,           10.2698,           -0.0866,           -0.0149,           36.3754,
Ref 18,4.58132e-08,,,,,,1.1858e-02,4.1653e-03,4.8404e-05,4.4425e-06,7.1946e-08,,,,,,,,,,,
Sam 18,4.62074e-08,1.19361e-02,4.2330e-03,4.9508e-05,4.5852e-06,7.7938e-08,,,,,,            6.5894,           16.2462,           22.8144,           32.1320,           84.7632,            3.5619,           10.2532,           -0.0705,           -0.6046,           43.5999,
Ref 19,4.50325e-08,,,,,,1.1858e-02,4.1654e-03,4.8404e-05,4.4425e-06,7.1748e-08,,,,,,,,,,,
Sam 19,4.54447e-08,1.19361e-02,4.2331e-03,4.9509e-05,4.5844e-06,7.7527e-08,,,,,,            6.5910,           16.2429,           22.7791,           31.9045,           76.3209,            3.5638,           10.2499,           -0.1035,           -0.8183,           35.4830,
Ref 20,4.42638e-08,,,,,,1.1858e-02,4.1654e-03,4.8410e-05,4.4428e-06,7.2315e-08,,,,,,,,,,,
Sam 20,4.47007e-08,1.19360e-02,4.2331e-03,4.9509e-05,4.5875e-06,7.7441e-08,,,,,,            6.5910,           16.2635,           22.7344,           32.5725,           73.2544,            3.5631,           10.2704,           -0.1672,           -0.2120,           32.4915,
Ref 21,4.35259e-08,,,,,,1.1858e-02,4.1654e-03,4.8406e-05,4.4428e-06,7.1992e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.31647e-08,,,,,,1.1858e-02,4.1653e-03,4.8404e-05,4.4419e-06,7.1621e-08,
Sam 1,4.36249e-08,1.19360e-02,4.2331e-03,4.9513e-05,4.5886e-06,7.8051e-08,,,,,,            6.5922,           16.2591,           22.7841,           33.0587,           87.9664,            3.5645,           10.2660,           -0.1155,            0.2675,           46.6524,
Ref 2,4.24507e-08,,,,,,1.1858e-02,4.1654e-03,4.8416e-05,4.4416e-06,7.1861e-08,,,,,,,,,,,
Sam 2,4.29235e-08,1.19361e-02,4.2331e-03,4.9513e-05,4.5878e-06,7.7606e-08,,,,,,            6.5931,           16.2452,           22.6895,           32.8597,           68.9461,            3.5659,           10.2522,           -0.1954,            0.1021,           28.3811,
Ref 3,4.17439e-08,,,,,,1.1858e-02,4.1654e-03,4.8412e-05,4.4422e-06,7.3352e-08,,,,,,,,,,,
Sam 3,4.22288e-08,1.19360e-02,4.2332e-03,4.9508e-05,4.5867e-06,7.8646e-08,,,,,,            6.5841,           16.2543,           22.6506,           32.7735,           60.5231,            3.5560,           10.2613,           -0.2330,            0.0007,           20.2695,
Ref 4,4.10545e-08,,,,,,1.1858e-02,4.1655e-03,4.8411e-05,4.4400e-06,7.4976e-08,,,,,,,,,,,
Sam 4,4.15572e-08,1.19359e-02,4.2332e-03,4.9508e-05,4.5873e-06,7.9237e-08,,,,,,            6.5883,           16.2557,           22.6032,           33.0487,           82.5628,            3.5604,           10.2626,           -0.2850,            0.2645,           41.4653,
Ref 5,4.03836e-08,,,,,,1.1858e-02,4.1654e-03,4.8417e-05,4.4411e-06,7.1382e-08,,,,,,,,,,,
Sam 5,4.09026e-08,1.19358e-02,4.2332e-03,4.9509e-05,4.5850e-06,7.7952e-08,,,,,,            6.5795,           16.2539,           22.6536,           32.3915,           79.1048,            3.5511,           10.2609,           -0.2250,           -0.3684,           38.1518,
Ref 6,3.97240e-08,,,,,,1.1858e-02,4.1655e-03,4.8407e-05,4.4412e-06,7.3107e-08,,,,,,,,,,,
Sam 6,4.02546e-08,1.19358e-02,4.2333e-03,4.9518e-05,4.5855e-06,7.7865e-08,,,,,,            6.5833,           16.2605,           22.9450,           32.4628,           66.2926,            3.5550,           10.2675,            0.0495,           -0.3124,           25.8084,
Ref 7,3.90800e-08,,,,,,1.1858e-02,4.1655e-03,4.8407e-05,4.4414e-06,7.2939e-08,,,,,,,,,,,
Sam 7,3.96277e-08,1.19359e-02,4.2332e-03,4.9515e-05,4.5866e-06,7.6011e-08,,,,,,            6.5894,           16.2455,           22.7898,           32.8772,           41.7684,            3.5620,           10.2525,           -0.0939,            0.1184,            2.2381,
Ref 8,3.84543e-08,,,,,,1.1858e-02,4.1656e-03,4.8415e-05,4.4397e-06,7.2987e-08,,,,,,,,,,,
Sam 8,3.90124e-08,1.19358e-02,4.2332e-03,4.9519e-05,4.5859e-06,7.7979e-08,,,,,,            6.5901,           16.2368,           22.7144,           33.0805,           65.4335,            3.5630,           10.2439,           -0.1599,            0.3324,           25.0217,
Ref 9,3.78400e-08,,,,,,1.1858e-02,4.1656e-03,4.8423e-05,4.4383e-06,7.3397e-08,,,,,,,,,,,
Sam 9,3.84101e-08,1.19357e-02,4.2332e-03,4.9512e-05,4.5859e-06,7.9430e-08,,,,,,            6.5899,           16.2439,           22.6335,           32.8530,           89.3784,            3.5625,           10.2509,           -0.2456,            0.0982,           48.0443,
Ref 10,3.72408e-08,,,,,,1.1858e-02,4.1655e-03,4.8410e-05,4.4418e-06,7.2422e-08,,,,,,,,,,,
Sam 10,3.78226e-08,1.19357e-02,4.2333e-03,4.9517e-05,4.5879e-06,7.7317e-08,,,,,,            6.5862,           16.2673,           22.7708,           33.0900,           72.8271,            3.5578,           10.2742,           -0.1302,            0.2816,           32.0783,
Ref 11,3.66536e-08,,,,,,1.1858e-02,4.1655e-03,4.8420e-05,4.4401e-06,7.1709e-08,,,,,,,,,,,
Sam 11,3.72441e-08,1.19357e-02,4.2333e-03,4.9524e-05,4.5849e-06,7.7178e-08,,,,,,            6.5852,           16.2563,           22.8957,           32.7703,           91.5212,            3.5572,           10.2632,            0.0035,           -0.0063,           50.0858,
Ref 12,3.60762e-08,,,,,,1.1858e-02,4.1656e-03,4.8412e-05,4.4387e-06,6.9689e-08,,,,,,,,,,,
Sam 12,3.66779e-08,1.19357e-02,4.2332e-03,4.9511e-05,4.5869e-06,7.7936e-08,,,,,,            6.5943,           16.2367,           22.6479,           33.0715,           96.7798,            3.5675,           10.2437,           -0.2291,            0.3239,           55.1746,
Ref 13,3.55085e-08,,,,,,1.1858e-02,4.1656e-03,4.8417e-05,4.4414e-06,7.2450e-08,,,,,,,,,,,
Sam 13,3.61222e-08,1.19357e-02,4.2333e-03,4.9514e-05,4.5847e-06,8.0278e-08,,,,,,            6.5971,           16.2480,           22.6419,           32.4469,          114.8546,            3.5701,           10.2550,           -0.2488,           -0.3031,           72.5371,
Ref 14,3.49565e-08,,,,,,1.1857e-02,4.1656e-03,4.8419e-05,4.4398e-06,7.1558e-08,,,,,,,,,,,
Sam 14,3.55787e-08,1.19357e-02,4.2333e-03,4.9517e-05,4.5848e-06,7.8424e-08,,,,,,            6.5961,           16.2460,           22.7279,           32.7150,           88.9087,            3.5690,           10.2530,           -0.1618,           -0.0397,           47.5811,
Ref 15,3.44135e-08,,,,,,1.1857e-02,4.1657e-03,4.8413e-05,4.4392e-06,7.2490e-08,,,,,,,,,,,
Sam 15,3.50442e-08,1.19356e-02,4.2333e-03,4.9515e-05,4.5839e-06,7.9339e-08,,,,,,            6.5906,           16.2478,           22.7846,           32.5047,          103.5931,            3.5631,           10.2548,           -0.1024,           -0.2468,           61.7108,
Ref 16,3.38843e-08,,,,,,1.1857e-02,4.1656e-03,4.8411e-05,4.4400e-06,7.1284e-08,,,,,,,,,,,
Sam 16,3.45202e-08,1.19356e-02,4.2333e-03,4.9517e-05,4.5805e-06,7.8425e-08,,,,,,            6.5964,           16.2330,           22.7594,           31.5902,          101.7495,            3.5698,           10.2400,           -0.1186,           -1.1031,           59.9611,
Ref 17,3.33661e-08,,,,,,1.1857e-02,4.1657e-03,4.8419e-05,4.4404e-06,7.1078e-08,,,,,,,,,,,
Sam 17,3.40113e-08,1.19355e-02,4.2333e-03,4.9516e-05,4.5837e-06,7.8331e-08,,,,,,            6.5888,           16.2345,           22.6972,           32.7160,           90.4331,            3.5617,           10.2415,           -0.1732,           -0.0160,           49.0792,
Ref 18,3.28574e-08,,,,,,1.1857e-02,4.1657e-03,4.8416e-05,4.4366e-06,7.2603e-08,,,,,,,,,,,
Sam 18,3.35119e-08,1.19355e-02,4.2333e-03,4.9518e-05,4.5829e-06,7.6473e-08,,,,,,            6.5874,           16.2296,           22.7452,           32.9518,           49.1810,            3.5604,           10.2367,           -0.1200,            0.2219,            9.4026,
Ref 19,3.23599e-08,,,,,,1.1857e-02,4.1657e-03,4.8418e-05,4.4368e-06,7.3178e-08,,,,,,,,,,,
Sam 19,3.30162e-08,1.19354e-02,4.2333e-03,4.9517e-05,4.5822e-06,7.8948e-08,,,,,,            6.5883,           16.2413,           22.6439,           32.5626,           85.1778,            3.5609,           10.2483,           -0.2313,           -0.1779,           44.0100,
Ref 20,3.18669e-08,,,,,,1.1857e-02,4.1656e-03,4.8423e-05,4.4386e-06,7.2318e-08,,,,,,,,,,,
Sam 20,3.25319e-08,1.19354e-02,4.2333e-03,4.9516e-05,4.5845e-06,7.9162e-08,,,,,,            6.5878,           16.2490,           22.6288,           32.8764,          108.3563,            3.5602,           10.2560,           -0.2531,            0.1108,           66.2939,
Ref 21,3.13842e-08,,,,,,1.1857e-02,4.1657e-03,4.8417e-05,4.4386e-06,7.0513e-08,,,,,,,,,,,


