Nu Stable Isotope Analysis Program
Data Collected on Friday, December 22, 2023 at 06:23 with Stable 1.71.5 on PS019,Reanalyzed on Friday, December 22, 2023 at 07:22 with Stable 1.71.5 on PS019

Data File = Data_21481 ETH-4.txt,         Sample Weight = 484,                      Vial Location = 24,                       Initial Sam Beam = 2.5053e-07,            ColdFinger Status = CF,                   Min Ref Beam = 4.0231e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01801
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.36253e-08,,,,,,1.1857e-02,4.1632e-03,4.8368e-05,4.4316e-06,6.9598e-08,
Sam 1,9.27589e-08,1.17692e-02,4.1395e-03,4.7711e-05,4.3829e-06,7.0940e-08,,,,,,           -7.4528,           -5.7178,          -13.6053,          -11.1923,           17.6916,          -10.6230,          -11.5738,           -0.3459,            0.2129,           37.4562,
Ref 2,9.16525e-08,,,,,,1.1858e-02,4.1634e-03,4.8370e-05,4.4334e-06,6.9819e-08,,,,,,,,,,,
Sam 2,9.07695e-08,1.17694e-02,4.1396e-03,4.7716e-05,4.3851e-06,7.0169e-08,,,,,,           -7.4612,           -5.7351,          -13.5093,          -10.9451,            2.9411,          -10.6313,          -11.5910,           -0.2227,            0.4978,           22.4634,
Ref 3,8.96154e-08,,,,,,1.1858e-02,4.1636e-03,4.8370e-05,4.4338e-06,7.0111e-08,,,,,,,,,,,
Sam 3,8.88115e-08,1.17695e-02,4.1397e-03,4.7717e-05,4.3843e-06,7.1575e-08,,,,,,           -7.4610,           -5.7402,          -13.5537,          -11.4279,           26.1707,          -10.6309,          -11.5961,           -0.2628,            0.0197,           46.1556,
Ref 4,8.76391e-08,,,,,,1.1858e-02,4.1636e-03,4.8375e-05,4.4361e-06,6.9380e-08,,,,,,,,,,,
Sam 4,8.69088e-08,1.17695e-02,4.1398e-03,4.7719e-05,4.3848e-06,7.0809e-08,,,,,,           -7.4585,           -5.7397,          -13.5636,          -11.4377,           14.4423,          -10.6283,          -11.5956,           -0.2759,            0.0088,           34.1950,
Ref 5,8.57198e-08,,,,,,1.1858e-02,4.1637e-03,4.8376e-05,4.4349e-06,7.0230e-08,,,,,,,,,,,
Sam 5,8.50574e-08,1.17695e-02,4.1398e-03,4.7715e-05,4.3865e-06,7.1597e-08,,,,,,           -7.4619,           -5.7299,          -13.6565,          -11.0726,           15.9853,          -10.6323,          -11.5859,           -0.3762,            0.3584,           35.7517,
Ref 6,8.38639e-08,,,,,,1.1858e-02,4.1637e-03,4.8376e-05,4.4364e-06,7.0716e-08,,,,,,,,,,,
Sam 6,8.32627e-08,1.17696e-02,4.1399e-03,4.7724e-05,4.3853e-06,7.1184e-08,,,,,,           -7.4593,           -5.7269,          -13.4761,          -11.5003,           10.3706,          -10.6296,          -11.5829,           -0.1991,           -0.0803,           30.0188,
Ref 7,8.20636e-08,,,,,,1.1858e-02,4.1638e-03,4.8377e-05,4.4363e-06,7.0185e-08,,,,,,,,,,,
Sam 7,8.15177e-08,1.17696e-02,4.1400e-03,4.7727e-05,4.3853e-06,7.1078e-08,,,,,,           -7.4598,           -5.7287,          -13.4371,          -11.6120,            8.3768,          -10.6301,          -11.5847,           -0.1572,           -0.1896,           27.9905,
Ref 8,8.03107e-08,,,,,,1.1858e-02,4.1639e-03,4.8377e-05,4.4372e-06,7.0797e-08,,,,,,,,,,,
Sam 8,7.98257e-08,1.17696e-02,4.1400e-03,4.7719e-05,4.3861e-06,7.1628e-08,,,,,,           -7.4623,           -5.7307,          -13.6062,          -11.5776,           20.0867,          -10.6327,          -11.5867,           -0.3241,           -0.1507,           39.9351,
Ref 9,7.86285e-08,,,,,,1.1858e-02,4.1639e-03,4.8378e-05,4.4377e-06,6.9626e-08,,,,,,,,,,,
Sam 9,7.81911e-08,1.17696e-02,4.1400e-03,4.7723e-05,4.3868e-06,7.1369e-08,,,,,,           -7.4609,           -5.7380,          -13.5619,          -11.4733,           21.7825,          -10.6309,          -11.5939,           -0.2734,           -0.0306,           41.6773,
Ref 10,7.69897e-08,,,,,,1.1858e-02,4.1639e-03,4.8380e-05,4.4377e-06,7.0074e-08,,,,,,,,,,,
Sam 10,7.66036e-08,1.17696e-02,4.1401e-03,4.7730e-05,4.3877e-06,7.0925e-08,,,,,,           -7.4667,           -5.7331,          -13.4640,          -11.2997,            9.1580,          -10.6373,          -11.5890,           -0.1731,            0.1350,           28.8034,
Ref 11,7.53994e-08,,,,,,1.1858e-02,4.1640e-03,4.8383e-05,4.4380e-06,7.0492e-08,,,,,,,,,,,
Sam 11,7.50528e-08,1.17696e-02,4.1402e-03,4.7727e-05,4.3871e-06,7.0951e-08,,,,,,           -7.4661,           -5.7352,          -13.5762,          -11.3756,            6.4099,          -10.6366,          -11.5911,           -0.2853,            0.0625,           26.0054,
Ref 12,7.38422e-08,,,,,,1.1858e-02,4.1641e-03,4.8386e-05,4.4372e-06,7.0506e-08,,,,,,,,,,,
Sam 12,7.35500e-08,1.17696e-02,4.1402e-03,4.7728e-05,4.3855e-06,7.2068e-08,,,,,,           -7.4621,           -5.7323,          -13.5866,          -11.7221,           20.3814,          -10.6324,          -11.5883,           -0.3028,           -0.2937,           40.2386,
Ref 13,7.23392e-08,,,,,,1.1858e-02,4.1641e-03,4.8385e-05,4.4379e-06,7.0753e-08,,,,,,,,,,,
Sam 13,7.20900e-08,1.17696e-02,4.1403e-03,4.7725e-05,4.3868e-06,7.2185e-08,,,,,,           -7.4669,           -5.7355,          -13.6082,          -11.4979,           16.0591,          -10.6374,          -11.5914,           -0.3165,           -0.0605,           35.8441,
Ref 14,7.08716e-08,,,,,,1.1858e-02,4.1642e-03,4.8383e-05,4.4377e-06,7.1342e-08,,,,,,,,,,,
Sam 14,7.06715e-08,1.17697e-02,4.1403e-03,4.7727e-05,4.3876e-06,7.1145e-08,,,,,,           -7.4578,           -5.7343,          -13.5694,          -11.3312,            4.3784,          -10.6277,          -11.5902,           -0.2879,            0.1056,           23.9234,
Ref 15,6.94545e-08,,,,,,1.1858e-02,4.1642e-03,4.8385e-05,4.4381e-06,7.0316e-08,,,,,,,,,,,
Sam 15,6.92874e-08,1.17696e-02,4.1403e-03,4.7728e-05,4.3885e-06,7.2189e-08,,,,,,           -7.4576,           -5.7349,          -13.5975,          -11.0334,           29.9771,          -10.6275,          -11.5908,           -0.3160,            0.4081,           50.0212,
Ref 16,6.80673e-08,,,,,,1.1858e-02,4.1642e-03,4.8387e-05,4.4368e-06,6.9855e-08,,,,,,,,,,,
Sam 16,6.79433e-08,1.17696e-02,4.1404e-03,4.7728e-05,4.3888e-06,7.1891e-08,,,,,,           -7.4559,           -5.7208,          -13.6450,          -10.7838,           17.9645,          -10.6262,          -11.5768,           -0.3799,            0.6322,           37.7440,
Ref 17,6.67257e-08,,,,,,1.1858e-02,4.1643e-03,4.8390e-05,4.4365e-06,7.1404e-08,,,,,,,,,,,
Sam 17,6.66423e-08,1.17696e-02,4.1405e-03,4.7729e-05,4.3890e-06,7.2532e-08,,,,,,           -7.4606,           -5.7269,          -13.5906,          -10.8641,           19.5583,          -10.6309,          -11.5829,           -0.3139,            0.5632,           39.3866,
Ref 18,6.54155e-08,,,,,,1.1858e-02,4.1643e-03,4.8384e-05,4.4379e-06,7.0872e-08,,,,,,,,,,,
Sam 18,6.53641e-08,1.17696e-02,4.1405e-03,4.7730e-05,4.3861e-06,7.2495e-08,,,,,,           -7.4647,           -5.7313,          -13.5586,          -11.7393,           25.9528,          -10.6352,          -11.5872,           -0.2728,           -0.3132,           45.9191,
Ref 19,6.41403e-08,,,,,,1.1858e-02,4.1644e-03,4.8388e-05,4.4385e-06,7.0446e-08,,,,,,,,,,,
Sam 19,6.41289e-08,1.17695e-02,4.1405e-03,4.7731e-05,4.3873e-06,7.1831e-08,,,,,,           -7.4679,           -5.7312,          -13.5806,          -11.6584,           13.3644,          -10.6386,          -11.5872,           -0.2918,           -0.2314,           33.0892,
Ref 20,6.29103e-08,,,,,,1.1858e-02,4.1644e-03,4.8389e-05,4.4396e-06,7.1329e-08,,,,,,,,,,,
Sam 20,6.29357e-08,1.17696e-02,4.1406e-03,4.7735e-05,4.3896e-06,7.2102e-08,,,,,,           -7.4572,           -5.7251,          -13.5245,          -10.9936,           19.6199,          -10.6274,          -11.5810,           -0.2522,            0.4285,           39.4418,
Ref 21,6.17109e-08,,,,,,1.1858e-02,4.1644e-03,4.8390e-05,4.4371e-06,7.0087e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.11228e-08,,,,,,1.1858e-02,4.1644e-03,4.8392e-05,4.4382e-06,7.0554e-08,
Sam 1,6.11817e-08,1.17696e-02,4.1406e-03,4.7732e-05,4.3876e-06,7.2158e-08,,,,,,           -7.4597,           -5.7249,          -13.6494,          -11.5044,           21.0765,          -10.6300,          -11.5809,           -0.3764,           -0.0884,           40.9292,
Ref 2,5.99633e-08,,,,,,1.1858e-02,4.1644e-03,4.8394e-05,4.4393e-06,7.0785e-08,,,,,,,,,,,
Sam 2,6.00427e-08,1.17696e-02,4.1406e-03,4.7733e-05,4.3878e-06,7.2821e-08,,,,,,           -7.4603,           -5.7229,          -13.6482,          -11.4853,           30.7675,          -10.6308,          -11.5789,           -0.3764,           -0.0731,           50.8052,
Ref 3,5.88306e-08,,,,,,1.1858e-02,4.1644e-03,4.8393e-05,4.4384e-06,7.0507e-08,,,,,,,,,,,
Sam 3,5.89389e-08,1.17695e-02,4.1407e-03,4.7736e-05,4.3892e-06,7.2495e-08,,,,,,           -7.4584,           -5.7105,          -13.5393,          -11.1927,           23.6011,          -10.6292,          -11.5666,           -0.2803,            0.1980,           43.4718,
Ref 4,5.77265e-08,,,,,,1.1858e-02,4.1645e-03,4.8390e-05,4.4393e-06,7.1146e-08,,,,,,,,,,,
Sam 4,5.78603e-08,1.17695e-02,4.1407e-03,4.7736e-05,4.3866e-06,7.2851e-08,,,,,,           -7.4616,           -5.7357,          -13.5606,          -11.6696,           24.9670,          -10.6317,          -11.5916,           -0.2737,           -0.2339,           44.9197,
Ref 5,5.66542e-08,,,,,,1.1858e-02,4.1646e-03,4.8393e-05,4.4375e-06,7.1006e-08,,,,,,,,,,,
Sam 5,5.68124e-08,1.17695e-02,4.1407e-03,4.7740e-05,4.3878e-06,7.2162e-08,,,,,,           -7.4573,           -5.7276,          -13.4999,          -11.2701,           19.1579,          -10.6274,          -11.5836,           -0.2247,            0.1541,           38.9762,
Ref 6,5.56118e-08,,,,,,1.1858e-02,4.1646e-03,4.8393e-05,4.4381e-06,7.0601e-08,,,,,,,,,,,
Sam 6,5.57919e-08,1.17694e-02,4.1407e-03,4.7737e-05,4.3909e-06,7.3138e-08,,,,,,           -7.4679,           -5.7294,          -13.5899,          -10.6472,           28.6945,          -10.6387,          -11.5853,           -0.3031,            0.7877,           48.7138,
Ref 7,5.45941e-08,,,,,,1.1858e-02,4.1646e-03,4.8396e-05,4.4382e-06,7.1605e-08,,,,,,,,,,,
Sam 7,5.47959e-08,1.17695e-02,4.1408e-03,4.7737e-05,4.3886e-06,7.2846e-08,,,,,,           -7.4584,           -5.7138,          -13.6129,          -11.0671,           26.2158,          -10.6291,          -11.5699,           -0.3516,            0.3316,           46.1441,
Ref 8,5.36060e-08,,,,,,1.1858e-02,4.1646e-03,4.8395e-05,4.4372e-06,7.0353e-08,,,,,,,,,,,
Sam 8,5.38271e-08,1.17695e-02,4.1408e-03,4.7733e-05,4.3871e-06,7.3712e-08,,,,,,           -7.4555,           -5.7279,          -13.6661,          -11.3236,           48.1737,          -10.6255,          -11.5839,           -0.3946,            0.1005,           68.5548,
Ref 9,5.26386e-08,,,,,,1.1858e-02,4.1647e-03,4.8394e-05,4.4374e-06,7.0294e-08,,,,,,,,,,,
Sam 9,5.28869e-08,1.17694e-02,4.1409e-03,4.7739e-05,4.3895e-06,7.2930e-08,,,,,,           -7.4564,           -5.7185,          -13.5382,          -10.9447,           34.0133,          -10.6268,          -11.5745,           -0.2734,            0.4648,           54.1005,
Ref 10,5.16928e-08,,,,,,1.1858e-02,4.1647e-03,4.8395e-05,4.4388e-06,7.0771e-08,,,,,,,,,,,
Sam 10,5.19654e-08,1.17694e-02,4.1409e-03,4.7739e-05,4.3889e-06,7.2716e-08,,,,,,           -7.4597,           -5.7207,          -13.6141,          -11.1714,           27.4433,          -10.6302,          -11.5767,           -0.3447,            0.2401,           47.4111,
Ref 11,5.07699e-08,,,,,,1.1858e-02,4.1647e-03,4.8400e-05,4.4382e-06,7.0776e-08,,,,,,,,,,,
Sam 11,5.10642e-08,1.17694e-02,4.1409e-03,4.7743e-05,4.3892e-06,7.2336e-08,,,,,,           -7.4548,           -5.7228,          -13.5546,          -11.0856,           20.8282,          -10.6250,          -11.5788,           -0.2874,            0.3309,           40.6663,
Ref 12,4.98720e-08,,,,,,1.1858e-02,4.1647e-03,4.8398e-05,4.4387e-06,7.0945e-08,,,,,,,,,,,
Sam 12,5.01925e-08,1.17694e-02,4.1409e-03,4.7741e-05,4.3887e-06,7.2744e-08,,,,,,           -7.4516,           -5.7293,          -13.5834,          -11.2410,           20.8622,          -10.6213,          -11.5853,           -0.3135,            0.1869,           40.7107,
Ref 13,4.89962e-08,,,,,,1.1858e-02,4.1648e-03,4.8400e-05,4.4386e-06,7.1575e-08,,,,,,,,,,,
Sam 13,4.93345e-08,1.17694e-02,4.1410e-03,4.7743e-05,4.3872e-06,7.2211e-08,,,,,,           -7.4545,           -5.7284,          -13.6043,          -11.4339,            9.0837,          -10.6244,          -11.5844,           -0.3325,           -0.0101,           28.7046,
Ref 14,4.81453e-08,,,,,,1.1858e-02,4.1648e-03,4.8403e-05,4.4374e-06,7.1547e-08,,,,,,,,,,,
Sam 14,4.85003e-08,1.17693e-02,4.1410e-03,4.7746e-05,4.3883e-06,7.2137e-08,,,,,,           -7.4643,           -5.7135,          -13.5412,          -11.0920,           10.5132,          -10.6354,          -11.5695,           -0.2731,            0.3058,           30.1425,
Ref 15,4.73175e-08,,,,,,1.1858e-02,4.1648e-03,4.8399e-05,4.4377e-06,7.1223e-08,,,,,,,,,,,
Sam 15,4.76849e-08,1.17694e-02,4.1410e-03,4.7742e-05,4.3899e-06,7.2831e-08,,,,,,           -7.4504,           -5.7332,          -13.6495,          -10.9747,           25.0574,          -10.6199,          -11.5892,           -0.3779,            0.4641,           44.9943,
Ref 16,4.65033e-08,,,,,,1.1858e-02,4.1649e-03,4.8406e-05,4.4395e-06,7.0875e-08,,,,,,,,,,,
Sam 16,4.68758e-08,1.17693e-02,4.1410e-03,4.7748e-05,4.3878e-06,7.3504e-08,,,,,,           -7.4525,           -5.7368,          -13.5651,          -11.4768,           31.9279,          -10.6220,          -11.5928,           -0.2866,           -0.0365,           52.0083,
Ref 17,4.57078e-08,,,,,,1.1858e-02,4.1649e-03,4.8403e-05,4.4380e-06,7.1592e-08,,,,,,,,,,,
Sam 17,4.60958e-08,1.17692e-02,4.1411e-03,4.7754e-05,4.3888e-06,7.4348e-08,,,,,,           -7.4582,           -5.7137,          -13.4319,          -11.1825,           53.7086,          -10.6289,          -11.5697,           -0.1685,            0.2146,           74.1703,
Ref 18,4.49298e-08,,,,,,1.1858e-02,4.1649e-03,4.8405e-05,4.4388e-06,6.9508e-08,,,,,,,,,,,
Sam 18,4.53232e-08,1.17693e-02,4.1410e-03,4.7743e-05,4.3884e-06,7.2736e-08,,,,,,           -7.4501,           -5.7294,          -13.6679,          -11.3180,           35.5515,          -10.6197,          -11.5854,           -0.4006,            0.1091,           55.6841,
Ref 19,4.41684e-08,,,,,,1.1858e-02,4.1649e-03,4.8404e-05,4.4385e-06,7.0982e-08,,,,,,,,,,,
Sam 19,4.45784e-08,1.17692e-02,4.1411e-03,4.7745e-05,4.3888e-06,7.3714e-08,,,,,,           -7.4581,           -5.7076,          -13.6003,          -11.2817,           41.4453,          -10.6290,          -11.5637,           -0.3453,            0.1020,           61.6559,
Ref 20,4.34263e-08,,,,,,1.1858e-02,4.1649e-03,4.8402e-05,4.4392e-06,7.0576e-08,,,,,,,,,,,
Sam 20,4.38472e-08,1.17691e-02,4.1411e-03,4.7744e-05,4.3899e-06,7.2880e-08,,,,,,           -7.4590,           -5.7199,          -13.6369,          -11.2132,           32.7196,          -10.6295,          -11.5759,           -0.3693,            0.1961,           52.7875,
Ref 21,4.27007e-08,,,,,,1.1858e-02,4.1650e-03,4.8406e-05,4.4402e-06,7.0565e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.23428e-08,,,,,,1.1858e-02,4.1650e-03,4.8403e-05,4.4409e-06,6.8552e-08,
Sam 1,4.27800e-08,1.17691e-02,4.1411e-03,4.7751e-05,4.3876e-06,7.3866e-08,,,,,,           -7.4559,           -5.7284,          -13.4916,          -12.1772,           73.1955,          -10.6259,          -11.5844,           -0.2168,           -0.7619,           94.0647,
Ref 2,4.16418e-08,,,,,,1.1857e-02,4.1650e-03,4.8404e-05,4.4424e-06,6.9109e-08,,,,,,,,,,,
Sam 2,4.20917e-08,1.17690e-02,4.1412e-03,4.7748e-05,4.3858e-06,7.2814e-08,,,,,,           -7.4670,           -5.7219,          -13.6038,          -12.0878,           49.9722,          -10.6380,          -11.5779,           -0.3255,           -0.6846,           70.3888,
Ref 3,4.09572e-08,,,,,,1.1858e-02,4.1650e-03,4.8408e-05,4.4364e-06,6.9592e-08,,,,,,,,,,,
Sam 3,4.14165e-08,1.17690e-02,4.1412e-03,4.7749e-05,4.3863e-06,7.2827e-08,,,,,,           -7.4620,           -5.7359,          -13.5344,          -11.5791,           44.1718,          -10.6322,          -11.5918,           -0.2464,           -0.1419,           64.4994,
Ref 4,4.02840e-08,,,,,,1.1857e-02,4.1651e-03,4.8400e-05,4.4390e-06,6.9903e-08,,,,,,,,,,,
Sam 4,4.07552e-08,1.17689e-02,4.1412e-03,4.7750e-05,4.3877e-06,7.2197e-08,,,,,,           -7.4614,           -5.7205,          -13.4010,          -11.5790,           27.1893,          -10.6321,          -11.5765,           -0.1272,           -0.1729,           47.1535,
Ref 5,3.96264e-08,,,,,,1.1857e-02,4.1650e-03,4.8397e-05,4.4392e-06,7.0675e-08,,,,,,,,,,,
Sam 5,4.01092e-08,1.17689e-02,4.1412e-03,4.7749e-05,4.3892e-06,7.2989e-08,,,,,,           -7.4558,           -5.7161,          -13.4985,          -11.2287,           31.7840,          -10.6262,          -11.5722,           -0.2361,            0.1728,           51.8222,
Ref 6,3.89860e-08,,,,,,1.1857e-02,4.1651e-03,4.8409e-05,4.4388e-06,7.0808e-08,,,,,,,,,,,
Sam 6,3.94789e-08,1.17690e-02,4.1412e-03,4.7753e-05,4.3877e-06,7.1582e-08,,,,,,           -7.4495,           -5.7185,          -13.5418,          -11.3588,           10.8430,          -10.6195,          -11.5746,           -0.2841,            0.0461,           30.4726,
Ref 7,3.83584e-08,,,,,,1.1857e-02,4.1650e-03,4.8407e-05,4.4375e-06,7.0820e-08,,,,,,,,,,,
Sam 7,3.88605e-08,1.17689e-02,4.1412e-03,4.7755e-05,4.3868e-06,7.1626e-08,,,,,,           -7.4544,           -5.7206,          -13.4554,          -11.3762,           17.4087,          -10.6246,          -11.5767,           -0.1894,            0.0327,           37.1755,
Ref 8,3.77413e-08,,,,,,1.1857e-02,4.1651e-03,4.8405e-05,4.4370e-06,6.9974e-08,,,,,,,,,,,
Sam 8,3.82535e-08,1.17690e-02,4.1412e-03,4.7757e-05,4.3884e-06,7.2412e-08,,,,,,           -7.4524,           -5.7258,          -13.4064,          -10.9869,           37.3611,          -10.6222,          -11.5818,           -0.1367,            0.4368,           57.5239,
Ref 9,3.71410e-08,,,,,,1.1857e-02,4.1651e-03,4.8408e-05,4.4373e-06,6.9632e-08,,,,,,,,,,,
Sam 9,3.76643e-08,1.17690e-02,4.1413e-03,4.7758e-05,4.3874e-06,7.0672e-08,,,,,,           -7.4491,           -5.7215,          -13.4762,          -11.0256,           15.1207,          -10.6190,          -11.5775,           -0.2151,            0.3890,           34.8389,
Ref 10,3.65552e-08,,,,,,1.1857e-02,4.1651e-03,4.8413e-05,4.4353e-06,6.9608e-08,,,,,,,,,,,
Sam 10,3.70848e-08,1.17689e-02,4.1413e-03,4.7749e-05,4.3848e-06,7.3730e-08,,,,,,           -7.4493,           -5.7125,          -13.7292,          -11.6020,           74.7841,          -10.6194,          -11.5685,           -0.4803,           -0.2121,           95.6418,
Ref 11,3.59772e-08,,,,,,1.1857e-02,4.1651e-03,4.8414e-05,4.4372e-06,6.7575e-08,,,,,,,,,,,
Sam 11,3.65181e-08,1.17688e-02,4.1413e-03,4.7750e-05,4.3859e-06,7.2088e-08,,,,,,           -7.4557,           -5.7132,          -13.6219,          -11.5224,           48.6324,          -10.6262,          -11.5693,           -0.3642,           -0.1302,           68.9915,
Ref 12,3.54112e-08,,,,,,1.1857e-02,4.1651e-03,4.8404e-05,4.4369e-06,6.9933e-08,,,,,,,,,,,
Sam 12,3.59625e-08,1.17688e-02,4.1413e-03,4.7753e-05,4.3864e-06,7.3246e-08,,,,,,           -7.4452,           -5.7012,          -13.4619,          -11.4681,           44.6461,          -10.6155,          -11.5573,           -0.2247,           -0.0994,           64.8906,
Ref 13,3.48616e-08,,,,,,1.1857e-02,4.1651e-03,4.8406e-05,4.4377e-06,7.0302e-08,,,,,,,,,,,
Sam 13,3.54198e-08,1.17687e-02,4.1413e-03,4.7761e-05,4.3868e-06,7.3965e-08,,,,,,           -7.4536,           -5.7094,          -13.3529,          -11.5641,           59.8453,          -10.6241,          -11.5654,           -0.0975,           -0.1801,           80.4115,
Ref 14,3.43216e-08,,,,,,1.1857e-02,4.1651e-03,4.8409e-05,4.4385e-06,6.9266e-08,,,,,,,,,,,
Sam 14,3.48842e-08,1.17687e-02,4.1413e-03,4.7754e-05,4.3860e-06,7.2486e-08,,,,,,           -7.4624,           -5.7277,          -13.5656,          -11.4280,           46.4303,          -10.6328,          -11.5837,           -0.2858,           -0.0055,           66.7850,
Ref 15,3.37919e-08,,,,,,1.1857e-02,4.1652e-03,4.8411e-05,4.4349e-06,6.9273e-08,,,,,,,,,,,
Sam 15,3.43640e-08,1.17686e-02,4.1413e-03,4.7758e-05,4.3865e-06,7.3802e-08,,,,,,           -7.4654,           -5.7322,          -13.4432,          -11.0224,           66.5878,          -10.6359,          -11.5881,           -0.1543,            0.4138,           87.3476,
Ref 16,3.32742e-08,,,,,,1.1857e-02,4.1652e-03,4.8406e-05,4.4359e-06,6.9114e-08,,,,,,,,,,,
Sam 16,3.38514e-08,1.17687e-02,4.1414e-03,4.7756e-05,4.3866e-06,7.1200e-08,,,,,,           -7.4491,           -5.7172,          -13.4848,          -11.2643,           33.6293,          -10.6191,          -11.5732,           -0.2282,            0.1388,           53.6980,
Ref 17,3.27675e-08,,,,,,1.1857e-02,4.1652e-03,4.8412e-05,4.4372e-06,6.8650e-08,,,,,,,,,,,
Sam 17,3.33515e-08,1.17686e-02,4.1413e-03,4.7758e-05,4.3864e-06,7.3646e-08,,,,,,           -7.4530,           -5.7282,          -13.4758,          -11.2926,           60.6924,          -10.6228,          -11.5841,           -0.2041,            0.1324,           81.3146,
Ref 18,3.22690e-08,,,,,,1.1857e-02,4.1652e-03,4.8408e-05,4.4358e-06,7.0226e-08,,,,,,,,,,,
Sam 18,3.28603e-08,1.17686e-02,4.1413e-03,4.7759e-05,4.3874e-06,7.2483e-08,,,,,,           -7.4536,           -5.7256,          -13.4252,          -10.9493,           38.1708,          -10.6235,          -11.5816,           -0.1548,            0.4745,           58.3504,
Ref 19,3.17856e-08,,,,,,1.1857e-02,4.1652e-03,4.8410e-05,4.4361e-06,6.9403e-08,,,,,,,,,,,
Sam 19,3.23780e-08,1.17685e-02,4.1414e-03,4.7755e-05,4.3833e-06,7.1486e-08,,,,,,           -7.4530,           -5.7134,          -13.5499,          -12.1044,           22.8719,          -10.6234,          -11.5695,           -0.2937,           -0.7184,           42.7283,
Ref 20,3.13071e-08,,,,,,1.1857e-02,4.1652e-03,4.8413e-05,4.4379e-06,7.0379e-08,,,,,,,,,,,
