Nu Stable Isotope Analysis Program
Data Collected on Friday, December 22, 2023 at 11:52 with Stable 1.71.5 on PS019,Reanalyzed on Friday, December 22, 2023 at 12:51 with Stable 1.71.5 on PS019

Data File = Data_21485 IAEA-C2.txt,       Sample Weight = 410,                      Vial Location = 28,                       Initial Sam Beam = 2.0908e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.7012e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.01799
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,6.22052e-08,,,,,,1.1857e-02,4.1639e-03,4.8380e-05,4.4335e-06,7.0867e-08,
Sam 1,6.16600e-08,1.17981e-02,4.1812e-03,4.8324e-05,4.4708e-06,7.4475e-08,,,,,,           -5.0052,            4.1502,           -1.1582,            8.3648,           52.6688,           -8.3604,           -1.7589,           -0.0640,            0.0468,           49.7128,
Ref 2,6.10739e-08,,,,,,1.1858e-02,4.1641e-03,4.8381e-05,4.4340e-06,7.0628e-08,,,,,,,,,,,
Sam 2,6.05242e-08,1.17982e-02,4.1813e-03,4.8326e-05,4.4728e-06,7.4623e-08,,,,,,           -5.0192,            4.1343,           -1.1931,            8.5638,           51.4044,           -8.3747,           -1.7747,           -0.0688,            0.2759,           48.5002,
Ref 3,5.99135e-08,,,,,,1.1858e-02,4.1641e-03,4.8386e-05,4.4358e-06,7.1328e-08,,,,,,,,,,,
Sam 3,5.93960e-08,1.17982e-02,4.1814e-03,4.8327e-05,4.4721e-06,7.4987e-08,,,,,,           -5.0192,            4.1384,           -1.2237,            8.1592,           50.2728,           -8.3749,           -1.7706,           -0.1034,           -0.1337,           47.3633,
Ref 4,5.87846e-08,,,,,,1.1858e-02,4.1641e-03,4.8387e-05,4.4360e-06,7.1468e-08,,,,,,,,,,,
Sam 4,5.82951e-08,1.17982e-02,4.1814e-03,4.8327e-05,4.4733e-06,7.4308e-08,,,,,,           -5.0158,            4.1353,           -1.2232,            8.4108,           39.1870,           -8.3712,           -1.7737,           -0.1034,            0.1221,           36.3107,
Ref 5,5.76907e-08,,,,,,1.1858e-02,4.1642e-03,4.8386e-05,4.4361e-06,7.1543e-08,,,,,,,,,,,
Sam 5,5.72233e-08,1.17982e-02,4.1815e-03,4.8328e-05,4.4743e-06,7.3862e-08,,,,,,           -5.0215,            4.1365,           -1.1762,            8.7459,           27.0185,           -8.3773,           -1.7724,           -0.0517,            0.4519,           24.1796,
Ref 6,5.66258e-08,,,,,,1.1858e-02,4.1643e-03,4.8383e-05,4.4350e-06,7.2301e-08,,,,,,,,,,,
Sam 6,5.61830e-08,1.17982e-02,4.1815e-03,4.8332e-05,4.4738e-06,7.5325e-08,,,,,,           -5.0211,            4.1399,           -1.0949,            8.7003,           49.2406,           -8.3770,           -1.7691,            0.0259,            0.3999,           46.3329,
Ref 7,5.55793e-08,,,,,,1.1858e-02,4.1643e-03,4.8387e-05,4.4354e-06,7.1269e-08,,,,,,,,,,,
Sam 7,5.51688e-08,1.17983e-02,4.1816e-03,4.8330e-05,4.4741e-06,7.5462e-08,,,,,,           -5.0177,            4.1449,           -1.2382,            8.5597,           49.8694,           -8.3735,           -1.7641,           -0.1259,            0.2506,           46.9459,
Ref 8,5.45638e-08,,,,,,1.1858e-02,4.1644e-03,4.8394e-05,4.4369e-06,7.2497e-08,,,,,,,,,,,
Sam 8,5.41746e-08,1.17982e-02,4.1816e-03,4.8330e-05,4.4723e-06,7.6454e-08,,,,,,           -5.0228,            4.1407,           -1.2643,            8.1061,           62.5704,           -8.3788,           -1.7683,           -0.1427,           -0.1909,           59.6260,
Ref 9,5.35666e-08,,,,,,1.1858e-02,4.1644e-03,4.8389e-05,4.4357e-06,7.1397e-08,,,,,,,,,,,
Sam 9,5.32062e-08,1.17982e-02,4.1816e-03,4.8331e-05,4.4744e-06,7.6364e-08,,,,,,           -5.0190,            4.1438,           -1.2420,            8.6727,           69.1308,           -8.3748,           -1.7652,           -0.1273,            0.3648,           66.1573,
Ref 10,5.26041e-08,,,,,,1.1858e-02,4.1644e-03,4.8392e-05,4.4360e-06,7.1456e-08,,,,,,,,,,,
Sam 10,5.22641e-08,1.17982e-02,4.1817e-03,4.8333e-05,4.4757e-06,7.5390e-08,,,,,,           -5.0141,            4.1374,           -1.2447,            8.7859,           56.3532,           -8.3694,           -1.7717,           -0.1288,            0.4900,           53.4232,
Ref 11,5.16636e-08,,,,,,1.1858e-02,4.1645e-03,4.8395e-05,4.4374e-06,7.1278e-08,,,,,,,,,,,
Sam 11,5.13424e-08,1.17981e-02,4.1817e-03,4.8336e-05,4.4745e-06,7.6172e-08,,,,,,           -5.0220,            4.1360,           -1.2512,            8.4041,           64.3115,           -8.3778,           -1.7730,           -0.1257,            0.1140,           61.3713,
Ref 12,5.07442e-08,,,,,,1.1858e-02,4.1645e-03,4.8398e-05,4.4369e-06,7.1865e-08,,,,,,,,,,,
Sam 12,5.04500e-08,1.17982e-02,4.1817e-03,4.8337e-05,4.4738e-06,7.5740e-08,,,,,,           -5.0190,            4.1375,           -1.1794,            8.2572,           51.1337,           -8.3747,           -1.7715,           -0.0584,           -0.0347,           48.2234,
Ref 13,4.98506e-08,,,,,,1.1858e-02,4.1645e-03,4.8391e-05,4.4375e-06,7.2249e-08,,,,,,,,,,,
Sam 13,4.95699e-08,1.17982e-02,4.1818e-03,4.8337e-05,4.4742e-06,7.5230e-08,,,,,,           -5.0187,            4.1397,           -1.1335,            8.3749,           50.0503,           -8.3745,           -1.7694,           -0.0149,            0.0778,           47.1383,
Ref 14,4.89750e-08,,,,,,1.1858e-02,4.1646e-03,4.8392e-05,4.4365e-06,7.1029e-08,,,,,,,,,,,
Sam 14,4.87179e-08,1.17982e-02,4.1818e-03,4.8332e-05,4.4743e-06,7.5717e-08,,,,,,           -5.0164,            4.1251,           -1.3189,            8.1823,           68.1830,           -8.3715,           -1.7839,           -0.1886,           -0.0843,           65.2485,
Ref 15,4.81166e-08,,,,,,1.1858e-02,4.1646e-03,4.8400e-05,4.4394e-06,7.0735e-08,,,,,,,,,,,
Sam 15,4.78825e-08,1.17981e-02,4.1819e-03,4.8340e-05,4.4748e-06,7.6018e-08,,,,,,           -5.0149,            4.1418,           -1.2072,            8.4227,           60.0879,           -8.3705,           -1.7672,           -0.0948,            0.1208,           57.1391,
Ref 16,4.72860e-08,,,,,,1.1858e-02,4.1646e-03,4.8397e-05,4.4355e-06,7.2700e-08,,,,,,,,,,,
Sam 16,4.70760e-08,1.17981e-02,4.1818e-03,4.8337e-05,4.4743e-06,7.4867e-08,,,,,,           -5.0177,            4.1269,           -1.2854,            8.7140,           34.6992,           -8.3729,           -1.7821,           -0.1555,            0.4395,           31.8545,
Ref 17,4.64706e-08,,,,,,1.1858e-02,4.1646e-03,4.8402e-05,4.4358e-06,7.2006e-08,,,,,,,,,,,
Sam 17,4.62778e-08,1.17981e-02,4.1819e-03,4.8340e-05,4.4750e-06,7.5567e-08,,,,,,           -5.0169,            4.1309,           -1.3029,            8.7766,           42.2621,           -8.3722,           -1.7781,           -0.1777,            0.4937,           39.3875,
Ref 18,4.56707e-08,,,,,,1.1858e-02,4.1647e-03,4.8404e-05,4.4364e-06,7.3008e-08,,,,,,,,,,,
Sam 18,4.54963e-08,1.17981e-02,4.1819e-03,4.8336e-05,4.4746e-06,7.5996e-08,,,,,,           -5.0140,            4.1253,           -1.2970,            8.4104,           46.7494,           -8.3689,           -1.7836,           -0.1695,            0.1415,           43.8705,
Ref 19,4.48963e-08,,,,,,1.1858e-02,4.1647e-03,4.8394e-05,4.4382e-06,7.2189e-08,,,,,,,,,,,
Sam 19,4.47420e-08,1.17981e-02,4.1820e-03,4.8339e-05,4.4760e-06,7.5739e-08,,,,,,           -5.0095,            4.1411,           -1.1534,            8.7488,           52.1906,           -8.3647,           -1.7679,           -0.0458,            0.4457,           49.2593,
Ref 20,4.41405e-08,,,,,,1.1857e-02,4.1647e-03,4.8396e-05,4.4361e-06,7.1772e-08,,,,,,,,,,,
Sam 20,4.40041e-08,1.17980e-02,4.1819e-03,4.8342e-05,4.4761e-06,7.6859e-08,,,,,,           -5.0110,            4.1321,           -1.1394,            8.7276,           67.9910,           -8.3659,           -1.7769,           -0.0215,            0.4426,           65.0361,
Ref 21,4.34010e-08,,,,,,1.1857e-02,4.1647e-03,4.8400e-05,4.4386e-06,7.2163e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.30358e-08,,,,,,1.1857e-02,4.1647e-03,4.8396e-05,4.4380e-06,7.1524e-08,
Sam 1,4.29177e-08,1.17980e-02,4.1820e-03,4.8342e-05,4.4762e-06,7.4596e-08,,,,,,           -5.0170,            4.1446,           -1.1400,            8.5202,           34.7294,           -8.3728,           -1.7645,           -0.0280,            0.2121,           31.8480,
Ref 2,4.23205e-08,,,,,,1.1858e-02,4.1647e-03,4.8399e-05,4.4388e-06,7.2670e-08,,,,,,,,,,,
Sam 2,4.22097e-08,1.17979e-02,4.1820e-03,4.8340e-05,4.4736e-06,7.6915e-08,,,,,,           -5.0178,            4.1452,           -1.1709,            7.7372,           60.6170,           -8.3736,           -1.7638,           -0.0588,           -0.5658,           57.6630,
Ref 3,4.16165e-08,,,,,,1.1857e-02,4.1647e-03,4.8396e-05,4.4398e-06,7.2365e-08,,,,,,,,,,,
Sam 3,4.15212e-08,1.17979e-02,4.1820e-03,4.8342e-05,4.4744e-06,7.6433e-08,,,,,,           -5.0144,            4.1403,           -1.1524,            8.0520,           55.2465,           -8.3698,           -1.7687,           -0.0390,           -0.2439,           52.3137,
Ref 4,4.09307e-08,,,,,,1.1857e-02,4.1648e-03,4.8400e-05,4.4375e-06,7.2499e-08,,,,,,,,,,,
Sam 4,4.08492e-08,1.17980e-02,4.1820e-03,4.8347e-05,4.4744e-06,7.6311e-08,,,,,,           -5.0098,            4.1264,           -1.0788,            8.1077,           58.3196,           -8.3645,           -1.7826,            0.0437,           -0.1608,           55.4021,
Ref 5,4.02577e-08,,,,,,1.1857e-02,4.1649e-03,4.8398e-05,4.4395e-06,7.1707e-08,,,,,,,,,,,
Sam 5,4.01897e-08,1.17979e-02,4.1820e-03,4.8343e-05,4.4756e-06,7.7439e-08,,,,,,           -5.0176,            4.1194,           -1.1217,            8.4746,           72.2136,           -8.3725,           -1.7895,            0.0156,            0.2169,           69.2811,
Ref 6,3.96004e-08,,,,,,1.1857e-02,4.1648e-03,4.8397e-05,4.4365e-06,7.2749e-08,,,,,,,,,,,
Sam 6,3.95453e-08,1.17978e-02,4.1821e-03,4.8344e-05,4.4750e-06,7.5852e-08,,,,,,           -5.0225,            4.1331,           -1.0722,            8.7743,           48.6704,           -8.3782,           -1.7758,            0.0568,            0.4868,           45.7797,
Ref 7,3.89590e-08,,,,,,1.1857e-02,4.1649e-03,4.8395e-05,4.4356e-06,7.1909e-08,,,,,,,,,,,
Sam 7,3.89203e-08,1.17978e-02,4.1821e-03,4.8343e-05,4.4748e-06,7.7429e-08,,,,,,           -5.0172,            4.1491,           -1.1333,            8.5122,           74.4866,           -8.3732,           -1.7600,           -0.0255,            0.1952,           71.4853,
Ref 8,3.83273e-08,,,,,,1.1857e-02,4.1648e-03,4.8400e-05,4.4385e-06,7.2216e-08,,,,,,,,,,,
Sam 8,3.83062e-08,1.17978e-02,4.1821e-03,4.8345e-05,4.4750e-06,7.7718e-08,,,,,,           -5.0106,            4.1428,           -1.1774,            8.4606,           75.3838,           -8.3659,           -1.7662,           -0.0704,            0.1565,           72.3856,
Ref 9,3.77163e-08,,,,,,1.1857e-02,4.1649e-03,4.8404e-05,4.4363e-06,7.2324e-08,,,,,,,,,,,
Sam 9,3.77032e-08,1.17977e-02,4.1821e-03,4.8346e-05,4.4738e-06,7.6831e-08,,,,,,           -5.0192,            4.1470,           -1.1410,            8.3738,           71.4786,           -8.3752,           -1.7620,           -0.0291,            0.0620,           68.4923,
Ref 10,3.71125e-08,,,,,,1.1857e-02,4.1649e-03,4.8397e-05,4.4370e-06,7.1078e-08,,,,,,,,,,,
Sam 10,3.71122e-08,1.17977e-02,4.1821e-03,4.8349e-05,4.4738e-06,7.6600e-08,,,,,,           -5.0095,            4.1275,           -1.1160,            8.4803,           67.0435,           -8.3642,           -1.7815,            0.0050,            0.2066,           64.0992,
Ref 11,3.65259e-08,,,,,,1.1857e-02,4.1650e-03,4.8408e-05,4.4354e-06,7.2508e-08,,,,,,,,,,,
Sam 11,3.65448e-08,1.17977e-02,4.1820e-03,4.8352e-05,4.4747e-06,7.7231e-08,,,,,,           -5.0044,            4.0981,           -1.1596,            8.5176,           69.0815,           -8.3578,           -1.8108,           -0.0152,            0.3021,           66.1872,
Ref 12,3.59520e-08,,,,,,1.1857e-02,4.1649e-03,4.8408e-05,4.4385e-06,7.1969e-08,,,,,,,,,,,
Sam 12,3.59810e-08,1.17976e-02,4.1821e-03,4.8337e-05,4.4736e-06,7.7124e-08,,,,,,           -5.0107,            4.1296,           -1.4113,            8.0362,           67.9402,           -8.3656,           -1.7794,           -0.2914,           -0.2381,           64.9905,
Ref 13,3.53851e-08,,,,,,1.1857e-02,4.1649e-03,4.8404e-05,4.4375e-06,7.2470e-08,,,,,,,,,,,
Sam 13,3.54308e-08,1.17977e-02,4.1821e-03,4.8345e-05,4.4744e-06,7.6833e-08,,,,,,           -5.0101,            4.1300,           -1.1982,            8.6564,           54.0258,           -8.3649,           -1.7790,           -0.0793,            0.3761,           51.1129,
Ref 14,3.48330e-08,,,,,,1.1857e-02,4.1649e-03,4.8401e-05,4.4346e-06,7.3327e-08,,,,,,,,,,,
Sam 14,3.48895e-08,1.17977e-02,4.1822e-03,4.8349e-05,4.4751e-06,7.7451e-08,,,,,,           -5.0123,            4.1405,           -1.1048,            8.9150,           71.0882,           -8.3676,           -1.7685,            0.0063,            0.6116,           68.1086,
Ref 15,3.42932e-08,,,,,,1.1857e-02,4.1649e-03,4.8403e-05,4.4366e-06,7.1279e-08,,,,,,,,,,,
Sam 15,3.43639e-08,1.17977e-02,4.1822e-03,4.8353e-05,4.4718e-06,7.7569e-08,,,,,,           -5.0108,            4.1397,           -1.0279,            7.7626,           81.7307,           -8.3660,           -1.7693,            0.0825,           -0.5297,           78.7214,
Ref 16,3.37653e-08,,,,,,1.1857e-02,4.1650e-03,4.8402e-05,4.4380e-06,7.2145e-08,,,,,,,,,,,
Sam 16,3.38427e-08,1.17975e-02,4.1822e-03,4.8355e-05,4.4734e-06,7.7522e-08,,,,,,           -5.0153,            4.1216,           -1.0279,            8.2193,           73.6828,           -8.3702,           -1.7873,            0.1049,           -0.0406,           70.7391,
Ref 17,3.32459e-08,,,,,,1.1857e-02,4.1651e-03,4.8408e-05,4.4358e-06,7.2260e-08,,,,,,,,,,,
Sam 17,3.33246e-08,1.17975e-02,4.1821e-03,4.8351e-05,4.4743e-06,7.6216e-08,,,,,,           -5.0152,            4.1105,           -1.1516,            8.4221,           49.5146,           -8.3697,           -1.7984,           -0.0081,            0.1828,           46.6600,
Ref 18,3.27390e-08,,,,,,1.1857e-02,4.1650e-03,4.8406e-05,4.4380e-06,7.2986e-08,,,,,,,,,,,
Sam 18,3.28361e-08,1.17974e-02,4.1822e-03,4.8348e-05,4.4754e-06,7.6969e-08,,,,,,           -5.0184,            4.1266,           -1.1980,            8.6949,           62.0665,           -8.3736,           -1.7824,           -0.0670,            0.4211,           59.1479,
Ref 19,3.22472e-08,,,,,,1.1857e-02,4.1650e-03,4.8406e-05,4.4356e-06,7.1948e-08,,,,,,,,,,,
Sam 19,3.23500e-08,1.17974e-02,4.1823e-03,4.8346e-05,4.4746e-06,7.6119e-08,,,,,,           -5.0061,            4.1569,           -1.2174,            8.6509,           51.2078,           -8.3616,           -1.7522,           -0.1289,            0.3171,           48.2429,
Ref 20,3.17604e-08,,,,,,1.1857e-02,4.1650e-03,4.8403e-05,4.4370e-06,7.2882e-08,,,,,,,,,,,
Sam 20,3.18709e-08,1.17974e-02,4.1823e-03,4.8358e-05,4.4735e-06,7.9642e-08,,,,,,           -5.0071,            4.1376,           -0.9500,            8.2573,          112.4500,           -8.3620,           -1.7714,            0.1588,           -0.0349,          109.3555,
Ref 21,3.12815e-08,,,,,,1.1857e-02,4.1650e-03,4.8404e-05,4.4368e-06,7.0282e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.10507e-08,,,,,,1.1857e-02,4.1650e-03,4.8410e-05,4.4381e-06,7.1127e-08,
Sam 1,3.11739e-08,1.17974e-02,4.1823e-03,4.8351e-05,4.4750e-06,7.7517e-08,,,,,,           -5.0100,            4.1499,           -1.1376,            8.5540,           63.7654,           -8.3655,           -1.7592,           -0.0380,            0.2351,           60.7842,
Ref 2,3.05859e-08,,,,,,1.1857e-02,4.1650e-03,4.8403e-05,4.4359e-06,7.4640e-08,,,,,,,,,,,
Sam 2,3.07038e-08,1.17973e-02,4.1823e-03,4.8355e-05,4.4705e-06,7.7539e-08,,,,,,           -5.0121,            4.1357,           -1.0358,            7.4709,           51.0700,           -8.3672,           -1.7733,            0.0799,           -0.8109,           48.1558,
Ref 3,3.01158e-08,,,,,,1.1857e-02,4.1650e-03,4.8406e-05,4.4387e-06,7.2889e-08,,,,,,,,,,,
Sam 3,3.02808e-08,1.17973e-02,4.1823e-03,4.8352e-05,4.4739e-06,7.8935e-08,,,,,,           -5.0164,            4.1481,           -1.2133,            8.4535,           82.7139,           -8.3722,           -1.7609,           -0.1056,            0.1388,           79.6906,
Ref 4,2.96985e-08,,,,,,1.1857e-02,4.1651e-03,4.8414e-05,4.4342e-06,7.2920e-08,,,,,,,,,,,
Sam 4,2.98500e-08,1.17973e-02,4.1823e-03,4.8350e-05,4.4741e-06,7.7318e-08,,,,,,           -5.0119,            4.1381,           -1.2444,            8.6152,           75.3498,           -8.3671,           -1.7710,           -0.1315,            0.3192,           72.3631,
Ref 5,2.92600e-08,,,,,,1.1857e-02,4.1651e-03,4.8407e-05,4.4376e-06,7.0866e-08,,,,,,,,,,,
Sam 5,2.94191e-08,1.17973e-02,4.1823e-03,4.8351e-05,4.4732e-06,7.7369e-08,,,,,,           -5.0039,            4.1401,           -1.2026,            8.1702,           79.1392,           -8.3587,           -1.7689,           -0.0999,           -0.1262,           76.1285,
Ref 6,2.88325e-08,,,,,,1.1857e-02,4.1651e-03,4.8411e-05,4.4364e-06,7.2537e-08,,,,,,,,,,,
Sam 6,2.90015e-08,1.17973e-02,4.1823e-03,4.8361e-05,4.4743e-06,7.8279e-08,,,,,,           -5.0064,            4.1246,           -1.0058,            8.6548,           88.5602,           -8.3608,           -1.7844,            0.1149,            0.3854,           85.5591,
Ref 7,2.84141e-08,,,,,,1.1857e-02,4.1651e-03,4.8408e-05,4.4355e-06,7.1276e-08,,,,,,,,,,,
Sam 7,2.85906e-08,1.17974e-02,4.1823e-03,4.8362e-05,4.4744e-06,7.8554e-08,,,,,,           -4.9993,            4.1297,           -0.9652,            8.8928,          111.2007,           -8.3535,           -1.7793,            0.1433,            0.6113,          108.1178,
Ref 8,2.80028e-08,,,,,,1.1857e-02,4.1651e-03,4.8409e-05,4.4344e-06,7.0101e-08,,,,,,,,,,,
Sam 8,2.81876e-08,1.17970e-02,4.1823e-03,4.8355e-05,4.4717e-06,7.6499e-08,,,,,,           -5.0214,            4.1394,           -1.1824,            8.1917,           67.0221,           -8.3772,           -1.7696,           -0.0609,           -0.1034,           64.0665,
Ref 9,2.75964e-08,,,,,,1.1857e-02,4.1651e-03,4.8416e-05,4.4364e-06,7.3310e-08,,,,,,,,,,,
Sam 9,2.77894e-08,1.17971e-02,4.1824e-03,4.8349e-05,4.4767e-06,7.7679e-08,,,,,,           -5.0102,            4.1365,           -1.3787,            9.4735,           71.2260,           -8.3652,           -1.7725,           -0.2662,            1.1736,           68.2520,
Ref 10,2.72014e-08,,,,,,1.1857e-02,4.1652e-03,4.8415e-05,4.4330e-06,7.1706e-08,,,,,,,,,,,
Sam 10,2.74035e-08,1.17971e-02,4.1823e-03,4.8353e-05,4.4733e-06,7.8153e-08,,,,,,           -5.0147,            4.1213,           -1.2547,            8.8728,          102.8710,           -8.3695,           -1.7876,           -0.1225,            0.6082,           99.8473,
Ref 11,2.68141e-08,,,,,,1.1857e-02,4.1651e-03,4.8413e-05,4.4349e-06,7.0008e-08,,,,,,,,,,,
Sam 11,2.70196e-08,1.17970e-02,4.1824e-03,4.8351e-05,4.4737e-06,7.6986e-08,,,,,,           -5.0153,            4.1378,           -1.2319,            8.7705,           79.5402,           -8.3707,           -1.7713,           -0.1152,            0.4739,           76.5464,
Ref 12,2.64258e-08,,,,,,1.1856e-02,4.1652e-03,4.8408e-05,4.4348e-06,7.2640e-08,,,,,,,,,,,
Sam 12,2.66440e-08,1.17969e-02,4.1824e-03,4.8359e-05,4.4736e-06,7.6616e-08,,,,,,           -5.0246,            4.1426,           -0.9846,            9.2002,           67.7556,           -8.3808,           -1.7664,            0.1373,            0.8904,           64.7950,
Ref 13,2.60542e-08,,,,,,1.1856e-02,4.1651e-03,4.8406e-05,4.4307e-06,7.0855e-08,,,,,,,,,,,
Sam 13,2.62798e-08,1.17970e-02,4.1824e-03,4.8357e-05,4.4719e-06,7.7303e-08,,,,,,           -5.0074,            4.1408,           -1.1072,            8.7656,           93.5269,           -8.3625,           -1.7683,           -0.0013,            0.4630,           90.4788,
Ref 14,2.56841e-08,,,,,,1.1856e-02,4.1651e-03,4.8416e-05,4.4355e-06,7.0526e-08,,,,,,,,,,,
Sam 14,2.59158e-08,1.17970e-02,4.1824e-03,4.8348e-05,4.4725e-06,7.7671e-08,,,,,,           -5.0092,            4.1402,           -1.3270,            8.5368,           78.7821,           -8.3643,           -1.7688,           -0.2190,            0.2372,           75.7783,
Ref 15,2.53210e-08,,,,,,1.1856e-02,4.1651e-03,4.8409e-05,4.4339e-06,7.3493e-08,,,,,,,,,,,
Sam 15,2.55605e-08,1.17969e-02,4.1824e-03,4.8356e-05,4.4718e-06,7.6162e-08,,,,,,           -5.0163,            4.1444,           -1.1357,            8.6332,           32.7700,           -8.3720,           -1.7647,           -0.0242,            0.3245,           29.8937,
Ref 16,2.49682e-08,,,,,,1.1856e-02,4.1652e-03,4.8413e-05,4.4332e-06,7.4002e-08,,,,,,,,,,,
Sam 16,2.52106e-08,1.17969e-02,4.1824e-03,4.8354e-05,4.4744e-06,7.8574e-08,,,,,,           -5.0073,            4.1358,           -1.2323,            9.1032,           69.1119,           -8.3622,           -1.7732,           -0.1219,            0.8077,           66.1420,
Ref 17,2.46166e-08,,,,,,1.1856e-02,4.1652e-03,4.8416e-05,4.4349e-06,7.2981e-08,,,,,,,,,,,
Sam 17,2.48684e-08,1.17969e-02,4.1824e-03,4.8354e-05,4.4691e-06,7.7462e-08,,,,,,           -5.0054,            4.1300,           -1.2995,            8.0266,           65.3045,           -8.3599,           -1.7790,           -0.1854,           -0.2485,           62.3551,
Ref 18,2.42736e-08,,,,,,1.1856e-02,4.1651e-03,4.8418e-05,4.4322e-06,7.2443e-08,,,,,,,,,,,
Sam 18,2.45297e-08,1.17969e-02,4.1823e-03,4.8358e-05,4.4708e-06,7.9159e-08,,,,,,           -5.0024,            4.1193,           -1.1927,            8.5906,           86.6507,           -8.3563,           -1.7897,           -0.0711,            0.3323,           83.6615,
Ref 19,2.39409e-08,,,,,,1.1856e-02,4.1652e-03,4.8414e-05,4.4332e-06,7.3256e-08,,,,,,,,,,,
Sam 19,2.42034e-08,1.17968e-02,4.1824e-03,4.8357e-05,4.4735e-06,7.8364e-08,,,,,,           -5.0074,            4.1169,           -1.1147,            9.0435,           89.8778,           -8.3616,           -1.7920,            0.0144,            0.7861,           86.8905,
Ref 20,2.36141e-08,,,,,,1.1856e-02,4.1652e-03,4.8407e-05,4.4335e-06,7.0529e-08,,,,,,,,,,,
Sam 20,2.38838e-08,1.17967e-02,4.1824e-03,4.8355e-05,4.4714e-06,7.9203e-08,,,,,,           -5.0149,            4.1303,           -1.2337,            8.6607,          111.9185,           -8.3700,           -1.7787,           -0.1100,            0.3798,          108.8507,
Ref 21,2.32966e-08,,,,,,1.1856e-02,4.1651e-03,4.8423e-05,4.4325e-06,7.1943e-08,,,,,,,,,,,


