Nu Stable Isotope Analysis Program
Data Collected on Saturday, December 23, 2023 at 02:21 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, December 23, 2023 at 03:20 with Stable 1.71.5 on PS019

Data File = Data_21495 SB1_119_A.txt,     Sample Weight = 397,                      Vial Location = 38,                       Initial Sam Beam = 2.3818e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.6866e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.0202
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,7.17499e-08,,,,,,1.1857e-02,4.1631e-03,4.8368e-05,4.4289e-06,6.7750e-08,
Sam 1,7.11415e-08,1.19276e-02,4.2213e-03,4.9320e-05,4.5523e-06,7.2047e-08,,,,,,            5.9467,           13.9661,           19.6319,           27.8062,           59.9157,            2.9564,            7.9855,           -0.3181,           -0.3122,           24.9066,
Ref 2,7.03666e-08,,,,,,1.1857e-02,4.1633e-03,4.8372e-05,4.4294e-06,6.8203e-08,,,,,,,,,,,
Sam 2,6.97541e-08,1.19278e-02,4.2215e-03,4.9328e-05,4.5556e-06,7.2275e-08,,,,,,            5.9405,           13.9628,           19.8042,           28.3200,           58.6851,            2.9499,            7.9823,           -0.1396,            0.1940,           23.7299,
Ref 3,6.89549e-08,,,,,,1.1857e-02,4.1634e-03,4.8368e-05,4.4308e-06,6.8336e-08,,,,,,,,,,,
Sam 3,6.83855e-08,1.19278e-02,4.2215e-03,4.9326e-05,4.5540e-06,7.3267e-08,,,,,,            5.9353,           13.9588,           19.7942,           27.8193,           63.0134,            2.9446,            7.9783,           -0.1403,           -0.2852,           27.9288,
Ref 4,6.75824e-08,,,,,,1.1858e-02,4.1635e-03,4.8369e-05,4.4306e-06,6.9523e-08,,,,,,,,,,,
Sam 4,6.70519e-08,1.19279e-02,4.2216e-03,4.9328e-05,4.5556e-06,7.2388e-08,,,,,,            5.9352,           13.9564,           19.7491,           28.1436,           43.6365,            2.9445,            7.9759,           -0.1820,            0.0351,            9.1965,
Ref 5,6.62505e-08,,,,,,1.1858e-02,4.1635e-03,4.8375e-05,4.4312e-06,6.9196e-08,,,,,,,,,,,
Sam 5,6.57575e-08,1.19279e-02,4.2216e-03,4.9326e-05,4.5560e-06,7.2790e-08,,,,,,            5.9401,           13.9543,           19.6697,           28.1835,           65.3922,            2.9498,            7.9738,           -0.2629,            0.0781,           30.2330,
Ref 6,6.49529e-08,,,,,,1.1857e-02,4.1636e-03,4.8373e-05,4.4311e-06,6.7432e-08,,,,,,,,,,,
Sam 6,6.44952e-08,1.19280e-02,4.2217e-03,4.9330e-05,4.5568e-06,7.3280e-08,,,,,,            5.9400,           13.9559,           19.7491,           28.2253,           74.0417,            2.9496,            7.9754,           -0.1863,            0.1156,           38.5940,
Ref 7,6.36868e-08,,,,,,1.1858e-02,4.1636e-03,4.8377e-05,4.4324e-06,6.9042e-08,,,,,,,,,,,
Sam 7,6.32651e-08,1.19280e-02,4.2217e-03,4.9332e-05,4.5552e-06,7.2877e-08,,,,,,            5.9418,           13.9571,           19.6966,           27.7440,           56.9651,            2.9515,            7.9766,           -0.2410,           -0.3550,           22.0766,
Ref 8,6.24550e-08,,,,,,1.1858e-02,4.1636e-03,4.8381e-05,4.4320e-06,6.8854e-08,,,,,,,,,,,
Sam 8,6.20685e-08,1.19280e-02,4.2218e-03,4.9330e-05,4.5565e-06,7.2720e-08,,,,,,            5.9432,           13.9481,           19.6918,           27.9535,           53.0185,            2.9533,            7.9676,           -0.2384,           -0.1335,           18.2765,
Ref 9,6.12544e-08,,,,,,1.1858e-02,4.1638e-03,4.8375e-05,4.4332e-06,6.9267e-08,,,,,,,,,,,
Sam 9,6.09014e-08,1.19280e-02,4.2218e-03,4.9328e-05,4.5565e-06,7.3732e-08,,,,,,            5.9413,           13.9455,           19.6641,           27.6608,           65.3534,            2.9513,            7.9650,           -0.2610,           -0.4130,           30.2118,
Ref 10,6.00910e-08,,,,,,1.1858e-02,4.1638e-03,4.8378e-05,4.4346e-06,6.9150e-08,,,,,,,,,,,
Sam 10,5.97702e-08,1.19279e-02,4.2219e-03,4.9335e-05,4.5561e-06,7.2827e-08,,,,,,            5.9327,           13.9531,           19.7350,           27.4763,           54.1791,            2.9420,            7.9726,           -0.1901,           -0.6075,           19.4003,
Ref 11,5.89530e-08,,,,,,1.1858e-02,4.1638e-03,4.8383e-05,4.4339e-06,6.9017e-08,,,,,,,,,,,
Sam 11,5.86600e-08,1.19279e-02,4.2219e-03,4.9339e-05,4.5569e-06,7.3214e-08,,,,,,            5.9348,           13.9429,           19.7784,           27.8581,           57.8133,            2.9446,            7.9624,           -0.1397,           -0.2160,           22.9327,
Ref 12,5.78382e-08,,,,,,1.1857e-02,4.1638e-03,4.8381e-05,4.4329e-06,6.9413e-08,,,,,,,,,,,
Sam 12,5.75880e-08,1.19278e-02,4.2220e-03,4.9335e-05,4.5564e-06,7.2845e-08,,,,,,            5.9321,           13.9599,           19.7234,           28.0951,           53.9609,            2.9411,            7.9794,           -0.2074,           -0.0189,           19.1766,
Ref 13,5.67769e-08,,,,,,1.1858e-02,4.1638e-03,4.8380e-05,4.4308e-06,6.8812e-08,,,,,,,,,,,
Sam 13,5.65474e-08,1.19278e-02,4.2219e-03,4.9336e-05,4.5572e-06,7.3625e-08,,,,,,            5.9321,           13.9473,           19.7483,           28.1803,           75.2779,            2.9415,            7.9669,           -0.1708,            0.0887,           39.8154,
Ref 14,5.57277e-08,,,,,,1.1857e-02,4.1639e-03,4.8381e-05,4.4339e-06,6.8124e-08,,,,,,,,,,,
Sam 14,5.55265e-08,1.19279e-02,4.2220e-03,4.9336e-05,4.5574e-06,7.2506e-08,,,,,,            5.9416,           13.9443,           19.6938,           27.8144,           58.0732,            2.9517,            7.9638,           -0.2310,           -0.2612,           23.1739,
Ref 15,5.47005e-08,,,,,,1.1858e-02,4.1639e-03,4.8385e-05,4.4342e-06,6.8936e-08,,,,,,,,,,,
Sam 15,5.45275e-08,1.19279e-02,4.2221e-03,4.9340e-05,4.5558e-06,7.3188e-08,,,,,,            5.9405,           13.9607,           19.8044,           27.2959,           62.0295,            2.9500,            7.9801,           -0.1374,           -0.7979,           26.9682,
Ref 16,5.37008e-08,,,,,,1.1857e-02,4.1640e-03,4.8380e-05,4.4352e-06,6.8891e-08,,,,,,,,,,,
Sam 16,5.35566e-08,1.19279e-02,4.2221e-03,4.9333e-05,4.5562e-06,7.4281e-08,,,,,,            5.9375,           13.9590,           19.6544,           27.3956,           77.2187,            2.9469,            7.9785,           -0.2798,           -0.6977,           41.6624,
Ref 17,5.27269e-08,,,,,,1.1857e-02,4.1641e-03,4.8384e-05,4.4342e-06,6.9024e-08,,,,,,,,,,,
Sam 17,5.26128e-08,1.19279e-02,4.2221e-03,4.9338e-05,4.5586e-06,7.3248e-08,,,,,,            5.9393,           13.9482,           19.7044,           28.1599,           66.2611,            2.9492,            7.9677,           -0.2221,            0.0671,           31.0863,
Ref 18,5.17819e-08,,,,,,1.1857e-02,4.1641e-03,4.8386e-05,4.4332e-06,6.8363e-08,,,,,,,,,,,
Sam 18,5.16914e-08,1.19278e-02,4.2222e-03,4.9337e-05,4.5563e-06,7.3509e-08,,,,,,            5.9354,           13.9452,           19.6648,           27.7770,           76.2676,            2.9451,            7.9647,           -0.2541,           -0.2994,           40.7730,
Ref 19,5.08565e-08,,,,,,1.1857e-02,4.1641e-03,4.8385e-05,4.4331e-06,6.8236e-08,,,,,,,,,,,
Sam 19,5.07877e-08,1.19278e-02,4.2222e-03,4.9341e-05,4.5574e-06,7.4589e-08,,,,,,            5.9387,           13.9396,           19.7047,           27.9687,           79.9917,            2.9488,            7.9592,           -0.2128,           -0.1019,           44.3820,
Ref 20,4.99530e-08,,,,,,1.1857e-02,4.1641e-03,4.8391e-05,4.4336e-06,6.9907e-08,,,,,,,,,,,
Sam 20,4.99087e-08,1.19278e-02,4.2222e-03,4.9344e-05,4.5582e-06,7.3742e-08,,,,,,            5.9364,           13.9458,           19.6929,           28.3544,           56.2842,            2.9462,            7.9653,           -0.2280,            0.2611,           21.4465,
Ref 21,4.90740e-08,,,,,,1.1857e-02,4.1642e-03,4.8390e-05,4.4313e-06,6.9716e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.86466e-08,,,,,,1.1857e-02,4.1642e-03,4.8391e-05,4.4307e-06,6.8123e-08,
Sam 1,4.86201e-08,1.19277e-02,4.2221e-03,4.9344e-05,4.5589e-06,7.4302e-08,,,,,,            5.9399,           13.9283,           19.8092,           28.6863,           86.7749,            2.9505,            7.9479,           -0.1006,            0.6184,           50.9632,
Ref 2,4.77965e-08,,,,,,1.1857e-02,4.1641e-03,4.8380e-05,4.4328e-06,6.8620e-08,,,,,,,,,,,
Sam 2,4.77947e-08,1.19278e-02,4.2223e-03,4.9345e-05,4.5566e-06,7.4729e-08,,,,,,            5.9419,           13.9485,           19.8506,           27.9318,           81.6994,            2.9519,            7.9680,           -0.0817,           -0.1554,           46.0118,
Ref 3,4.69652e-08,,,,,,1.1857e-02,4.1643e-03,4.8389e-05,4.4329e-06,6.9557e-08,,,,,,,,,,,
Sam 3,4.69741e-08,1.19276e-02,4.2223e-03,4.9342e-05,4.5581e-06,7.3206e-08,,,,,,            5.9255,           13.9263,           19.7374,           28.0497,           52.3075,            2.9353,            7.9460,           -0.1544,            0.0031,           17.6511,
Ref 4,4.61575e-08,,,,,,1.1857e-02,4.1643e-03,4.8385e-05,4.4345e-06,6.9577e-08,,,,,,,,,,,
Sam 4,4.61793e-08,1.19276e-02,4.2223e-03,4.9338e-05,4.5570e-06,7.3292e-08,,,,,,            5.9342,           13.9362,           19.6636,           27.7016,           63.3161,            2.9441,            7.9558,           -0.2451,           -0.3549,           28.2681,
Ref 5,4.53766e-08,,,,,,1.1857e-02,4.1643e-03,4.8389e-05,4.4338e-06,6.8268e-08,,,,,,,,,,,
Sam 5,4.54115e-08,1.19277e-02,4.2224e-03,4.9352e-05,4.5574e-06,7.4512e-08,,,,,,            5.9448,           13.9509,           19.8662,           27.6553,           76.5486,            2.9549,            7.9704,           -0.0717,           -0.4291,           41.0230,
Ref 6,4.45992e-08,,,,,,1.1857e-02,4.1643e-03,4.8393e-05,4.4358e-06,7.0176e-08,,,,,,,,,,,
Sam 6,4.46540e-08,1.19277e-02,4.2224e-03,4.9355e-05,4.5583e-06,7.3734e-08,,,,,,            5.9427,           13.9520,           19.8840,           27.9537,           56.3649,            2.9527,            7.9715,           -0.0533,           -0.1410,           21.5053,
Ref 7,4.38452e-08,,,,,,1.1857e-02,4.1644e-03,4.8392e-05,4.4329e-06,6.9417e-08,,,,,,,,,,,
Sam 7,4.39157e-08,1.19276e-02,4.2225e-03,4.9356e-05,4.5583e-06,7.3748e-08,,,,,,            5.9390,           13.9472,           19.9623,           28.1231,           73.0154,            2.9489,            7.9668,            0.0320,            0.0332,           37.6200,
Ref 8,4.31041e-08,,,,,,1.1857e-02,4.1644e-03,4.8389e-05,4.4343e-06,6.8030e-08,,,,,,,,,,,
Sam 8,4.31947e-08,1.19276e-02,4.2225e-03,4.9350e-05,4.5586e-06,7.3468e-08,,,,,,            5.9440,           13.9456,           19.7887,           27.9108,           69.2984,            2.9542,            7.9651,           -0.1417,           -0.1700,           34.0236,
Ref 9,4.23829e-08,,,,,,1.1857e-02,4.1644e-03,4.8396e-05,4.4353e-06,6.9394e-08,,,,,,,,,,,
Sam 9,4.24933e-08,1.19277e-02,4.2225e-03,4.9350e-05,4.5564e-06,7.4011e-08,,,,,,            5.9479,           13.9441,           19.7728,           27.3346,           56.8227,            2.9584,            7.9636,           -0.1598,           -0.7276,           21.9581,
Ref 10,4.16802e-08,,,,,,1.1857e-02,4.1644e-03,4.8389e-05,4.4349e-06,7.0680e-08,,,,,,,,,,,
Sam 10,4.28281e-08,1.19171e-02,4.2138e-03,4.9202e-05,4.5411e-06,7.6531e-08,,,,,,            5.0542,           11.8483,           16.7745,           23.9816,           83.0772,            2.0795,            5.8799,           -0.1521,            0.1413,           52.6123,
Ref 11,4.11392e-08,,,,,,1.1857e-02,4.1644e-03,4.8391e-05,4.4346e-06,7.0640e-08,,,,,,,,,,,
Sam 11,4.12750e-08,1.19275e-02,4.2225e-03,4.9354e-05,4.5581e-06,7.3887e-08,,,,,,            5.9357,           13.9363,           19.8941,           28.1398,           51.8439,            2.9457,            7.9559,           -0.0208,            0.0709,           17.1721,
Ref 12,4.04594e-08,,,,,,1.1857e-02,4.1645e-03,4.8391e-05,4.4322e-06,6.9843e-08,,,,,,,,,,,
Sam 12,4.06127e-08,1.19274e-02,4.2225e-03,4.9348e-05,4.5578e-06,7.5263e-08,,,,,,            5.9315,           13.9379,           19.7026,           27.9309,           89.3288,            2.9412,            7.9575,           -0.2058,           -0.1354,           53.4228,
Ref 13,3.97969e-08,,,,,,1.1857e-02,4.1645e-03,4.8397e-05,4.4358e-06,6.8328e-08,,,,,,,,,,,
Sam 13,3.99700e-08,1.19273e-02,4.2225e-03,4.9350e-05,4.5579e-06,7.4277e-08,,,,,,            5.9221,           13.9307,           19.7034,           27.3221,           68.9647,            2.9314,            7.9503,           -0.1884,           -0.7132,           33.7547,
Ref 14,3.91557e-08,,,,,,1.1857e-02,4.1645e-03,4.8395e-05,4.4375e-06,7.0661e-08,,,,,,,,,,,
Sam 14,3.93441e-08,1.19274e-02,4.2225e-03,4.9353e-05,4.5582e-06,7.2600e-08,,,,,,            5.9386,           13.9341,           19.8345,           27.6779,           30.2502,            2.9490,            7.9537,           -0.0801,           -0.3739,           -3.7086,
Ref 15,3.85252e-08,,,,,,1.1857e-02,4.1645e-03,4.8392e-05,4.4334e-06,7.0272e-08,,,,,,,,,,,
Sam 15,3.87249e-08,1.19274e-02,4.2225e-03,4.9355e-05,4.5568e-06,7.6776e-08,,,,,,            5.9432,           13.9334,           19.8494,           27.8325,          105.4116,            2.9538,            7.9530,           -0.0696,           -0.2221,           68.9716,
Ref 16,3.79028e-08,,,,,,1.1857e-02,4.1644e-03,4.8397e-05,4.4333e-06,6.8624e-08,,,,,,,,,,,
Sam 16,3.81130e-08,1.19273e-02,4.2225e-03,4.9359e-05,4.5580e-06,7.3359e-08,,,,,,            5.9388,           13.9389,           19.9594,           28.2447,           77.6005,            2.9490,            7.9585,            0.0374,            0.1679,           42.0710,
Ref 17,3.73067e-08,,,,,,1.1857e-02,4.1646e-03,4.8390e-05,4.4323e-06,6.7520e-08,,,,,,,,,,,
Sam 17,3.75231e-08,1.19274e-02,4.2225e-03,4.9355e-05,4.5601e-06,7.4150e-08,,,,,,            5.9394,           13.9162,           19.9106,           28.5095,           93.8697,            2.9504,            7.9359,            0.0110,            0.4703,           57.8496,
Ref 18,3.67175e-08,,,,,,1.1857e-02,4.1646e-03,4.8393e-05,4.4352e-06,6.8058e-08,,,,,,,,,,,
Sam 18,3.69397e-08,1.19273e-02,4.2226e-03,4.9354e-05,4.5583e-06,7.5404e-08,,,,,,            5.9351,           13.9155,           19.8323,           27.5435,           95.0146,            2.9458,            7.9352,           -0.0606,           -0.4681,           58.9631,
Ref 19,3.61395e-08,,,,,,1.1857e-02,4.1646e-03,4.8396e-05,4.4370e-06,6.9676e-08,,,,,,,,,,,
Sam 19,3.63696e-08,1.19272e-02,4.2227e-03,4.9352e-05,4.5585e-06,7.3808e-08,,,,,,            5.9380,           13.9412,           19.8299,           27.5680,           62.4572,            2.9481,            7.9608,           -0.0909,           -0.4949,           27.4232,
Ref 20,3.55701e-08,,,,,,1.1857e-02,4.1646e-03,4.8388e-05,4.4354e-06,6.9258e-08,,,,,,,,,,,
Sam 20,3.58098e-08,1.19273e-02,4.2226e-03,4.9352e-05,4.5592e-06,7.5321e-08,,,,,,            5.9489,           13.9405,           19.7604,           27.8601,           88.6268,            2.9596,            7.9600,           -0.1695,           -0.2093,           52.7192,
Ref 21,3.50131e-08,,,,,,1.1857e-02,4.1646e-03,4.8403e-05,4.4357e-06,6.9119e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,3.47429e-08,,,,,,1.1857e-02,4.1645e-03,4.8398e-05,4.4356e-06,6.9466e-08,
Sam 1,3.49940e-08,1.19272e-02,4.2227e-03,4.9357e-05,4.5592e-06,7.5605e-08,,,,,,            5.9444,           13.9410,           19.8226,           27.9840,           97.7846,            2.9549,            7.9606,           -0.1045,           -0.0899,           61.5788,
Ref 2,3.42063e-08,,,,,,1.1857e-02,4.1647e-03,4.8398e-05,4.4345e-06,6.8266e-08,,,,,,,,,,,
Sam 2,3.44645e-08,1.19271e-02,4.2227e-03,4.9364e-05,4.5574e-06,7.4318e-08,,,,,,            5.9344,           13.9410,           20.0153,           27.4683,           75.2354,            2.9442,            7.9606,            0.0947,           -0.5915,           39.7844,
Ref 3,3.36608e-08,,,,,,1.1857e-02,4.1645e-03,4.8393e-05,4.4366e-06,6.9983e-08,,,,,,,,,,,
Sam 3,3.39402e-08,1.19270e-02,4.2227e-03,4.9360e-05,4.5566e-06,7.4576e-08,,,,,,            5.9276,           13.9488,           19.9176,           27.2877,           79.2241,            2.9366,            7.9684,           -0.0016,           -0.7825,           43.6334,
Ref 4,3.31488e-08,,,,,,1.1857e-02,4.1647e-03,4.8399e-05,4.4345e-06,6.8205e-08,,,,,,,,,,,
Sam 4,3.34375e-08,1.19271e-02,4.2227e-03,4.9353e-05,4.5587e-06,7.3809e-08,,,,,,            5.9474,           13.9400,           19.6818,           27.8925,           69.8995,            2.9581,            7.9596,           -0.2447,           -0.1769,           34.6122,
Ref 5,3.26335e-08,,,,,,1.1857e-02,4.1646e-03,4.8402e-05,4.4355e-06,6.9781e-08,,,,,,,,,,,
Sam 5,3.29356e-08,1.19269e-02,4.2226e-03,4.9355e-05,4.5576e-06,7.4364e-08,,,,,,            5.9331,           13.9338,           19.7635,           27.9123,           83.6059,            2.9430,            7.9535,           -0.1438,           -0.1454,           47.8950,
Ref 6,3.21474e-08,,,,,,1.1857e-02,4.1647e-03,4.8395e-05,4.4322e-06,6.7454e-08,,,,,,,,,,,
Sam 6,3.24483e-08,1.19269e-02,4.2227e-03,4.9358e-05,4.5574e-06,7.4186e-08,,,,,,            5.9318,           13.9356,           19.8426,           28.1264,           73.2681,            2.9416,            7.9552,           -0.0666,            0.0594,           37.8959,
Ref 7,3.16600e-08,,,,,,1.1857e-02,4.1647e-03,4.8401e-05,4.4332e-06,7.0814e-08,,,,,,,,,,,
Sam 7,3.19718e-08,1.19269e-02,4.2227e-03,4.9360e-05,4.5567e-06,7.3826e-08,,,,,,            5.9334,           13.9290,           19.8242,           27.8605,           56.0357,            2.9435,            7.9487,           -0.0800,           -0.1864,           21.2425,
Ref 8,3.11807e-08,,,,,,1.1856e-02,4.1647e-03,4.8401e-05,4.4331e-06,6.8989e-08,,,,,,,,,,,
Sam 8,3.15189e-08,1.19269e-02,4.2227e-03,4.9363e-05,4.5584e-06,7.3031e-08,,,,,,            5.9368,           13.9291,           19.8715,           28.2497,           59.6207,            2.9472,            7.9487,           -0.0371,            0.1922,           24.7056,
Ref 9,3.07406e-08,,,,,,1.1857e-02,4.1648e-03,4.8402e-05,4.4333e-06,6.8854e-08,,,,,,,,,,,
Sam 9,3.10701e-08,1.19269e-02,4.2227e-03,4.9361e-05,4.5575e-06,7.3678e-08,,,,,,            5.9402,           13.9188,           19.8145,           28.1363,           71.7284,            2.9512,            7.9385,           -0.0866,            0.1021,           36.4314,
Ref 10,3.02853e-08,,,,,,1.1856e-02,4.1648e-03,4.8403e-05,4.4322e-06,6.8638e-08,,,,,,,,,,,
Sam 10,3.06218e-08,1.19268e-02,4.2228e-03,4.9366e-05,4.5561e-06,7.4961e-08,,,,,,            5.9389,           13.9286,           19.8770,           27.7620,           86.0007,            2.9494,            7.9482,           -0.0334,           -0.2812,           50.2151,
Ref 11,2.98395e-08,,,,,,1.1856e-02,4.1647e-03,4.8405e-05,4.4339e-06,6.9417e-08,,,,,,,,,,,
Sam 11,3.01816e-08,1.19268e-02,4.2228e-03,4.9363e-05,4.5593e-06,7.4490e-08,,,,,,            5.9370,           13.9380,           19.7839,           28.2981,           77.7064,            2.9470,            7.9576,           -0.1319,            0.2217,           42.1772,
Ref 12,2.93961e-08,,,,,,1.1856e-02,4.1648e-03,4.8405e-05,4.4337e-06,6.8816e-08,,,,,,,,,,,
Sam 12,2.97461e-08,1.19268e-02,4.2228e-03,4.9360e-05,4.5574e-06,7.6080e-08,,,,,,            5.9325,           13.9284,           19.8034,           27.9128,          111.9590,            2.9426,            7.9481,           -0.0988,           -0.1342,           75.3257,
Ref 13,2.89660e-08,,,,,,1.1856e-02,4.1648e-03,4.8398e-05,4.4336e-06,6.8017e-08,,,,,,,,,,,
Sam 13,2.93233e-08,1.19267e-02,4.2228e-03,4.9359e-05,4.5587e-06,7.5695e-08,,,,,,            5.9294,           13.9265,           19.7971,           28.2242,           96.4047,            2.9393,            7.9462,           -0.1000,            0.1724,           60.2912,
Ref 14,2.85434e-08,,,,,,1.1856e-02,4.1648e-03,4.8405e-05,4.4335e-06,7.0076e-08,,,,,,,,,,,
Sam 14,2.89068e-08,1.19267e-02,4.2227e-03,4.9367e-05,4.5571e-06,7.4144e-08,,,,,,            5.9371,           13.9272,           19.9104,           27.9195,           72.7612,            2.9476,            7.9469,            0.0025,           -0.1254,           37.4165,
Ref 15,2.81291e-08,,,,,,1.1856e-02,4.1647e-03,4.8402e-05,4.4331e-06,6.8140e-08,,,,,,,,,,,
Sam 15,2.84994e-08,1.19268e-02,4.2228e-03,4.9365e-05,4.5601e-06,7.6904e-08,,,,,,            5.9453,           13.9338,           19.9023,           28.4861,          117.0479,            2.9560,            7.9534,           -0.0203,            0.4127,           80.2209,
Ref 16,2.77208e-08,,,,,,1.1856e-02,4.1648e-03,4.8402e-05,4.4344e-06,6.9563e-08,,,,,,,,,,,
Sam 16,2.81028e-08,1.19268e-02,4.2228e-03,4.9363e-05,4.5581e-06,7.5998e-08,,,,,,            5.9471,           13.9173,           19.8077,           27.8988,          103.5634,            2.9586,            7.9370,           -0.0988,           -0.1260,           67.2131,
Ref 17,2.73261e-08,,,,,,1.1856e-02,4.1649e-03,4.8407e-05,4.4344e-06,6.8159e-08,,,,,,,,,,,
Sam 17,2.77093e-08,1.19267e-02,4.2229e-03,4.9360e-05,4.5571e-06,7.5793e-08,,,,,,            5.9355,           13.9244,           19.6894,           27.6037,          112.5487,            2.9460,            7.9441,           -0.2099,           -0.4271,           75.9007,
Ref 18,2.69385e-08,,,,,,1.1856e-02,4.1649e-03,4.8408e-05,4.4349e-06,6.8091e-08,,,,,,,,,,,
Sam 18,2.73216e-08,1.19264e-02,4.2228e-03,4.9361e-05,4.5558e-06,7.5507e-08,,,,,,            5.9193,           13.9222,           19.6858,           27.5999,          113.0263,            2.9288,            7.9419,           -0.1947,           -0.4264,           76.3857,
Ref 19,2.65585e-08,,,,,,1.1856e-02,4.1648e-03,4.8408e-05,4.4318e-06,6.7584e-08,,,,,,,,,,,
Sam 19,2.69485e-08,1.19266e-02,4.2228e-03,4.9368e-05,4.5591e-06,7.4502e-08,,,,,,            5.9491,           13.9215,           19.7916,           28.5166,           87.4077,            2.9605,            7.9411,           -0.1207,            0.4668,           51.5790,
Ref 20,2.61616e-08,,,,,,1.1856e-02,4.1648e-03,4.8411e-05,4.4335e-06,6.9457e-08,,,,,,,,,,,
Sam 20,2.65596e-08,1.19264e-02,4.2229e-03,4.9360e-05,4.5556e-06,7.3284e-08,,,,,,            5.9408,           13.9344,           19.6747,           27.7567,           61.1141,            2.9513,            7.9540,           -0.2394,           -0.2978,           26.1349,
Ref 21,2.58075e-08,,,,,,1.1856e-02,4.1649e-03,4.8405e-05,4.4317e-06,6.8664e-08,,,,,,,,,,,


