Nu Stable Isotope Analysis Program
Data Collected on Saturday, December 23, 2023 at 18:13 with Stable 1.71.5 on PS019,Reanalyzed on Saturday, December 23, 2023 at 19:12 with Stable 1.71.5 on PS019

Data File = Data_21506 IAEA-C2.txt,       Sample Weight = 473,                      Vial Location = 49,                       Initial Sam Beam = 2.5057e-07,            ColdFinger Status = CF,                   Min Ref Beam = 3.5381e-08,                Max Ref Beam = 1.5000e-07,                

Analysis undertaken at mass 46.02242
,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,9.12879e-08,,,,,,1.1857e-02,4.1618e-03,4.8344e-05,4.4220e-06,6.6977e-08,
Sam 1,9.04196e-08,1.17975e-02,4.1795e-03,4.8288e-05,4.4601e-06,6.8684e-08,,,,,,           -4.9975,            4.2197,           -1.1968,            8.5071,           25.4147,           -8.3546,           -1.6898,           -0.1787,            0.0495,           22.3876,
Ref 2,8.93579e-08,,,,,,1.1857e-02,4.1621e-03,4.8348e-05,4.4229e-06,6.6987e-08,,,,,,,,,,,
Sam 2,8.84889e-08,1.17977e-02,4.1796e-03,4.8293e-05,4.4613e-06,6.9821e-08,,,,,,           -5.0058,            4.2082,           -1.1451,            8.7287,           37.7366,           -8.3631,           -1.7011,           -0.1071,            0.2920,           34.7054,
Ref 3,8.73963e-08,,,,,,1.1857e-02,4.1622e-03,4.8349e-05,4.4225e-06,6.7584e-08,,,,,,,,,,,
Sam 3,8.65929e-08,1.17979e-02,4.1797e-03,4.8295e-05,4.4620e-06,6.9562e-08,,,,,,           -4.9953,            4.2081,           -1.1226,            8.7871,           28.5027,           -8.3519,           -1.7013,           -0.0953,            0.3502,           25.4873,
Ref 4,8.54802e-08,,,,,,1.1857e-02,4.1622e-03,4.8349e-05,4.4238e-06,6.7685e-08,,,,,,,,,,,
Sam 4,8.47578e-08,1.17978e-02,4.1798e-03,4.8295e-05,4.4624e-06,6.9555e-08,,,,,,           -5.0036,            4.2051,           -1.1598,            8.6967,           26.2647,           -8.3606,           -1.7043,           -0.1210,            0.2666,           23.2709,
Ref 5,8.36357e-08,,,,,,1.1857e-02,4.1623e-03,4.8352e-05,4.4241e-06,6.7867e-08,,,,,,,,,,,
Sam 5,8.29739e-08,1.17979e-02,4.1799e-03,4.8295e-05,4.4616e-06,6.9719e-08,,,,,,           -5.0069,            4.2093,           -1.1827,            8.4271,           25.2040,           -8.3643,           -1.7000,           -0.1447,           -0.0093,           22.2083,
Ref 6,8.18404e-08,,,,,,1.1857e-02,4.1624e-03,4.8353e-05,4.4244e-06,6.8145e-08,,,,,,,,,,,
Sam 6,8.12398e-08,1.17979e-02,4.1799e-03,4.8299e-05,4.4617e-06,7.0300e-08,,,,,,           -5.0019,            4.2020,           -1.1142,            8.3826,           33.2654,           -8.3587,           -1.7073,           -0.0741,           -0.0388,           30.2555,
Ref 7,8.00940e-08,,,,,,1.1857e-02,4.1625e-03,4.8353e-05,4.4247e-06,6.7925e-08,,,,,,,,,,,
Sam 7,7.95561e-08,1.17980e-02,4.1800e-03,4.8300e-05,4.4628e-06,6.9326e-08,,,,,,           -4.9942,            4.2058,           -1.1089,            8.5340,           21.7179,           -8.3506,           -1.7036,           -0.0806,            0.1038,           18.7257,
Ref 8,7.83996e-08,,,,,,1.1857e-02,4.1626e-03,4.8354e-05,4.4253e-06,6.7779e-08,,,,,,,,,,,
Sam 8,7.79276e-08,1.17980e-02,4.1801e-03,4.8300e-05,4.4631e-06,6.9722e-08,,,,,,           -4.9974,            4.2020,           -1.1510,            8.3234,           24.9635,           -8.3539,           -1.7074,           -0.1157,           -0.0975,           21.9729,
Ref 9,7.67592e-08,,,,,,1.1857e-02,4.1626e-03,4.8357e-05,4.4273e-06,6.8274e-08,,,,,,,,,,,
Sam 9,7.63338e-08,1.17980e-02,4.1802e-03,4.8302e-05,4.4642e-06,6.9997e-08,,,,,,           -5.0008,            4.2050,           -1.1516,            8.4992,           29.9673,           -8.3577,           -1.7044,           -0.1156,            0.0709,           26.9599,
Ref 10,7.51658e-08,,,,,,1.1857e-02,4.1627e-03,4.8359e-05,4.4258e-06,6.7640e-08,,,,,,,,,,,
Sam 10,7.47822e-08,1.17981e-02,4.1802e-03,4.8306e-05,4.4634e-06,6.9613e-08,,,,,,           -5.0047,            4.2030,           -1.0803,            8.2613,           28.5587,           -8.3617,           -1.7063,           -0.0382,           -0.1612,           25.5636,
Ref 11,7.36104e-08,,,,,,1.1857e-02,4.1628e-03,4.8357e-05,4.4279e-06,6.7721e-08,,,,,,,,,,,
Sam 11,7.32785e-08,1.17981e-02,4.1803e-03,4.8301e-05,4.4657e-06,7.0878e-08,,,,,,           -5.0023,            4.2031,           -1.2297,            8.7303,           43.9268,           -8.3591,           -1.7063,           -0.1904,            0.3038,           40.8841,
Ref 12,7.21050e-08,,,,,,1.1857e-02,4.1628e-03,4.8363e-05,4.4262e-06,6.8074e-08,,,,,,,,,,,
Sam 12,7.18170e-08,1.17981e-02,4.1804e-03,4.8305e-05,4.4637e-06,7.0289e-08,,,,,,           -4.9975,            4.2100,           -1.1434,            8.5545,           26.2078,           -8.3543,           -1.6994,           -0.1157,            0.1158,           23.1977,
Ref 13,7.06437e-08,,,,,,1.1857e-02,4.1629e-03,4.8358e-05,4.4256e-06,6.8922e-08,,,,,,,,,,,
Sam 13,7.04003e-08,1.17982e-02,4.1803e-03,4.8305e-05,4.4654e-06,7.0583e-08,,,,,,           -4.9960,            4.1944,           -1.1017,            8.7668,           27.3018,           -8.3521,           -1.7150,           -0.0602,            0.3574,           24.3182,
Ref 14,6.92280e-08,,,,,,1.1857e-02,4.1629e-03,4.8359e-05,4.4276e-06,6.8488e-08,,,,,,,,,,,
Sam 14,6.90324e-08,1.17981e-02,4.1804e-03,4.8307e-05,4.4650e-06,7.1104e-08,,,,,,           -4.9995,            4.2056,           -1.0776,            8.5957,           35.3961,           -8.3562,           -1.7038,           -0.0435,            0.1654,           32.3701,
Ref 15,6.78625e-08,,,,,,1.1857e-02,4.1629e-03,4.8359e-05,4.4263e-06,6.8862e-08,,,,,,,,,,,
Sam 15,6.76959e-08,1.17981e-02,4.1804e-03,4.8305e-05,4.4650e-06,7.0917e-08,,,,,,           -4.9971,            4.2029,           -1.1612,            8.6833,           29.0756,           -8.3536,           -1.7065,           -0.1270,            0.2576,           26.0709,
Ref 16,6.65281e-08,,,,,,1.1857e-02,4.1630e-03,4.8363e-05,4.4268e-06,6.8966e-08,,,,,,,,,,,
Sam 16,6.63973e-08,1.17981e-02,4.1805e-03,4.8307e-05,4.4647e-06,7.1168e-08,,,,,,           -4.9987,            4.1927,           -1.1585,            8.4637,           36.2747,           -8.3550,           -1.7166,           -0.1126,            0.0602,           33.2713,
Ref 17,6.52226e-08,,,,,,1.1857e-02,4.1631e-03,4.8363e-05,4.4276e-06,6.8381e-08,,,,,,,,,,,
Sam 17,6.51317e-08,1.17982e-02,4.1806e-03,4.8308e-05,4.4649e-06,7.1859e-08,,,,,,           -4.9920,            4.1954,           -1.2269,            8.4064,           46.8372,           -8.3480,           -1.7139,           -0.1907,           -0.0021,           43.7903,
Ref 18,6.39626e-08,,,,,,1.1857e-02,4.1631e-03,4.8370e-05,4.4277e-06,6.8912e-08,,,,,,,,,,,
Sam 18,6.39073e-08,1.17981e-02,4.1806e-03,4.8307e-05,4.4632e-06,7.0734e-08,,,,,,           -4.9928,            4.1957,           -1.2840,            7.8671,           30.1826,           -8.3488,           -1.7137,           -0.2474,           -0.5374,           27.1844,
Ref 19,6.27329e-08,,,,,,1.1857e-02,4.1631e-03,4.8368e-05,4.4291e-06,6.8407e-08,,,,,,,,,,,
Sam 19,6.27089e-08,1.17981e-02,4.1806e-03,4.8308e-05,4.4654e-06,7.1034e-08,,,,,,           -4.9962,            4.1901,           -1.2150,            8.3682,           34.6305,           -8.3522,           -1.7192,           -0.1692,           -0.0293,           31.6345,
Ref 20,6.15353e-08,,,,,,1.1857e-02,4.1632e-03,4.8366e-05,4.4275e-06,6.8910e-08,,,,,,,,,,,
Sam 20,6.15418e-08,1.17981e-02,4.1806e-03,4.8313e-05,4.4654e-06,7.1189e-08,,,,,,           -4.9986,            4.1949,           -1.1252,            8.6610,           30.0258,           -8.3549,           -1.7144,           -0.0816,            0.2514,           27.0360,
Ref 21,6.03696e-08,,,,,,1.1857e-02,4.1632e-03,4.8369e-05,4.4267e-06,6.9322e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,5.98034e-08,,,,,,1.1857e-02,4.1632e-03,4.8369e-05,4.4279e-06,6.8068e-08,
Sam 1,5.98315e-08,1.17981e-02,4.1807e-03,4.8316e-05,4.4641e-06,7.1927e-08,,,,,,           -4.9980,            4.1913,           -1.0602,            8.1619,           58.3996,           -8.3542,           -1.7180,           -0.0136,           -0.2363,           55.3343,
Ref 2,5.86674e-08,,,,,,1.1857e-02,4.1632e-03,4.8366e-05,4.4280e-06,6.7847e-08,,,,,,,,,,,
Sam 2,5.87353e-08,1.17981e-02,4.1807e-03,4.8315e-05,4.4670e-06,7.0548e-08,,,,,,           -5.0007,            4.1946,           -1.1230,            8.9703,           28.8635,           -8.3572,           -1.7147,           -0.0770,            0.5587,           25.8800,
Ref 3,5.75781e-08,,,,,,1.1857e-02,4.1633e-03,4.8373e-05,4.4266e-06,6.9304e-08,,,,,,,,,,,
Sam 3,5.76718e-08,1.17981e-02,4.1808e-03,4.8315e-05,4.4654e-06,7.0934e-08,,,,,,           -4.9930,            4.1976,           -1.1619,            8.5087,           22.6780,           -8.3491,           -1.7118,           -0.1268,            0.0950,           19.6982,
Ref 4,5.65144e-08,,,,,,1.1857e-02,4.1633e-03,4.8370e-05,4.4290e-06,6.9419e-08,,,,,,,,,,,
Sam 4,5.66286e-08,1.17980e-02,4.1809e-03,4.8313e-05,4.4660e-06,7.1711e-08,,,,,,           -4.9998,            4.1996,           -1.2450,            8.3375,           40.8631,           -8.3564,           -1.7097,           -0.2049,           -0.0787,           37.8336,
Ref 5,5.54713e-08,,,,,,1.1857e-02,4.1634e-03,4.8376e-05,4.4292e-06,6.8362e-08,,,,,,,,,,,
Sam 5,5.56118e-08,1.17980e-02,4.1809e-03,4.8320e-05,4.4654e-06,7.2363e-08,,,,,,           -4.9963,            4.2004,           -1.0926,            8.2661,           49.7363,           -8.3527,           -1.7090,           -0.0567,           -0.1511,           46.6755,
Ref 6,5.44567e-08,,,,,,1.1857e-02,4.1634e-03,4.8370e-05,4.4284e-06,6.9517e-08,,,,,,,,,,,
Sam 6,5.46151e-08,1.17980e-02,4.1809e-03,4.8318e-05,4.4649e-06,7.1552e-08,,,,,,           -4.9954,            4.2069,           -1.0842,            8.2714,           27.3124,           -8.3519,           -1.7025,           -0.0557,           -0.1588,           24.3029,
Ref 7,5.34667e-08,,,,,,1.1857e-02,4.1634e-03,4.8371e-05,4.4281e-06,6.9784e-08,,,,,,,,,,,
Sam 7,5.36502e-08,1.17980e-02,4.1809e-03,4.8318e-05,4.4663e-06,7.1299e-08,,,,,,           -4.9973,            4.1908,           -1.1201,            8.6855,           22.8978,           -8.3534,           -1.7185,           -0.0738,            0.2839,           19.9355,
Ref 8,5.25040e-08,,,,,,1.1857e-02,4.1635e-03,4.8373e-05,4.4275e-06,6.9620e-08,,,,,,,,,,,
Sam 8,5.27106e-08,1.17980e-02,4.1809e-03,4.8317e-05,4.4653e-06,7.2180e-08,,,,,,           -4.9953,            4.1868,           -1.1421,            8.2975,           40.2688,           -8.3512,           -1.7225,           -0.0940,           -0.0929,           37.2622,
Ref 9,5.15597e-08,,,,,,1.1857e-02,4.1635e-03,4.8370e-05,4.4296e-06,6.9147e-08,,,,,,,,,,,
Sam 9,5.17864e-08,1.17979e-02,4.1809e-03,4.8315e-05,4.4648e-06,7.3053e-08,,,,,,           -4.9912,            4.1883,           -1.1595,            8.1120,           53.2618,           -8.3468,           -1.7210,           -0.1172,           -0.2799,           50.2098,
Ref 10,5.06461e-08,,,,,,1.1857e-02,4.1635e-03,4.8371e-05,4.4281e-06,6.9575e-08,,,,,,,,,,,
Sam 10,5.08924e-08,1.17979e-02,4.1810e-03,4.8322e-05,4.4641e-06,7.2186e-08,,,,,,           -4.9934,            4.1916,           -1.0802,            8.0333,           40.1493,           -8.3493,           -1.7177,           -0.0387,           -0.3645,           37.1310,
Ref 11,4.97501e-08,,,,,,1.1857e-02,4.1635e-03,4.8377e-05,4.4289e-06,6.9222e-08,,,,,,,,,,,
Sam 11,5.00191e-08,1.17980e-02,4.1810e-03,4.8311e-05,4.4659e-06,7.2735e-08,,,,,,           -4.9836,            4.1918,           -1.3588,            8.5693,           50.8862,           -8.3389,           -1.7175,           -0.3280,            0.1666,           47.8255,
Ref 12,4.88733e-08,,,,,,1.1857e-02,4.1636e-03,4.8377e-05,4.4269e-06,6.9205e-08,,,,,,,,,,,
Sam 12,4.91631e-08,1.17978e-02,4.1810e-03,4.8323e-05,4.4654e-06,7.0830e-08,,,,,,           -4.9996,            4.1820,           -1.0695,            8.4405,           28.5099,           -8.3556,           -1.7273,           -0.0121,            0.0586,           25.5516,
Ref 13,4.80186e-08,,,,,,1.1857e-02,4.1636e-03,4.8373e-05,4.4292e-06,6.8523e-08,,,,,,,,,,,
Sam 13,4.83345e-08,1.17978e-02,4.1810e-03,4.8321e-05,4.4650e-06,7.1930e-08,,,,,,           -4.9965,            4.1900,           -1.0921,            8.2185,           48.4510,           -8.3525,           -1.7193,           -0.0459,           -0.1777,           45.4153,
Ref 14,4.71908e-08,,,,,,1.1857e-02,4.1636e-03,4.8375e-05,4.4279e-06,6.8690e-08,,,,,,,,,,,
Sam 14,4.75204e-08,1.17978e-02,4.1811e-03,4.8318e-05,4.4656e-06,7.1883e-08,,,,,,           -4.9981,            4.2062,           -1.1157,            8.5989,           45.9311,           -8.3548,           -1.7032,           -0.0837,            0.1674,           42.8716,
Ref 15,4.63819e-08,,,,,,1.1857e-02,4.1636e-03,4.8370e-05,4.4271e-06,6.8762e-08,,,,,,,,,,,
Sam 15,4.67192e-08,1.17977e-02,4.1811e-03,4.8324e-05,4.4668e-06,7.2951e-08,,,,,,           -5.0039,            4.1964,           -1.0380,            8.8861,           56.1128,           -8.3606,           -1.7129,            0.0096,            0.4716,           53.0501,
Ref 16,4.55896e-08,,,,,,1.1857e-02,4.1637e-03,4.8379e-05,4.4279e-06,6.9393e-08,,,,,,,,,,,
Sam 16,4.59483e-08,1.17977e-02,4.1811e-03,4.8322e-05,4.4655e-06,7.1933e-08,,,,,,           -5.0029,            4.1822,           -1.1697,            8.5061,           26.2048,           -8.3591,           -1.7271,           -0.1092,            0.1232,           23.2564,
Ref 17,4.48249e-08,,,,,,1.1857e-02,4.1637e-03,4.8379e-05,4.4278e-06,7.0812e-08,,,,,,,,,,,
Sam 17,4.51940e-08,1.17978e-02,4.1812e-03,4.8323e-05,4.4654e-06,7.2386e-08,,,,,,           -4.9914,            4.1927,           -1.1253,            8.4417,           31.8114,           -8.3472,           -1.7166,           -0.0870,            0.0382,           28.8129,
Ref 18,4.40697e-08,,,,,,1.1857e-02,4.1638e-03,4.8376e-05,4.4283e-06,6.9485e-08,,,,,,,,,,,
Sam 18,4.44498e-08,1.17978e-02,4.1812e-03,4.8321e-05,4.4658e-06,7.2749e-08,,,,,,           -4.9876,            4.1832,           -1.1753,            8.3862,           47.8031,           -8.3428,           -1.7261,           -0.1317,            0.0022,           44.7734,
Ref 19,4.33286e-08,,,,,,1.1857e-02,4.1638e-03,4.8379e-05,4.4290e-06,6.9374e-08,,,,,,,,,,,
Sam 19,4.37167e-08,1.17977e-02,4.1812e-03,4.8323e-05,4.4665e-06,7.2329e-08,,,,,,           -4.9898,            4.1889,           -1.1686,            8.5539,           44.9063,           -8.3454,           -1.7204,           -0.1283,            0.1571,           41.8758,
Ref 20,4.26036e-08,,,,,,1.1857e-02,4.1638e-03,4.8381e-05,4.4283e-06,6.9064e-08,,,,,,,,,,,
Sam 20,4.30048e-08,1.17977e-02,4.1813e-03,4.8319e-05,4.4660e-06,7.0815e-08,,,,,,           -4.9924,            4.1987,           -1.2726,            8.3194,           23.9777,           -8.3485,           -1.7106,           -0.2393,           -0.0949,           20.9911,
Ref 21,4.18949e-08,,,,,,1.1857e-02,4.1638e-03,4.8381e-05,4.4299e-06,6.9251e-08,,,,,,,,,,,


,Major,Sample,Sample,Sample,Sample,Sample,Ref,Ref,Ref,Ref,Ref,Raw,Raw,Raw,Raw,Raw,Delta(13),Delta(18),DELTA,DELTA,DELTA,
,Beam,Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Ratio(45/44),Ratio(46/44),Ratio(47/44),Ratio(48/44),Ratio(49/44),Delta(45/44),Delta(46/44),Delta(47/44),Delta(48/44),Delta(49/44),wrt PDB,wrt PDB,47,48,49,

Ref 1,4.15496e-08,,,,,,1.1857e-02,4.1638e-03,4.8375e-05,4.4284e-06,6.8596e-08,
Sam 1,4.19714e-08,1.17977e-02,4.1813e-03,4.8321e-05,4.4678e-06,7.1805e-08,,,,,,           -4.9965,            4.1829,           -1.1631,            8.9148,           39.4095,           -8.3523,           -1.7264,           -0.1100,            0.5270,           36.4145,
Ref 2,4.08687e-08,,,,,,1.1857e-02,4.1639e-03,4.8380e-05,4.4283e-06,6.9577e-08,,,,,,,,,,,
Sam 2,4.12997e-08,1.17976e-02,4.1813e-03,4.8326e-05,4.4663e-06,7.1959e-08,,,,,,           -4.9937,            4.1842,           -1.0669,            8.6248,           38.6964,           -8.3493,           -1.7251,           -0.0179,            0.2369,           35.6978,
Ref 3,4.01985e-08,,,,,,1.1857e-02,4.1639e-03,4.8375e-05,4.4279e-06,6.8975e-08,,,,,,,,,,,
Sam 3,4.06400e-08,1.17977e-02,4.1813e-03,4.8331e-05,4.4669e-06,7.2780e-08,,,,,,           -4.9828,            4.1820,           -0.9647,            8.6784,           49.0052,           -8.3377,           -1.7273,            0.0754,            0.2945,           45.9692,
Ref 4,3.95415e-08,,,,,,1.1857e-02,4.1639e-03,4.8381e-05,4.4290e-06,6.9791e-08,,,,,,,,,,,
Sam 4,3.99923e-08,1.17974e-02,4.1814e-03,4.8326e-05,4.4669e-06,7.1960e-08,,,,,,           -5.0048,            4.1973,           -1.1675,            8.3747,           34.2405,           -8.3616,           -1.7120,           -0.1199,           -0.0372,           31.2404,
Ref 5,3.89003e-08,,,,,,1.1857e-02,4.1639e-03,4.8384e-05,4.4306e-06,6.9360e-08,,,,,,,,,,,
Sam 5,3.93700e-08,1.17976e-02,4.1814e-03,4.8322e-05,4.4657e-06,7.3211e-08,,,,,,           -4.9944,            4.1893,           -1.2417,            8.0242,           50.8494,           -8.3502,           -1.7200,           -0.1971,           -0.3689,           47.8059,
Ref 6,3.82790e-08,,,,,,1.1857e-02,4.1640e-03,4.8379e-05,4.4296e-06,6.9981e-08,,,,,,,,,,,
Sam 6,3.87540e-08,1.17975e-02,4.1814e-03,4.8327e-05,4.4637e-06,7.3632e-08,,,,,,           -4.9953,            4.1904,           -1.1364,            7.8796,           51.8780,           -8.3513,           -1.7189,           -0.0919,           -0.5145,           48.8303,
Ref 7,3.76658e-08,,,,,,1.1857e-02,4.1640e-03,4.8385e-05,4.4280e-06,7.0019e-08,,,,,,,,,,,
Sam 7,3.81520e-08,1.17975e-02,4.1814e-03,4.8323e-05,4.4660e-06,7.3903e-08,,,,,,           -4.9908,            4.1897,           -1.2730,            8.6641,           52.6281,           -8.3465,           -1.7196,           -0.2326,            0.2648,           49.5746,
Ref 8,3.70634e-08,,,,,,1.1857e-02,4.1640e-03,4.8384e-05,4.4274e-06,7.0400e-08,,,,,,,,,,,
Sam 8,3.75615e-08,1.17974e-02,4.1815e-03,4.8327e-05,4.4644e-06,7.3784e-08,,,,,,           -4.9960,            4.1972,           -1.2108,            8.2481,           47.7582,           -8.3523,           -1.7121,           -0.1723,           -0.1627,           44.7093,
Ref 9,3.64801e-08,,,,,,1.1857e-02,4.1640e-03,4.8386e-05,4.4285e-06,7.0442e-08,,,,,,,,,,,
Sam 9,3.69879e-08,1.17973e-02,4.1815e-03,4.8332e-05,4.4652e-06,7.3613e-08,,,,,,           -5.0029,            4.1936,           -1.0893,            8.6918,           44.3173,           -8.3595,           -1.7157,           -0.0399,            0.2846,           41.2936,
Ref 10,3.59061e-08,,,,,,1.1857e-02,4.1640e-03,4.8384e-05,4.4249e-06,7.0537e-08,,,,,,,,,,,
Sam 10,3.64056e-08,1.17973e-02,4.1814e-03,4.8326e-05,4.4661e-06,7.3072e-08,,,,,,           -4.9884,            4.1693,           -1.1752,            8.9086,           41.4355,           -8.3432,           -1.7399,           -0.1171,            0.5479,           38.4533,
Ref 11,3.53348e-08,,,,,,1.1856e-02,4.1640e-03,4.8383e-05,4.4286e-06,6.9785e-08,,,,,,,,,,,
Sam 11,3.58662e-08,1.17973e-02,4.1815e-03,4.8334e-05,4.4679e-06,7.2939e-08,,,,,,           -4.9858,            4.1841,           -1.0479,            8.9412,           43.0874,           -8.3409,           -1.7252,           -0.0068,            0.5509,           40.0675,
Ref 12,3.47986e-08,,,,,,1.1856e-02,4.1640e-03,4.8386e-05,4.4282e-06,7.0069e-08,,,,,,,,,,,
Sam 12,3.53261e-08,1.17972e-02,4.1815e-03,4.8329e-05,4.4665e-06,7.4247e-08,,,,,,           -4.9984,            4.1928,           -1.1726,            8.8035,           68.0916,           -8.3547,           -1.7165,           -0.1272,            0.3970,           64.9955,
Ref 13,3.42567e-08,,,,,,1.1856e-02,4.1640e-03,4.8386e-05,4.4269e-06,6.8949e-08,,,,,,,,,,,
Sam 13,3.47958e-08,1.17972e-02,4.1815e-03,4.8333e-05,4.4645e-06,7.3343e-08,,,,,,           -4.9918,            4.2044,           -1.1033,            8.4517,           50.8408,           -8.3481,           -1.7050,           -0.0760,            0.0250,           47.7636,
Ref 14,3.37310e-08,,,,,,1.1856e-02,4.1640e-03,4.8388e-05,4.4273e-06,7.0654e-08,,,,,,,,,,,
Sam 14,3.42568e-08,1.17972e-02,4.1814e-03,4.8326e-05,4.4641e-06,7.3923e-08,,,,,,           -5.0016,            4.1800,           -1.2151,            8.0975,           65.8251,           -8.3576,           -1.7293,           -0.1539,           -0.2777,           62.7658,
Ref 15,3.32236e-08,,,,,,1.1856e-02,4.1641e-03,4.8382e-05,4.4291e-06,6.8041e-08,,,,,,,,,,,
Sam 15,3.37760e-08,1.17972e-02,4.1815e-03,4.8332e-05,4.4642e-06,7.2720e-08,,,,,,           -4.9937,            4.1761,           -1.1083,            7.8237,           48.1636,           -8.3491,           -1.7331,           -0.0513,           -0.5415,           45.1542,
Ref 16,3.27287e-08,,,,,,1.1856e-02,4.1641e-03,4.8390e-05,4.4300e-06,7.0736e-08,,,,,,,,,,,
Sam 16,3.32966e-08,1.17972e-02,4.1816e-03,4.8336e-05,4.4644e-06,7.4632e-08,,,,,,           -4.9880,            4.2035,           -1.0863,            8.1719,           51.9815,           -8.3440,           -1.7058,           -0.0621,           -0.2508,           48.8984,
Ref 17,3.22473e-08,,,,,,1.1856e-02,4.1641e-03,4.8387e-05,4.4265e-06,7.1155e-08,,,,,,,,,,,
Sam 17,3.28112e-08,1.17972e-02,4.1816e-03,4.8333e-05,4.4667e-06,7.1343e-08,,,,,,           -4.9883,            4.1911,           -1.0893,            8.9003,           18.2047,           -8.3439,           -1.7182,           -0.0526,            0.4962,           15.2456,
Ref 18,3.17599e-08,,,,,,1.1856e-02,4.1642e-03,4.8384e-05,4.4280e-06,6.8964e-08,,,,,,,,,,,
Sam 18,3.23263e-08,1.17970e-02,4.1816e-03,4.8337e-05,4.4666e-06,7.3824e-08,,,,,,           -4.9901,            4.1911,           -0.9589,            8.6827,           64.3889,           -8.3458,           -1.7182,            0.0798,            0.2804,           61.2976,
Ref 19,3.12420e-08,,,,,,1.1856e-02,4.1640e-03,4.8384e-05,4.4282e-06,6.9758e-08,,,,,,,,,,,
Sam 19,3.18481e-08,1.17971e-02,4.1816e-03,4.8338e-05,4.4646e-06,7.2473e-08,,,,,,           -4.9831,            4.1946,           -1.0276,            8.2516,           38.0116,           -8.3384,           -1.7148,            0.0004,           -0.1539,           34.9821,
Ref 20,3.08237e-08,,,,,,1.1856e-02,4.1642e-03,4.8391e-05,4.4278e-06,6.9881e-08,,,,,,,,,,,
Sam 20,3.13944e-08,1.17971e-02,4.1816e-03,4.8337e-05,4.4673e-06,7.3839e-08,,,,,,           -4.9876,            4.1767,           -1.1333,            9.1972,           61.3384,           -8.3426,           -1.7325,           -0.0833,            0.8193,           58.2829,
Ref 21,3.03573e-08,,,,,,1.1856e-02,4.1642e-03,4.8392e-05,4.4254e-06,6.9258e-08,,,,,,,,,,,


