,UID,Session,Sample,d45,d46,d47,d48,d49
500,20660,20231024,ETH-3,4.35345,11.652699,15.926872,23.307783,37.845937
499,20683,20231024,ETH-2,-7.256527,-5.403089,-13.32083,-10.82657,-14.75957
506,20704,20231024,ETH-4,-7.416377,-5.595004,-13.409595,-11.240445,-9.587424
501,20688,20231024,ETH-4,-7.419082,-5.583299,-13.394614,-11.245549,-10.253599
502,20697,20231024,BD1_ZEBRA_70_m_B1,3.999485,4.589616,8.380254,9.072518,3.729602
503,20696,20231024,BD1_ZEBRA_70_m_A,5.352621,3.482064,8.661248,6.72519,8.410783
504,20680,20231024,MDE_71_B,5.948354,6.441689,12.189639,12.763468,13.621209
505,20705,20231024,BD1_ZEBRA_70_m_A,5.33142,3.559116,8.69487,6.98781,10.829401
507,20699,20231024,ETH-1,4.591675,11.105418,15.129165,21.930416,14.734919
517,20665,20231024,MDE_78_A,3.085099,6.556791,9.363106,12.958776,8.8897
509,20661,20231024,ETH-1,4.601953,11.123488,15.205513,22.081304,25.483594
510,20701,20231024,BD1_ZEBRA_70_m_B2,5.633253,3.695086,9.156751,7.035769,8.088712
511,20666,20231024,BD1_15.5_A,5.411786,11.29509,16.46612,22.585702,19.616232
516,20685,20231024,BD1_15.5_A,5.435434,11.329375,16.538531,22.54324,15.490028
515,20667,20231024,MDE_71_B,5.746453,6.298569,11.867597,12.499598,12.491209
514,20677,20231024,BD1_ZEBRA_70_m_B1,4.12933,4.606509,8.514403,9.039754,5.169139
513,20664,20231024,IAEA-C1,5.011747,11.071331,15.660601,21.931679,17.539296
512,20670,20231024,MDE_78_B,6.466194,6.061743,12.370601,12.069754,16.486793
498,20674,20231024,ETH-4,-7.403169,-5.573698,-13.41107,-11.257555,-14.160519
508,20706,20231024,IAEA-C2,-4.96135,4.23815,-1.07929,8.359368,9.481655
497,20679,20231024,IAEA-C2,-4.975288,4.212032,-1.16084,8.353948,-1.765753
521,20693,20231024,ETH-4,-7.401701,-5.537939,-13.375698,-11.320865,-18.31315
495,20692,20231024,MDE_71_B,5.916113,6.387702,12.171031,13.046714,18.655348
522,20682,20231024,BD1_ZEBRA_70_m_B1,4.09246,4.54601,8.419843,8.8272,9.3092
523,20689,20231024,IAEA-C2,-4.958442,4.247868,-1.083944,8.386826,5.434959
524,20703,20231024,ETH-3,4.353653,11.670548,15.862371,23.183746,22.413131
525,20681,20231024,MDE_78_B,6.457116,6.126304,12.41478,12.053072,17.009828
518,20687,20231024,ETH-3,4.371073,11.705522,15.920127,23.320858,22.121365
520,20669,20231024,ETH-1,4.617241,11.12948,15.15288,21.97601,10.759129
481,20672,20231024,MDE_78_A,3.355561,6.549021,9.627355,12.955331,8.765229
482,20698,20231024,ETH-2,-7.249607,-5.382875,-13.290739,-10.953767,-19.488306
483,20691,20231024,MDE_71_A,6.732258,6.311081,12.823215,12.45299,11.606441
496,20690,20231024,MDE_78_A,2.985098,6.546557,9.239006,12.894417,11.664938
484,20684,20231024,ETH-4,-7.446563,-5.673156,-13.467115,-11.197681,-11.664551
486,20673,20231024,ETH-3,4.337951,11.612183,15.798783,23.179746,14.965357
487,20663,20231024,IAEA-C2,-4.95945,4.240678,-1.109992,8.407226,4.086177
488,20702,20231024,MDE_71_A,6.726027,6.281534,12.84005,12.430923,17.172952
489,20662,20231024,ETH-2,-7.229368,-5.373327,-13.178001,-10.847136,-4.274878
490,20700,20231024,MDE_78_B,6.309959,6.165958,12.280189,12.111905,14.903525
491,20668,20231024,ETH-2,-7.243082,-5.393744,-13.256388,-10.806601,-9.032847
492,20694,20231024,IAEA-C2,-4.972336,4.236764,-1.158858,8.448127,-0.81097
493,20671,20231024,BD1_ZEBRA_70_m_A,5.353414,3.532037,8.731247,6.906999,5.632023
494,20707,20231024,BD1_15.5_A,5.420307,11.308209,16.559428,22.630211,24.385702
485,20675,20231024,MDE_71_A,6.707858,6.247014,12.785105,12.298056,15.166937
519,20678,20231024,ETH-3,4.430179,11.872409,16.129057,23.640176,20.491546
356,20731,20231027,MDE_BKFF_B1,-4.128242,3.249283,-1.260513,6.386273,7.471729
381,20712,20231027,ETH-3,4.330954,11.639822,15.859441,23.388877,27.022296
353,20738,20231027,ETH-4,-7.417175,-5.583684,-13.434121,-11.257502,-20.793308
352,20759,20231027,IAEA-C1,5.013088,11.086502,15.672844,21.987266,24.415132
351,20741,20231027,MDE_BKFF_B1,-3.789245,3.330293,-0.847057,6.609725,4.482936
350,20743,20231027,ETH-1,4.602146,11.158614,15.196881,22.121175,16.267866
349,20722,20231027,MDS_211.5,-4.5667,5.251334,0.150764,10.356885,5.131756
348,20745,20231027,MDE2_86.9,-8.991739,5.354781,-4.357256,10.438966,5.484217
347,20736,20231027,MDS_5.0,-6.657128,4.568562,-2.770612,8.964847,3.11208
346,20732,20231027,MDE_BKFF_A,-2.785214,4.745023,1.548081,9.335383,2.630294
345,20750,20231027,MDE_BKFF_B1,-3.977774,3.318366,-1.040453,6.483011,4.353884
344,20715,20231027,BD1_ZEBRA_70_m_B2,5.691287,3.594893,9.113712,6.998539,13.535561
343,20714,20231027,IAEA-C1,5.023242,11.097405,15.703663,22.036919,21.887016
342,20723,20231027,ETH-2,-7.260245,-5.387247,-13.271967,-10.864113,-6.060517
341,20716,20231027,MDE_BKFF_B2,-5.43446,2.644025,-3.224971,5.119099,3.996262
340,20725,20231027,MDE_BKFF_A,-3.274097,4.494646,0.807484,8.876041,12.613457
339,20742,20231027,MDE2_176,-6.653739,4.807939,-2.47597,9.469823,2.695048
338,20717,20231027,MDE2_176,-6.632461,4.840082,-2.411518,9.545088,5.903619
337,20711,20231027,ETH-1,4.613483,11.14222,15.205211,22.100913,20.251141
336,20755,20231027,MDE_BKFF_A,-2.946284,4.664889,1.305101,9.256224,4.017049
382,20728,20231027,ETH-3,4.333934,11.705364,15.814448,23.274436,16.460442
334,20719,20231027,ETH-4,-7.393696,-5.567103,-13.409876,-11.238213,-16.868762
333,20735,20231027,MDE_BKFF_B2,-5.448328,2.644911,-3.241006,5.255981,0.689085
354,20729,20231027,ETH-4,-7.400326,-5.563317,-13.385016,-11.161649,-9.669242
355,20751,20231027,MDS_211.5,-4.588605,5.281709,0.12869,10.343163,5.962306
335,20749,20231027,ETH-2,-7.251269,-5.38924,-13.245012,-10.808453,-3.762504
379,20747,20231027,MDS_5.0,-6.660495,4.52258,-2.78699,8.897504,8.744137
