UID,Session,Sample,d45,d46,d47,d48,d49
19662,20230518,IAEA-C1,5.082851,11.240026,15.813309,22.398564,30.605988
19672,20230518,ETH-2,-7.171536,-5.291180,-13.161380,-10.689642,-7.859998
19676,20230518,SB1_98_A,6.631815,17.879451,24.234910,35.804164,50.796928
19671,20230518,WS2_9.2_A,5.172545,13.225682,18.132645,26.497682,37.584294
19666,20230518,WS2_9.2_A,5.154219,13.168600,18.052025,26.482472,47.609435
19683,20230518,ETH-2,-7.166077,-5.299540,-13.210709,-10.706929,-14.641820
19664,20230518,WS4_54.4_A,5.771570,15.993389,21.480591,32.088789,50.716111
19695,20230518,WS4_44.2_A,6.847765,17.417013,23.978735,34.969729,47.947034
19660,20230518,ETH-2,-7.165115,-5.276285,-13.169082,-10.792350,-9.373315
19689,20230518,WS4_44.2_A,6.849772,17.443664,24.045520,35.027868,45.147161
19665,20230518,KDW2_51.0_A,5.645287,11.997321,17.353982,23.993382,32.336916
19670,20230518,KDW2_51.0_A,5.646412,11.996006,17.352618,23.927169,44.196537
19706,20230518,IAEA-C1,5.069265,11.227144,15.768425,22.357501,27.120760
19667,20230518,ETH-3,4.428659,11.845066,16.033625,23.574485,32.620655
19701,20230518,WS4_54.4_A,5.760336,15.992543,21.436024,32.281073,40.778033
19681,20230518,WS4_54.4_A,5.761605,15.943293,21.389218,32.034776,45.094025
19673,20230518,ETH-1,4.675178,11.291569,15.352672,22.468968,33.973341
19678,20230518,IAEA-C2,-4.890389,4.384415,-0.995658,8.677873,3.563613
19684,20230518,WS4_54.4_A,5.758048,16.000028,21.461506,32.089828,46.930331
19659,20230518,ETH-1,4.680752,11.297689,15.377846,22.687856,47.415359
19685,20230518,KDW2_119.1_A_A,3.813638,11.111323,14.606731,22.198649,32.619195
19661,20230518,IAEA-C2,-4.889489,4.379168,-0.942207,8.833194,11.812987
19675,20230518,KDW2_119.1_A_A,3.821513,11.079552,14.597519,22.164516,33.970166
19680,20230518,WS4_44.2_A,6.836097,17.381763,23.993718,34.870882,52.807133
19696,20230518,SB1_98_A,6.614313,18.022311,24.330168,36.270731,48.565037
