Sample,Region,Position,Block,Measurement,File,Spot,FullName,Isotope,SD,ooidType,Type,Sample_Name
MD,1,1,cement1 1-5,C,MD1,5,C_MD_cement1 1-5_1,-8.251277846,0.922591202,cement,cement,MDE_173_6
MD,1,1,ooid1 1-5,C,MD1,8,C_MD_ooid1 1-5_1,-9.309024672,0.922591202,ooid,ooid,MDE_173_6
MD,1,1,pink1 1-5,C,MD1,,C_MD_pink1 1-5_1,-8.917272188,0.922591202,pink,pink,MDE_173_6
MD,1,2,cement1 1-5,C,MD1,1,C_MD_cement1 1-5_2,-9.452813244,0.922591202,cement,cement,MDE_173_6
MD,1,2,ooid1 1-5,C,MD1,12,C_MD_ooid1 1-5_2,-8.704536663,0.922591202,ooid,ooid,MDE_173_6
MD,1,3,cement1 1-5,C,MD1,4,C_MD_cement1 1-5_3,-8.257304686,0.922591202,cement,cement,MDE_173_6
MD,1,3,ooid1 1-5,C,MD1,15,C_MD_ooid1 1-5_3,-8.996352261,0.922591202,ooid,ooid,MDE_173_6
MD,1,4,cement1 1-5,C,MD1,0,C_MD_cement1 1-5_4,-9.233858673,0.922591202,cement,cement,MDE_173_6
MD,1,4,ooid1 1-5,C,MD1,9,C_MD_ooid1 1-5_4,-10.1422575,0.922591202,ooid,ooid,MDE_173_6
MD,1,5,cement1 1-5,C,MD1,18,C_MD_cement1 1-5_5,-9.983186376,0.922591202,cement,cement,MDE_173_6
MD,1,5,ooid1 1-5,C,MD1,16,C_MD_ooid1 1-5_5,-9.879029117,0.922591202,ooid,ooid,MDE_173_6
MD,2,1,pink2 1-10,C,MD2,16,C_MD_pink2 1-10_1,-9.493338765,0.922591202,pink,pink,MDE_173_6
MD,2,2,pink2 1-10,C,MD2,11,C_MD_pink2 1-10_2,-7.516304065,0.922591202,pink,pink,MDE_173_6
MD,2,3,pink2 1-10,C,MD2,10,C_MD_pink2 1-10_3,-9.268582712,0.922591202,pink,pink,MDE_173_6
MD,2,4,pink2 1-10,C,MD2,15,C_MD_pink2 1-10_4,-9.305058683,0.922591202,pink,pink,MDE_173_6
MD,2,5,pink2 1-10,C,MD2,7,C_MD_pink2 1-10_5,-9.645427874,0.922591202,pink,pink,MDE_173_6
MD,2,6,pink2 1-10,C,MD2,17,C_MD_pink2 1-10_6,-9.545282881,0.922591202,pink,pink,MDE_173_6
MD,2,7,pink2 1-10,C,MD2,19,C_MD_pink2 1-10_7,-8.739427627,0.922591202,pink,pink,MDE_173_6
MD,2,8,pink2 1-10,C,MD2,22,C_MD_pink2 1-10_8,-9.854232182,0.922591202,pink,pink,MDE_173_6
MD,2,9,pink2 1-10,C,MD2,24,C_MD_pink2 1-10_9,-9.076914437,0.922591202,pink,pink,MDE_173_6
MD,2,10,pink2 1-10,C,MD2,26,C_MD_pink2 1-10_10,-10.09445578,0.922591202,pink,pink,MDE_173_6
MD,2,11,pink2 11-20,C,MD2,6,C_MD_pink2 11-20_11,-8.140902587,0.922591202,pink,pink,MDE_173_6
MD,2,12,pink2 11-20,C,MD2,5,C_MD_pink2 11-20_12,-8.59868518,0.922591202,pink,pink,MDE_173_6
MD,2,13,pink2 11-20,C,MD2,2,C_MD_pink2 11-20_13,-8.504876483,0.922591202,pink,pink,MDE_173_6
MD,2,14,pink2 11-20,C,MD2,3,C_MD_pink2 11-20_14,-8.134931473,0.922591202,pink,pink,MDE_173_6
MD,2,15,pink2 11-20,C,MD2,1,C_MD_pink2 11-20_15,-8.553688855,0.922591202,pink,pink,MDE_173_6
MD,2,16,pink2 11-20,C,MD2,0,C_MD_pink2 11-20_16,-8.037691595,0.922591202,pink,pink,MDE_173_6
MD,2,17,pink2 11-20,C,MD2,,C_MD_pink2 11-20_17,-10.31565092,0.922591202,pink,pink,MDE_173_6
MD,2,18,pink2 11-20,C,MD2,,C_MD_pink2 11-20_18,-10.57128475,0.922591202,pink,pink,MDE_173_6
MD,2,19,pink2 11-20,C,MD2,4,C_MD_pink2 11-20_19,-9.513054875,0.922591202,pink,pink,MDE_173_6
MD,2,20,pink2 11-20,C,MD2,4,C_MD_pink2 11-20_20,-9.768153667,0.922591202,pink,pink,MDE_173_6
MD,1,2,pink1 1-5,C,MD3,2,C_MD_pink1 1-5_2,-6.01114229,0.922591202,pink,pink,MDE_173_6
MD,1,3,pink1 1-5,C,MD3,3,C_MD_pink1 1-5_3,-9.941967992,0.922591202,pink,pink,MDE_173_6
