section_base,section_top,section_thickness,CompositeHeight,RefSec_CompositeHeight,Formation,Min,OrigMin,GrainSize,Dunham,Facies,LFA,More,Features,Notes,Section,Peritidal ,Storm,Silt,Msfall T-R cycrles,Medium T-R cycrles,Large T-R cycrles,BEDDING,LAMIE,FEATURES,LITHOLOGY,Quartz Sand,Anhydrite Laths,Pisoids,Irregular Lamie,Irregular Stroms,Fenestrae,DoMfal Stroms,Msfall Stroms/Tall Stroms,Ooids,Xbedded Grainstones,Conophyton Stroms,Medium Stroms,Large DoMfal Stroms,Edgewise Conglomerate,Crinkly laminites 
0,2.25,2.25,0,0,Khufai,CA,CA,,si,Si,,si,,,MD6, , ,silt,,,,,,,,,,,,,,,,,,,,,,
2.25,11.78,9.54,2.25,2.25,Khufai,CA,CA,,w,Wic,,ic w,ic,,MD6, ,storm, ,,,,,,,,,,,,,,,,,,,,,,
11.78,17.69,5.91,11.79,11.79,Khufai,CA,CA,,w,W,,pl lam,,,MD6, , , ,,,,,,,,,,,,,,,,,,,,,,
17.69,22.92,5.22,17.7,17.7,Khufai,CA,CA,,w,Wic,,ic w,ic,,MD6, ,storm, ,,,,,,,,,,,,,,,,,,,,,,
22.92,26.43,3.51,22.92,22.92,Khufai,CA,CA,,w,W,,pl lam,,,MD6, , , ,,,,,,,,,,,,,,,,,,,,,,
26.43,42.05,15.62,26.43,26.43,Khufai,CA,CA,,w,Wic,,ic w,ic,,MD6, ,storm, ,,,,,,,,,,,,,,,,,,,,,,
42.05,49.66,7.61,42.05,42.05,Khufai,CA,CA,,w,W,,pl lam,,,MD6, , , ,,,,,,,,,,,,,,,,,,,,,,
49.66,52.58,2.92,49.66,49.66,Khufai,CA,CA,,w,Wic,,ic w,ic,,MDE, ,storm, ,,,,,,,,,,,,,,,,,,,,,,
52.58,53.58,1,52.58,52.58,Khufai,CA,CA,,w,W,,pl lam,,,MDE, , , ,,,,,,,,,,,,,,,,,,,,,,
53.58,58.2,4.62,53.58,53.58,Khufai,CA,CA,,w,Wic,,ic w,ic,,MDE, ,storm, ,,,,,,,,,,,,,,,,,,,,,,
58.2,59.76,1.56,58.2,58.2,Khufai,CA,CA,,w,W,,pl lam,,,MDE, , , ,,,,,,,,,,,,,,,,,,,,,,
59.76,63.02,3.26,59.76,59.76,Khufai,CA,CA,,w,Wic,,ic w,ic,,MDE, ,storm, ,,,,,,,,,,,,,,,,,,,,,,
63.02,64.11,1.1,63.02,63.02,Khufai,CA,CA,,w,W,,pl lam,,,MDE, , , ,,,,,,,,,,,,,,,,,,,,,,
64.11,65.62,1.51,64.12,64.12,Khufai,CA,CA,,w,Wic,,ic w,ic,,MDE, ,storm, ,,,,,,,,,,,,,,,,,,,,,,
65.62,68.94,3.32,65.63,65.63,Khufai,CA,CA,,w,W,,pl lam,,,MDE, , , ,,,,,,,,,,,,,,,,,,,,,,
68.94,71.16,2.22,68.95,68.95,Khufai,CA,CA,,w,Wic,,ic w,ic,,MDE, ,storm, ,,,,,,,,,,,,,,,,,,,,,,
71.16,75.28,4.12,71.17,71.17,Khufai,CA,CA,,w,W,,pl lam,,,MDE, , , ,,,,,,,,,,,,,,,,,,,,,,
75.28,77.66,2.38,75.29,75.29,Khufai,CA,CA,,w,Wic,,ic w,ic,,MDE, ,storm, ,,,,,,,,,,,,,,,,,,,,,,
77.66,79.08,1.42,77.67,77.67,Khufai,CA,CA,,w,W,,pl lam,,,MDE, , , ,,,,,,,,,,,,,,,,,,,,,,
79.08,80.89,1.81,79.09,79.09,Khufai,CA,CA,,w,Wic,,ic w,ic,,MDE, ,storm, ,,,,,,,,,,,,,,,,,,,,,,
80.89,85.56,4.67,80.9,80.9,Khufai,CA,CA,,w,W,,pl lam,,,MDE, , , ,,,,,,,,,,,,,,,,,,,,,,
85.56,89.9,4.34,85.57,85.57,Khufai,CA,CA,,p,Gpel,,pel grn,peloids,,MDE, , , ,,,,,,,,,,,,,,,,,,,,,,
