location,section,mineralogy,water depth,height (m),δ13C,δ18O,44/40Ca,44/42Ca,44/43Ca,δ26Mg,δ25Mg,Sr/Ca (mmol/mol),Mg/Ca (mmol/mol),Mn/Ca (μmol/mol),U/Ca (μmol/mol),Mn/Sr (mmol/mmol)
Australia,J162,Limestone,5,44.4,-11.24,-15.46,-0.891790861,0.097091815,,,,0.1743639,25.67,9159.2331,,52.52941176
Australia,J162,Limestone,5,59.1,-10.7,-15.26,-0.681694045,0.199080561,,,,0.1741531,24.43,7027.5898,,40.35294118
Australia,J162,Limestone,5,64.1,-10.11,-15.32,,,,,,0.193629,19.1,7785.924,,40.21052632
Australia,J162,Limestone,5,76,-9.61,-14.9,-0.659858565,0.209680308,,,,0.2248796,22.18,7093.9292,,31.54545455
Australia,J162,Limestone,5,87.3,-9.66,-15.52,-1.00305421,0.043080481,,,,0.2244572,20.26,7182.6304,,32
Australia,J162,Limestone,5,99.9,-9.39,-15.49,-0.899007817,0.093588438,,,,0.2143554,20.74,8145.5052,,38
Australia,J162,Limestone,5,109.5,-9.37,-15.36,-0.898952951,0.093615072,,,,0.234531,19.7,6760.611,,28.82608696
Australia,J162,Limestone,5,119.4,-8.94,-15.17,-0.855422182,0.114746514,,,,0.2138451,18.31,7423.4799,,34.71428571
Australia,J162,Limestone,5,129.3,-8.85,-15.19,-0.655653982,0.211721368,,,,0.223905,17.75,6513.6,,29.09090909
Australia,J162,Limestone,5,139.6,-8.74,-15.04,-0.905149709,0.090606938,,,,0.214263,20.3,6825.807,,31.85714286
Australia,J162,Limestone,5,149.1,-8.6,-14.83,-0.88387655,0.100933714,,,,0.244476,18.65,5673.8805,,23.20833333
Australia,J162,Limestone,5,160.4,-8.45,-14.96,-0.764064178,0.159095059,,,,0.2444784,18.66,4869.1948,,19.91666667
Australia,J162,Limestone,5,173.7,-7.47,-14,-1.638136498,-0.265211892,,,,2.5594721,19.71,2120.9968,,0.828685259
Australia,J162,Limestone,5,183.5,-6.71,-12.93,-1.758886703,-0.323828497,,,,1.7225156,19.24,2221.9432,,1.289940828
Australia,J162,Limestone,5,194.4,-6.91,-14.45,,,,,,2.4776523,19.61,1498.8267,,0.604938272
Australia,J162,Limestone,5,204.6,-6.81,-14.32,-1.74967149,-0.319355092,,,,6.5536515,16.07,1524.105,,0.23255814
Australia,J162,Limestone,5,226.3,-6.81,-13.83,-1.927977037,-0.405911183,,,,2.9329056,18.37,1272.9625,,0.434027778
Australia,J162,Limestone,5,236.3,-6.96,-14.01,-1.662969659,-0.277266825,,,,3.2395088,15.52,1421.728,,0.438871473
Australia,J162,Limestone,5,246.2,-6.86,-14.14,-1.881427799,-0.383314466,,,,2.2671295,16.65,1687.639,,0.744394619
Australia,J162,Limestone,5,256.1,-6.96,-14.09,,,,,,5.076132,13.2,1529.932,,0.301397206
Australia,J162,Limestone,5,269,-9.23,-13.33,-1.558135115,-0.22637627,,,,2.3813408,26.44,5080.878,,2.13362069
Australia,J162,Limestone,5,279.4,-10.31,-13.25,-1.460544404,-0.179002138,,,,1.85185,17.5,5840.45,,3.153846154
Australia,J162,Limestone,5,288.6,-6.44,-14.08,-1.733803559,-0.311652213,,,,4.458608,13.32,1590.9124,,0.356818182
Australia,J162,Limestone,5,298.7,-7.24,-14.3,-1.815401256,-0.351262746,,,,4.9232291,10.93,1860.1112,,0.377823409
Australia,J162,Limestone,5,304.7,-8.09,-13.58,-1.62823702,-0.26040632,,,,3.9810432,36.73,4271.3276,,1.072916667
Australia,J162,Limestone,5,336.2,-7.62,-13.06,-1.613267109,-0.253139373,,,,2.8986841,24.27,2867.956,,0.989399293
Australia,J162,Limestone,5,345.6,-8.27,-12.91,-1.752407783,-0.32068339,,,,5.0478615,19.77,1804.9929,,0.357575758
Australia,J162,Limestone,5,355.6,-6.79,-13.64,-1.811632543,-0.349433273,,,,5.797008,20.6,1479.87,,0.25528169
Australia,J162,Limestone,5,365.8,-6.29,-13.08,-1.860399905,-0.37310675,,,,5.211583,36.1,1637.038,,0.314115308
Australia,J162,Limestone,5,379.3,-6.5,-12.71,-1.641150183,-0.266674846,,,,4.911168,23.16,1749.6036,,0.35625
Australia,J162,Limestone,5,394.4,-6.75,-13.24,-1.77799818,-0.333105912,,,,5.5226814,34.21,1768.4991,,0.320224719
Australia,J162,Limestone,5,406.2,-6.63,-12.96,-1.820729684,-0.353849361,,,,4.5285484,31.56,2228.1696,,0.492027335
Australia,J162,Limestone,5,415,-6.82,-13.49,-1.808226956,-0.347780076,,,,5.0774346,13.46,1885.0356,,0.371257485
Australia,J162,Limestone,5,425,-6.6,-13.14,,,,,,4.106508,29.2,2881.76,,0.701754386
Australia,J162,Limestone,5,435.3,-6.56,-13.36,,,,,,4.154801,23.35,2302.5375,,0.554187192
Australia,J162,Limestone,5,459.5,-8.06,-13.22,-1.780137996,-0.334144658,,,,3.57308,20.88,2480.7384,,0.694285714
Australia,J162,Limestone,5,471.4,-7.96,-12.04,-1.6686,-0.28,,,,3.5530371,23.93,2436.9534,,0.685878963
Australia,J162,Limestone,5,482.3,-10.98,-12.4,-1.265000156,-0.084077746,,,,2.2796718,50.54,5231.6892,,2.294930876
Australia,J162,Limestone,5,493.6,-6.93,-12.76,-1.62401623,-0.258357393,,,,3.3052212,20.13,1928.0457,,0.583333333
Australia,J162,Limestone,5,502.9,-7.67,-12.06,,,,,,2.0276176,78.52,3774.82,,1.861702128
Australia,J162,Limestone,5,514.7,-7.93,-12.23,-1.418695294,-0.158687036,,,,7.5476128,36.76,4634.3172,,0.614010989
Australia,J162,Limestone,3,525.1,-7.44,-12.6,-1.47637108,-0.18668499,,,,2.9967126,19.29,2008.0013,,0.670068027
Australia,J162,Limestone,3,540.9,-5.82,-11.76,-1.622850038,-0.25779128,,,,1.4308691,44.43,1723.3095,,1.204379562
Australia,J162,Limestone,3,553.2,-6.21,-12.27,-1.465416191,-0.181367083,,,,4.2480785,38.65,2150.0055,,0.506112469
Australia,J162,Limestone,3,565.1,-6.06,-11.81,-1.497488983,-0.196936399,,,,1.3274229,29.01,1872.7982,,1.410852713
Australia,J162,Limestone,3,574.3,-6.25,-11.84,-1.371837322,-0.135940448,,,,2.1842065,15.91,1381.6376,,0.63255814
Australia,J162,Limestone,3,589.2,-5.63,-12.22,-1.5123885,-0.204169175,,,,1.1269728,33.92,1654.272,,1.467889908
Australia,J162,Limestone,3,599.7,-6.26,-11.22,,,,,,0.6308076,106.68,2445.7628,,3.877192982
Australia,J162,Limestone,3,612.7,-6.26,-10.68,-1.271381923,-0.087175691,,,,0.5942061,165.11,2539.9398,,4.274509804
Australia,J162,Limestone,3,622.8,-5.74,-11.35,-1.264601413,-0.083884181,,,,0.7131776,114.34,2317.8272,,3.25
Australia,J162,Dolostone,3,632,-5.19,-11.68,-1.0712,0.01,,-1.74,,0.114528,908.8,5058.32,,44.16666667
Australia,J162,Dolostone,3,642.4,-4.38,-12.28,-1.357867798,-0.129159125,,-2.05,,0.1495088,868.86,7886.5892,,52.75
Australia,J162,Dolostone,3,651.9,-4.5,-12.76,,,,,,0.286992,793.7,12609.711,,43.9375
Australia,J162,Limestone,3,663.4,-3.24,-11.53,-1.294552402,-0.098423496,,-1.99,,0.5222687,111.21,5267.1354,,10.08510638
Australia,J162,Dolostone,1,671.5,-0.34,-8.79,-0.890979755,0.097485556,,-1.93,,0.0762792,906.98,2078.6082,,27.25
Australia,J162,Limestone,1,712.8,-0.42,-7.6,-1.126675088,-0.016929654,,,,0.4448221,34.47,4396.4975,,9.88372093
Australia,J162,Limestone,1,719.7,2.76,-8.31,-1.085115022,0.003245135,,-1.99,,0.5287982,79.18,4230.3856,,8
Australia,J162,Limestone,1,775.4,1.65,-7.79,-1.228664563,-0.066439108,,-2.08,,0.6985745,74.73,2160.2073,,3.092307692
Australia,J162,Dolostone,1,786.1,2.9,-8.03,-1.0094,0.04,,-1.96,,0.0760772,901.93,2453.4897,,32.25
Australia,J162,Dolostone,1,796.2,3.17,-9.71,-1.248329325,-0.075985109,,-1.79,,0.076142,903.55,2379.4375,,31.25
Australia,J162,Dolostone,1,806.9,2.73,-9.41,-1.09936871,-0.003674131,,-1.87,,0.0570711,902.37,2796.4839,,49
Australia,J162,Dolostone,1,818.5,2.07,-8.04,-0.821347985,0.131287386,,-1.84,,0.095277,905.54,8917.9272,,93.6
Australia,J162,Dolostone,1,828.6,5.71,-9.45,-1.051682046,0.019474735,,-1.82,,0.1326017,894.31,8031.8744,,60.57142857
Australia,J162,Dolostone,1,835.7,5.06,-9.28,-0.836153737,0.124100128,,-1.54,,0.1509888,887.36,12116.8512,,80.25
Australia,J162,Dolostone,1,859.5,3.68,-8.67,-0.820774571,0.131565742,,-1.49,,0.1323007,890.01,11755.8622,,88.85714286
Australia,J19,Dolostone,5,0.2,-4.15,-6.26,-1.107377049,-0.000399916,,-2.259253,,0.196424979,798.81095,17273.97293,1.176813995,87.94183417
Australia,J19,Dolostone,5,53.6,-9.56,-7.22,-1.115639344,-0.004432353,,,,0.273554783,710.0246547,9430.501252,0.831842472,34.47390372
Australia,J19,Limestone,5,68.6,-10.47,-14.6,-0.893567623,0.103939375,,-2.72,,0.194523293,23.03069303,3795.820658,0.254044341,19.51345055
Australia,J19,Limestone,5,73.9,-9.9,-14.54,-0.824004098,0.137885518,,-2.98,,0.174406643,23.1822768,5237.54726,0.121397041,30.0306638
Australia,J19,Limestone,5,87,-9.12,-14.28,-1.155155738,-0.023716155,,-2.64,,0.237917204,20.551825,3366.131476,0.370231807,14.14833152
Australia,J19,Limestone,5,95.6,-9.1,-15.47,-0.799309426,0.149936908,,-3.27,,0.200309098,18.96774466,3343.910058,0.08576733,16.69375027
