Region,Formation,Section,sample ID,AgeModel,TIC wt%,del13CIC,OC wt%,delOC,del18O,FeHR/FeT,,siltstone,conglomerate,calcareous,diamictite,,,,,,,,,,,,,,,,,,,,0
Avalon Peninnsula,Mall Bay,,06-32,584.0,0.034,-14.23,0.03,,-19.64,0.359437064,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Mall Bay,,06-31,584.0,0.970,-10.91,0.97,,-18.00,0.304493414,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Mall Bay,,06-30,583.9,0.003,-11.63,0.00,,-16.70,0.275055815,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Mall Bay,,06-29,583.9,0.002,,0.00,,,0.28,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Mall Bay,,06-28,583.8,0.003,-15.32,0.00,,-9.67,0.29,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Mall Bay,,06-27,583.8,0.002,-13.60,0.00,,,0.33,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Mall Bay,,06-26,583.7,0.006,-22.64,0.01,,-16.97,0.30,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Mall Bay,,06-25,583.7,0.015,-26.00,0.02,,-19.16,0.32,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Mall Bay,,06-24,583.6,0.003,-19.40,0.00,,-15.88,0.29,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Mall Bay,,06-23,583.6,0.074,-24.60,0.07,,-18.56,0.28,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Mall Bay,,06-22,583.5,0.007,-24.40,0.01,,-18.25,0.33,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Mall Bay,,06-21,583.5,0.006,-22.23,0.01,,-16.72,0.30,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Mall Bay,,198,583.1,0.002,-5.53,0.00,,,0.23,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Mall Bay,,199,583.0,,,,,,0.27,,x,,,,,,,,,,,,,,,,,,,,,,,
Avalon Peninnsula,Mall Bay,,200,582.9,,,,,,0.26,,x,,,,,,,,,,,,,,,,,,,,,,,
