Counter_Type,Counter_Height,Dome,Section,Meter,Sample,Formation,Group,Composite_Height,Use,Microanalysis_Type,Facies,WaterDepth,Min,d13C,d18O,d13Corg,CAP13C,d34SCAS,d34Spy,Dd34S,TOC,Pyrite,SO4,Ca44_40,Ca44_42,Ca44_43,d26Mg,d25Mg,Mn_ppm,Sr_ppm,Fe_ppm,Na_ppm,Mg_ppm,Al_ppm,P_ppm,S_ppm,K_ppm,Ca_ppm,Ti_ppm,Li_ppm,Be_ppm,B_ppm,Sc_ppm,V_ppm,Cr_ppm,Ba_ppm,Cd_ppm,Cu_ppm,Ni_ppm,Pb_ppm,Zn_ppm,Y_ppm,Zr_ppm,Mg_MgCa,Sr_Ca_mmol_mol,Mg_Ca_mmol_mol,Mn_Ca_mmol_mol,U_Ca_mmol_mol,Mn_Sr_mmol_mol,Mn_Sr_ppm,Al_Acetic_ppm,Ca_Acetic,Fe_Acetic_ppm,K_Acetic_ppm,Mg_Acetic_ppm,Mn_Acetic_ppm,Na_Acetic_ppm,S_Acetic_ppm,Sr_Acetic_ppm,N,mean_pct_carb,d13C_VPDB,d18O_VPDB_mineral,d18Ow_VSMOW,d18Ow_VSMOW_1SE_lower,d18Ow_VSMOW_1SE_upper,d18Ow_VSMOW_2SE_lower,d18Ow_VSMOW_2SE_upper,d18Ow_VSMOW_lower,d18Ow_VSMOW_upper,D47,SE,SE_2,SD,CL_95_pct,T_MIT,T_MIT_SE_lower,T_MIT_SE_upper,T_MIT_2SE_lower,T_MIT_2SE_upper,T_MIT_95CL_lower,T_MIT_95CL_upper,D48,D48_SE,D48_SD,D48_95_CL,Mineralogy,Type,Form_T,err_Form_T,Calibration,Author,ordering_ratio,Mg,alt_Sample,Counter,Location,Country_Min,Formation.1,T_Petersen,d47_VPDB,d18Ow_VSMOW_MK77,d18Ow_VSMOW_MK77_upper,d18Ow_VSMOW_MK77_lower,d18Ow_VSMOW_H14,d18Ow_VSMOW_H14_upper,d18Ow_VSMOW_H14_lower,d18Ow_VSMOW_H14_lower.1,d18Ow_VSMOW_V05,d18Ow_VSMOW_V05_upper,d18Ow_VSMOW_V05_lower,d18Ow_VSMOW_KON97,d18Ow_VSMOW_KON97_upper,d18Ow_VSMOW_KON97_lower,d18Ow_VSMOW_A21,d18Ow_VSMOW_A21.1,d18Ow_VSMOW_A21_upper,d18Ow_VSMOW_A21_lower,Data_Reference,Published,AgeModel,T_calc_sw1_a21
1389,,GSB,MQT,4180,MQT_4180,M. Bay,pre,-32,0,,dolomaceous shale,,DL,1.37,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,578.2,45.70911322
949,,GSB,MQT,4160,MQT_4160,M. Bay,pre,-12,0,,dolomaceous shale,,DL,0.94,-5.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,578.2,53.50849359
1390,,GSB,MQT,4140,MQT_4140,M. Bay,pre,8,0,,dolomaceous shale,,DL,2.96,-6.37,,,24.30896961,17.01902307,7.289946539,0.1627,0.562030469,,,,,,,584.457,145.415,3481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.019234604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,578.1480664,57.6047054
74,,GSB,MQT,4120,MQT_4120,M. Bay,pre,28,0,,silty limestone,,CA,5.83,-4.62,-28.603,34.44,23.14477,12.09462542,11.05014458,0.4258,0.931445,460,,,,,,1280,328.279,1731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.899122393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,577.8356837,37.01254639
950,,GSB,MQT,4110,MQT_4110,M. Bay,pre,38,0,,limestone,,CA,6.58,-5.85,-28.51166667,35.09,21.93466776,10.70140537,11.23326239,0.4644,1.1905125,150,,,,,,454.057,420.21,1423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.080547821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,577.6794924,43.96196714
951,,GSB,MQT,4100,MQT_4100,M. Bay,pre,48,0,,silty limestone,,CA,5.05,-4,,,18.57849071,5.793528341,12.78496237,0.43935,1.139971875,150,,,,,,468.588,343.807,1641.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.362939091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,577.523301,33.62690061
1391,,GSB,MQT,4096,MQT_4096,M. Bay,pre,52,0,,silty limestone,,CA,2.9,-3.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,577.4608245,32.06924315
952,,GSB,MQT,4090,MQT_4090,M. Bay,pre,58,0,,silty limestone,,CA,0.09,-3.53,-29.74466667,29.83,16.77998867,4.42072334,12.35926533,0.55005,2.362587031,1000,,,,,,889.305,333.734,2103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.664712016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,577.3671097,31.11057775
1392,,GSB,MQT,4080,MQT_4080,M. Bay,pre,68,0,,silty limestone,,CA,1.69,-6.89,-31.058,32.75,,0.672265831,,0.96645,1.409334688,,,,,,,1240,317.941,1424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.900094672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,577.2109184,50.09269424
953,,GSB,MQT,4076,MQT_4076,M. Bay,pre,72,0,,silty limestone,,CA,1.76,-6.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fike_2006,Yes,577.1484418,46.70274149
