SamID,Fm,Meter,TN,TOC,C_N,d13Corg,d15N,Min,Type
S100511-3,Dengying,3.96,24,0.2088,101,-26.2,3.3,CA,R
S100511-02,Dengying,3.98,,0.0739,,-27.2,,CA,R
S101608-02,Dengying,24.53,,0.2781,,-27.6,,CA,R
S102403-06,Dengying,41.21,,0.0265,,-25.4,,DL,R
S104002-02,Dengying,55.34,,0.0662,,-32.4,,DL,R
S104012-k1,Doushantuo,56.28,4254,8.8678,24,-32,3.6,CA,R
S104103-k1,Doushantuo,56.63,,1.3278,,-30.3,,CA,R
S104106-k1,Doushantuo,56.98,2309,8.5584,43,-32.2,3.8,CA,R
S104203-2,Doushantuo,58.6,,0.1412,,-35,,DL,R
S104203-2,Doushantuo,58.6,178,0.9945,65,-36.4,3.7,DL,R
S104206A-1,Doushantuo,59.18,2215,3.3823,18,-35.4,3.5,DL,R
S104206A-k1,Doushantuo,59.22,1805,4.4337,29,-37.4,2.6,DL,R
S104206A2-k1,Doushantuo,59.25,1745,3.5956,24,-36.6,2.4,DL,R
S104301B-k1,Doushantuo,60.06,848,2.9835,41,-36.7,2.9,DL,R
S104304-2,Doushantuo,60.62,,2.7571,,-36.5,,DL,R
S104304-2,Doushantuo,60.62,1089,3.0944,33,-36.9,2.8,DL,R
S104304-k1,Doushantuo,60.63,1282,3.0654,28,-37,2.9,DL,R
S104306-k1,Doushantuo,60.78,1240,2.8724,27,-38.7,2.8,DL,R
S104401-k1,Doushantuo,60.89,1425,3.166,26,-37.3,2.9,DL,R
S104401-2,Doushantuo,60.91,1960,3.5221,21,-34.9,3.5,DL,R
S104402-k1,Doushantuo,61.05,1215,2.6829,26,-37.1,4.2,CA,R
S104504-02,Doushantuo,62.4,43,0.0161,4,,2.3,CA,R
S105416B-02,Doushantuo,81.05,30,0,,,2.6,CA,R
S105416-02,Doushantuo,81.07,,0.149,,-34.8,,CA,R
S105809-02,Doushantuo,88.32,14,0.0065,5,-22.9,3.1,CA,R
S105921A-02,Doushantuo,92.46,11,0.0059,6,-24.7,3.3,CA,R
S106207-2,Doushantuo,95.97,,0.0018,,-24.2,,DL,R
S106303A-2,Doushantuo,96.44,,0.0697,,-32.6,,DL,R
S106404-01,Doushantuo,98.19,35,0.0922,31,-28.4,3.3,DL,R
S106502-01,Doushantuo,99.55,22,0.0172,9,-25.7,3.6,DL,R
S106503-01,Doushantuo,99.72,34,0.0176,6,-25.5,3.4,DL,R
S10650401,Doushantuo,99.85,33,0.0231,8,-26.6,2.4,DL,R
S10650502,Doushantuo,100.18,14,0.004,3,-22.3,2.6,DL,R
S10660302,Doushantuo,101.67,35,0.0192,6,-24.8,2.5,DL,R
S10660401,Doushantuo,102.01,74,0.0303,5,-22,3,DL,R
S10660601,Doushantuo,102.32,57,0.0215,4,-24.4,4.6,DL,R
S10680101,Doushantuo,104.06,,0,,-28.2,,DL,R
S10720101,Doushantuo,108.12,,0.0261,,-27.1,,DL,R
S10750401,Doushantuo,111.54,,0.001,,-26.1,,DL,R
S108002,Doushantuo,116.13,,0.0477,,-22.4,,DL,R
S108102B102,Doushantuo,117.21,,0,,-25.4,,DL,R
S10840901,Doushantuo,122.28,,0.1368,,-27.5,,DL,R
S108502B,Doushantuo,122.7,,0.4648,,-29.1,,DL,R
S108502Bk1,Doushantuo,122.7,94,0.5983,74,-29.2,5.7,DL,R
S10880503,Doushantuo,127.03,,0.0746,,-26.2,,DL,R
S108902A01,Doushantuo,127.76,,0.0767,,-27.1,,DL,R
S1091093,Doushantuo,131.81,,0.1602,,-28.3,,DL,R
S10920302,Doushantuo,133.14,,0.0257,,-32.3,,DL,R
S1093013,Doushantuo,134.97,4,0.0494,141,,5.4,DL,R
S109302B01,Doushantuo,135.25,,0.1066,,-32.4,,DL,R
S10930301,Doushantuo,135.65,,0.0719,,-27.2,,DL,R
S10940801,Doushantuo,138.19,,0.1558,,-28.9,,DL,R
S109502B01,Doushantuo,139.26,,0.1501,,-29.1,,DL,R
S109510,Doushantuo,140.27,,0.1881,,-27.5,,CA,R
S109510,Doushantuo,140.27,,0.1539,,-27.8,,CA,R
S10961101,Doushantuo,141.68,,0.1005,,-28.5,,CA,R
S10961501,Doushantuo,142.31,,0.1432,,-28.4,,DL,R
S109619A,Doushantuo,142.66,,0.3064,,-26.8,,DL,R
S109619Ak1,Doushantuo,142.66,,0.3232,,-26.4,,DL,R
S109619B01,Doushantuo,142.69,,0.2012,,-27.5,,DL,R
S109619B2,Doushantuo,142.69,146,0.2617,21,,6.7,DL,R
S109802,Doushantuo,144.94,,0.1551,,-25.2,,DL,R
S109802,Doushantuo,144.94,,0.1222,,-29.4,,DL,R
S109806A2,Doushantuo,145.73,,0.1576,,-28.1,,DL,R
S109806,Doushantuo,145.75,,0.1676,,-26.7,,DL,R
S109806,Doushantuo,145.75,,0.1459,,-28.3,,DL,R
S109807,Doushantuo,146.03,,0.504,,-28.1,,DL,R
S109810,Doushantuo,146.29,,0.3355,,-29.4,,DL,R
S109810k1,Doushantuo,146.29,,0.257,,-29,,DL,R
S10991101,Doushantuo,148.05,,0.167,,-27.7,,DL,R
S11000801,Doushantuo,148.64,,0.6217,,-28.4,,DL,R
S110120A01,Doushantuo,150.34,,0.03,,-29.3,,DL,R
S110123C2,Doushantuo,150.96,137,0.7764,66,-30,5.2,DL,R
S110506Ck1,Doushantuo,158.06,317,2.0128,74,-29.4,6,DL,R
S110509A01,Doushantuo,158.26,,0.1951,,-28.1,,DL,R
S110509A,Doushantuo,158.27,,0.5553,,-28.5,,DL,R
S110509Ak1,Doushantuo,158.27,,0.5382,,-28.1,,DL,R
S110609D01,Doushantuo,161.3,,0.7818,,-28.6,,DL,R
S110609Dk1,Doushantuo,161.31,190,1.1816,73,-29.9,6.7,DL,R
S110609Dk1,Doushantuo,161.31,,1.0063,,-31,,DL,R
S110702Bk1,Doushantuo,161.79,,1.0583,,-28.4,,DL,R
S110804A101,Doushantuo,163.59,,0.8449,,-28.6,,DL,R
S110804A12,Doushantuo,163.59,366,1.6904,54,-28,7.1,DL,R
S110804A1k1,Doushantuo,163.6,322,1.7423,63,-30,5.5,DL,R
S111007A03,Doushantuo,169.47,,0.4575,,-28.9,,DL,R
S111302Bk1,Doushantuo,173.45,297,1.2911,51,-30.2,6,DL,R
S11140102,Doushantuo,175.06,,0.8435,,-29.1,,DL,R
S11150202,Doushantuo,176.54,,0.9518,,-29.2,,DL,R
S111620A4,Doushantuo,180.76,155,0.6152,46,-30.2,6.1,DL,R
S11190401,Doushantuo,186.56,,0.3299,,-28.5,,DL,R
S111905,Doushantuo,186.72,251,0.7331,34,-28.3,6.4,DL,R
S111905k1,Doushantuo,186.72,193,0.7423,45,-29.2,7.6,DL,R
S112010B3,Doushantuo,191.7,,0.6992,,-27.8,,DL,R
S11270301,Doushantuo,208.25,,0.3166,,-28.1,,DL,R
S112704,Doushantuo,208.43,,0.5221,,-28.3,,DL,R
