Sample Name,Pos. [°2Th.] Calcite Peak,Height [cts] Calcite Peak,Rel. Int. [%] Calcite,Pos. [°2Th.] Dolomite Peak,Height [cts] Dolomite Peak,Rel. Int. [%] Dolomite,Relative Peak Height Intensity,% Dolomite Calc.,Standard Matches
KDE_179.9,,,,31.10,1783.94,100.00,1.00,100.00,"Dolomite, Quartz"
KDE_274,,,,31.10,3287.78,100.00,1.00,100.00,Dolomite
KDE_293.5,29.65,67.45,1.97,31.14,3429.60,100.00,0.98,93.75,Dolomite
KDW2_131.8_A,,,,31.05,1503.86,100.00,1.00,100.00,Dolomite
KDW2_64.8,,,,31.11,1682.67,100.00,1.00,100.00,"Dolomite, Quartz, rhodochrosite(?)"
MD2_10.2,29.61,1981.63,100.00,31.70,39.27,1.98,0.02,0.00,Magnesium calcite
MD2_120.1,,,,31.11,2302.69,100.00,1.00,100.00,Dolomite
MD2_180.1,,,,31.16,2491.87,100.00,1.00,100.00,Dolomite
MD2_25.8,29.56,1944.69,100.00,31.62,34.66,1.78,0.02,0.00,"magnesium calcite, Phyrhotite"
MD2_45.2,29.60,1633.16,100.00,31.63,49.12,3.01,0.03,0.00,Magnesium Calcite
MD6_10.0_K1,29.58,2760.74,100.00,31.11,242.27,8.78,0.08,2.84,Magnesian Calcite
MD6_10.0_K2,29.67,4187.01,100.00,31.70,131.97,3.15,0.03,0.00,Magnesian calcite
MD6_258.6,,,,31.12,711.25,100.00,1.00,100.00,Ankerite
MD6_259.5,,,,31.09,1374.50,100.00,1.00,100.00,"Dolomite, Quartz, Rhodochrosite"
MD6_S2_ts,29.46,985.69,94.72,,,,0.00,0.00,"Quartz, Calcite, Albite"
MDE_118.6,,,,31.21,3026.30,100.00,1.00,100.00,Dolomite
MDE_156.3,,,,31.07,3073.78,100.00,1.00,100.00,dolomite
MDE_175.3,29.58,32.02,1.00,31.11,3202.85,100.00,0.99,94.70,Dolomite
MDE_182.1,29.58,354.69,28.02,31.13,1266.03,100.00,0.78,73.59,"Dolomite, Magnesian Calcite"
MDE_190,,,,31.16,3223.48,100.00,1.00,100.00,"Dolomite, quartz"
MDE_203.9,,,,31.14,3146.05,100.00,1.00,100.00,Dolomite
MDE_214.8,,,,31.18,4112.17,100.00,1.00,100.00,Dolomite
MDE_223.8,,,,31.19,2629.61,100.00,1.00,100.00,Dolomite
MDE_234.5,,,,31.05,1001.21,100.00,1.00,100.00,Dolomite (label MDE_284.5)
MDE_246.5,,,,31.20,3055.90,100.00,1.00,100.00,Dolomite (label mdE_246_2)
MDE_255,,,,31.11,1960.61,100.00,1.00,100.00,"Dolomite, quartz, Ankerite"
MDE_266.2,29.65,58.10,2.22,31.13,2611.43,100.00,0.98,93.50,Dolomite
MDE_277.4,,,,31.05,1969.06,100.00,1.00,100.00,Dolomite
MDE_278,,,,31.10,3166.38,100.00,1.00,100.00,Dolomite
MDE_280.7,29.61,616.46,38.76,31.11,1590.35,100.00,0.72,67.48,"Dolomite, magnesium calcite"
MDE_284.2,29.53,270.32,15.68,31.07,1724.30,100.00,0.86,82.01,"Dolomite, magnesium calcite"
MDE_287.5,29.61,82.92,1.70,31.14,4873.93,100.00,0.98,94.01,"Dolomite, ankerite"
MDE_291.1,29.61,62.13,1.60,31.10,3881.21,100.00,0.98,94.11,"Dolomite, Quartz"
